Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Revision Date,Revision Reason,Comment,Project ID,Area of Change,Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"012-000005005","418","012","Department of Labor","PBGC - Benefit Calculation and Valuation","09/09/2010","Correction","Corrected Planned Percent Complete values for four milestones. ","","","","75.54","2016-10-31","11/24/2010","10:13:31","2349"
"012-000005005","418","012","Department of Labor","PBGC - Benefit Calculation and Valuation","10/28/2011","Correction","To correct actual costs entries entered incrementally with submission of Ex 300B  Sept 2011 - Per OMB's direction, actual costs should only be entered upon activity completion.","582","Projects, Activities","2008-2017","","","10/28/2011","08:09:09","6875"
"012-000005005","418","012","Department of Labor","PBGC - Benefit Calculation and Valuation","09/14/2012","Rebaseline - other reason consistent with agency policy and M-10-27","Updates required for FY2014 Ex 300B submission Sept 2012 - Per PBGC's direction.","5607,582","Projects, Activities, Metrics","2008-2018","","","09/14/2012","21:44:40","10447"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","08/20/2010","Internal - Inaccurate Baseline","Rebaselining was necessary to accurately respond to scope definition based on the new CIO's priorities.","","","","599.80183","2018-09-30","08/22/2010","11:58:12","883"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","09/08/2010","Internal - Inaccurate Baseline","Outyear planned dates were incorrect","","","","646.9714","2017-09-30","09/08/2010","07:40:30","1124"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","11/29/2010","Correction","Adjusted actual % complete to 99% to allow final cost updates.","","","","646.9714","2017-09-30","11/30/2010","11:11:38","2384"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","12/20/2010","Correction","Revised milstone plan dates and costs to reflect updated plan.","","","","649.6774","2017-09-30","12/24/2010","07:17:32","2528"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","12/20/2010","Rebaseline - other","Revised milstone plan dates and costs to reflect updated plan.","","","","661.0904","2017-09-30","12/24/2010","07:18:01","2529"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","01/20/2011","Rebaseline - other","Revised milstone plan dates and costs to reflect updated plan.","","","","655.7854","2017-09-30","01/26/2011","13:48:19","2665"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","02/14/2011","Correction","Revised milstone plan dates and costs to reflect updated plan.  Due to the timing of our internal budget decision-making process, final FY11 budget decisions were made after the January Exhibit 53 submission to OMB.  As a result, our program's FY12 Exhibit 300 summary of fund table information does not correspond to the budget information in the DHS Exhibit 53, nor is it consistent with the cost information in our FY11 milestone table.  The program's milestone table cost and schedule information reflects our component's final budget decisions and is our actual budget information","","","","655.7854","2017-09-30","02/28/2011","19:59:19","3724"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","02/14/2011","Correction","Revised milstone plan dates and costs to reflect updated plan.  Due to the timing of our internal budget decision-making process, final FY11 budget decisions were made after the January Exhibit 53 submission to OMB.  As a result, our program's FY12 Exhibit 300 summary of fund table information does not correspond to the budget information in the DHS Exhibit 53, nor is it consistent with the cost information in our FY11 milestone table.  The program's milestone table cost and schedule information reflects our component's final budget decisions and is our actual budget information","","","","655.7854","2017-09-30","02/28/2011","20:09:39","3726"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","02/14/2011","Rebaseline - other","Revised milstone plan dates and costs to reflect updated plan.  Due to the timing of our internal budget decision-making process, final FY11 budget decisions were made after the January Exhibit 53 submission to OMB.  As a result, our program's FY12 Exhibit 300 summary of fund table information does not correspond to the budget information in the DHS Exhibit 53, nor is it consistent with the cost information in our FY11 milestone table.  The program's milestone table cost and schedule information reflects our component's final budget decisions and is our actual budget information","","","","623.811","2017-09-30","02/28/2011","20:09:53","3727"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","02/21/2012","Correction","Revised the Project' and Project Execution tab by deleting outdated information in inputted current list of projects.","385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409","Projects, Activities","2010-2018","","","02/29/2012","16:50:32","7708"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","09/10/2012","Correction","Baseline changed/corrected as part of the BY14 planning/budgeting process.","4217,4219,4221,4223,4225,4227,4229,4231,4233,4235,4237,4239,4241,4243,4245,386,387,388,389,390,391,392,393,394,395","Projects, Activities, Metrics","2006-2020","","","09/13/2012","14:26:33","9703"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","11/05/2012","Rebaseline - scope and objectives evolve due to incremental or iterative system development","CPIC Admin Comment-Operational Performance Metrics updated to reflect revised activities conducted by the Enterprise Infrastructure program through FY14","","","2006-2020","","","11/05/2012","15:21:19","11219"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","11/26/2012","Rebaseline - scope and objectives evolve due to incremental or iterative system development","Removed old projects and old risks that were replaced with new ones for FY13.","386,387,388,389,390,391,392,393,394,395","Projects, Activities, Metrics","2006-2020","","","11/30/2012","16:28:50","11541"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","11/30/2010","Correction","Line 12 The SAIR Tier III Project was intentioanllay rescheduled to allow for greater input and review of requirements from the Government Wide Continuous Monitoring Working Group.","","","","11.296","2012-01-31","11/30/2010","16:04:27","2414"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","11/30/2010","Rebaseline - other","Corrected/completed performance target updates related to previous updates.","","","","11.296","2012-01-31","02/27/2011","17:18:25","3557"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","09/10/2012","Correction","Baseline changed/corrected as part of the BY14 planning/budgeting process.","","Metrics","2007-2017","","","09/12/2012","15:25:53","9293"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","03/20/2013","Correction - Metrics Only","Baseline changed/corrected as part of the BY14 planning/budgeting process.","","Metrics","2007-2017","","","03/27/2013","12:31:26","12662"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","09/25/2009","Internal - Other","Preliminary numbers were entered in the Federal IT Dashboard pending the completion of the UFMS Life Cycle Cost Estimate (LCCE). The preliminary numbers have been updated in the Federal IT Dashboard based on the completion of the UFMS LCCE.","","","","1051.0735","2021-09-30","09/25/2009","15:16:47","189"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","09/16/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Budget rebaseline due to updated information available and changes in requirements of A-11","","","","1016.497177","2021-09-30","09/16/2010","17:13:08","1324"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","09/17/2010","Correction","Correction to 100% Complete Milestones.","","","","1016.497177","2021-09-30","09/17/2010","11:19:53","1402"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","10/26/2010","Rebaseline - other","Updated Performance Measures to be more accurate.","","","","1010.994944","2021-09-30","10/28/2010","14:19:42","2141"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","10/29/2010","Rebaseline - other","Improve Data Quality.","","","","1010.994944","2021-09-30","10/29/2010","15:32:47","2207"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/22/2011","Correction","The UFMS program has undergone a large re-scoping effort over the past four months. The updated baseline reflects this rescoping in both DME and SS costs. Additionally, this PBCR allows the Program to comply with the updated version of A-11 (Fall 2010), breaking our milestones into more transparent activities for the Final BY2012 E300 submission. Finally, this baseline will delete old milestones marked 100% complete that could not previously be changed in the IT Dashboard. As this functionality is now available, the Program is eager to delete outdated milestones and more accurately report planned and actual schedules and costs. ","","","","","","02/22/2011","09:57:39","3005"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/18/2011","Rebaseline - change in scope","The UFMS program has undergone a large re-scoping effort over the past four months. The updated baseline reflects this rescoping in both DME and SS costs. Additionally, this PBCR allows the Program to comply with the updated version of A-11 (Fall 2010), breaking our milestones into more transparent activities for the Final BY2012 E300 submission. Finally, this baseline will delete old milestones marked 100% complete that could not previously be changed in the IT Dashboard. As this functionality is now available, the Program is eager to delete outdated milestones and more accurately report planned and actual schedules and costs.","","","","841.955233","2022-04-01","02/22/2011","10:14:48","3007"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/22/2011","Rebaseline - change in scope","The UFMS program has undergone a large re-scoping effort over the past four months. The updated baseline reflects this rescoping in both DME and SS costs. Additionally, this PBCR allows the Program to comply with the updated version of A-11 (Fall 2010), breaking our milestones into more transparent activities for the Final BY2012 E300 submission. Finally, this baseline will delete old milestones marked 100% complete that could not previously be changed in the IT Dashboard. As this functionality is now available, the Program is eager to delete outdated milestones and more accurately report planned and actual schedules and costs.","","","","828.619897","2022-04-01","02/22/2011","14:53:04","3037"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/22/2011","Rebaseline - other","test tset","","","","828.619897","2022-04-01","02/22/2011","17:37:02","3050"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/23/2011","Rebaseline - other","test.","","","","828.619897","2022-04-01","02/23/2011","12:29:53","3087"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/23/2011","Correction","The UFMS program has undergone a large re-scoping effort over the past four months. The updated baseline reflects this rescoping in both DME and SS costs. Additionally, this PBCR allows the Program to comply with the updated version of A-11 (Fall 2010), breaking our milestones into more transparent activities for the Final BY2012 E300 submission. Finally, this baseline will delete old milestones marked 100% complete that could not previously be changed in the IT Dashboard. As this functionality is now available, the Program is eager to delete outdated milestones and more accurately report planned and actual schedules and costs.  - To correct mistakes made in previous re-baseline.","","","","828.869574","2022-04-01","02/23/2011","12:54:01","3091"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","03/17/2011","Rebaseline - other","DOJ has updated the performance metircs for this initiative, to  re-baseline  them, based on progress toward building the solution, and/or to more accurately demonstrate progress of the initiative.","","","","812.621782","2022-04-01","03/25/2011","08:25:12","3806"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","03/17/2011","Rebaseline - other","DOJ has updated the performance metircs for this initiative, to  re-baseline  them, based on progress toward building the solution, and/or to more accurately demonstrate progress of the initiative.","","","","812.621782","2022-04-01","03/25/2011","08:55:33","3808"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","05/20/2011","Rebaseline - other","DOJ has updated the performance milestones for this initiative, to  re-baseline  them, based on progress toward building the solution, and/or to more accurately demonstrate progress of the initiative.","","","","834.082314","2022-04-01","05/24/2011","08:30:25","6061"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","05/25/2011","Correction","Minimal to the cost and schedule variance. 5 of the 9 changes are to milestone names.","","","","834.173248","2022-04-01","05/25/2011","11:49:22","6071"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","10/19/2011","Correction","Correction to remove '0' form Final Cost and End Date.","594","Projects, Activities","2002-2021","","","10/25/2011","13:32:14","6796"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","11/29/2011","Correction","Added the Actual Start date for Activity: FY12 UFMS Development and Technical Support (OMB ID: 2598) and Activity: FY12 UFMS PMO Operations (OMB ID: 2599). Also changed the Actual Start Date for Activity: AFP Phase 2 Implementation and Configuration (OMB ID: 2605) from 9/6/2011 to 2/1/2011.","594","Projects, Activities","2002-2021","","","11/29/2011","16:57:31","7129"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/24/2012","Rebaseline - other","Investment Data updated to reflect changes to operational realities.","2929,2930,2931,2932,594","Projects, Activities, Metrics","2002-2021","","","02/27/2012","13:47:04","7522"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/24/2012","Rebaseline - other","Investment Data updated to reflect changes to operational realities.","","Metrics","2002-2021","","","02/28/2012","13:51:10","7582"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/24/2012","Rebaseline - other","Investment Data updated to reflect changes to operational realities.","594","Projects, Activities","2002-2021","","","02/28/2012","14:59:09","7589"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","09/10/2012","Replan - adding or modifying detail within the overall cost and schedule goals","This investment has been updated to reflect the change related to the new budget year. This includes updates to its Projects, Activates, Risks, and Performance information.","","Metrics","2002-2021","","","09/12/2012","13:14:52","9095"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","10/29/2012","Correction - Metrics Only","Minor corrections from the 2014 BY Fall Submission.","","","2002-2021","","","10/29/2012","09:45:15","10965"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","01/30/2013","Correction","Correct Planned End Date form OMB ID 12723 AFP Phase 2 Implementation and Configuration","2932","Projects, Activities","2002-2021","","","01/30/2013","13:31:35","12029"
"011-000001126","426","011","Department of Justice","JMD Unified Financial Management System (UFMS)","02/21/2013","Correction","The JMD Unified Financial Management System (UFMS) rebaseline does not make changes to future funding and includes Projects under current authorization and appropriations.  The changes described below do not impact overall outcomes for the investment.The JMD Unified Financial Management System (UFMS) rebaseline covers several adjustments that are grouped in four main areas: descriptive corrections to better reflect current Statements of Work (SOW); timeframe adjustments to reflect updates to work schedules for existing milestones; cost adjustments to reflect modifications to existing milestones for Planned and Projected total costs; and additions of new milestones to provide additional elaboration to the work. ","594,2929,2930,2931,2932","Projects, Activities","2002-2021","","","02/28/2013","14:52:07","12339"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","12/22/2009","Internal - IRB Mandate","There was a $249k rescission in the budget by the FBI to pay or other priorities.","","","","299.484","2015-09-30","12/22/2009","10:36:11","440"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","06/01/2010","Internal - Other","Based on previous STAO successes adding new data sets and consolidating data systems into DIVS, the Director of the FBI decided in January 2010 to use DIVS as the FBI program to aggregate all FBI data into an enterprise data storage and presentation for analysis capability.  The previous scheduled planning period was used to select 10 high priority, high use data sources and a suite of analytic capabilities for Increment 1.  Increment 1 is now underway and is scheduled to go active during the first quarter of FY 2011.  This new effort required the diversion of $6.21M in hardware and additional personnel who normally support tactical response developments to this more strategic effort.  STAO also realigned other resources from other programs to support this new effort.  Because DIVS is a level-of-effort, government-led, government-contractor team program, additional financial resources are expected to be added to DIVS to maintain the pace of future data aggregation, provide sufficient storage capability, and maintain user expected system performance.  These changes will be shown in subsequent reports.  The program office is also developing plans for future increments, future functionality, requirements and risk managment processes, future infrastructure needs, cost estimates, and future system deactivations.  These plans will provide greater clarity during FY 2011.  This DIVS scope change is one of data and data source magnitude.  The purpose of DIVS is unchanged-store FBI lawfully obtained data and present that data  to authorized users via web-based software analytic applications.  OMB personnel were briefed on these changes on May 4 and 7 with a planned follow-on review in October 2010.","","","","289.1028","2015-09-30","06/01/2010","14:48:14","687"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","06/15/2010","Internal - Other","$4.6M transferred in May to DIVS from National Security Branch to pay for additional hardware for system performance.  This is part of the evolving design solution to accommodate larger amounts of data as more data sets are added to the system.  This monthly assessment also shows the $5M expected from the FY 2010 Supplemental and will be used for additional Storage Area Network (SAN) hardware to accommodate larger storage needs as the project goes forward.  All funding additions reflect scope change due to Presidential Memorandum and Director's decision to aggregate and federate all FBI investigative and intelligence data in DIVS. (NOTE:  DIVS is a level of effort costed program.  Also note that original baseline only captured contractor labor costs.  Requirements changes dictated the need o reflect hardware additions as a result of the change and not normal data growth, which reflected in O&M accounting).","","","","291.1748","2015-09-30","06/16/2010","14:41:16","719"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","09/16/2010","Rebaseline - change in scope","Based on additive program scope following the President's January 2010 memorandum regarding the Christmas 2009 Detroit bomber, DIVS was tasked by the Director, FBI to bring together over 200 FBI data sets into a single system. On August 3rd, DOJ approved an enhancement to the DIVS budget of $16.5M and 10 government positions to handle future needs and accelerate system build-up (more data sets and functionality faster). This new baseline reflects current planning and the new proposed funding, pending OMB and Congressional approvals. The planning period to define future increments is underway. FBI executive management is reviewing FY 2011 target content for DIVS in terms of new data sets and analytic functionality releases that can be accomplished within current funding over the next 12 months. DIVS will be planned, developed, and implemented incrementally with a 6-12 month window of in scope requirements for subsequent increments. Since DIVS is an operational mission support system, actual program content and accomplishments will evolve in response to threats, resource availability, technology, and user defined requirements and priorities. Funding and schedules will be adjusted as system solution discoveries are made and executive decisions on program content and resource needs are made. DIVS is following a dynamic and evolutionary development strategy-dynamic because the emphasis is on rapid capability improvements in response to various and evolving threats to national security. The fundamental purpose and scope remains unchanged; execution details will change (funding and milestones) to meet emerging needs. FBI leadership now desires quarterly releases and progress reviews, thus milestones will be adjusted once the corresponding dates ae determined.","","","","540.656","2016-09-30","09/16/2010","16:55:51","1318"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","10/25/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Internal budget reallocation to show new, short term milestone to add more data sets to DIVS during FQ 1/2011.","","","","548.499","2016-09-30","10/28/2010","12:34:54","2117"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","10/28/2010","Rebaseline - other","Improving Data accuracy","","","","548.499","2016-09-30","10/28/2010","13:23:17","2124"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","11/15/2010","Rebaseline - other","FY 2011 changes reflect internal adjustments to the FY 2011 Special Technologies and Applications mission budget.  Future year changes reflect an FY2012 budget decision.","","","","521.12","2016-09-30","11/16/2010","09:43:54","2307"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","01/25/2011","Rebaseline - change in scope","DIVS is a rapid/Agile development project with a planned series of sprints during each quarter.  Increment 2 was replanned during the first quarter of FY 2011 and broken into three quarterly mlestones.  Each milestone will review previous quarter progress and ensure sprints during the next quarter address top priorities of remaining requirements.  There is no impact to FY 2011 planned cost, which is budget limited.  FY 2012 capability improvement projections will be adjusted to available budget.","","","","439.272","2016-09-30","01/25/2011","08:57:49","2639"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/15/2011","Rebaseline - adding new iteration","Performance Measures realigned to conform with Project Plan in new Budget Year.","","","","439.272","2016-09-30","02/15/2011","14:23:43","2800"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/17/2011","Rebaseline - other","Performance Measure OMB ID 3783 is removed after 2010 based on OMB recommendations to use a more appropriate measurement indicator.","","","","439.272","2016-09-30","02/18/2011","08:51:34","2890"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/18/2011","Rebaseline - adding new iteration","Update Performance Metrics to align with Project Plan.","","","","439.272","2016-09-30","02/18/2011","15:00:52","2925"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/23/2011","Rebaseline - other","Corrected inconsistencies in the Cost, and Schedule Performance Table to align it with the Summary of Funding Table.","","","","516.318","2016-09-30","02/23/2011","13:39:42","3094"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/14/2011","Rebaseline - other","Broke out DME expenditures that were rolled into O&M milestones to align cost and schedule table with the Summary of Funding.  Also corrected dates that were recorded incorrectly.  No impact on the program or actual cost and schedule performance.","","","","553.396","2016-09-30","03/25/2011","08:23:25","3801"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/14/2011","Rebaseline - other","Broke out DME expenditures that were rolled into O&M milestones to align cost and schedule table with the Summary of Funding.  Also corrected dates that were recorded incorrectly.  No impact on the program or actual cost and schedule performance.","","","","553.396","2016-09-30","03/25/2011","08:30:40","3807"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","05/16/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","This is a net positive to the DIVS project and DIVS program.  The delay of another priority project funding requirement into FY 2012 enabled the acceleration of DIVS storage and processing capacity goals established for FY 2012 into the fourth quarter FY 2011 as well as redirecting unspent DIVS funds from the 2nd quarter to support an FBI initiative to consolidate data centers.  All funds are sourced from the same mssion account.","","","","563.154","2016-09-30","05/24/2011","08:29:58","6058"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","10/19/2011","Correction","Correction to remove '0' form Final Cost and End Date.","559","Projects, Activities","","","","10/25/2011","13:32:04","6789"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","01/25/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Changed the PY Target from 3.4 to 5 for Performance Metrix 920, due to reaching previous target goal.","","Metrics","","","","01/26/2012","10:03:06","7312"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/08/2012","Correction","Update Activity 2.6.1 Hardware Installation to include the Project name, Activity Description and Structure ID.","560","Projects, Activities","","","","03/23/2012","08:58:43","7755"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","09/10/2012","Replan - adding or modifying detail within the overall cost and schedule goals","This investment has been updated to reflect the change related to the new budget year. This includes updates to its Projects, Activates, Risks, and Performance information.","","","","","","09/14/2012","13:05:15","10133"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","09/10/2012","Replan - adding or modifying detail within the overall cost and schedule goals","This investment has been updated to reflect the change related to the new budget year. This includes updates to its Projects, Activates, Risks, and Performance information.","5185,560","Projects, Activities, Metrics","2008-2018","","","09/14/2012","13:05:19","10135"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","10/22/2012","Replan - adding or modifying detail within the overall cost and schedule goals","Corrections to DIVS Program1.  Added planned BY2014 activities and added Project OMB562 for BY2014 activities in table B.1, Project Table.2.  Corrected the lifecycle cost values in table B.1, Project Table.  Decimals points in the wrong location. 3.  Corrected metric OMB920 from less than target to exceed target on table C.1.B, Operational Actual Results.","6027,560,5185","Projects, Activities","2008-2018","","","10/29/2012","11:11:49","10969"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","11/27/2012","Correction - Metrics Only","Performance metric changes to improve clarity and better alignment with OMB performance measure requirements.  The existing performance metric for number of systems retired does not adequately convey a technology measure and will be replace with a metric for system availability.1) Minor editorial changes to existing performance metrics for clarity.2) Add new performance metric for system availability3) Delete performance metric for number of systems retired","","Metrics","2008-2018","","","11/29/2012","08:19:40","11357"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","11/27/2012","Correction - Metrics Only","Performance metric changes to improve clarity and better alignment with OMB performance measure requirements.  The existing performance metric for number of systems retired does not adequately convey a technology measure and will be replace with a metric for system availability.1) Minor editorial changes to existing performance metrics for clarity.2) Add new performance metric for system availability3) Delete performance metric for number of systems retired","","Metrics","2008-2018","","","11/29/2012","08:45:32","11363"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","11/27/2012","Correction - Metrics Only","Performance metric changes to improve clarity and better alignment with OMB performance measure requirements.  The existing performance metric for number of systems retired does not adequately convey a technology measure and will be replace with a metric for system availability.1) Minor editorial changes to existing performance metrics for clarity.2) Add new performance metric for system availability3) Delete performance metric for number of systems retired","","Metrics","2008-2018","","","11/29/2012","08:49:52","11369"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","11/27/2012","Replan - adding or modifying detail within the overall cost and schedule goals","Performance metric changes to improve clarity and better alignment with OMB performance measure requirements.  The existing performance metric for number of systems retired does not adequately convey a technology measure and will be replace with a metric for system availability.1) Minor editorial changes to existing performance metrics for clarity.2) Add new performance metric for system availability3) Delete performance metric for number of systems retired","","Metrics","2008-2018","","","11/29/2012","17:47:32","11459"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/21/2013","Correction","Table B.1 Project Life Cycle Cost was originally established with the planned Project Life Cycle Cost from Table B.2.  Since actual Project Life Cycle Cost are available, updating FY2011 and FY2012 projects with actual costs from Table B.2.  Also updating planned Project Life Cycle Cost for FY 2013 and FY 2014 from Table B.2.","560,5185,6027","Projects","2008-2018","","","03/25/2013","13:10:40","12535"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/25/2013","Correction","Corrections to DIVS Program 1. Added planned BY2014 activities and added Project OMB562 for BY2014 activities in table B.1, Project Table. 2. Corrected the lifecycle cost values in table B.1, Project Table. Decimals points in the wrong location.","560","Projects","2008-2018","","","03/25/2013","17:22:53","12563"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","04/25/2013","Rebaseline - significant changes in funding level or availability of fund","This rebaseline is to account for the FY2013 Sequestration and its impact on the DIVS program.  This rebaseline also accounts for the additional effort caused by a scope change to delay shut down of IDW from 1 October 2012 to 1 December 2012.","5185,6027","Projects, Activities","2008-2018","","","04/25/2013","15:13:38","13047"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","04/25/2013","Correction","This rebaseline is to account for the FY2013 Sequestration and its impact on the DIVS program.  This rebaseline also accounts for the additional effort caused by a scope change to delay shut down of IDW from 1 October 2012 to 1 December 2012.","5185","Projects, Activities","2008-2018","","","04/25/2013","15:23:58","13049"
"011-000002503","430","011","Department of Justice","FBI Digital Collection","11/19/2009","Internal - Other","There were administrative corrections to the planned costs for two milestones and a change to the planned completion date for one milestone.","","","","485.979","2014-09-30","11/19/2009","15:42:08","349"
"011-000002503","430","011","Department of Justice","FBI Digital Collection","12/18/2009","Internal - Other","There were administrative corrections to the planned costs and planned completion dates for several milestones.","","","","483.575","2014-09-30","12/18/2009","10:09:12","350"
"011-000002503","430","011","Department of Justice","FBI Digital Collection","12/18/2009","Internal - Other","This rebaseline was a data entry error.","","","","456.022","2014-09-30","12/18/2009","10:10:02","435"
"011-000002503","430","011","Department of Justice","FBI Digital Collection","01/20/2010","Internal - Other","Completed an internal re-planning of the program providing more detailed milestones for FY 2010.","","","","480.172","2014-09-30","01/20/2010","11:16:45","436"
"011-000002503","430","011","Department of Justice","FBI Digital Collection","02/16/2010","Internal - Inaccurate Baseline","The Digital Collection program completed an internal re-planning of several program milestones.","","","","480.172","2014-09-30","02/22/2010","11:06:42","437"
"011-000002503","430","011","Department of Justice","FBI Digital Collection","09/15/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Original estimates of DCS-6000 O&M costs for FY 2011-214 are significantly higher than current estimates.  Activity is being updated to match current estimates.  Several costs were pulled out of one activity and consolidated into other activities, specifically license costs.  Original estimates of the number of DCS 5000 (Next Gen) Portable Systems needed for the investment are significantly higher than current estimates.  Planned costs are being updated to match current estimates.  All IES support activities were consolidated to eliminate activity overlap.  ","","","","524.779","2015-09-30","09/16/2010","15:52:19","1286"
"011-000002503","430","011","Department of Justice","FBI Digital Collection","09/15/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Original estimates of DCS-6000 O&M costs for FY 2011-214 are significantly higher than current estimates. Activity is being updated to match current estimates. Several costs were pulled out of one activity and consolidated into other activities, specifically license costs. Original estimates of the number of DCS 5000 (Next Gen) Portable Systems needed for the investment are significantly higher than current estimates. Planned costs are being updated to match current estimates. All IES support activities were consolidated to eliminate activity overlap.","","","","524.251","2015-09-30","09/16/2010","16:56:52","1319"
