Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost ($M),Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Updated Date,Updated Time
"006-000310600","776","006","Department of Commerce","NOAA/NWS/ National Weather Service Telecommunication Gateway (NWSTG) System (Legacy, Replacement, and Critical Infrastructure Protection)","1","1309","","NWSTG Technology Re-alignment Project","The NWSTG Technology Re-alignment project will replace aging and unsupportable hardware and software of the primary system and increase the capability of the backup system to be fully operational within 12 hours of primary system failure.","2010-12-17","2013-09-30","7.299000","0","0.00","Green","-1.048000","-14.36","Yellow","2013-06-27","12:08:33"
"006-000310600","776","006","Department of Commerce","NOAA/NWS/ National Weather Service Telecommunication Gateway (NWSTG) System (Legacy, Replacement, and Critical Infrastructure Protection)","2","1310","","NWSTG Technology Re-architecture Project","The NWSTG Technology Re-architecture project will implement a totally new system architecture to support significant increases in data volumes from programs ranging from satellite to climate and implement redundant backup capabilities (hot/hot disaster recovery model).","2013-04-01","2013-09-30","7.631000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","10:14:46"
"006-000731200","782","006","Department of Commerce","NTIA - Radio Spectrum Management - Federal Spectrum Management System (FSMS)","7312M11001","1967","","FSMS Phase 01 - Prepare &amp; Submit Frequency Proposals","Implement SXXIO Prepare and Submit Frequency Proposal.","2009-06-01","2012-06-30","6.286320","-89","-8.61","Green","0.001290","0.02","Green","2013-01-30","10:31:06"
"006-000731200","782","006","Department of Commerce","NTIA - Radio Spectrum Management - Federal Spectrum Management System (FSMS)","7312M11002","1968","","FSMS Phase 02 - Authorize Frequency Proposals","Implement SXXIO Receive and Process Frequency Proposal, Data Standard, Equipment Characteristics Repository.","2011-09-02","2013-06-30","12.672268","-63","-9.47","Green","0.772383","6.10","Green","2013-07-29","13:55:33"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","3511M1004","1304","","NOAAnet","Planning and beginning execution of a collection of integrated networks, with as little redundancy as possible. includes: development of governance structure to enable leverage of each other's networks, matching of service-level agreements to requirements, ensuring networks are assigned appropriate and acceptable risk levels, developing a central repository of circuits and associated agreements, contracts consolidation and routing through Trusted Internet Connection Access Providers (TICAPS).","2011-10-01","2012-09-30","4.250000","-334","-91.51","Red","0.000000","0.00","Green","2011-10-26","11:04:32"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","3511M11001","1305","","UMS","Unified Messaging Service (UMS) (Messaging/calendar/collaboration/information sharing integration) - contract for these services on the Cloud, awarded 6/11. The 500 users of the Google Apps Pilot, begun in 4/09, will be migrated by end of 8/11; all of NOAA, by the end of 12/11. Interim Authority to Operate will be given by end of 8/11; Authority to Operate by end of 12/11. Planning documents were completed in 7/11. Redundant applications in current system will be eliminated.","2011-07-01","2012-06-30","4.810500","0","0.00","Green","0.000000","0.00","Green","2012-07-31","14:56:43"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","3511M11002","1306","","IT Security","Includes NOAA Cyber Security Center service augmentation, implementation of HSPD-12 and completion of C&amp;As for 3 security systems in FY11.","2011-04-01","2012-09-30","13.783000","-365","-66.61","Red","0.252090","1.83","Green","2012-12-27","12:53:36"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","3511M11003","1307","","NOAALink","Includes improving the efficiency and cost-effectiveness of this procurement process by such means as IT cost-reduction initiatives, and incorporation of large business vendors.","2011-04-01","2012-09-30","3.734000","0","0.00","Green","0.000000","0.00","Green","2012-12-27","12:53:36"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","3511M11004","7501","","IT Service Desk","First three years of consolidation of all NOAA Tier I IT Help Desks and beginning of Tier2-3 consolidation, using a a Cloud solution.","2012-10-01","2015-09-30","27.106980","0","0.00","Green","0.000000","0.00","Green","2013-08-26","15:06:00"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","3511M11005","7502","","IT Security FY13-15","Complete 100% of systems' onboarding for continuous Monitoring for intrusion detection (to be completed end of BY15), pilot, acqusition, development and implementation of Identity Management System, with O&M beginning in Q1 FY15, Enterprise-wide Security Assessment and Authorization, starting with 15-system pilot, to be followed by a NOAA-wide contract vehicle at end of Q2 VCY14, Trusted Internet Connection Access Providers (TICAPS) upgrades to be completed by end of Q2 BY15, eliminating single points of failure in Silver Spring MD area, to be completed by end of Q2 By15.","2012-10-01","2015-09-30","59.823935","0","0.00","Green","0.027165","0.07","Green","2013-08-26","15:14:33"
"006-000351100","925","006","Department of Commerce","NOAA/NOAA/ IT Infrastructure","3511M11006","7503","","Data Center Consolidation","Planning and imlementation of consolidation of NOAA data centers  wherever practicable, using Cloud, virtual and physical solutions, based on centers' characteristics.","2012-10-01","2015-09-30","5.796000","0","0.00","Green","0.000000","0.00","Green","2013-08-26","15:06:01"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","0406D11001","1987","","HRMS Program Office","Program/project management support and oversight for all planned activities.","2011-02-01","2014-09-30","0.707722","0","0.00","Green","-0.034587","-6.82","Green","2013-05-28","16:09:21"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","0406D11002","1988","","Workforce Analytics (WA) Deployment","Deploy Treasury Workforce Analytics to DOC FOCUS users.","2011-09-30","2014-05-01","0.291430","-792","-521.05","Red","0.000000","0.00","Green","2013-05-28","16:09:21"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","0406D12003","1989","","Census Migration","Completion of all activities to migrate Census to Treasury HR Connect.","2011-02-21","2013-05-31","5.165590","-154","-20.08","Yellow","0.086095","1.67","Green","2013-05-28","16:09:21"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","0406D12004","1990","","DOCHROC, USPTO, ITA/FS/CS Migration","Completion of all activities to migrate DOCHROC, USPTO, ITA/FS/CS to Treasury HR Connect (August 1st date reflects post deployment support period).","2011-06-28","2013-08-01","4.503110","-85","-11.99","Yellow","0.262466","5.83","Green","2013-07-29","12:23:13"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","0406D13005","1991","","Census Decennial Migration","Completion of all activities to reach go/no decision to migrate Census Decennial to Treasury HR Connect and subsequent migration (if applicable).","2012-04-02","2013-09-30","3.835079","31","5.68","Green","0.114467","2.98","Green","2013-06-28","13:04:19"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","0406D13006","1992","","NIST, OIG Migration","Completion of all activities to migrate NIST and OIG to Treasury HR Connect.","2012-10-31","2013-11-29","1.773270","0","0.00","Green","0.000000","0.00","Green","2013-06-28","13:04:19"
"006-999994060","926","006","Department of Commerce","OS OHRM Human Resource Management System (HRMS)","0406O12008","1993","","Operations and Maintenance","DOC operations center support, license maintenance and system per seat costs.","2012-04-02","2021-09-30","76.090740","0","0.00","Green","0.571163","0.75","Green","2013-05-28","16:09:21"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X11012","847","","Configure COTS FPNG","Configure Momentum to be the Revenue Subsidiary Ledger for FPNG - Includes pricing table, accounts receivable, accounts payable, deposit account agreements, and patent/trademark application &quot;notebooks&quot;.","2010-12-15","2012-08-28","1.296750","-1","-0.16","Green","0.097710","7.53","Green","2012-12-27","12:17:49"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X11015","848","","Create Reports in EDW FPNG","Implement ETL Tool and Pull Momentum data into the EDW. Reports from the RAM and from the Momentum data sources can be compared to ensure conversion and ongoing synchronization.","2011-06-30","2012-12-31","2.044130","-218","-54.09","Red","0.087690","4.29","Green","2013-07-29","15:00:38"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X11055","849","","FPNG UI&amp;I Prototype 1.0","Set up the basic FPNG physical architecture and become familiar with the selected FPNG technology stack. Also, work through the Agile development methodology and determine best policies / procedures for moving forward.","2011-05-27","2011-11-18","0.733810","0","0.00","Green","-0.049990","-6.81","Green","2012-09-14","16:35:02"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X11079","850","","Migrate Legacy Data to COTS FPNG","Convert historical RAM data into the Momentum COTS database.","2010-12-15","2012-12-31","2.404620","-213","-34.24","Red","-0.353750","-14.71","Yellow","2013-07-29","15:00:38"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X11190","851","","FY11 Manage Program","Manage overarching business and technical dependencies. Prepare and continually update program management plan documents. Provide stakeholder communications.","2011-01-03","2011-09-30","2.291000","0","0.00","Green","1.663609","72.61","Red","2012-06-29","14:47:36"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X12020","852","","Decouple FPNG from Legacy Systems","Remove database links between RAM and other USPTO systems and replace them with web services. More loosely coupled integrations will ease the transition from RAM to FPNG.","2011-10-01","2013-03-27","2.059960","-156","-28.73","Yellow","0.735890","35.72","Red","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X12191","853","","FY12 Manage Program","Manage overarching business and technical dependencies. Determine overall program transition. Prepare and continually update program management plan documents. Provide stakeholder communications.","2011-10-03","2012-09-28","1.035000","0","0.00","Green","0.142660","13.78","Yellow","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X12192","854","","FPNG UI&amp;I Reference Data Services","Turn off reference data entry functionality in RAM and replace with FPNG user interface that will update Momentun reference tables during dual processing. Momentun will then update RAM reference tables.","2011-10-19","2012-11-30","3.452170","-42","-10.69","Yellow","0.367600","10.65","Yellow","2013-05-29","13:30:32"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X12193","855","","FPNG UI&amp;I Stakeholder and Stored Payment Account Management Services","Turn off Financial Profile and Finance On-Line Shopping Page functionality in RAM and replace with an FPNG user interface and custom database for stakeholder account, deposit account, EFT account, and credit card account maintenance.","2012-05-01","2014-10-31","7.948610","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X12194","856","","FPNG UI&amp;I Stakeholder and Stored Payment Account Management Information","Pull stakeholder and stored payment account data into the EDW in order to replace the current RAM reports as well as some report requirements from the BPR effort.","2012-05-01","2014-10-31","4.039510","0","0.00","Green","0.063170","1.56","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X13448","6231","","FPNG UII Inquiry Services","Provide webservices that USPTO systems can consume to obtain fee schedule and payment history from FPNG instead of from RAM.","2014-01-01","2014-10-31","2.451000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X13453","6233","","FPNG UII Transaction Services-OTC-Net","Implement Treasury OTC.Net with RAM.","2014-01-01","2014-10-31","2.637000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X13474","6235","","FY13 Manage Program","Manage overarching business and technical dependencies. Coordinate overall program transition. Prepare and continually update program management plan documents Provide stakeholder communications.","2012-10-01","2013-09-30","1.944560","0","0.00","Green","0.000000","0.00","Green","2013-07-29","15:00:38"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X14447","6237","","FPNG UII Content Management Tool","Install and configure a content management tool, including integration with Momentum.","2015-01-05","2015-06-30","0.932000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X14449","6239","","FPNG UII International File Transfers","Provide international file transfers from FPNG instead of from RAM.","2015-04-01","2015-12-31","1.868000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X14450","6241","","FPNG UII Maintenance Fee User Interface","Replace the remaining portions of Finance On-Line Shopping Page with an FPNG user interface.","2014-08-04","2015-04-30","4.131000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X14451","6243","","FPNG UII Pay with Profile","Provide extermal customers the ability to pay for an order using a stored payment account that is associated with their user ID.","2014-10-03","2015-04-30","2.343000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X14452","6245","","FPNG UII Refunds and Content Management Services","Provide refund request user interface, refund approval and workflow, and webservices that USPTO systems can consume to obtain content history from FPNG instead of OFIS.","2015-07-01","2016-06-30","3.484000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X14495","6247","","FY14 Manage Program","Manage overarching business and technical dependencies. Coordinate overall program transition. Prepare and continually update program management plan documents Provide stakeholder communications.","2013-10-01","2014-09-30","0.950000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","8031X14685","6249","","Utilize Business Intelligence","Execute Information Dissemination Strategy.","2014-10-03","2015-04-30","0.932000","0","0.00","Green","0.000000","0.00","Green","2013-08-19","16:05:07"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10003","879","","AIX Server Replacement","Replace selected end-of-life IBM AIX servers with Linux servers.","2010-07-21","2011-12-30","4.506890","-126","-30.88","Red","2.497358","55.41","Red","2013-01-31","07:45:05"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10004","880","","AIS Application Readiness Project - Universal Laptop","As part of UL Program, AED will assure that all software applications supporting the various missions for each of the 3 organizations will be modified to function in all UL baseline computers w/out compromising existing functionality.","2010-06-29","2012-04-06","3.861520","-147","-50.00","Red","-0.963135","-24.94","Yellow","2013-02-28","12:58:32"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10007","881","","Boyers Internet Point of Presence (PoP)","To procure and install the equipment and telecom infrastructure to provide an Internet Point of Presence (PoP) at Boyers.","2010-02-18","2012-01-09","0.842150","-294","-162.43","Red","0.244740","29.06","Yellow","2013-05-29","13:32:55"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10018","882","","Data Center Facilities Management","Upgrade data center inventory software; conduct data collection in data center.","2010-02-02","2011-10-18","1.090650","-172","-74.14","Red","0.796287","73.01","Red","2013-02-28","12:58:32"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10057","883","","FY11 Server Replacement","The scope of the project is to replace outdated rack mounted servers.","2010-09-01","2012-01-31","4.982660","8","1.55","Green","1.364729","27.39","Yellow","2013-01-31","07:45:05"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10109","884","","PTONet III Perimeter Network","Replace Firewalls, Load Balancers and switches in the Perimeter Network.","2010-04-10","2011-10-31","3.415810","0","0.00","Green","-2.116310","-382.50","Red","2013-01-31","07:45:05"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10117","885","","SCMT 1 0","Create logical mapping reports for AISs in Production Environment.","2010-08-03","2011-10-05","0.489584","-7","-700.00","Red","-0.179097","-1035.84","Red","2013-02-28","12:58:32"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10119","886","","Secure OWA","Secure OWA will provide USPTO a stronger webmail access and enforce better management of authentication methods to USPTO infrastructure. By giving all employees FOBs and requiring two-factor authentication, USPTO enterprise will be more secure.","2010-06-24","2012-03-27","0.140000","-22","-5.57","Green","0.115410","82.44","Red","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10141","887","","Unified Business Collaboration System","The Unified Business Collaboration system will unify and consolidate the existing communication and collaboration tools to provide a robust, reliable, secure, and efficient method for USPTO employees to communicate using audio, video, text, and data.","2010-03-03","2012-08-27","6.964300","-367","-147.39","Red","-0.395345","-5.68","Green","2013-05-29","13:32:55"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10146","888","","Voice System Replacement","Replace the existiong Nortel Digital PBX with a modernized IP Telephony Voice System.","2010-08-19","2012-10-31","12.727510","5","0.83","Green","1.218284","9.57","Green","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D10160","889","","PTOFAX 2 0","Upgrade the enterprise FAX system to bring it up to supported status, enhance existing services, provide Windows 7 compatible client and address expanding customer needs.","2010-06-01","2011-08-18","0.644060","-10","-7.75","Green","0.576830","89.56","Red","2012-11-29","14:05:13"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11017","890","","D2D2T","The scope will include a strategy to provide a backup copy of production data to a local disk based backup subsystem which would be de-duplicated and transferred to the Boyers data center,  would then be offloaded to a tape backup system if required.","2010-12-09","2011-11-29","2.232650","-47","-19.50","Yellow","0.181338","8.12","Green","2013-02-28","12:58:32"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11019","891","","Data Center Facilities Management Work Flow","Implement workflow module for Aperture VISTA database.","2010-12-09","2012-02-16","0.270560","-135","-45.15","Red","0.052296","19.62","Yellow","2013-06-27","12:25:06"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11024","892","","DR Documents Lifecycle Strategy","The scope of this project is to complete the updates of all DR documents, develop and implement the strategy in order to keep the documents current, to conduct table top exercises, and to identify requirements for a tool to manage the DR Plan.","2010-10-14","2012-02-29","0.367720","-70","-16.17","Yellow","0.012534","3.82","Green","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11056","893","","FY11 Auto Deployment","Conduct pilot for auto deployment using Build Forge for 3 AIS.","2010-12-09","2011-12-30","0.522940","0","0.00","Green","0.496136","94.87","Red","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11059","894","","FY12 HP UX Server Replacement","Replace selected end of life HP UX servers with new robust Linux servers.","2011-07-26","2012-11-29","3.240000","-29","-5.89","Green","1.240707","38.29","Red","2013-06-27","12:25:06"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11062","895","","HP OpenView Upgrade and Servers","The scope is to upgrade HP Openview and the migration to new servers.","2011-01-31","2012-04-24","0.100800","-197","-43.97","Red","-0.009507","-9.43","Green","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11069","896","","IPv6 Implementation Plan","Draft IPV6 Transition Plan and Implementation Plan and perform 15 informal AIS tests.","2011-03-02","2011-12-29","0.332770","0","0.00","Green","0.048238","14.50","Yellow","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11070","897","","IT Facility West Network Cabling","Remove existing floor service switches from the server room and split cable bundles to 3 smaller groups.","2011-01-12","2011-10-26","0.248420","0","0.00","Green","0.038240","15.92","Yellow","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11072","898","","ITSM Implementation Phase 2","Implements ITIL using BMC's ITSM Suite for the Incident, Problem and Knowledge Management service areas. It also includes implementing single sign-on, Kinetic Survey for feedback, creating custom reports, design of the Configuration Mgmt Database and Change Mgmt.","2011-03-04","2011-11-17","2.360710","-15","-6.17","Green","0.000114","0.00","Green","2013-01-31","07:45:05"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11074","899","","Jboss Production Beta","Standup Jboss environments.","2011-02-09","2012-01-27","0.229430","-23","-7.82","Green","-0.029582","-12.89","Yellow","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11089","900","","OHRNet Technology Refresh","The purpose of this project is to replace and update hardware and software used by the Office of Human Resources (OHR) and the Office of Finance (OF) users.","2011-07-27","2012-11-20","0.476300","-27","-6.21","Green","0.042709","8.97","Green","2013-04-26","15:21:09"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11099","901","","Password Management Pilot","Evaluate various COTS to determine which software USPTO will use.","2011-01-31","2011-11-22","0.095277","0","0.00","Green","0.031520","47.99","Red","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11108","902","","PTONet III Network Access Control FOC","Increase the security posture for the Network and Security Infrastructure (NSI) General Support System (GSS) by deploying a NAC capability in the Campus LAN.","2011-03-01","2012-09-28","1.490352","-63","-10.92","Yellow","0.268357","19.58","Yellow","2013-05-29","13:32:55"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11111","903","","Public and Enterprise 80211n Wireless LAN Project","The Public and Enterprise Wireless 802.11n LAN project will replace the End of Life Public 802.11 Wireless equipment and expand coverage to the entire USPTO Alexandria and Shirlington campuses.","2011-06-06","2012-08-16","2.569280","-32","-7.55","Green","0.051132","1.99","Green","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11126","904","","Tech Refresh 2 0","Upgrade enterprise software.","2011-02-04","2012-04-12","0.450740","-9","-2.20","Green","0.043620","9.68","Green","2013-06-27","12:25:06"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11134","905","","TRDM 2 0 Desktop Rights","Further stabilize desktops thru increased Desktop Rights Management as mandated by OMB by limiting local administrative rights (LAR). When using privilege management software, the justification for LAR is elevated for tasks only, not applied to full OS.","2011-04-19","2012-08-24","0.601440","-7","-1.42","Green","0.321110","53.39","Red","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11140","906","","UL Deployment Government Employees Project","UL Deployment will replace each USPTO federal employee's government furnished physical desktop, virtual desktop, and/or laptop with one Universal Laptop (UL). The project will replace aging/unreliable hardware with new equip and reduce licensing fees.","2010-12-02","2012-05-31","38.996090","-92","-21.40","Yellow","4.912911","12.60","Yellow","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11143","907","","Websphere Portal Migration","Migrate EFS Web, PAIR, PALM from Websphere to JBOSS.","2011-07-22","2012-12-20","0.800470","-393","-229.82","Red","-0.193617","-24.19","Yellow","2013-07-31","16:13:53"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11199","908","","IT West Reconfiguration","Design and stand-up key environments in IT-West, contributing significantly to the agency's goal of testing and deploying quality systems.  A new environment will be introduced called the Prototype (sandbox) environment.","2011-08-19","2012-09-28","2.800000","-26","-6.42","Green","0.916185","33.47","Red","2013-06-27","12:25:06"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11200","909","","IPV6 FY12 Project","OMB mandated IPv6 enablement in the DMZ zone.","2010-02-28","2012-09-05","4.318930","-359","-85.89","Red","0.766516","17.75","Yellow","2013-06-27","12:25:06"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11201","910","","DR Program Support FY11","Conduct DR Program Support (FY11).","2010-12-16","2011-12-16","0.286000","-70","-23.81","Yellow","0.001415","0.49","Green","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11203","911","","Data Center Program Support","Facilitate in the execution of projects regarding project planning, SDLC, budget and technical documentation on a program and project level.","2011-09-12","2012-12-14","0.618790","-10","-2.83","Green","-0.342279","-55.31","Red","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11204","912","","SAN Core Monitor Replacements","Replace SAN cable plant, upgrade SAN infrastructure, and upgrade SAN monitoring to support 8GB fiber channel capability in storage and server hardware.","2011-12-21","2012-05-25","0.845000","-90","-57.69","Red","0.059824","7.08","Green","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11211","915","","FY12 D2D2T","The scope of this project is to procure and implement Boyers Disk to Disk storage. Also to procure installation of tape silo at Boyers to complete Data Life Cycle design between Boyers and Alexandria.","2011-09-13","2012-08-22","1.459520","-85","-36.48","Red","0.099002","6.82","Green","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D11212","916","","FY12 AIX Server Replacement","Replace selected end-of-life IBM AIX servers with new, robust Linux servers.","2011-09-12","2012-10-30","3.271440","-366","-157.08","Red","0.000000","0.00","Green","2013-07-31","16:13:53"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D12133","920","","TRDM 2 0 Altiris Update","Upgrade Altiris Client Management System to current version and retirement of legacy client management system.","2012-01-31","2012-09-28","0.250250","-73","-30.29","Red","0.104101","46.54","Red","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D12168","921","","WIN 7 Desktop Replacement Contractors and Shared Workspaces","The project objective is to replace aging Windows SP-based USPTO government furnished desktops used by contractors and in shared workspaces with a Windows 7 and Office 2010-based desktop.","2011-10-03","2012-09-28","3.884210","0","0.00","Green","0.564793","14.54","Yellow","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D12202","922","","DR Program Support FY12","Conduct DR Program Support (FY12).","2011-12-16","2012-12-18","0.185000","-1","-0.27","Green","-0.269463","-145.66","Red","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D12210","926","","FY12 Server Replacement","Retire 200 selected end-of-life physical servers with new, robust servers supporting the Linux, Vmware and Windows Server operating systems.","2011-09-01","2012-11-30","1.754200","-242","-268.89","Red","0.317629","18.11","Yellow","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011D12213","927","","FY12 Tech Refresh Cloud Forms IaaS Implementation","This effort is the third year of performing upgrades to COTS software, infrastructure components and researching emerging technologies.","2012-01-25","2013-09-30","1.107590","-367","-152.92","Red","-0.426440","-243.68","Red","2013-02-28","12:58:33"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011X12244","2906","","ITSM Remedy Analytics and Dashboards","Setup of a Microsoft virtual platform to support the installation of the BMC ITSM Remedy 7.6.04 Analytics and Dashboards module.","2011-11-08","2012-04-13","0.724720","-69","-51.11","Red","0.094221","13.00","Yellow","2013-01-31","07:45:05"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011X12260","2907","","International Data Service Security Compliance","The International Data Service Security Compliance (IDSSC) project will implement a security enclave in the TRINET Security Compliance (TSC) Zone to securely process and monitor patent data exchange.","2011-11-16","2012-11-15","0.714140","-309","-551.79","Red","0.131818","18.46","Yellow","2013-04-26","15:21:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","8011X12266","2908","","Cellular Repeater System (CRS)","O&amp;M - The CRS will be either upgraded or replaced with the latest technology to support 3G/4G frequencies and capabilities for user cellular/smart phones on campus and outlying USPTO buildings including Randolph Square.","2011-12-14","2013-09-26","0.751000","-351","-128.10","Red","0.000000","0.00","Green","2013-07-31","16:13:53"
