Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"009-000001386","257","009","Department of Health and Human Services","CDC OID NCIRD Vaccine Tracking System (VTrckS)","no","","no","","yes","HHS Strategic Plan (2010 thru 2015), Goal 1: Strengthen Health Care.","P45-009-037","no","","no","","09/14/2012","14:50:41"
"009-000006260","258","009","Department of Health and Human Services","CDC Information Technology Infrastructure","no","","no","","yes","Infrastructure is necessary for CDC to perform it's public health mission.","P44-009-039","no","","no","","09/16/2011","14:58:42"
"009-000001384","260","009","Department of Health and Human Services","CDC National Select Agent Registry (NSAR)","yes","Public Law 107-188 H.R.3448, Public Health Security and Bioterrorism Preparedness and Response Act of 2002 and The Agricultural Bioterrorism Protection Act of 2002 requires a national database of entities registered for possession of SA & toxins, laboratory compliance with national safety guidelines, security measures, and criminal/civil penalties for inappropriate use of SA/toxins. Development of the National Select Agent Registry (NSAR) began in 2003 as a joint CDC & USDA system designed to control, protect, store & oversee the use, possession & transfer of SA & toxins. Authority For Maintenance of the System is mandated under Public Health Security and Bioterrorism Preparedness and Response Act of 2002 and The Agricultural Bioterrorism Protection Act of 2002 (Pub. L. 107-188).","no","","no","","","no","","no","","09/12/2012","16:05:06"
"009-000001372","261","009","Department of Health and Human Services","CDC PHIN: BioSense","yes","The Public Health Security and Bioterrorism Preparedness and Response Act of 2002.","yes","GAO Report: GAO-09-100 CDC's Redesigned BioSense Program, November 2008.","no","","","no","","yes","2006 Pandemic All Hazards Preparedness Act (PAHPA); 2007 Homeland Security Presidential Directive (HSPD-21), Health IT Guiding Principles.","09/16/2011","14:45:44"
"009-000001378","262","009","Department of Health and Human Services","CDC PHIN: National Electronic Disease Surveillance System","no","","no","","yes","For Policy Principle that Federal HIT systems must be interoperable, NEDSS plans to address requirements by users to achieve interoperability between clinical care and other public health information systems, work with NEDSS stakeholders (which include CDC programs) to articulate our experience with collaborating with standards development organizations.","P42-009-037","no","","yes","The Centers for Disease Control and Prevention is responsible for the reporting and dissemination of nationally notifiable diseases' information and for monitoring and reporting the impact of NNDs.  Public Health Service Act (42 USC 241) authorizing these reports.","09/16/2011","14:45:47"
"009-000004261","264","009","Department of Health and Human Services","CMS Beneficiary Enrollment and Plan Payment for Part C & D","yes","On December 8, 2003, the President signed into law Public Law 108-173, the Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003.","yes","CMS CFO Audit Information Technology findings from FY 2010 related to the Medicare Advantage and Prescription Drug (MARx) system or Premium Withhold System (PWS).","no","","","no","","no","","09/16/2011","14:56:03"
"009-000001474","265","009","Department of Health and Human Services","CMS Beneficiary e-Services","no","","no","","no","","","no","","no","","09/12/2012","14:23:52"
"009-000004263","268","009","Department of Health and Human Services","CMS Medicare Beneficiary Enrollment Data Management (formerly CMS Data Management Operations - Beneficiary)","no","","no","","no","","","no","","yes","Continued maintenance of critical resource.","09/16/2011","14:57:37"
"009-000000704","269","009","Department of Health and Human Services","CMS Information Management and Analytics (prev. CMS Data Management Operations - Claims)","yes","Requested from Congressional need to access and analyze impact of Medicare data.","no","","no","","","no","","yes","Requested from Congressional need to access and analyze impact of Medicare data.","09/12/2012","14:20:52"
"009-000004260","270","009","Department of Health and Human Services","CMS Drug Claims (DDPS)","yes","Affordable Care Act  Implemented Coverage Gap Discount.","no","","no","","","no","","yes","National Medicare Drug Utilization Database(NMUDUD) Payment Reconciliation  Systems (PRS) and Integrated Data Repository.","09/12/2012","14:25:08"
"009-000004254","272","009","Department of Health and Human Services","CMS Durable Medical Equipment (DME) Claims Processing","yes","All legislation affecting health care will be implemented through a change request designed to alter the current claims processing procedures.","no","","no","","","no","","no","","09/16/2011","14:55:47"
"009-000006796","273","009","Department of Health and Human Services","CMS Encounter Data","no","","no","","no","","","no","","yes","The final 2009 inpatient prospective payment system (IPPS) rule, published August 19, 2008 - 73 FR 48434 ff - revised 42 CFR 422.310(d) to reassert that CMS has the authority to require MA Organizations and other entities to submit encounter data for each item and service provided to Medicare beneficiaries enrolled in MAO and other entities.","09/16/2011","15:00:27"
"009-000001465","274","009","Department of Health and Human Services","CMS Health Care Quality Improvement System (QIES)","yes","Supports statutory quality assurance responsibilities under sections 1819, 1864, 1865, 1867, 1891, 1902 & 1919 of the SSA and 353 of PHS Act.","no","","no","","","no","","no","","09/16/2011","14:52:19"
"009-000001468","275","009","Department of Health and Human Services","CMS Healthcare Integrated General Ledger Accounting System (HIGLAS)","yes","HIGLAS supports the Federal Financial Management Improvement Act (FFMIA) requiring each Federal agency to implement and maintain financial management systems that comply substantially with federal financial management systems requirements, applicable federal accounting standards, and the US Standard General Ledger at the transition level.","yes","The Agency's financial statements are highly scrutinized because it is one of the four largest agencies in the federal government.  CMS strives to receive and retain an unqualified (i.e., clean) opinion on audits of its annual financial statements performed by independent OIG auditors. Although the FY 2000 audit resulted in a clean opinion, the auditors cited two material weaknesses: Financial Systems, Regional and Central Office Oversight; and Medicare Electronic Data Processing (EDP) Controls. The HIGLAS project grew out of the need to respond to these (and other) deficiencies as identified through program audits and reviews of CMS's financial statements, and to comply with applicable laws and regulations.","no","","","no","","yes","HIGLAS was designed in compliance with the requirements of the Joint Financial Management Improvement Program (JFMIP), the Clinger-Cohen Act, the Federal Financial Management Improvement Act and OMB Circulars A-127 and A-130.","09/16/2011","14:52:25"
"009-000201062","276","009","Department of Health and Human Services","CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems","yes","Maintenance of information on the End Stage Renal Disease (ESRD) population by the Centers for Medicare & Medicaid Services (CMS) is mandated by legislation and regulation. (See Public Law 95-292, Section (c)(1)(A); 42 CFR, Chapter IV, Part 476; and Public Law 92-603, Section 299I).  In support of the CMS ESRD community, CMS created the Program Management and Medical Information System (PMMIS) which later became CrownWeb.","yes","There was a high security finding identified during the 01/2009 ST&E testing; therefore, CMS established the implementation of a mandatory Two Factor Authentication security requirement.","no","","","no","","yes","ESRD QIP is described by Section 1881(h) of the Social Security Act, as added by Section 153(c) of the Medicare Improvements for Patients and Providers Act of 2008 (MIPPA).","09/16/2011","15:00:49"
"009-000004417","277","009","Department of Health and Human Services","CMS ICD-10 Initiative","no","","no","","yes","Strategic plan includes federal health IT principle Entrusted steward of taxpayer dollars - incorporate shared terminologies (e.g., ICD-10).","P44-009-037","no","","yes","OMB Circular A-119 and the National Technology Transfer and Advancement Act (Public Law 104-113: 15u.s.c.272 note).  Requires use of common standards and terminology such as ICD-10.","09/12/2012","16:08:49"
"009-000001472","279","009","Department of Health and Human Services","CMS Integrated Data Repository (IDR)","yes","ARRA/HITECH and Part B Payment Grade Validation, Medicare Part D Program Analysis and reconciliation, ACA ACO Shared Saving Program and SSP Claim and Claim line Feed Process, One PI - Fraud, Waste & Abuse.","no","","no","","","no","","yes","ACA Pioneer, ACA ACO Pioneer Claim line Feed Process, Patterns of Care Analytics Reporting, Integration of RASART (Beneficiary Final Risk Scores), Integration of the CMS EDG Part A & B Denominator File.","09/12/2012","16:08:18"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","no","","yes","Closed audit findings 2110_C_2008_1 and 2110_C_2008_3  for the NPI edit.  This is scheduled for activation in Production on 9/17/11.","no","","","no","","no","","09/16/2011","14:57:38"
"009-000004611","281","009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)","no","","no","","no","","","no","","yes","PECOS significantly enhances fraud and abuse prevention and enforcement activities.","09/16/2011","14:57:48"
"009-000006265","283","009","Department of Health and Human Services","CMS IT Infrastructure - Ongoing","yes","IPv6; Government is required to deploy IPv6 securely and cost effectively, with minimal risk across the network and services infrastructure, to optimize the user experience at each point.","no","","no","","","no","","yes","Federal Data Center Consolidation Initiative (DCCI).","09/16/2011","14:58:48"
"009-000000714","284","009","Department of Health and Human Services","CMS Medicaid Data Systems","yes","BBA 1997-States must submit MSIS files with eligibility and claims utilization information; MMA or 2003-MSIS data used to develop a per capita payment amount for full dual eligible beneficiaries that States will pay to CMS on a monthly basis; CHIPRA 2009-Improve the timeliness of reporting and analyzing data related to children enrollment and eligibility; ACA 6504a-ACA 6504(a) States to receive Federal Financial Participation for the use of automated data systems used in the administration of the State Plan; ACA 6504b-ACA 6504(b) Payments to a State for services by an entity that meet CMS requirements; ACA 6402c-ACA 6402(c) Withholding of federal matching payments for medical assistance to States that fail to report enrollee encounter data in the MSIS; ARA 2009-Producing person level data files on the Medicaid eligibility, service utilization and payment info to support Comparative Effectiveness Research; Social Secuirty Act Section 1902, 1915 and 1927; Deficit Reduction Act of 2005.","no","","no","","","no","","no","","09/16/2011","14:45:16"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","yes","The FFS appeal process is required by the Benefits Improvements and Protection Act (BIPA) of 2000. Under BIPA Section 521, the method of appeals in Part A and Part B claims is merged into one process. Under BIPA, Section 522, CMS was mandated to refine the appeals process for Local Coverage Determinations (LCD) and National Coverage Determinations (NCD). Similarly, the Balanced Budget Act (BBA) of 1997 (http://thomas.loc.gov/cgi-bin/query/zc105:H.R.2015.ENR:) required that CMS ensure that managed care enrollees have a formal appeals process to dispute an adverse determination by a Managed Care Organization (MCO). Section 4001 of the BBA (Public Law 105-33), added sections 1851 through 1859 to the Social Security Act (the Act) to establish a new Part C of the Medicare program, known as the Medicare + Choice Program (M+C Program). The BBA also required the creation of an Independent Review Entity (IRE) to review reconsiderations of managed care appeals.","no","","yes","Final Rule CMS-424-FC.","P42-009-037","","","yes","Grijalva v. Shalala was a class action lawsuit brought against CMS by M+C enrollees who challenged notice requirements for terminations of service. The lawsuit was settled and CMS agreed to publish regulations to establish new notice and appeal procedures when an M+C organization decides to terminate coverage of provider services to an enrollee. Affected providers under the settlement agreement include skilled nursing facilities (SNFs), home health agencies (HHAs) and comprehensive outpatient rehabilitation facilities (CORFs). Under the settlement, M+C organizations would be required to provide written notices to M+C enrollees at least four calendar days before the proposed termination date of provider services.","09/12/2012","14:24:09"
"009-000005234","287","009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System","yes","The project will allow for the efficient expansion of the agency's Medi-Medi data match project as required in the DRA of 2005. The effort supports provisions in the BIPA of 2000 and the Part D program components of the MMA of 2003. The program will meet a key functional goal of the new Patient Protection and Affordable Care Act by providing increased tools to combat fraud, waste and abuse.","no","","yes","The HHS strategic initiative to Ensure program integrity and responsible stewardship has been the primary goal of the modernization program since its start. The robust, integrated data sources developed by One PI will provide significant support to the efforts to Transform health-care by providing an analytic platform and reducing unnecessary costs.","P42-009-040","no","","no","","09/16/2011","14:57:54"
"009-000001902","289","009","Department of Health and Human Services","CMS Modernized IT Infrastructure","no","","no","","no","","","no","","yes","25 Point Implementation Plan; Federal Data Center Consolidation Initiative (DCCI).","09/12/2012","14:24:05"
"009-000004255","290","009","Department of Health and Human Services","CMS Part A Claims Processing","yes","All legislation affecting health care will be implemented through a change request designed to alter the current claims processing.","no","","no","","","no","","no","","09/12/2012","14:24:30"
"009-000004256","291","009","Department of Health and Human Services","CMS Part B Claims Processing","yes","All legislation affecting health care will be implemented through a change request designed to alter the current claims processing procedures.","no","","no","","","no","","no","","09/16/2011","14:55:52"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","yes","CFRs. 42 CFR Parts. 417 422 423 and 480. The application and contract requirements, the required MA and/or Part D benefits that must be offered by each organization, and the Part D requirements for access to Part D drugs (i.e., the formulary) are codified in these parts of the regulation.","no","","no","","","no","","no","","09/16/2011","14:55:58"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","yes","Medicare Modernization Act of 2003.","no","","no","","","no","","no","","09/16/2011","14:55:22"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Automated Drug Information Management System","yes","The ADIMS investment addresses in part the goals of PDUFA, GDUFA and BsUFA legislative mandates under FDASIA.The enhancements for the different user fee mandates (GDUFA, PDUFA V & BsUFA) include provision of important review/regulatory information pertaining to calculation of goals, tracking information on the review process, tracking meetings and user-fee payments, archiving regulatory communication between the FDA/industry and generation of reports.","no","","no","","","no","","no","","09/12/2012","16:11:35"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","yes","National Biosurveillance eLEXNET Interface System (NEIS) is the FDA's contribution to the National Biosurveillance Integration System (NBIS) and is mandated by P.L. 110-53. It analyzes data from the eLEXNET system and can detect anomalies and trends in analytical results. NBIS is part of an interagency coordination system that includes DHS, HHS, FDA, the states and is designed for quick identification, characterization of food or other items that are dangerous to human health.","no","","yes","HHS Strategic Plan 2007-2012 mandate that i) FDA, along with CDC, continue to develop and support laboratory capacity expansion to improve analysis of biological or toxic substances; ii) support the development  and validation of laboratory methods through the Laboratory Response Network (LRN). The LRN was established by HHS in accordance with Presidential Decision Directive 39, which outlined national anti-terrorism policies and assigned specific missions to federal departments and agencies.  (http://www.bt.cdc.gov/lrn/). LRN's principal mandate (supported by FDA) is to develop, maintain and strengthen an integrated national and international network of laboratories that can respond quickly to needs for rapid testing, timely notification and secure messaging of results associated with acts of biological or chemical terrorism and other high priority public health emergencies.  See Other Requirement for the ORA Science Strategic Plan (SSP).","P43-009-040","no","","yes","The ORA Science Strategic Pan (SSP), V 1.2, May 13, 2011 calls for a LIMS in Core Initiative (CI) 4. The LIMS work in ALM directly supports the SSP. In addition, work on LIMS and eLEXNET also supports SSP CIs 1, 2, 5, and 6. At a high level, these cover: the need for an integrated/automated IT system for all the ORA labs; ensuring capacity for rapid analysis, including national emergencies; collaboration and leveraging of resources across ORA/FDA, other Federal, state, and local stakeholders.","09/16/2011","14:58:20"
"009-000005354","301","009","Department of Health and Human Services","FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21)","no","","no","","yes","Improve scientific IT platform: 2011 Strategic Plan for Regulatory Science; 2011 FDA Strategic Priorities.","P43-009-038,P42-009-038,P41-009-038","no","","yes","Data center consolidation; meet objectives of the Federal CIO's 25-point IT Reform Implementation Plan, Recovery Act for CER.","09/16/2011","14:58:35"
"009-000005315","302","009","Department of Health and Human Services","FDA CDER MedWatch Plus","yes","Serious and unexpected adverse drug experience follow up mandated by 310.305, 314.80, 314.98 and 600.80.","yes","OMB Tech Stat revealed errors with FDA's E300 reporting process.  FDA has implemented appropriate measures to improve the quality of E300 reporting.","yes","Funding will be required to meet the regulations referenced in the legislative mandate section.","P44-009-037","no","","no","","04/02/2012","09:25:30"
"009-000005317","310","009","Department of Health and Human Services","FDA ORA Mission Accomplishments and Regulatory Compliance Services","yes","The Bioterrorism Act (BTA) of 2002 in Section 307 requires prior notice for imported food shipments.  The BTA and subsequent regulations require that FDA process such food shipments with prior notice (801(m) of the Federal, Food, Drug, and Cosmetic Act) on a 24x7 basis.  MARCS is required to provide support for this processing 24 hours a day, seven days a week.  This has resulted in technical solutions to support this requirement, which is not typical of FDA systems.  The Food Safety and Modernization Act (FSMA) of 2011 includes Section 110 Building Domestic Capacity. This requires MARCS to build a technical solution for interfacing with external partners.  Section 110(d) specifically refers to information technology to enable the requirements of Section 110.  This is expected to take the form of a robust extranet structure to facilitate data transfer, data sharing, and work flow sharing.  The report that will be developed is expected to have specific technical solutions.","no","","no","","","no","","no","","09/16/2011","14:58:02"
"009-000006267","317","009","Department of Health and Human Services","FDA OC-OIM Operational Infrastructure","no","","no","","yes","FDA's strategic goals include the completion of an ambition infrastructure modernization program to lay the foundation for a modern, networked computing and shared data resources environment. The transformation of FDA's infrastructure through the migration to new, modernized data centers will provide a high performance computing environment and provide data storage that FDA needs to accomodate growth as FDA changes to meet its public health mission.","P42-009-038","no","","yes","Cloud First Strategy.","09/13/2012","15:22:55"
"009-000005316","318","009","Department of Health and Human Services","FDA ORA Regulatory Business Information Services","yes","The Food and Drug Administration Safety and Innovation Act (FDASIA), signed into law on July 9 2012, gives FDA the authority to collect user fees from industry to fund reviews of innovator drugs, medical devices, generic drugs and biosimilar biologics. This will require MARCS and RBIS to build additional technical interfaces with outside partner agencies. This will require developing and using improved adverse-event data-collection systems, including information technology systems and using improved analytical tools to assess potential safety problems, including access to external data bases.  Furthermore, changes will be required within RBIS components if the source registration systems are changed to support Sec 704. Sec 618 requires a report containing strategy and recommendations on a risk-based regulatory framework pertaining to health information technology, including mobile medical applications, that promotes innovation, protects patient safety and avoids regulatory duplication.","no","","no","","","no","","yes"," 2. The Food Safety and Modernization Act (FSMA) of 2011 includes Section 110 Building Domestic Capacity. This requires MARCS to build a technical solution for interfacing with external partners. This will have a direct impact on RBIS as RBIS will need to be modified to support changes in MARCS. Section 110(d) specifically refers to information technology to enable the requirements of Section 110.  RBIS will need to provide additional reporting and firm management capabilities to support this.  The report that will be developed is expected to have specific technical solutions.","09/12/2012","16:09:03"
"009-000005323","322","009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","yes","UFFMS is needed to collect, manage, and report User Fees required Legislation. Legislation UFFMS supports includes Animal Drug User Fee Act (ADUFA) ), Animal Generic Drug User Fee Act (AGDUFA), Color Certification (CERTS), Exports Certificate (Exports), Food Safety Modernization Act (FSMA) Medical Device User Fee Act (MDUFMA), Mammography Quality Standards Act (MQSA), Prescription Drug User Fee Act (PDUFA.","no","","yes","3.4.2 Ensure program integrity and responsible stewardship through effective administration of fiduciary responsibilities: Strengthen financial management systems, practices, controls, and reporting to ensure financial accountability; meet statutory and regulatory requirements; and provide timely, reliable, and useful financial information.","P41-009-040","no","","no","","09/12/2012","16:11:27"
"009-999991400","330","009","Department of Health and Human Services","Federal Health Architecture","yes","E-Government Act of 2002.","no","","no","","","yes","E.O. 13410, Promoting Quality and Efficient Health Care in Federal Government Administered or Sponsored Health Care Programs.","yes","OMB designated FHA as an E-Gov initiative and Line of Business within Federal Enterprise Architecture.","09/12/2012","16:06:11"
"009-999990160","331","009","Department of Health and Human Services","Grants.gov - Find and Apply","yes","Grant Reform (http://www.whitehouse.gov/omb/grants_reform/): On November 20, 1999, the President signed Public Law 106-107 (6 pages, 110 kb), the Federal Financial Assistance Management Improvement Act. The purposes of this law are to: improve the effectiveness and performance of Federal grant programs; simplify grant application and reporting requirements; improve the delivery of services to the public; and facilitate greater coordination among those responsible for delivering such services.","","","","","","","","","","09/16/2011","14:51:24"
"009-000001397","332","009","Department of Health and Human Services","HHS Unified Financial Management System: Modernization Program","yes","As required by the Federal Manager's Financial Integrity Act of 1982 (FMFIA) and the OMB Circular A-123, the Department issued a qualified assurance statement indicating a material weakness (Financial Reporting Systems & Processes) that will be addressed by the Modernization efforts.","yes","The expansion of budget tools directly affects a financial statement audit material weakness from the HHS FY2009 Agency Financial Report related to budgetary analysis, such as reducing manual entries and facilitating compliance with the Anti-Deficiency Act.  During FY10, we determined an issue related to a Recovery Act contract for the Indian Health Service was reportable.","yes","Goal 4: Increase Efficiency, Transparency, and Accountability of HHS Programs.","P41-009-040","yes","As required by OMB M-10-26, project focuses on meeting critical business needs first.","no","","09/16/2011","14:48:16"
"009-000000706","333","009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)","no","","yes","GAO is making several recommendations, including that HRSA implement key elements of grantee oversight consistent with guidance, including restrictive drawdowns; develop a strategic approach for selecting grantees for site visits; and work to identify grantees' training needs in order to comply with the National Monitoring Standards. This investment will help HRSA meet these requirements by expanding the EHBs as the primary centralized location for documentation related to oversight and monitoring, as well as a Management Dashboard to allow program officials to track grantee monitoring activities.  These enhancements will be implemented enterprise-wide to serve all Programs.","yes","This investment supports the HHS Stategic Goals of strengthening health care; advancing the health, safety, and well-being of the American People; and strengthening the Nation's health and human services infrastructure and workforce by collecting, storing and analyzing grantee/program performance data in one centralized system. The system helps programs plan, administer, monitor, analyze, and improve their programs.","P42-009-041,P45-009-039,P44-009-041,P43-009-041,P41-009-041,P41-009-037,P45-009-037","no","","no","","09/16/2011","14:45:11"
"009-000001359","334","009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements","yes","The workload and user population reports produced by NPIRS meet the reporting requirement of the Indian Health Care Improvement Act of 1976, P.L. 94-437, permanently authorized in 2010 by the Indian Health Care Improvement Reauthorization and Extension Act S. 1970 as reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148.","no","","no","","","yes","The priorities defined in the 25 Point Implementation Plan to Reform Federal Information Technology Management are also being implemented within the NPIRS investment as applicable, including data center consolidation and cloud computing initiatives.","no","","09/16/2011","14:45:19"
"009-000006263","335","009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)","yes","IOAT must meet the management information needs of Indian tribes or tribal organizations with respect to the health care of IHS patients as well as meet the information needs of the IHS. The Indian Health Care Improvement Act of 1976, P.L. 94-437 was permanently authorized in 2010 by The Indian Health Care Improvement Reauthorization and Extension Act S. 1790 as Reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148. Additional legislation mandates the maintenance activities performed, including the Health Insurance Portability and Accountability Act, P.L. 104-191, August 21, 1996; and Subtitle D of the Health Information Technology for Economic and Clinical Health Act (HITECH Act), enacted as part of the American Recovery and Reinvestment Act of 2009.","no","","yes","The IHS infrastructure investment directly supports the HHS' Strategic Plan Goal 1: Transform Healthcare, Objective E:  Ensure access to quality, culturally competent care for vulnerable populations by (1) implementing an enterprise approach to information technology infrastructure that fosters communication, innovation, collaboration, standardization and interoperability throughout IHS, and (2) by ensuring that systems provide security that guarantees the confidentiality, integrity and availability of IHS information resources.","P41-009-037","yes","The IOAT investment adheres to the directives identified in EO 13589 Promoting Efficient Spending through IT device inventory improvements and evaluating IT solutions that consolidate desktop services, email, and collaboration tools. The priorities defined in the Federal Information Technology Shared Services strategy are being adopted as applicable, including the use of Enterprise wide software licensing agreements to standardize software amongst the geographically dispersed IHS locations and looking at shared services or cloud computing technologies when analyzing alternative solutions.","no","","09/16/2011","14:58:47"
"009-000001362","336","009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements","yes","US Code, Title 25, Chapter 18, General Provisions, Section 1662, titled Automated Management Information System, mandated that the IHS establish an automated management information system that would include: 1) Financial Management System (FMS); 2) Patient care information system for each Area served by the IHS; 3)Privacy component that protects the privacy of patient information held by, or on behalf of, the IHS; and 4) Services-based cost accounting component that provides estimates of the costs associated with the provision of specific medical treatments or services in each IHS Area Office. P.L. 100-713 mandates that the Secretary provide automated management information systems to each Indian tribe and tribal organization that provides health services under a contract entered into with the IHS under the Indian Self-Determination Act.","no","","yes","The RPMS program supports increased patient safety through the monitoring of adverse events (HHS 2010-2015 Goal 1 Objective A). The RPMS EHR attained Meaningful Use Certification and is being implemented system-wide (HHS 2010-2015 Goal 1 Objective F). The RPMS program adheres to Capital Planning and Investment Control (CPIC) strategies as defined in the HHS IRM Strategic Plan for 2007-2012 as well as the IHS OIT Enterprise Architecture Strategic Planning processes defined in the IHS OIT Strategic Plan 2011-2015.","P42-009-037","yes","The RPMS investment adheres to the directives identified in EO 13589 Promoting Efficient Spending by evaluating operational costs and implementing cost saving measures wherever possible. The priorities defined in the 25 Point Implementation Plan to Reform Federal Information Technology Management are also being implemented within the RPMS investment as applicable, including reforming acquisition practices to reduce the amount of administrative fees incurred with prior contracting practices.","yes","The RPMS must meet the management information needs of Indian tribes or tribal organizations with respect to the health care of IHS patients as well as meet the information needs of the IHS. The Indian Health Care Improvement Act of 1976, P.L. 94-437 was permanently authorized in 2010 by The Indian Health Care Improvement Reauthorization and Extension Act S. 1790 as Reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148. Additional legislation mandates the maintenance activities performed; Government Performance and Results Act of 1993, P.L. 103-62; Information Technology Management Reform Act of 1996, Clinger-Cohen Act, Division E, P.L. 104-106; Health Insurance Portability and Accountability Act, P.L. 104-191, August 21, 1996; Subtitle D of the Health Information Technology for Economic and Clinical Health Act (HITECH Act), enacted as part of the American Recovery and Reinvestment Act of 2009.","09/16/2011","14:45:42"
"009-000001408","337","009","Department of Health and Human Services","NIH Business Intelligence System (NBIS)","no","","no","","no","","","no","","yes","NIH Management recognized the need to improve business processes to meet it's mission requirements and as such the Deputy Director of Management commissioned the development of the NIH DW (NBIS).  NBIS provides accurate, timely and actionable information to empower data-driven decision making at the NIH for administrative business areas, including Finance and HR.","09/16/2011","14:48:38"
"009-000001405","339","009","Department of Health and Human Services","NIH CC Clinical Research Information System (CRIS)","no","","no","","no","","","no","","yes","An electronic health record (EHR) provides a system to support the standards set by the Joint Commission as well as the requirements for Clinical Laboratory Improvement Amendments (CLIA) certification.  The Office of the National Coordinator for Health Information Technology (ONC) also requires all EHR's to be certified.  These organizations identify that health information is to be managed in a systematic way by the hospital, allowing for information to be captured at the time of the delivery of care, treatment or service and that the information is used to provide safe and quality care.  Through the use of an electronic system the standards and policies identified by these organizations are met.","09/16/2011","14:48:34"
"009-000006338","340","009","Department of Health and Human Services","NIH IT Infrastructure","no","","no","","no","","","no","","no","","09/16/2011","14:59:21"
"009-000000833","341","009","Department of Health and Human Services","NIH NCI Cancer Therapy Evaluation Program (CTEP)","no","","no","","no","","","no","","no","","09/16/2011","15:01:49"
"009-000001410","342","009","Department of Health and Human Services","NIH OD Electronic Research Administration (eRA)","yes","Grants Management GMLoB; PL106-107.","no","","no","","","no","","no","","09/16/2011","14:48:42"
"009-000001413","343","009","Department of Health and Human Services","NIH OD NIH Business System (NBS)","no","","no","","no","","","no","","no","","09/16/2011","14:51:14"
"009-000001476","344","009","Department of Health and Human Services","OS ASA Accounting for Pay System (AFPS)","no","","no","","no","","","","","","","09/16/2011","14:52:32"
"009-000001479","345","009","Department of Health and Human Services","OS ASA Debt Management and Collection System (DMCS)","no","","no","","no","","","","","","","09/16/2011","14:52:33"
"009-000004658","347","009","Department of Health and Human Services","OS ASFR HHS Consolidated Acquisition Solution","yes","The Clinger-Cohen Act requires that information technology, be utilized in a cost efficient manner conducive to best business practices; specifically in the acquisition of information technology.","yes","All findings have been resolved or scheduled to be resolved.  Executive leadership has been briefed and is fully  aware of all corrective action.","yes","The HHS Strategic Plan requires that a well-managed and secure enterprise information technology environment be provided and that financial and capital resources are used appropriately, efficiently, and effectively.","P41-009-040","","","","","09/16/2011","14:57:52"
"009-000006266","348","009","Department of Health and Human Services","OS ASA Information Technology Infrastructure and Operations","no","","no","","no","","","no","","no","","09/12/2012","16:03:54"
"009-000001418","353","009","Department of Health and Human Services","SAMHSA - OAS National Survey on Drug Use and Health (NSDUH)","yes","Section 505 of the Public Health Service Act (42 USC 290aa4).","no","","yes","http://store.samhsa.gov/shin/content//SMA11-4629/02-ExecutiveSummary.pdf .","P44-009-037","no","","no","","09/16/2011","14:51:16"
"009-000006779","354","009","Department of Health and Human Services","Secure One HHS","yes","The Office of Management and Budget (OMB) has mandated that the Department of Health and Human Services (HHS) and all other Federal agencies implement the Trusted Internet Connections (TIC): Memorandum M-08-05.  Additionally, the Program will continue to enhance the program's security compliance and annual FISMA program review efforts to more effectively measure the Department and OPDIV levels of compliance with the requirements of FISMA.","yes","Funds will enable the implementation of corrective action plans to resolve the security weaknesses identified in OIG audits and security controls testing.  HHS currently has a material weakness condition based on information technology system security controls weaknesses identified in OIG financial statement audits.  The weaknesses identified are in a number of financial systems and in the network infrastructure supporting those systems.  Funds will be applied to resolve and mitigate the system security issues that are causing the material weakness condition.","no","","","no","","no","","09/16/2011","15:00:24"
