Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,Performance Measurement Category Mapping,Target 2014,Target 2015,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Status,Latest Actual Result Comment,Latest Actual Result Date,Is Closed?,Metric Updated Date,Metric Updated Time
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","9889","OP6946-4102","Continue Phase 1 system fielding to Operating Forces.","Number of Phase 1 subsystems fielded","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Quarterly","","101013","OP6946-4102-101","0.000000","Met","","2014-08-01","yes","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","10439","OP6946-4112","CAC2S Ph1 Software Release 10, Patch 1 approval (Distribution Letter signed).","each (release)","1 - Customer Satisfaction (Results)","1.000000","0.000000","Under target","Quarterly","000-000-000","101005","OP6946-4112-101","0.000000","Not Met Yet","","2014-08-01","yes","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","10441","OP6946-4113","CAC2S Ph1 Software Release 11 approval (Distribution Letter signed).","each (release)","1 - Customer Satisfaction (Results)","1.000000","0.000000","Under target","Quarterly","000-000-000","147597","OP6946-4113-107","1.000000","","","2015-08-24","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","10443","OP6946-4111","CAC2S Ph1 Software Release 10 approval (Distribution Letter signed).","each (release)","1 - Customer Satisfaction (Results)","1.000000","0.000000","Under target","Quarterly","000-000-000","101009","OP6946-4111-101","1.000000","Met","","2014-06-20","yes","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","10445","OP6946-4110","CAC2S Ph1 Software Release 9 approval (Distribution Letter signed).","each (release)","1 - Customer Satisfaction (Results)","1.000000","0.000000","Under target","Quarterly","000-000-000","101011","OP6946-4110-101","1.000000","Met","","2014-04-04","yes","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22771","OP6946-4114","CAC2S Ph 1 FY15 Software Release approvals (Distribution Letter signed).","each (release)","2 - Strategic and Business Results","0.000000","4.000000","Over target","Quarterly","000-000-000","147585","OP6946-4114-107","3.000000","","Release 12 approval was granted 31 December 2014; Release 13 was approved 13 May 2015; and Release 14 was approved 14 July 2015.","2015-08-24","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22773","OP6946-4116","CAC2S Ph 1 FY15 Material Availability.","Percentage of System Availability","1 - Customer Satisfaction (Results)","0.000000","90.000000","Over target","Monthly","000-000-000","147587","OP6946-4116-106","98.000000","","Percentage of System Availability = 98%","2015-08-24","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22775","OP6946-4118","CAC2S Ph1 FY15 Mean System DownTime.","Hours","1 - Customer Satisfaction (Results)","0.000000","2.000000","Under target","Quarterly","000-000-000","147589","OP6946-4118-104","1.700000","","Mean System Down Time Hours = 1.70","2015-08-24","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22777","OP6946-4119","CAC2S Ph1 FY16 Mean System DownTime.","Hours","1 - Customer Satisfaction (Results)","0.000000","0.000000","Under target","Quarterly","000-000-000","107853","OP6946-4119-101","0.000000","","","2014-08-21","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22779","OP6946-4121","CAC2S Ph1 FY16 ECP 14-04 and 15-01 Fielding.","each","2 - Strategic and Business Results","0.000000","0.000000","Over target","Monthly","000-000-000","","","","","","","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22781","OP6946-4122","CAC2S Ph 1 FY16 Material Availability.","Percentage of System Availability","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Quarterly","000-000-000","","","","","","","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22783","OP6946-4123","CAC2S Ph 1 FY16 Material Reliability.","Hours","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Quarterly","000-000-000","","","","","","","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22785","OP6946-4124","Meet monthly FY15 O&M obligation rate targets, as defined in the Spend Plan.","% of MTHLY obligations achieved  MTHLY target","3 - Financial Performance","0.000000","100.000000","Over target","Monthly","000-000-000","147591","OP6946-4124-106","93.660000","","As of August 24, 2015, CAC2S FY15 O&M obligations exceed OSD''s published August benchmark of 91.7%.","2015-08-24","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22787","OP6946-4115","CAC2S Ph 1 FY15 Engineering Change Proposals 14-04 and 15-01 Service Level Test.","each (1 event)","2 - Strategic and Business Results","0.000000","1.000000","Over target","Annual","000-000-000","147593","OP6946-4115-104","1.000000","","","2015-08-24","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22789","OP6946-4117","CAC2S Ph 1 FY15 Material Reliability.","Hours of System Reliability","1 - Customer Satisfaction (Results)","0.000000","367.000000","Over target","Quarterly","000-000-000","147595","OP6946-4117-105","78.000000","","Hours of System Reliability = 378.","2015-08-24","no","08/27/2015","14:08:05"
"007-000006946","83","007","Department of Defense","Common Aviation Command and Control System Increment 1","22791","OP6946-4120","CAC2S Ph 1 FY16 Software Release approvals (Distribution Letter signed).","each (release)","2 - Strategic and Business Results","0.000000","0.000000","Over target","Quarterly","000-000-000","","","","","","","no","08/27/2015","14:08:05"
"007-000006320","84","007","Department of Defense","CHEYENNE MOUNTAIN COMPLEX/TACTICAL WARNING - ATTACK ASSESSMENT","5505","OP6320-4101","TBD.","TBD","1 - Customer Satisfaction (Results)","0.000000","1.000000","Over target","Monthly","","","","","","","","no","08/27/2015","14:07:46"
"007-000006320","84","007","Department of Defense","CHEYENNE MOUNTAIN COMPLEX/TACTICAL WARNING - ATTACK ASSESSMENT","5507","OP6320-4102","TBD.","TBD","1 - Customer Satisfaction (Results)","0.000000","1.000000","Over target","Semi-Annual","","","","","","","","no","08/27/2015","14:07:46"
"007-000006320","84","007","Department of Defense","CHEYENNE MOUNTAIN COMPLEX/TACTICAL WARNING - ATTACK ASSESSMENT","5509","OP6320-4103","TBD.","TBD","1 - Customer Satisfaction (Results)","0.000000","1.000000","Over target","Monthly","","","","","","","","no","08/27/2015","14:07:46"
"007-000006320","84","007","Department of Defense","CHEYENNE MOUNTAIN COMPLEX/TACTICAL WARNING - ATTACK ASSESSMENT","5511","OP6320-4104","TBD.","TBD","2 - Strategic and Business Results","0.000000","1.000000","Over target","Semi-Annual","","","","","","","","no","08/27/2015","14:07:46"
"007-000006320","84","007","Department of Defense","CHEYENNE MOUNTAIN COMPLEX/TACTICAL WARNING - ATTACK ASSESSMENT","5513","OP6320-4105","TBD.","TBD","3 - Financial Performance","0.000000","1.000000","Over target","Semi-Annual","","","","","","","","no","08/27/2015","14:07:46"
"007-000001854","86","007","Department of Defense","Battle Control System-Fixed Increment 3","7017","OP1854-401","Percentage of Operational vs Nonoperational time.","Percentage","1 - Customer Satisfaction (Results)","99.980000","99.980000","Over target","Monthly","","48473","OP1854-401-101","99.990000","","System has been very stable with minimal downtime.","2013-03-01","no","08/27/2015","14:07:12"
"007-000001854","86","007","Department of Defense","Battle Control System-Fixed Increment 3","7019","OP1854-402","System Tech Refresh:  4 year tech refresh cycle based on average of 25% of total component replacement costs per year.","Percentage of component replacement cost","3 - Financial Performance","25.000000","25.000000","Over target","Monthly","000-000-000","","","","","","","no","08/27/2015","14:07:12"
"007-000001854","86","007","Department of Defense","Battle Control System-Fixed Increment 3","7021","OP1854-403","Software baseline updates:  Target of 2 s/w baseline updates developed, tested and fielded to all operational locations per year.  Number of corrections, enhancements, or modifications within each s/w update will vary based on funding/time allocated.","Number of software updates fielded","1 - Customer Satisfaction (Results)","2.000000","2.000000","Over target","Semi-Annual","","","","","","","","no","08/27/2015","14:07:12"
"007-000001854","86","007","Department of Defense","Battle Control System-Fixed Increment 3","7023","OP1854-404","Responsiveness and availability of critical spares delivery:  Critical spares replacement within 24 hours of notification by the site to the spares depot.","Hours for critical spares replacement","2 - Strategic and Business Results","24.000000","24.000000","Over target","Quarterly","","","","","","","","no","08/27/2015","14:07:12"
"007-000001854","86","007","Department of Defense","Battle Control System-Fixed Increment 3","7025","OP1854-405","Quality of software production:  No Category I deficiencies identified during developmental and operational testing of semi-annual software maintenance builds.","Number of Category I deficiency reports","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Semi-Annual","","","","","","","","no","08/27/2015","14:07:12"
"007-000000599","899","007","Department of Defense","Integrated Personnel and Pay System-Army Increment 1","22337","OP0599-6004","Generate Soldier Record Brief (SRB)- Generate a SRB for all Soldiers/Members across all Army Components by deployment.","Percent","2 - Strategic and Business Results","100.000000","100.000000","Over target","Semi-Annual","","","","","","","","no","08/27/2015","14:06:57"
"007-000000599","899","007","Department of Defense","Integrated Personnel and Pay System-Army Increment 1","22339","OP0599-6001","System Availability- Time to repair the system after a system failure.","Hours","1 - Customer Satisfaction (Results)","96.000000","96.000000","Over target","Semi-Annual","","","","","","","","no","08/27/2015","14:06:57"
"007-000000599","899","007","Department of Defense","Integrated Personnel and Pay System-Army Increment 1","22341","OP0599-6000","Data Accuracy- All Component Soldier''s Personnel and Pay Data are accurately transformed and mapped to IPPS-A from the Inc I Key System Interfaces.","Percentage","1 - Customer Satisfaction (Results)","98.000000","98.000000","Over target","Monthly","","","","","","","","no","08/27/2015","14:06:57"
"007-000000599","899","007","Department of Defense","Integrated Personnel and Pay System-Army Increment 1","22343","OP0599-6002","System Problem Reports (SPRs) for the Soldier Record Brief (SRB).","Percentage","1 - Customer Satisfaction (Results)","95.000000","90.000000","Under target","Semi-Annual","","","","","","","","no","08/27/2015","14:06:57"
"007-000000599","899","007","Department of Defense","Integrated Personnel and Pay System-Army Increment 1","22345","OP0599-6003",">15% Total Acquisition Cost variance is considered normal.","Percentage","3 - Financial Performance","15.000000","15.000000","Under target","Semi-Annual","","","","","","","","no","08/27/2015","14:06:57"
"007-000001202","902","007","Department of Defense","Warfighter Information Network - Tactical Increment 1","22409","OP1202-4106","Baseline Materiel Availability.","Percentage","2 - Strategic and Business Results","80.000000","80.000000","Over target","Monthly","000-000-000","138849","OP1202-4106-115","80.000000","","","2015-05-11","no","08/27/2015","14:07:05"
"007-000001202","902","007","Department of Defense","Warfighter Information Network - Tactical Increment 1","22411","OP1202-4107","Mean Time to Repair for Common Hardware System.","Percentage","1 - Customer Satisfaction (Results)","60.000000","60.000000","Over target","Monthly","000-000-000","107331","OP1202-4107-112","60.000000","","","2014-09-11","no","08/27/2015","14:07:05"
"007-000001202","902","007","Department of Defense","Warfighter Information Network - Tactical Increment 1","22413","OP1202-4109","Logistic Response Time.","Monthly","1 - Customer Satisfaction (Results)","72.000000","72.000000","Over target","Monthly","000-000-000","107343","OP1202-4109-101","72.000000","","","2014-09-11","no","08/27/2015","14:07:05"
"007-000001202","902","007","Department of Defense","Warfighter Information Network - Tactical Increment 1","22415","OP1202-4110","Obligation rate for Operations and Maintenace Army by 30 July based on OSD guidance.","Percentage","3 - Financial Performance","80.000000","80.000000","Over target","Annual","000-000-000","107359","OP1202-4110-101","100.000000","","","2014-09-11","no","08/27/2015","14:07:05"
"007-000001202","902","007","Department of Defense","Warfighter Information Network - Tactical Increment 1","22417","OP1202-4108","Equipment Reliability of Battalion Command Post Node (Bncpn).","Hours","1 - Customer Satisfaction (Results)","820.000000","820.000000","Over target","Monthly","000-000-000","107369","OP1202-4108-101","820.000000","","","2014-09-11","no","08/27/2015","14:07:05"
"007-000001208","903","007","Department of Defense","Warfighter Information Network-Tactical Increment 2","22419","OP1208-6000","Logistic Response Time.","Hours","1 - Customer Satisfaction (Results)","72.000000","72.000000","Over target","Monthly","000-000-000","123349","OP1208-6000-101","0.000000","","","2015-01-20","no","08/27/2015","14:07:05"
"007-000001208","903","007","Department of Defense","Warfighter Information Network-Tactical Increment 2","22421","OP1208-6001","Obligation of Procurement Dollars.","Percentage","3 - Financial Performance","90.000000","100.000000","Over target","Monthly","000-000-000","","","","","","","no","08/27/2015","14:07:05"
"007-000001208","903","007","Department of Defense","Warfighter Information Network-Tactical Increment 2","22423","OP1208-6002","CDRL Tracking.","Percentage","1 - Customer Satisfaction (Results)","100.000000","100.000000","Over target","Annual","000-000-000","","","","","","","no","08/27/2015","14:07:05"
"007-000001208","903","007","Department of Defense","Warfighter Information Network-Tactical Increment 2","22425","OP1208-6003","Mean Time to Repair.","Percentage","1 - Customer Satisfaction (Results)","60.000000","60.000000","Over target","Annual","000-000-000","","","","","","","no","08/27/2015","14:07:05"
"007-000001208","903","007","Department of Defense","Warfighter Information Network-Tactical Increment 2","22427","OP1208-6004","CI Production (Comm Nodes).","PAT","2 - Strategic and Business Results","75.000000","120.000000","Over target","Monthly","000-000-000","","","","","","","no","08/27/2015","14:07:05"
"007-000001017","906","007","Department of Defense","Base Information Transport Infrastructure Wired","22463","OP1017-6001","Completed base installation that provides a minimum network speed of 1 MBPS throughput across the network backbone.","One completed base or operating location.","3 - Financial Performance","1.000000","1.000000","Over target","Semi-Annual","000-000-000","119267","OP1017-6001-101","1.000000","","","2014-12-31","no","08/27/2015","14:07:01"
"007-000001017","906","007","Department of Defense","Base Information Transport Infrastructure Wired","22465","OP1017-6002","Completed base installation meeting all security requirements to include industry security standards all DoD Security Technology Implementation Guide (STIG) mandates, and Joint Integration Test Command (JTIC) standards.","One completed base or operating location.","2 - Strategic and Business Results","1.000000","1.000000","Over target","Semi-Annual","000-000-000","119269","OP1017-6002-101","1.000000","","","2014-12-31","no","08/27/2015","14:07:01"
"007-000001017","906","007","Department of Defense","Base Information Transport Infrastructure Wired","22467","OP1017-6003","Completed base installation meeting all industry, DoD, and Air Force network, electrical and facility engineering standards to include complete documentation.","One completed base or operating location","1 - Customer Satisfaction (Results)","1.000000","1.000000","Over target","Semi-Annual","000-000-000","119271","OP1017-6003-101","1.000000","","","2014-12-31","no","08/27/2015","14:07:01"
"007-000001017","906","007","Department of Defense","Base Information Transport Infrastructure Wired","22469","OP1017-6004","Completed base installation that provides a survivable, reliable network capable of maintaining 99.9% reliable connectivity to mission criticalcommand and Control systems.","One completed base or operating location.","1 - Customer Satisfaction (Results)","1.000000","1.000000","Over target","Monthly","000-000-000","119273","OP1017-6004-101","1.000000","","","2014-12-31","no","08/27/2015","14:07:01"
"007-000001017","906","007","Department of Defense","Base Information Transport Infrastructure Wired","22471","OP1017-6005","Completed base installation meeting all industry, DoD, and Air Forcestandards for complete documentation.","One completed base or operating location","1 - Customer Satisfaction (Results)","1.000000","1.000000","Over target","Semi-Annual","000-000-000","119275","OP1017-6005-101","1.000000","","","2014-12-31","no","08/27/2015","14:07:01"
"007-000001104","910","007","Department of Defense","Base Information Infrastructure","5263","OP1104-4104","Purchase or renew all required enterprise software licenses for network infrastructure hardware components.","One Air Force Base or operating location","1 - Customer Satisfaction (Results)","104.000000","1.000000","Over target","Semi-Annual","","71929","OP1104-4104-101","104.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001104","910","007","Department of Defense","Base Information Infrastructure","5265","OP1104-4105","Implement or renew enterprise support contracts for base telephone systems.","One enterprise support contract","2 - Strategic and Business Results","1.000000","1.000000","Over target","Semi-Annual","","81617","OP1104-4105-102","1.000000","Met","2013 target met","2013-12-31","no","08/27/2015","14:07:03"
"007-000001104","910","007","Department of Defense","Base Information Infrastructure","5267","OP1104-4103","Update or replace network equipment and components that are obsolete or no longer supported by the manufacturer.","One Air Force base or operating location","1 - Customer Satisfaction (Results)","4.000000","1.000000","Over target","Monthly","","81619","OP1104-4103-102","4.000000","Met","2013 Target met","2013-12-31","no","08/27/2015","14:07:03"
"007-000001104","910","007","Department of Defense","Base Information Infrastructure","5269","OP1104-4102","Implement or renew enterprise support contracts for base infrastructure.","One enterprise support contract","1 - Customer Satisfaction (Results)","4.000000","1.000000","Over target","Semi-Annual","","71935","OP1104-4102-101","4.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001104","910","007","Department of Defense","Base Information Infrastructure","5271","OP1104-4101","Purchase or renew all required enterprise software licenses for network defense and network management system.","One required enterprise software license agreement","3 - Financial Performance","76.000000","1.000000","Over target","Semi-Annual","","71937","OP1104-4101-102","76.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001152","911","007","Department of Defense","Voice Switching System","5231","OP1152-4101","Purchase software support for VPS.","One Air Force Base","3 - Financial Performance","104.000000","1.000000","Over target","Semi-Annual","","71959","OP1152-4101-101","104.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001152","911","007","Department of Defense","Voice Switching System","5233","OP1152-4102","Purchase software support for TMS.","One Air Force Base","1 - Customer Satisfaction (Results)","104.000000","1.000000","Over target","Semi-Annual","","71961","OP1152-4102-101","104.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001152","911","007","Department of Defense","Voice Switching System","5235","OP1152-4103","Install VPS software and software updates.","One Air Force Base","1 - Customer Satisfaction (Results)","104.000000","1.000000","Over target","Semi-Annual","","71963","OP1152-4103-101","104.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001152","911","007","Department of Defense","Voice Switching System","5237","OP1152-4104","Install TMS software and software updates.","One Air Force Base","2 - Strategic and Business Results","104.000000","1.000000","Over target","Semi-Annual","","71965","OP1152-4104-101","104.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001152","911","007","Department of Defense","Voice Switching System","5239","OP1152-4105","Monitor telephone switch performance, configuration and operations.","One Air Force Base","1 - Customer Satisfaction (Results)","104.000000","1.000000","Over target","Monthly","","71967","OP1152-4105-101","104.000000","Met","","2013-09-30","no","08/27/2015","14:07:03"
"007-000001179","912","007","Department of Defense","Integrated Strategic Planning and Analysis Network Increment 2","5241","OP1179-4101","Provide and Maintain Increment 2 deployment equipment to meet Operational availability = .98%.","Purchase hardware suite to support virtualization","3 - Financial Performance","98.000000","98.000000","Over target","Semi-Annual","","100811","OP1179-4101-101","98.280000","Met","Jan - Jun Average","2014-08-06","no","08/27/2015","13:41:18"
"007-000001179","912","007","Department of Defense","Integrated Strategic Planning and Analysis Network Increment 2","5243","OP1179-4103","Operational availability (Ao) = 0.98, expressed as uptime-scheduled downtine/(uptime-scheduled downtime + unscheduled downtime.","System Uptime","1 - Customer Satisfaction (Results)","0.980000","0.980000","Over target","Monthly","","100805","OP1179-4103-102","98.280000","Met","Jan - Jun Average","2014-08-06","no","08/27/2015","13:41:18"
"007-000001179","912","007","Department of Defense","Integrated Strategic Planning and Analysis Network Increment 2","5245","OP1179-4104","Return to Service (RTS) less than 4 hours.","Time to return to service.  Less than 4 hours","1 - Customer Satisfaction (Results)","4.000000","4.000000","Under target","Monthly","","100807","OP1179-4104-103","3.000000","Met","Jan - Jun average 2 hours 52 minutes","2014-08-06","no","08/27/2015","13:41:18"
"007-000001179","912","007","Department of Defense","Integrated Strategic Planning and Analysis Network Increment 2","5247","OP1179-4105","Training will be provided for GAP CIE Trainers, administrators, and users for each spiral delivery.","Number of training seminars on spiral capabilities","1 - Customer Satisfaction (Results)","36.000000","36.000000","Over target","Monthly","","100809","OP1179-4105-104","93.000000","Met","Jan - Jul Training sessions","2014-08-06","no","08/27/2015","13:41:18"
"007-000001179","912","007","Department of Defense","Integrated Strategic Planning and Analysis Network Increment 2","5249","OP1179-4106","KPP Crisis Action Planning.","Percent complete to meeting KPP","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Semi-Annual","","72413","OP1179-4106-101","0.000000","Met","","2013-11-26","yes","08/27/2015","13:41:18"
"007-000001179","912","007","Department of Defense","Integrated Strategic Planning and Analysis Network Increment 2","5253","OP1179-4102","Ensure sufficient software licenses are available to support growing number of CIE users.","Purchase software to support external CIE users","2 - Strategic and Business Results","1.000000","1.000000","Over target","Semi-Annual","","100803","OP1179-4102-102","0.300000","Not Met Yet","Equipment being purchased as needed","2014-08-06","no","08/27/2015","13:41:18"
"007-000001184","913","007","Department of Defense","Mission Planning System Increment 4","5633","OP1184-4101","Mission Effectiveness.  System ability to complete platform mission planning within a platform specific timeline.","Percentage of units meeting the planning timeline","1 - Customer Satisfaction (Results)","97.000000","97.000000","Over target","Monthly","","119281","OP1184-4101-104","100.000000","","","2015-01-09","no","08/27/2015","14:07:04"
"007-000001184","913","007","Department of Defense","Mission Planning System Increment 4","5635","OP1184-4102","Mission Support.  System Support Facility ability to provide timely operational support to mission planning users worldwide.","Percentage of resolved trouble tickets","1 - Customer Satisfaction (Results)","80.000000","80.000000","Over target","Semi-Annual","","119283","OP1184-4102-103","100.000000","","","2015-01-09","no","08/27/2015","14:07:04"
"007-000001184","913","007","Department of Defense","Mission Planning System Increment 4","5639","OP1184-4104","Sustainment of fielded Mission Planning Environments.  Tracks the correction of software deficiencies in fielded mission planning systems.","Percentage of deficiencies corrected","1 - Customer Satisfaction (Results)","10.000000","10.000000","Over target","Semi-Annual","","119285","OP1184-4104-104","0.000000","","Implementation of new methodology is impacting data collection.  Will not report metric until the FY17 BES cycle.","2015-01-09","no","08/27/2015","14:07:04"
"007-000001184","913","007","Department of Defense","Mission Planning System Increment 4","22399","OP1184-4106","Track financial performance.  System program office ability to deliver mission planning capability within cost.","Percentage of activities that meet projected costs","3 - Financial Performance","95.000000","95.000000","Over target","Semi-Annual","","119277","OP1184-4106-101","0.000000","","Associated activity in FY14 was not tracked for financial performance. Intend to address and measure sustainment O&M funding in the next BES cycle.","2015-01-09","no","08/27/2015","14:07:04"
"007-000001184","913","007","Department of Defense","Mission Planning System Increment 4","22401","OP1184-4107","Strategic mapping.  Mission Planning capabilities developed support the United States Air Force Command and Control Core Function Team Masterplan; dated 22 August 2012; approved by Gen Gilmary M. Hostage III, Commander, Air Combat Command.","Validation through inspection","2 - Strategic and Business Results","100.000000","100.000000","Over target","Semi-Annual","","119279","OP1184-4107-101","100.000000","","","2015-01-09","no","08/27/2015","14:07:04"
"007-000003947","915","007","Department of Defense","Air Force Integrated Personnel and Pay System","22597","OP3947-6000","Not Applicable 1.","none","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Monthly","000-000-000","","","","","","","no","08/27/2015","14:07:20"
"007-000003947","915","007","Department of Defense","Air Force Integrated Personnel and Pay System","22599","OP3947-6001","Not Applicable 2.","none","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Annual","000-000-000","","","","","","","no","08/27/2015","14:07:20"
"007-000003947","915","007","Department of Defense","Air Force Integrated Personnel and Pay System","22601","OP3947-6002","Not Applicable 1.","none","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Annual","000-000-000","","","","","","","no","08/27/2015","14:07:20"
"007-000003947","915","007","Department of Defense","Air Force Integrated Personnel and Pay System","22603","OP3947-6003","Not Applicable 4.","none","3 - Financial Performance","0.000000","0.000000","Over target","Annual","000-000-000","","","","","","","no","08/27/2015","14:07:20"
"007-000003947","915","007","Department of Defense","Air Force Integrated Personnel and Pay System","22605","OP3947-6004","Not Applicable 5.","none","2 - Strategic and Business Results","0.000000","0.000000","Over target","Annual","000-000-000","","","","","","","no","08/27/2015","14:07:20"
"007-000001042","917","007","Department of Defense","Defense Occupational and Environmental Health Readiness System - Industrial Hygiene","5203","OP1042-413","Based on the third month after the sample had been taken, the total number of Industrial Hygiene (IH) samples and Environmental Health (EH) samples that have analytical data in DOEHRS-IH / the total number of IH samples and EH samples taken as reflected in DOEHRS x 100.","Percentage","1 - Customer Satisfaction (Results)","90.200000","90.200000","Over target","Annual","000-000-000","115189","OP1042-413-102","90.100000","","The Stakeholders continue to work with the end-users to monitor use of the DOEHRS-IH system per the DoD regulation and resolve any issues preventing the end-users from utilizing the system and meeting Metric 2.","2014-09-30","no","08/27/2015","14:07:02"
"007-000001042","917","007","Department of Defense","Defense Occupational and Environmental Health Readiness System - Industrial Hygiene","5209","OP1042-4104","The % of DOEHRS-IH Server Up-time.","Percentage","1 - Customer Satisfaction (Results)","98.500000","98.500000","Over target","Monthly","000-000-000","146331","OP1042-4104-134","51.400000","","Due to the 17JUN15 Storage Area Network (SAN) Outage at DISA, we were unable to meet this metric.","2015-06-30","no","08/27/2015","14:07:02"
"007-000001042","917","007","Department of Defense","Defense Occupational and Environmental Health Readiness System - Industrial Hygiene","5211","OP1042-4105","Percentage of Tier III Severity 1 System Incident Reports (SIRs) resolved and corrections deployed within 90 days.","Percentage","1 - Customer Satisfaction (Results)","100.000000","100.000000","Over target","Quarterly","000-000-000","146333","OP1042-4105-114","100.000000","","","2015-06-30","no","08/27/2015","14:07:02"
"007-000001042","917","007","Department of Defense","Defense Occupational and Environmental Health Readiness System - Industrial Hygiene","5215","OP1042-412","The total number of DoD high risk-designated workplaces that have a closed survey (baseline and/or periodic) in the last 15-month period / the total number of DoD High Risk-Designated workplaces requiring a survey (baseline and/or periodic) in the previous 15-months.Replaces FY12 metric OP1042-4101.","Percentage","2 - Strategic and Business Results","58.000000","62.000000","Over target","Annual","000-000-000","115199","OP1042-412-102","50.470000","","The Stakeholders continue to work with the end-users to monitor use of the DOEHRS-IH system per the DoD regulation and resolve any issues preventing the end-users from utilizing the system and meeting Metric 1.","2014-09-30","no","08/27/2015","14:07:02"
"007-000001042","917","007","Department of Defense","Defense Occupational and Environmental Health Readiness System - Industrial Hygiene","9575","OP1042-5001","Percentage of returned trainee questionnaires from the monthly DCO-based training that reported training met or exceeded expectations.","Percentage","1 - Customer Satisfaction (Results)","90.000000","90.000000","Over target","Quarterly","000-000-000","146335","OP1042-5001-107","95.000000","","","2015-06-30","no","08/27/2015","14:07:02"
"007-000001042","917","007","Department of Defense","Defense Occupational and Environmental Health Readiness System - Industrial Hygiene","22375","OP1042-5002","Percentage of contracts that are awarded within budget.  No FY14 baseline since this is a new measure and data for baseline was not previously collected.","Percentage","3 - Financial Performance","0.000000","95.000000","Over target","Annual","000-000-000","","","","","","","no","08/27/2015","14:07:02"
"007-000001243","918","007","Department of Defense","Teleport Generation 1/2","5305","OP1243-415","Number of Teleport sites with an operational Joint IP Modem (JIPM) capability.","Teleport Sites","1 - Customer Satisfaction (Results)","2.000000","0.000000","Over target","Quarterly","","81753","OP1243-415-106","0.000000","Met","Pending JIPM operationalization","2013-11-29","yes","08/27/2015","14:07:06"
"007-000001243","918","007","Department of Defense","Teleport Generation 1/2","5307","OP1243-416","Number of Teleport sites with an operational iDirect 2.3 capability.","Teleport Sites","1 - Customer Satisfaction (Results)","0.000000","0.000000","Over target","Quarterly","","71989","OP1243-416-103","6.000000","Met","All sites now commissioned","2013-06-30","yes","08/27/2015","14:07:06"
"007-000001243","918","007","Department of Defense","Teleport Generation 1/2","5309","OP1243-417","Number of Teleport sites with operational MUOS-DISN capability.","Teleport Sites","4 - Innovation","2.000000","2.000000","Over target","Quarterly","","81755","OP1243-417-103","0.000000","Met","Pending conclusion of MUOS operational testing for capability operationalization.","2014-01-31","yes","08/27/2015","14:07:06"
"007-000001243","918","007","Department of Defense","Teleport Generation 1/2","5315","OP1243-413","Number of Teleport Sites fielded the MUOS to DISN gateway.","Teleport Sites","4 - Innovation","2.000000","2.000000","Over target","Quarterly","","81757","OP1243-413-106","2.000000","Met","Suites fielded, Pending MUOS testing for suite commissioning.","2014-01-31","yes","08/27/2015","14:07:06"
