Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rated Date (Updated Date),Evaluation (by Agency CIO),Comments,Visible on IT Dashboard,CIO Rating ID,Investment Event ID,Updated Time
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","10/24/2011","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  Have detailed activity based milestones, detailed project strategy and initial risk register.  Held two initial one day 2020 planning sessions with internal Census stakeholders. CIO is awaiting updates of key project management documents as this major 2012 investment nears its kick off.","Yes","7768","102209","15:58:26"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","12/27/2011","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  The CIO is unable to accurately verify the health of this investment as the project management documentation provided is neither timely , consistent or complete. No actual start dates  have been entered in the Exhibit 300  for many milestones that should have started already.","Yes","8295","112610","12:18:37"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","01/27/2012","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  This project has had to be rebaselined to account for reductions in its 2012 request.  As a result the keystone project to create an extensible Enterprise Infrastructure was reduced by  50% to $7M . The CIO is unable to accurately verify the health of this investment as the project management documentation submitted does not provide sufficient detail.","Yes","8480","115351","11:30:48"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","02/27/2012","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  This project has had to be rebaselined to account for reductions in its 2012 request.  As a result the keystone project to create an extensible Enterprise Infrastructure was reduced by  50% to $7M .  Funds are being redirected to retain critical staff.","Yes","8776","122908","13:31:12"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","03/28/2012","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  This project has had to be rebaselined to account for reductions in its 2012 request.  As a result, the keystone project to create an extensible Enterprise Infrastructure was reduced by 50%.  Funds are being redirected to retain critical staff.  Other preliminary planning activities are behind schedule.","Yes","9263","133051","08:40:33"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","04/27/2012","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  As a result of 2012 appropriation, the keystone project to create an extensible Enterprise Infrastructure was reduced by 50%.  Funds were redirected to retain critical staff.  Other preliminary planning activities are behind schedule.  Recent IG assessment is concerned that decennial 2010 lessons learned reporting is behind schedule.  This will make it difficult for 2020 decennial to develop an appropriate strategy in time to meet their 2015 deadline for having major design components in place.","Yes","9727","139331","07:02:44"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","05/29/2012","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  As a result of 2012 appropriation, the keystone project to create an extensible Enterprise Infrastructure was reduced by 50%.  Funds were redirected to retain critical staff.  Other preliminary planning activities are behind schedule in part due to staff attrition.  There is an on going concern on aligning the timing of decennial research process findings with when key decisions need to be made.","Yes","10321","147733","12:53:52"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","06/28/2012","3","2012 initiative to prepare for 2020 decennial as recommended by GAO.  As a result of 2012 appropriation, the keystone project to create an extensible Enterprise Infrastructure was reduced by 50%.  Funds were redirected to retain critical staff.  Other preliminary planning activities are behind schedule in part due to staff attrition.  There is an on going concern on aligning the timing of decennial research process findings with when key decisions need to be made. It is not possible to independently verify project status as no updates were provided to Exhibit 300B activity nor do those milestones clearly align with the WBS Level 3 in the business plan.","Yes","10841","155245","08:11:46"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","07/30/2012","3","This investment is in the preliminary planning and discovery phase to lay the ground work for a more efficient and accurate census in 2020.  As a result of cuts to the President's 2012 budget to Congress, the keystone project to create an extensible Enterprise Infrastructure was reduced by 50%.  Also, funds were redirected to retain critical staff.  Other preliminary planning activities are behind schedule in part due to staff attrition.  There is an on going concern on aligning the timing of decennial research process findings with when key decisions need to be made. Decennial 2020 recently completed numerous key project planning documentation including risk  register, concept of operations and Tier 3 team schedules. It is not possible to fully confirm project health, as the Exhibit 300B activity data is not aligned with nor does it appear consistent with information being reported in other project managment documents.","Yes","11329","162485","09:12:37"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","08/16/2012","3","This investment is in the preliminary planning and discovery phase to lay the ground work for a more efficient and accurate census in 2020.  As a result of cuts to the President's 2012 budget to Congress, the keystone project to create an extensible Enterprise Infrastructure was reduced by 50%.  Also, funds were redirected to retain critical staff.  Other preliminary planning activities are behind schedule in part due to staff attrition.  There is an on going concern on aligning the timing of decennial research process findings with when key decisions need to be made.  It is not possible to fully confirm project health, as the Exhibit 300B activity data does not seem consistent with information being reported in other project managment documents.","Yes","11747","166105","05:04:53"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","11/04/2010","3","Just transitioned to a stand alone Exhibit 300 investment.  More complete project documentation is expected to be available next month.","Yes","4458","34726","14:46:39"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","11/24/2010","3"," Recently transitioned to a stand alone Exh. 300.  No significant variances reported. Quality of project documentation is improving.","Yes","4641","36865","15:28:41"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","12/28/2010","3","Recently transitioned to a stand alone Exh. 300.  No significant variances reported. Quality of project documentation is improving.","Yes","4841","40753","14:05:48"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","04/26/2011","3","Offsetting variances within program,  overall slightly under budget. Documentation provided to date  is not as detailed as for other IT investments and is not sufficient to fully assess investment health. Census is leading the Department's data center consolidation effort.","Yes","5820","65255","10:46:25"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","05/26/2011","4","Requirements are not clearly enough defined.  Risk Register has been completed, but includes no date-related information as to last review, actions being taken, or recent activity.","Yes","6082","69757","09:04:48"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","06/30/2011","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers.  However, the project management documentation to date is incomplete so it is not possible to clearly identify 2011 project deliverable dates  or whether they are on schedule.","Yes","6389","74233","11:16:44"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","09/28/2011","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers.  Awaiting more comprehensive risk management documentation.","Yes","7675","101051","16:34:45"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","10/24/2011","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers. Received more comprehensive risk information.  Have received project plans for half of the initiatives underway.","Yes","7774","102276","16:13:47"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","11/28/2011","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers. Activities for which we have detailed plans are reported as on schedule, however we have not yet received project plans for all the current activities.","Yes","8059","108685","16:45:15"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","12/27/2011","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers. Census plans to revise the activity milestones in January to better reflect the decreased 2012 funding and revised project plans. Other project management artifacts are inadequate for fully assessing progress.","Yes","8304","112634","12:25:17"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","01/26/2012","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers. Plan versus actual data has not been updated for past 40 days as Census plans to revise the activity milestones to better reflect the decreased 2012 funding and revised 2013 request. Other project management artifacts are inadequate for fully assessing progress.","Yes","8478","115064","16:33:59"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","02/27/2012","2","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers. Plan versus actual data has not been updated for past 70 days as Census plans to revise the activity milestones to better reflect the decreased 2012 funding and revised 2013 request. Other project management artifacts are inadequate for fully assessing progress.","Yes","8783","123041","13:38:03"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","02/28/2012","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers.  Census plans to revise the activity milestones to better reflect the decreased 2012 funding and revised 2013 request. Other project management artifacts are inadequate for fully assessing progress.","Yes","8847","124158","11:11:06"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","03/28/2012","3","Census IT Infrastructure is successfully centralizing storage and data servers, virtualizing machines and is the lead player in helping consolidate Department of Commerce data centers.  Census is planning to revise the activity milestones to better reflect the decreased 2012 funding and revised 2013 request. Other project management artifacts are inadequate for fully assessing progress. No significant variances reported in project activity milestones.","Yes","9277","133101","08:45:04"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","04/26/2012","3","Census IT Infrastructure is continuing to convert servers to blades as part  effort to virtualize and consolidate server resources  and support move to thin client support. Census is the lead player in helping consolidate Department of Commerce data centers.  Census is planning to revise the activity milestones to better reflect the decreased 2012 funding and revised 2013 request. Project management artifacts are inadequate to verify or or fully assess progress. No significant variances reported in project activity milestones.","Yes","9673","138003","06:25:41"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","05/29/2012","3","Census IT Infrastructure has been virtualized and are continuing to consolidate server and storage resources.  The infrastructure is also targeting a move to a thin client  environment. Census is the lead player in helping consolidate Department of Commerce data centers.  Census reports that it is still planning to revise the activity milestones to better reflect actual project realignment.","Yes","10337","147827","13:07:14"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","06/28/2012","3","Census IT Infrastructure has been virtualized and are focused on consolidating server and storage resources.  The infrastructure is also targeting a move to a thin client  environment. Census is the lead player in helping consolidate Department of Commerce data centers.  Census reports that it is still planning to revise the activity milestones to better reflect actual project realignment. In May a cloud architecture was developed for the IT lab and the AIMS system was completed and deployed.","Yes","10853","155291","08:24:39"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","07/30/2012","3","Census IT Infrastructure has been virtualized and are focused on consolidating server and storage resources.  The infrastructure is also targeting a move to a thin client  environment. Census is the lead player in helping consolidate Department of Commerce data centers.  Census plans for significantly revising its activity milestone reporting  to better reflect actual project realignment is now being reviewed. In June they continued their enterprise consolidation, decommissioning 7 legacy servers.","Yes","11341","162537","09:18:08"
"006-000401700","933","006","Department of Commerce","Census IT Infrastructure","08/20/2012","2","Census IT Infrastructure has been virtualized and are focused on consolidating server and storage resources.  The infrastructure is also targeting a move to a thin client  environment. Census is the lead player in helping consolidate Department of Commerce data centers.  In July they added three new enterprise servers and decommissioned 12 legacy servers.  However, current E300 reporting does not appropriately reflect project plans. The E300 baseline is in the process of being revised to better align with internal project managment reporting.  Census self-assessed this investment as RED because of the above deficiencies as well as for the fact the Tech-Stat action items are due and and the PM is currently not certified.  A BCR is expected to be produced shortly that wil rectify some of these issues.","Yes","11817","166617","13:53:16"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","11/04/2010","5","New investment for 2012.  Conducted appropriate preliminary planning.","Yes","4481","34779","15:24:23"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","01/26/2011","5","Exh. 300 currently shows only single annual milestones for investment planned in 2012","Yes","5044","43698","08:39:37"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","04/26/2011","4","New investment proposed for FY 2012.  Appropriate project management planning is underway.  Draft risk, requirements, project plan and other documents have been reviewed.","Yes","5823","65272","11:01:31"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","05/26/2011","4","New investment proposed for FY 2012.  Appropriate project management planning is underway.  Quad chart has not been updated aince March.  Project needs more than a single, year-end milestone.","Yes","6091","69822","11:08:05"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","06/30/2011","4","New investment proposed for FY 2012.  Iniital risk, requirements and work breakdown structure have been developed.","Yes","6425","74531","12:42:45"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","09/28/2011","4","New investment proposed for FY 2012 to more efficiently and effectively implement security monitoring and controls.  Initial risk, requirements and work breakdown structure have been developed.","Yes","7694","101414","17:48:33"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","10/31/2011","4","Start of investment delayed,  tield to the lack of a 2012 appropriation.  Purpose of the investment is to more efficiently and effectively implement security monitoring and controls.  Initial risk, requirements and work breakdown structure have been developed.","Yes","7977","106951","14:36:41"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","12/27/2011","4","The Department plans to proceed with this initiative despite lack of dedicated funds in 2012 budget.  A statement of work is now being developed with bids expected in May 2012.  Production is expected to begin in September and be completed in January 2013.","Yes","8284","112574","10:57:32"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","01/27/2012","4","The Department plans to proceed with this initiative in 2012 budget using internal funds.   A statement of work is now being developed.  Deployment is expected to begin in September 2012 and be completed in 2013.","Yes","8481","115355","11:31:23"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","02/24/2012","4","The Department plans to proceed with this initiative in the 2012 budget using internal funds.   A statement of work is now being developed.  Deployment is expected to begin in September 2012 and be completed in 2013.","Yes","8687","121280","15:46:54"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","03/28/2012","4","The Department plans to proceed with this initiative in 2012 budget using internal funds.  A statement of work is now being developed.  Met March deadline to provide cybersecurity integration plan to OMB. Deployment is expected to begin in September 2012 and be completed in 2013.","Yes","9299","133167","09:14:34"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","04/26/2012","4","The Department is starting  this initiative in 2012 using internal funds.  A statement of work is now being developed.  Met March deadline to provide cybersecurity integration plan to OMB. Deployment is expected to begin in September 2012 and to be completed in 2013.","Yes","9715","139031","13:11:29"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","05/30/2012","3","The Department is starting  this initiative in 2012 using internal funds.  A statement of work is now being developed.  Met March deadline to provide cybersecurity integration plan to OMB. Deployment is expected to begin in September 2012 and to be completed in 2013.  A new project manager was recently appointed.  Various project artifacts are expected shortly to confirm appropriate project planning.","Yes","10377","148157","09:58:28"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","06/29/2012","4","The Department is starting  this initiative in 2012 using internal funds.  A statement of work is now being developed.  The Department is coordinating closely with the operating units on this effort and has presented a cybersecurity integration plan to the CIO Council for review. Deployment is expected to begin in September 2012 and to be completed in 2013.  Appropriate project management documentation has been prepared. Funding was not received for the Enterprise Security Operations Center portion of this effort.  So this may be handled as a separate initiative.","Yes","11017","157071","11:57:09"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","07/31/2012","4","Internal funding MOUs have now been received from nearly all the operating units.  All the documentation has been developed to draft and issue a solicitation.  The Department is coordinating closely with the operating units on this effort and has presented a cybersecurity integration plan to the CIO Council for review.  Appropriate project management documentation has been prepared. Funding was not received for the Enterprise Security Operations Center portion of this effort.  So this may be handled as a separate initiative.","Yes","11473","163815","12:20:49"
"006-000050500","934","006","Department of Commerce","OS OCIO Enterprise Cyber Security Monitoring and Operations (ECMO)","08/16/2012","4","A Request for Quotations for Enterprise cyber security monitoring was posted in late July to the NASA SEWP.  The Department is coordinating closely with the operating units on this effort and has presented a cybersecurity integration plan to the CIO Council for review.  Appropriate project management documentation has been prepared. Funding was not received for the Enterprise Security Operations Center portion of this effort so this may be handled as a separate initiative.","Yes","11779","166255","10:13:29"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","09/16/2011","5","New investment for BY13","Yes","7565","93505","12:45:47"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","09/28/2011","3","OMB mandated plan to integrate BIS ECASS requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk. External mandate to move the USEXPORTS functionality due date from Feb. 2012 to Oct. 2011 significantly  increases the risk of schedule slippage.   This investment is currently experiencing a day for day schedule slippage due to a network procurement issue.   Also investment is 2 to 3 months behind in providing various project management updates.","Yes","7668","100987","16:31:21"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","10/24/2011","3","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk. External mandate to move the USEXPORTS functionality due date from Feb. 2012 to Oct. 2011 significantly increases the risk of schedule slippage.  This investment is currently experiencing a day for day schedule slippage due to a network procurement issue.","Yes","7760","102068","15:28:29"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","11/29/2011","2","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk. Data migration to US Exports has been rescheduled from Oct. 2011 to Sept. 2012. In addition, this investment is continuing to experience a day for day schedule slippage due to a network procurement issue. BIS is working closely with NTIA and DoD to mitigate and resolve the issues that have arisen.","Yes","8091","110496","15:42:50"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","12/27/2011","3","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  Data Migration to USEXPORTS has been delayed from Oct. 2011 to Sept. 2012.  BIS is working closely with NTIA and DoD to mitigate and resolve a network bottleneck which is delaying system migration. Other near term milestones are reported to be on schedule with no cost variance. The lack of specificity in the reported activity milestones makes it difficult to fully verify progress.","Yes","8264","112506","10:07:08"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","01/26/2012","3","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but finding it very difficult to meet aggressive externally set goals.  The Data Migration to USEXPORTS has been delayed from Oct. 2011 to Sept. 2012.  BIS is working closely with NTIA and DoD to mitigate and resolve a network bottleneck which is delaying system migration. Other near term milestones are reported to be on schedule with no cost variance. However, the lack of specificity in the reported activity milestones makes it difficult to independently verify progress.","Yes","8463","115025","16:14:02"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","02/27/2012","3","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but finding it very difficult to meet aggressive externally set goals.  The ability of DTSA to complete Data Migration in time to activate USEXPORTS is increasingly at risk.   Also, BIS is working closely with NTIA and DoD to mitigate and resolve a network bottleneck which is delaying system migration. Other near term milestones are reported to be on schedule with no cost variance.","Yes","8796","123463","15:57:01"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","03/28/2012","3","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but finding it very difficult to meet aggressive externally set goals.  Defense Dept counterpart is requesting additional funds to reduce delay in moving BIS to USEXPORTs which has now been moved to June.  Delay will increase BIS costs for maintaining legacy mainframe. Also, BIS is working closely with NTIA and DoD to mitigate and resolve a network bottleneck which is delaying system migration. Other near term milestones are reported to be on schedule with no cost variance.","Yes","9285","133129","09:10:30"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","04/26/2012","3","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but could not meet aggressive externally set goals.  Additional funds have been requested for DTSA to reduce delay in migrating BIS to USEXPORTS. Any delay beyond June in making USEXPORTS operational will increase BIS costs for maintaining legacy mainframe. Also, BIS is working closely with NTIA and DoD to mitigate and resolve a network bottleneck. Other near term milestones are reported to be on schedule with no cost variance.","Yes","9657","137949","06:18:21"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","05/30/2012","3","OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but could not meet aggressive externally set goals.  Additional funds have been requested for DTSA to reduce delay in migrating BIS (and other agencies) to USEXPORTS. It now seems likely that there will be a delay in DoD being ready to accept data from BIS for  USEXPORTS.  This will increase BIS costs to maintain legacy mainframe. Also, BIS is working closely with NTIA and DoD to mitigate and resolve a network bottleneck. Other near term milestones are reported to be on schedule with no cost variance.","Yes","10363","148117","09:51:25"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","06/29/2012","2","The OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but could not meet aggressive externally set goals.  Additional funds have been requested for DTSA to reduce delay in migrating BIS (and other agencies) to USEXPORTS. It now seems likely that there will be a delay in DoD being ready to accept data from BIS for  USEXPORTS.  This will increase BIS costs to maintain legacy mainframe. Also, BIS is working closely with NTIA and DoD to mitigate and resolve a network bottleneck. No cost, schedule or performance information was received for this month so the health of this investment cannot be appropriately assessed.","Yes","10957","156463","07:21:28"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","07/30/2012","2","The OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but could not meet aggressive externally set goals.  Additional funds have been requested for DTSA to reduce delay in migrating BIS (and other agencies) to USEXPORTS. It now seems likely that there will be a delay both in th ereadiness of the software as well as in the ability of DoD to accept BIS data for  USEXPORTS.  This will increase BIS costs to maintain legacy mainframe.","Yes","11351","162593","10:04:07"
"006-000552000","1080","006","Department of Commerce","BIS Commerce USXPORTS Exporter Support System (CUESS)","08/16/2012","3","The OMB mandated plan to integrate BIS Export licensing review requirements with DOD's US EXPORTS system initiative is a complex effort that entails considerable organizational and technical risk.  The multi agency project team is making some progress but could not meet aggressive externally set goals.  Additional funds have been requested for DTSA to reduce delay in migrating BIS (and other agencies) to USEXPORTS. Due to DTSA delays in data migration and software development the major CUESS activity completion dates are being rebaselined by six months or more. As a result, BIS will incur additional month to month costs to maintain a legacy mainframe.","Yes","11769","166207","09:45:45"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","09/16/2011","5","New investment for BY13","Yes","7567","93617","13:10:58"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","09/28/2011","5","New investment for 2013.  Beginning detailed planning for departments next generation financial  management system.","Yes","7666","100971","16:22:53"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","12/27/2011","5","New investment for 2013.  Beginning detailed planning for department's next generation financial management system.  Project charter including identification of integrated project team members has been prepared.","Yes","8265","112510","10:07:41"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","01/26/2012","5","New investment for 2013.  Have already prepared a Project Charter including identification of integrated project team members. Beginning detailed planning for department's next generation financial management system.","Yes","8464","115028","16:14:39"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","02/24/2012","5","New investment for 2013.  Have already prepared a Project Charter including identification of integrated project team members. Beginning detailed planning for the department's next generation financial management system.","Yes","8683","121211","15:09:08"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","03/28/2012","5","New investment for 2013.  Prepared a Project Charter which includes identification of integrated project team members. Beginning detailed planning for department's next generation financial management system.","Yes","9289","133141","09:11:48"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","04/26/2012","4","New investment for 2013.  Prepared a  Charter which includes identification of integrated project team (IPT) members. Beginning detailed planning for department's next generation financial management system.","Yes","9675","138005","06:26:30"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","05/30/2012","3","New investment for 2013.  Prepared a  Charter which includes identification of integrated project team (IPT) members. Beginning detailed planning for department's next generation financial management system.  Awaiting submission of project management documentation to verify that appropriate project planning is underway.","Yes","10367","148121","09:53:45"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","06/29/2012","3","New investment for 2013.  Prepared a  Charter which includes identification of integrated project team (IPT) members. Beginning detailed planning for department's next generation financial management system.  Have received a risk register. Awaiting submission of additional project management documentation to verify that appropriate project planning is underway.","Yes","10951","156319","07:06:34"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","07/30/2012","4","New investment for 2013 to replace an aging, custom financial management system.  A goals for this next generation enterprise resource management system is for it to be as integrated as possible.  This would reduce the number of interfaces required thereby, a major driver of cost and complexity in the current system. Once funding is received, significant planning will be initiated to confirm the feasibility of selecting COTS software to meet most of the identified needs. Numerous project management artifacts have been prepared, appropriate to this investment's early planning stage.","Yes","11377","162957","11:44:36"
"006-000051500","1081","006","Department of Commerce","Commerce Business Application Solutions (BAS)","08/16/2012","4","This is a new investment for 2013 to replace an aging, custom financial management system.  A goals for this next generation enterprise resource management system is for it to be as integrated as possible.  This would reduce the number of interfaces required thereby, a major driver of cost and complexity in the current system. Once funding is received, significant planning will be initiated to confirm the feasibility of selecting COTS software to meet most of the identified needs. Numerous project management artifacts have been prepared, appropriate to this investment's early planning stage.","Yes","11771","166217","09:46:47"
"006-000656500","1082","006","Department of Commerce","ITA Export.Gov NextGen (ENG)","09/16/2011","5","New investment for BY13","Yes","7568","93634","13:11:13"
"006-000656500","1082","006","Department of Commerce","ITA Export.Gov NextGen (ENG)","09/28/2011","5","New investment for 2013.  Beginning detailed planning for ITA's next generation export.gov information system.","Yes","7676","101057","16:50:48"
"006-000656500","1082","006","Department of Commerce","ITA Export.Gov NextGen (ENG)","12/27/2011","4","Beginning detailed planning for ITA's next generation export.gov information system.  New investment for 2013.  CIO has not yet received any draft project management plans/documentation. Some initial pilot testing is being done as part of the ongoing International Trade Promotion Streamlining effort.","Yes","8267","112520","10:10:45"
"006-000656500","1082","006","Department of Commerce","ITA Export.Gov NextGen (ENG)","01/26/2012","3","Beginning detailed planning for ITA's next generation export.gov information system.   New investment for 2013.  CIO has not yet received any draft project management plans/documentation. Some initial pilot testing is being done as part of the ongoing International Trade Promotion Streamlining effort.","Yes","8468","115038","16:18:05"
"006-000656500","1082","006","Department of Commerce","ITA Export.Gov NextGen (ENG)","02/24/2012","3","Beginning detailed planning for ITA's next generation export.gov information system.  New investment for 2013.  CIO has not yet received any draft project management plans/documentation. Some initial pilot testing is being done as part of the ongoing International Trade Promotion Streamlining effort.","Yes","8684","121212","15:09:42"
"006-000656500","1082","006","Department of Commerce","ITA Export.Gov NextGen (ENG)","03/28/2012","3","Beginning detailed planning for ITA's next generation export.gov information system.  New investment for 2013.  CIO has not yet received draft project management plans/documentation. Some initial pilot testing is being done as part of the ongoing International Trade Promotion Streamlining effort.","Yes","9295","133157","09:13:25"
