Unique_Investment_Identifier,Contract_ID,IDV_PIID,Vendor_name,Contract_size,Type of Contract (USAspending),Contract_Description,Timestamp (Contract)
009-000236620,21606,HHSM500200700015I,CGI FEDERAL INC.,39.319633,Cost Plus Fixed Fee,ADP SYSTEMS DEVELOPMENT SERVICES,2012-03-29 13:26:54
009-000236620,21607,HHSM500200600003I,COMPANION DATA SERVICES LIMITED LIABILITY COMPANY,321.485821,Firm Fixed Price,ENTERPRISE DATA CENTER SERVICES,2012-03-29 13:26:54
009-000236620,21611,HHSM500200700016I,"ELECTRONIC DATA SYSTEMS, LLC",53.295019999999994,Cost Plus Fixed Fee,TAS::75 0511::TAS MULTI CARRIER SYSTEM,2012-03-29 13:26:54
009-000267388,21618,HHSM500200700015I,CGI FEDERAL INC.,7.414610000000001,Cost Plus Fixed Fee,RATE AND BENEFIT INFORMATION SYSTEM PLAN FINDER APPLICATION,2012-02-29 09:29:30
009-000267388,21619,GS35F0073U,"TERREMARK FEDERAL GROUP, INC.",3.951975,Firm Fixed Price,CLOUD COMPUTING SERVICES CONTRACT FOR CCIIO,2012-02-29 09:38:22
009-000276109,21026,GS10F0364K,"DATA NETWORKS, INC.",0.62947,Firm Fixed Price,11-BPHC-029C  3981141  25235   RFC TO PROVIDE IT PROJECT MANAGEMENT SUPPORT FOR THE FURTHER DEVELOPMENT AND ENHANCEMENT OF BHCMIS   POP   TWELVE (12) MONTHS WITH TWO (2)ADDITIONAL TWELVE (12) MONTH OPTION PERIODS,2012-06-28 10:59:28
009-000281361,21027,HHSM500200700018I,INTERNATIONAL BUSINESS MACHINES CORPORATION,18.411067000000003,Cost Plus Award Fee,ENTERPRISE SYSTEMS DEVELOPMENT,2012-02-27 11:48:20
009-000281361,21028,HHSM500200700018I,INTERNATIONAL BUSINESS MACHINES CORPORATION,3.55934,Cost Plus Fixed Fee,OTHER ADP&TELECOMMUNICATIONS SVCS,2012-02-27 11:48:20
009-000281532,21034,HHSM500200700017I,COMPUTER SCIENCES CORPORATION (3126),106.518528,Cost Plus Award Fee,TAS::75 0511::TAS ENTERPRISE SYSTEMS DEVELOPMENT,2012-02-28 13:39:11
009-000281595,21037,HHSM500200700018I,INTERNATIONAL BUSINESS MACHINES CORPORATION,15.2583,Cost Plus Award Fee,TAS::75 0511::TAS RISK ADJUSTMENT SUITE OF SYSTEMS,2012-02-27 11:48:25
009-000281595,21038,GS35F0462V,"PALMETTO GBA, LLC",17.71792,Time and Materials,RISK ADJUSTMENT DATA CUSTIONER SERVICE AND SUPPORT CENTER,2012-03-29 13:26:58
009-000281595,21040,GS00F0026M,LOGISTICS MANAGEMENT INSTITUTE,2.033445,Time and Materials,TAS::75 0511::TAS - MEDICARE PART C AND PART D ANALYSIS AND REPORTING TOOL BUSINESS REQUIREMENTS,2012-03-29 13:26:58
009-000281603,21041,HHSM500200700024I,"QUALITY SOFTWARE SERVICES, INC.",40.679595,Cost Plus Award Fee,SINGLE TESTING CONTRACTOR,2012-03-29 13:26:59
009-000281783,21042,GS35F4052G,FU ASSOCIATES LIMITED,28.125,Time and Materials,TAS::75 0511::TAS HEALTH PLAN MANAGEMENT SYSTEM,2012-07-26 13:08:22
009-000281783,21044,HHSM500200700010I,MARICOM SYSTEMS INCORPORATED,5.591071,Firm Fixed Price,ADP FACILITY MANAGEMENT,2012-07-26 13:08:22
009-000281783,21046,HHSM500200500001B,"GENOVA TECHNOLOGIES, INC.",2.118129,Firm Fixed Price,TAS::75 0511::TAS ACA GENERIC SOW REQUIREMENTS,2012-07-26 13:08:22
009-000281783,21047,HHSM500200700014I,LOGICON INCORPORATED,34.440762,Cost Plus Award Fee,TAS::75 0511::TAS MEDICARE BENEFICIARY DATABASE SUITE OF SYSTEMS MAINTENANCE,2012-07-26 13:08:22
009-000281783,21048,HHSM500200900002I,CATAPULT CONSULTANTS LLC,0.873699,Cost Plus Fixed Fee,TAS::75 0516::TAS AUDIT TRIALS AND HEARINGS,2012-07-26 13:08:22
009-000281783,21049,HHSM500200500001B,"GENOVA TECHNOLOGIES, INC.",0.250576,Firm Fixed Price,TAS::75 0522::TAS PROJECT MANAGEMENT (PM) REQUIREMENTS SUPPORT,2012-02-29 13:46:33
009-000281783,21050,GS35F4902H,"JESKELL SYSTEMS, LLC",59.769987,Firm Fixed Price,"IBM SOFTWARE, LICENSE, AND MAINTENANCE USED IN EDCS THROUGH ENTERPRISE AGREEMENT",2012-07-26 13:08:22
009-000281783,21052,HHSM500200700010I,MARICOM SYSTEMS INCORPORATED,13.364851000000002,Cost Plus Award Fee,BUSINESS INTELLIGENCE - ADD FUNDS TO CLIN 2AA,2012-07-26 13:08:22
009-000281783,21053,HHSM500200700016I,"ELECTRONIC DATA SYSTEMS, LLC",10.868719,Firm Fixed Price,FUTURE WORK DATA BASE ADMINISTRATOR SUPPORT IN THE IDR FOR ONE P-I,2012-07-26 13:08:22
009-000281787,23961,GS35F0045U,CORMAC CORPORATION,1.982102,Time and Materials,MEDICARE EXCLUSIONARY DATABASE,2012-03-29 13:27:01
009-000281787,23963,26301D0054,LOCKHEED MARTIN SERVICES INC,563.378699,Firm Fixed Price,CONSOLIDATED INFORMATION TECHNOLOGY INFRASTRUCTURE CONTRACT,2012-03-29 13:27:01
009-000281787,23965,GS35F4797H,CGI FEDERAL INCORPORATED,10.883585,Firm Fixed Price,PROGRAMMING SERVICES,2012-03-29 13:27:01
009-000281787,23967,GS35F0045U,CORMAC CORPORATION,1.982102,Time and Materials,MEDICARE EXCLUSIONARY DATABASE,2012-03-29 13:27:01
009-000282322,21059,HHSM500200500025I,MATHEMATICA POLICY RESEARCH INCORPORATED,7.499956,Cost Plus Fixed Fee,TAS::75 0511::TAS RESOURCE USE REPORTS USING MEDICARE FEE-FOR-SERVICE BENEFICIARY DATA,2012-02-29 09:29:33
