Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rebaseline Date,Rebaseline Option,Comment,Project ID,Area of Change,Total Planned Cost of all Activities,Lifecycle Costs (SoF),Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","04/23/2012","Rebaseline - other","This portfolio was re-planned due to FY12 cuts in project funding which were caused by projected FY12 revenue falling short of plan.  Note that the Summary of Funding table has not yet changed for these cuts, because final FY12 budgets are not yet finalized.","848,852,854","Projects, Activities","","","2011-2014","","","04/30/2012","12:03:16","8111"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","05/29/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","This portfolio was re-planned due to FY12 cuts in project funding which were caused by projected FY12 revenue falling short of plan.  Note that the Summary of Funding table has not yet changed for these cuts, because final FY12 budgets are not yet finalized.","848,850,852,854","Projects, Activities","","","2011-2014","","","05/31/2012","12:28:55","8329"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","06/29/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","This portfolio was re-planned due to FY12 cuts in project funding which were caused by projected FY12 revenue falling short of plan.Summary of Funding:  This portfolio was re-planned due to FY12 cuts in project funding which were caused by projected FY12 revenue falling short of plan.","","SoF","","","2011-2014","","","06/29/2012","14:47:36","8583"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","08/29/2010","Internal - Other","WBS decomposed to level 3 and milestone planned costs aligned with actual and requested funding.","","","","","","559.294000","2021-09-30","08/31/2010","16:12:24","1101"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","08/29/2010","Correction","WBS decomposed to level 3 and milestone planned costs aligned with actual and requested funding.","","","","","","562.976800","2021-09-30","09/23/2010","12:05:37","1770"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","10/28/2010","Correction","","","","","","","562.976800","2021-09-30","10/29/2010","16:22:30","2221"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","10/29/2010","Correction","","","","","","","565.015000","2021-09-30","11/24/2010","10:14:11","2350"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","11/24/2010","Rebaseline - other","Clear a known false error in the ITDB validations","","","","","","774.454000","2021-09-30","11/24/2010","11:29:29","2355"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","08/30/2010","Rebaseline - other","Decomposed Level 1 milestones further into Level 2 & 3 milestones.Updated PRM table.","","","","","","633.330000","2021-09-30","12/28/2010","13:19:40","2550"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","01/05/2011","Rebaseline - other","Performance metrics:  no rebaseline occurred.  Response is to close a known false Error message from the Dashboard.","","","","","","640.830000","2021-09-30","01/05/2011","12:23:26","2608"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/16/2011","Rebaseline - other","Adjustment to correctly set the Parent-Child relationships for newly added milestones.","","","","","","634.935000","2021-09-30","02/16/2011","13:49:13","2827"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/16/2011","Rebaseline - other","Cost & Schedule: Added for new FY11 IT requirement.Performance Metrics: Changed the Not Rated Yet for FY10 Ratings.","","","","","","637.934000","2021-09-30","02/18/2011","08:58:43","2894"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/07/2011","Rebaseline - adding new iteration","Cost & Schedule:  Duplicate OMB ID numbers were removed for existing milestones, resulting in itheir acceptance to the Dashboard for the first time.  ","","","","","","685.553000","2021-09-30","02/22/2011","13:45:55","3024"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/08/2011","Correction","Cost & Schedule:  Duplicate OMB ID numbers were removed for existing,completed, milestones, resulting in their first acceptance to the Dashboard.","","","","","","428.494000","2021-09-30","02/22/2011","13:58:57","3026"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/12/2011","Rebaseline - adding new iteration","Cost & Schedule:  Future year milestones have been added. These have been masked to this point by duplicate OMB ID numbers which have now been removed.","","","","","","564.126000","2021-09-30","02/22/2011","15:59:32","3042"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/13/2011","Rebaseline - other","Cost & Schedule:  Duplicate OMB ID numbers were removed for several existing milestones, resulting in their first acceptance to the Dashboard.","","","","","","564.126000","2021-09-30","02/22/2011","16:46:06","3049"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/14/2011","Rebaseline - other","Cost & Schedule:  Eliminated duplicate OMB ID#s","","","","","","564.126000","2021-09-30","02/23/2011","12:19:53","3084"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/15/2011","Rebaseline - other","Cost & Schedule: Removed duplicate OMB ID#s","","","","","","564.126000","2021-09-30","02/23/2011","12:37:40","3089"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/17/2011","Rebaseline - adding new iteration","Cost & Schedule:  Cleared old duplicate OMB IDs, resulting in new milestones now being accepted to the Dashboard.","","","","","","564.126000","2021-09-30","02/24/2011","08:37:52","3128"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","03/28/2011","Rebaseline - other","The reporting level for FTE detail has been moved down one level and a new summary level inserted for OMB and Dashboard reporting.  There is no change to investment cost or schedule in this action.  ","","","","","","564.126000","2021-09-30","03/31/2011","18:07:23","3896"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","12/09/2011","Correction","Provides a better clarification to 1) project name and 2) project description.","1484,1486,1487,1488,1490,1491","Projects, Activities","","","2000-2021","","","12/27/2011","14:34:47","7229"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","01/10/2012","Correction","This BCR mitigates schedule delays due to cashflow issues from insufficient PAC funding and continuing resolution. also, replanning to mitigate.Correrction: award milestone entered and define as full activity","1484,1485,1486,1487,1488,1489,1490,1491","Projects, Activities","","","2000-2021","","","01/30/2012","15:43:24","7348"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","02/21/2012","Correction","Correction: Risk: Replanning to risk mitigation if insufficient budget year funding and continuing resolution. also, replanning to mitigate.Correrction:  actual start date for milestone for award task order","1484,1490","Projects, Activities","","","2000-2021","","","02/27/2012","16:59:10","7541"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","05/17/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Project Activity:  Changes include schedule updates for the WCOSS system delivery and related WCOSS ID/IQ task orders and improved transparency of the NWS transfer of funds for Hurricane Forecast and Improvement Program services to the NOAA OCIO R&D High Performance Computing Systems. ","1484,1486,1487,1488,1489,1490,1491","Projects, Activities","","","2000-2021","","","05/31/2012","09:32:14","8309"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","06/29/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Summary of Funding table adjustments were made to clarify the Budget","","SoF","","","2000-2021","","","06/29/2012","13:50:43","8569"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","08/13/2012","Correction","Project Activites cost change to reflect NWS reprogramming budget in FY 12.Corrected actual cost in milestone to reflect reprogramming.","1484,1485,1486,1487,1488,1489,1490,1491","Projects, Activities","","","2000-2021","","","08/17/2012","14:41:56","8969"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","11/30/2009","Internal - Other","","","","","","","50.140000","2012-09-30","11/30/2009","11:36:12","325"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","12/01/2009","Internal - Other","No change in $. Correcting misunderstand about FTE allocation across FY 10 and FY 11.","","","","","","55.113000","2012-09-30","12/01/2009","11:56:08","326"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","06/29/2010","External - Direct Mandate","","","","","","","42.608000","2013-09-30","06/29/2010","10:22:59","746"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","09/16/2010","Rebaseline - adding new iteration","","","","","","","37.637000","2012-09-30","09/21/2010","22:49:21","1737"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","10/28/2010","Correction","","","","","","","35.705000","2012-09-30","10/29/2010","17:19:46","2235"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","12/06/2010","Rebaseline - other","Have not rebaselined.  Update actuals monthly.","","","","","","38.349000","2012-09-30","12/08/2010","11:11:47","2438"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","10/07/2010","Rebaseline - other","Added data to columns: Reporting Frequency, Performance Measure Direction.","","","","","","38.349000","2012-09-30","12/28/2010","13:34:39","2556"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","01/24/2011","Rebaseline - other","Performance Metrics Table - No known Change","","","","","","38.349000","2012-09-30","01/26/2011","11:02:04","2656"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","02/10/2011","Rebaseline - other","Performance Metrics - Updated FY 10 metrics","","","","","","38.349000","2012-09-30","02/17/2011","16:22:45","2877"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","02/10/2011","Rebaseline - other","Performance Metrics - Updated FY 10 Metrics","","","","","","38.349000","2012-09-30","02/18/2011","08:46:23","2887"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","02/22/2011","Rebaseline - other","Performance Metrices:  no rebaseline occurred.  Response is to clase a know false Error message from the Dashboard.","","","","","","38.349000","2012-09-30","02/22/2011","10:43:49","3013"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","03/28/2011","Rebaseline - other","Performance metrics: no rebaseline occured. Response is to close a known false Error message from the Dashboard.","","","","","","38.349000","2012-09-30","03/31/2011","19:14:28","3903"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","04/20/2011","Rebaseline - other","WRIP has been rebaselined to reflect a reordering of milestones and a slight delay in the final deployment date.","","","","","","37.981000","2013-01-30","04/23/2011","10:32:49","3972"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","10/14/2011","Correction","Removing Operational Performance metrics table information from the ITDB.  This is a fully DME investment and these entries were entered prematurely in the September submission, and relate to manual and legacy operations this investment is replacing.One Project is extending its Planned Completion date by 6 months to 6/28/2013.","1316","Projects","","23.426000","2007-2023","","","11/29/2011","15:23:55","7123"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","12/01/2011","Correction","Removing Operational Performance metrics table information from the ITDB.  This is a fully DME investment and these entries were entered prematurely in the September submission, and relate to manual and legacy operations this investment is replacing.","","Metrics","","23.426000","2007-2023","","","12/27/2011","15:17:23","7232"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","06/29/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Summary of Funding table adjustments were made to clarify the Budget.","1316","Projects","","23.399000","2007-2023","","","06/29/2012","14:22:58","8577"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","05/21/2010","Internal - Other","This BCR is approved.  CBS corrected several start dates.  There was no cost impact.","","","","","","495.958962","2012-09-30","05/25/2010","14:45:12","658"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","09/13/2010","Correction","This BCR is approved.  CBS corrected several start dates.  There was no cost impact.","","","","","","495.842838","2012-09-30","09/21/2010","19:36:07","1719"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","10/04/2010","Rebaseline - change in funding strategy","DOC has requested an increase of funding in FY 2012 for Census, NIST and NOAA (funding for NOAA has been requested through a NOAA-specific infrastructure budget) to purchase a standard Oracle/Sun Solaris technology platform for the CBS test, development and production instances.  This will allow for the standardization of the CBS operating system and hardware platform.  In 2005, the CBS Executive Board conducted a business case and initiated a CBS consolidation effort to standardize the CBS technology platform, including efforts to co-locate the CBS and its associated environments at a single location, the Census Data Center (CDC) in 2008.  However, this project was redirected as a result of changes in the Census Bureau s priorities due to unforeseen issues with the Decennial Census.  Several decennial systems were moved to the CDC resulting in a power supply issue that forced the CBS servers to move out of the CDC.   As a result, the bureaus stopped their migration efforts and reverted back to their respective data centers using their current infrastructures that were near the end of life and/or capacity.  For example, two bureaus (Census and NOAA) reverted back to operating on Tru64 Operating Systems for Alpha Server Platforms and HP support ends in December 2012.  If the equipment and operating system is not purchased, there will be a significant impact on the continuity of operations for DOC s financial system, significantly increase the risk of system interruption and security exposure over time.","","","","","","526.703182","2012-09-30","11/24/2010","09:17:27","2343"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","12/22/2010","Rebaseline - other","Cost/Schedule table BCR was approved to fix several minor issues when the milestones were deconstructed.Performance Metrics table updates are pending results of a planned FT2010 customer survey.","","","","","","526.641182","2012-09-30","12/28/2010","16:16:57","2566"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","02/01/2011","Correction","A new Rebaseline not being submitted:  This is to correct data errors received from the IT Dashboard update process.  Current Milestone table within eCPIC is correct and covered under a BCR submitted on 12/20/2010.  Claitifcation for the reasons IT Dashboard generated the errors has not been received.","","","","","","526.774950","2012-09-30","02/24/2011","08:36:42","3127"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","02/22/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Cost & schedule:  Corrected date targets in current and future milestones","","","","","","526.774950","2012-09-30","02/24/2011","16:42:57","3290"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","05/24/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","1-  adjustment of the FY11 budgeted cost to reflect the FY 2011 Enacted Appropriation Level2 - addition of FY13 in the life cycle of the program. ","","","","","","557.227837","2013-09-30","05/26/2011","13:02:50","6080"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","02/15/2012","Rebaseline - adding new iteration","Added two new projects to the CBS investment: 1) CCR-System for Award Management2) Upgrade Fusion Middleware/WebLogic to 11gAdditional changes include:1) Minor updates to project activity names for clarification2) Changes to milestone numbers to allow for sorting of activities under projects3) Minor changes to dates/costs to reflect updated project status.","2934,2935,1962,1964,1965,1966","Projects, Activities","","","1999-2018","","","02/28/2012","08:32:04","7555"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","06/28/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Summary of Funding: Updated FY13 funding to reflect funding as proposed in the FY13 President's budget.","","SoF","","","1999-2018","","","06/29/2012","10:07:34","8537"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","11/24/2009","Internal - Other","More detailed milestones ","","","","","","242.941400","2010-09-30","11/24/2009","15:04:25","333"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","10/28/2010","Correction","","","","","","","1220.808040","2016-09-30","10/29/2010","15:10:23","2201"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","10/28/2010","Correction","","","","","","","1220.808040","2016-09-30","10/29/2010","17:13:18","2232"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","10/28/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","","","","","","","1220.808040","2016-09-30","10/29/2010","17:50:16","2244"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","11/01/2010","Rebaseline - other","Performance metrics updated monthly to reflect current data.","","","","","","1228.599040","2016-09-30","12/28/2010","13:02:51","2542"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","01/05/2011","Rebaseline - other","Performance metrics:  no rebaseline occurred.  Response is to close a known false Error message from the Dashboard.","","","","","","1228.599040","2016-09-30","01/05/2011","12:15:47","2605"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","01/24/2011","Rebaseline - other","Performance Metrics table - No known changes","","","","","","1228.599040","2016-09-30","01/26/2011","13:20:30","2663"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","02/25/2011","Rebaseline - change in scope","The 2011 and 2012 milestones have been revised for this transition period between NPOESS and JPSS.  An official JPSS baseline is expected to be established Q3 2011.","","","","","","1445.149820","2020-09-30","02/25/2011","16:40:17","3446"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","03/30/2011","Rebaseline - other","Performance Metrics:  no rebaseline occurred.  Response is to close a known false Error message from the Dashboard","","","","","","1446.729820","2020-09-30","03/31/2011","19:55:33","3907"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","02/09/2011","Correction","Project Achivity start date had been incorrectly entered. The actual date  has not occurred yet (is a future date.)","1286","Projects, Activities","","","2001-2025","","","02/27/2012","12:24:15","7513"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","05/09/2012","Correction","Projects Table:  OMB ID#1284--Changed typo in Preparatory in Project Name; OMB ID#1288--Deleted DWSS-1 from both Project Name and Project Description because DWSS is no longer supported by the JPSS Program.","1284,1285,1288","Projects, Activities","","","2001-2025","","","05/31/2012","09:29:56","8305"
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","06/29/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Summary of Funding table adjustments were made to clarify the Budget.","","SoF","","","2001-2028","","","06/29/2012","13:47:25","8561"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","07/21/2009","Internal - Other","Input error.","","","","","","2599.060400","2013-09-30","07/21/2009","08:53:02","71"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","10/30/2009","Internal - Other","Corrected 2013 milestone which incorrectly displayed a 2009 planned completion date.","","","","","","2389.341400","2013-09-30","10/30/2009","12:34:46","323"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","09/02/2010","Rebaseline - other","This is not a rebaseline.","","","","","","2350.066812","2013-09-30","09/21/2010","11:14:47","1699"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","10/28/2010","Correction","","","","","","","2419.428485","2013-09-30","10/29/2010","12:27:06","2176"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","08/23/2010","Rebaseline - other","Broke out milestones between DME and SS per OMB request.","","","","","","2457.841546","2013-09-30","11/24/2010","08:55:15","2340"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","08/23/2010","Rebaseline - other","Per OMB and DOC requests the milestones were broken down further to better report project activities.  The milestones were then broken down even further by SS and DME.","","","","","","2427.995950","2013-09-30","12/29/2010","10:42:42","2569"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","01/05/2011","Rebaseline - other","Performance metrics: response is to close a known false Error message from the Dashboard","","","","","","2427.995950","2013-09-30","01/05/2011","10:08:55","2594"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","01/25/2011","Rebaseline - other","No changes made to performance metrics or milestones.  This is an unknown rebaseline error made when submitting to the OMB Dashboard.","","","","","","2493.617764","2013-09-30","01/25/2011","15:09:41","2646"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","02/14/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Reductions to account for two year government staff salary freeze.","","","","","","2492.282764","2013-09-30","02/15/2011","11:56:15","2791"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","02/17/2011","Rebaseline - other","No changes were made to the performance metrics.  This is an unknown rebaseline error made when submitting to the OMB Dashboard.","","","","","","2503.629546","2013-09-30","03/31/2011","10:33:56","3869"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","05/24/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Updated the FY11 milestones to reflect the FY 2011 Enacted Budget","","","","","","2423.504546","2013-09-30","05/26/2011","13:02:18","6079"
"006-000400400","713","006","Department of Commerce","Census - Decennial 2010 Systems Design and Integration, and Decennial 2010 Testing and Evaluation","10/26/2011","Rebaseline - other","Refined description for one operational metric.","","Metrics","","","2002-2013","","","10/26/2011","12:23:53","6820"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","08/29/2010","Rebaseline - other","New initiative, initial, preliminary design baseline.","","","","","","144.635000","2014-09-30","10/29/2010","11:30:30","2171"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","11/18/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Funding delayed due to continuing resolution.","974,975,976,977","Projects","","","2012-2014","","","12/27/2011","12:18:37","7226"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","01/26/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","This replan provides for a modified spending plan caused by a reduction in funding.","974,975,976,977","Projects, Activities","","","2012-2014","","","01/27/2012","11:30:48","7328"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","09/01/2010","Correction","Minor changes for milestone wording","","","","","","","","12/28/2010","13:51:03","2561"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","01/26/2011","Rebaseline - other","Submitting monthly updates to the IT Dashboard results in error messages that are not detailed enough to allow us to diagnose the reason for the error messages.  Only normal monthly updates have been made, so there is no ready explanation for the errors that will allow us to resolve the problem quickly. For now, the Rebaseline - other option is selected to temporarily allow the submission to proceed successfully.  This is not a formal re-baseline.  In the meantime, we are working with OMB technical staff to resolve the error messages.","","","","","","312.133690","2016-09-30","01/26/2011","16:13:54","2669"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","02/07/2011","Rebaseline - change in funding strategy","This exhibit was re-baselined on February 14, 2011 to reflect adjustments to the USPTO budget for Information Technology made during internal reviews and pass backs from the U.S. Department of Commerce and the U.S. Office of Management and Budget.  One notable change was the reduction in costs for government personnel (FTE) caused by the decision to freeze pay at 2010 levels, which changed the amounts in the  Summary of Funding  table in part I.B and the estimated costs for all milestones in the  Cost and Schedule Performance Table  in part II.B.","","","","","","176.285332","2016-09-30","02/18/2011","08:51:46","2891"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","03/04/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","The finish date of the Develop and evaluate vendor prototype solution software milestone was updated to reflect the planned successful completion date of March 2011. The start date of the Train team members in Agile - Phase I milestone was updated to March 2011 as this training is planned to coincide with the roll-out of the new USPTO System Development Life Cycle. The start date of the Build internal cloud environment - Phase I, Start Agile activities (e.g. sprints) for high value targets, and Start Agile activities (e.g. sprints) for IP5 initiatives - Phase I milestones were updated to reflect the intention to start work in May 2011 which will follow both the successful completion of the Develop and evaluate vendor prototype solution software milestone and additional progress on the Implement Architecture and Infrastructure 1.0 milestone. The start date of the Implement Architecture and Infrastructure 1.0 was updated to January 2011 to reflect the initial planning work by OCIO employees on this milestone. The start date of the Start Agile activities (e.g. sprints) for patent search capabilities - Phase I milestone was updated to Sept 2011 as this milestone is less time sensitive at this time compared to other milestones above which are more beneficial to the overall PE2E Program and Patent Corps in the next few months. The start date of the Support Program Management for Patents (FY11) was updated to April 2011 to reflect the planned start of planning activities that will lead to the start of other milestones updated above.","","","","","","176.285332","2016-09-30","03/31/2011","19:41:24","3906"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","06/30/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Adjusting planned costs, planned start/end dates, percent complete due to FY11 cuts.","","","","","","144.788238","2016-09-30","07/25/2011","16:59:10","6691"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","01/18/2012","Rebaseline - other","Changes to this investment s funding were made to reflect the President s FY 2013 budget submission.","2891,2892,2893,2894,929,930,931,933,934,935,936,937,938,939,940,941,942,943,944,946,947,949,952,954,955,956,958,959,960,961,962,928,945,948,950,951,953,957","Projects, Activities","","","2011-2017","","","01/30/2012","16:42:06","7349"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","02/29/2012","Correction","This BCR is an addendum to the previous BCR, and updates various Planned Start / Completion dates that were missed in the previous BCR.","929,930,931,932,933,934,935,936,938,939,940,941,942,943,944,946,947,949,952,954,955,956,958,959,960,961,962,2892,2893,2894,937","Projects, Activities","","","2011-2017","","","02/29/2012","16:22:32","7702"
