"Unique Investment Identifier","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","PIID/Ref PIID","Planned Acquisitions","Updated Date","Updated Time"
005-000000018,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","AMS-Web-Based Supply Chain Management (WBSCM)",GSQ0016AJ0002,NO,09/21/2018,17:53:31
009-000006615,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS OSSI Personnel Security",,,11/30/2018,21:09:31
009-000006772,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Public Web Portal (PWP)",,,11/30/2018,21:09:31
009-000006781,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC MASO Systems",,,11/30/2018,21:09:32
009-000006782,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Office of Safety, Security, and Asset Management Systems",,,11/30/2018,21:09:32
009-000006788,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC MISO Enterprise Business Systems",,,11/30/2018,21:09:32
009-000186429,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASH Commissioned Corps Business Process Management",,,11/30/2018,21:09:32
009-000212655,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - OC HRSA.Gov and Communications IT Support",,,11/30/2018,21:09:32
009-000212755,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - HSB Data Analysis and Reporting",,,11/30/2018,21:09:32
009-000222278,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC OID NCHHSTP Tuberculosis Genotyping Information Management System",,,11/30/2018,21:09:32
009-000223535,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC NCHS National Health Care Surveys",,,11/30/2018,21:09:33
009-000223536,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC National Center for Health Statistics Supplemental Systems",,,11/30/2018,21:09:33
009-000223537,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC National Center for Health Statistics Data Support Systems",,,11/30/2018,21:09:33
009-000227056,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - OIT Database Administration and Application Support",,,11/30/2018,21:09:33
009-000227136,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR DSNS Supporting Applications",,,11/30/2018,21:09:33
009-000234421,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Fellowship Management System",,,11/30/2018,21:09:33
009-000234476,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC OID NCHHSTP TB Epidemiologic Studies Consortium",,,11/30/2018,21:09:33
009-000235136,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC OID NCHHSTP National Prevention Information Network",,,11/30/2018,21:09:34
009-000236620,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS HITECH (Health Information Technology for Economic & Clinical Health)",HHSM500T0007|HHSM500201700020U|HHSM500T0009|HHSM500B0005|HHSM500201700009U,NO,11/30/2018,21:09:34
009-000238916,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - BHW Health Workforce Data Analysis and Reporting",,,11/30/2018,21:09:34
009-000246196,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Public Health Informatics for CSELS",,,11/30/2018,21:09:34
009-000249254,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - HSB Injury Compensation System",,,11/30/2018,21:09:34
009-000250156,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS National Coverage Determination (NCD) Database (NM)",,,11/30/2018,21:09:34
009-000250296,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Local Coverage Determination (LCD) Database (NM)",,,11/30/2018,21:09:34
009-000252196,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA Employee Benefits Information System (EBIS)",,,11/30/2018,21:09:34
009-000255276,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection",HHSF223201610053C|HHSF223201510024B|HHSF223201610002B|HHSF223201810175W,YES,11/30/2018,21:09:35
009-000261566,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA OC Safety Reporting Portal (SRP)","HHSF223201610048I UII - 009-000261566",NO,11/30/2018,21:09:35
009-000264533,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Office of Financial Information Systems Support",,,11/30/2018,21:09:35
009-000267063,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CDRH Submission Tracking and Reporting (CSTAR)",,,11/30/2018,21:09:35
009-000267283,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Secure Access Management System",,,11/30/2018,21:09:35
009-000267387,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Multidimensional Insurance Data Analytics System (MIDAS)",HHSM500201700044G|HHSM500201700044G|HHSM500201700044G|HHSM500201700044G,YES,11/30/2018,21:09:35
009-000267389,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Federally Facilitated Marketplace (FFM)",HHSM500201100001B|HHSM500201500140U|HHSM500201500132U|HHSM500T0013|HHSM500201500246C|HHSM500201700003U|HHSM50020120008I|HHSM500201700016G|HHSM500201400424G|HHSM500201600067G|HHSM500201600001C|HHSM500201600036G|HHSM500201300011I,YES,03/08/2019,18:00:05
009-000267910,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS CCIIO Health Insurance and Oversight IT Investment",HHSM-500-2015-00490G,NO,11/30/2018,21:09:35
009-000273679,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Web Content Management System",,,11/30/2018,21:09:35
009-000274913,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC OID NCHHSTP Evaluation Web (EvalWeb)",,,11/30/2018,21:09:35
009-000276102,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Behavior Risk Factor Surveillance System (BRFSS)",,,11/30/2018,21:09:36
009-000276109,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - Bureau of Primary Health Care (BPHC) Health Center  Management Information System (BHCMIS)",HHSH25034004T|HHSH250201200005I|GS10F0432Y,NO,11/30/2018,21:09:36
009-000276116,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC ATSDR GRASP GIS Internet Mapping System (GISIMS)",,,11/30/2018,21:09:36
009-000276359,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Submission Receipt and Analysis",HHSF223201510046I|HHSF223201510017B|HHSF223201210027I|HHSF223200950015I|HHSF223201310058I|HHSF223201610046I|HHSF223201510022b,YES,03/08/2019,18:00:07
009-000276691,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA NCTR Collaborative Research Support",,,11/30/2018,21:09:36
009-000276788,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CDRH Information Management Support (CIMS)",,,11/30/2018,21:09:36
009-000277861,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC World Trade Center Program Management and Administration",,,11/30/2018,21:09:36
009-000281318,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASFR HHS Forecast Data Repository",,,11/30/2018,21:09:36
009-000281361,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Fraud Prevention System (FPS)",HHSM500201600023C,NO,11/30/2018,21:09:37
009-000281595,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Risk Adjustment Data Collection",HHSM500201400446G|HHSM500201200079G|HHSM500T0003,NO,11/30/2018,21:09:37
009-000281603,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Shared Systems Integrated Testing",HHSM500200700024I,NO,11/30/2018,21:09:37
009-000281642,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Secretary's Operations Center (SOC)",,,11/30/2018,21:09:37
009-000281647,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPE Strategic Work Information and Folder Transfer (SWIFT) Investment",,,11/30/2018,21:09:37
009-000281769,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Electronic Submission of Medical Documentation",HHSM500201300106C|HHSM500201500146U|HHSM500201500143U|HHSM500201400236C,YES,11/30/2018,21:09:37
009-000281783,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Accountable Care Organizations",HHSM500200700016I|HHSM500201600052I|HHSM500201300016I|HHSM500201300014I|HHSM500201300011I|HHSM500201700086G|HHSM500201600069I,YES,11/30/2018,21:09:37
009-000281788,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Provider Statistical and Reimbursement Support (NM)",,,11/30/2018,21:09:37
009-000282056,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS MAPD Payment Systems (APPS) (NM)",,,11/30/2018,21:09:38
009-000282058,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Data Extract System (DESY) (NM)",,,11/30/2018,21:09:38
009-000282062,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS National Medicare Utilization Database (NMUD) (NM)",,,11/30/2018,21:09:38
009-000282065,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASFR HHS Consolidated Financial Reporting System",,,11/30/2018,21:09:38
009-000282141,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Recovery Audit Support (NM)",,,11/30/2018,21:09:38
009-000282281,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Agency Project Management and SharePoint Services (NM)",,,11/30/2018,21:09:38
009-000282322,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Physician Feedback Program (NM)",HHSM5002007000141,,11/30/2018,21:09:38
009-000282329,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Communications Investment",,,11/30/2018,21:09:38
009-000282437,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Continuity of Operations (COOP) Investment",,,11/30/2018,21:09:39
009-000282452,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Integrated Centralized Execution Platform (InCEP) Investment",,,11/30/2018,21:09:39
009-000282577,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Fusion Cell Investment",,,11/30/2018,21:09:39
009-000282596,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASH OHAIDP HIV.gov Website Investment",,,11/30/2018,21:09:39
009-000307914,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS IOS Healthdata.gov",,,11/30/2018,21:09:39
009-000309982,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - BPHC Claims Analysis Review & Tracking (CART) System",,,11/30/2018,21:09:39
009-000314431,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - OIT Enterprise Site Repository",,,11/30/2018,21:09:39
009-000314631,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC MISO IT Services and Tools",,,11/30/2018,21:09:40
009-000314634,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC Content Services",,,11/30/2018,21:09:40
009-000314820,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Advanced Provider Screening",HHSN316201200100W/HHSM-500-2016-00021U,NO,11/30/2018,21:09:40
009-000314838,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicare Secondary Payer Systems",HHSM-500-2007-00021i/HHSM-500-T0010,YES,03/08/2019,18:00:16
009-000314914,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Master Data Management (MDM)",HHSM-500-T0005,NO,11/30/2018,21:09:40
009-000314915,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Enterprise Portal",HHSM-500-T0005,NO,11/30/2018,21:09:40
009-000314916,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Enterprise Identity Management (EIDM)",HHSM500200700020I|HHSM500200700024I,NO,11/30/2018,21:09:40
009-000316501,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - OC Public Engagement Platform (PEP) (Formerly SHIN)",,,11/30/2018,21:09:40
009-000316503,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS MACBIS (Medicaid & CHIP Business Information and Solutions)",HHSM500T0007|GS06F1120Z|HHSM500T0014|GS35F0486R,NO,11/30/2018,21:09:41
009-000316811,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Healthcare Web Support",HHSN316201200160W|HHSM500201600124G|HHM500201400396G|HHSM500201500500G|HHSM500201300011I|GS35F0256K|HHSM500201400403G|HHSM500201500141U|HHSM500201500139U|HHSM500201300054U|GS00T07NSD0008|HHSM500T0004,YES,11/30/2018,21:09:41
009-000316812,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Innovation Core Systems","Incumbent (HHSN316201200202W)|HHSM-500-2017-00048G|Incumbent (HHSM-500-2007-00014I)|HHSP233201600011B|HHSN-316-2012-00077W|HHSM-500-2016-00011B|HHSM-500-2016-00116G|HHSM-500-2012-00008I|HHSM-500-2012-00140G|HHSM-500-2013-00016I|HHSM-500-2011-00015B|HHSM-500-2013-00011I|HHSM-500-2013-00017I|HHSM-500-2011-00020I|HHSM-500-2015-00557G|HHSM-500-2016-00060G|HHSN316201200011W",YES,11/30/2018,21:09:41
009-000316909,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Professional Business Management Support and Tools",,,11/30/2018,21:09:41
009-000316991,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA One DHHS Contact Center",,,11/30/2018,21:09:41
009-000317105,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA FOH Employee Assistance Program",,,11/30/2018,21:09:41
009-000317278,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA Health Risk Assessment",,,11/30/2018,21:09:41
009-000317279,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA Worklife4you",,,11/30/2018,21:09:41
009-000317290,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS OMHA Video Teleconferencing Management Solution",,,11/30/2018,21:09:41
009-000317458,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS IOS Video Teleconferencing System Solution",,,11/30/2018,21:09:42
009-000317482,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPA HHS Television Network Investment",,,11/30/2018,21:09:42
009-000317565,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA Cost Allocation Management Information System",,,11/30/2018,21:09:42
009-000318232,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA Acquisition Reporting System Solution",,,11/30/2018,21:09:42
009-000318236,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA HHS Mentoring Matching Solution",,,11/30/2018,21:09:42
009-000318250,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASH Strategic Work Information and Folder Transfer",,,11/30/2018,21:09:42
009-000318251,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Strategic Work Information and Folder Transfer",,,11/30/2018,21:09:42
009-000318300,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Fraud Investigation Database (NM)",,,11/30/2018,21:09:42
009-000318301,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicare Exclusion Database (NM)",,,11/30/2018,21:09:43
009-000318783,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CDRH Administrative Support Systems (CASS)",,,11/30/2018,21:09:43
009-000318785,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CBER Regulate Biological Products",HHSF223201510223W|HHSF223201610013B|HHSF223201510037I|HHSF223201700019B,NO,11/30/2018,21:09:43
009-000318786,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CBER Protect & Advance Public Health",HHSF223201700019B,NO,11/30/2018,21:09:43
009-000318787,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CBER Administrative",HHSF223201510046I|HHSF223201510234W|HHSF223201700019B,,11/30/2018,21:09:43
009-000318788,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CDER Drug Compliance",,,11/30/2018,21:09:43
009-000318789,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CDER Integrated Data Management",NNG15SD19B|HHSF22314001|HHSF22316004|HHSF22316002|HHSF22316003|0353/16/603636|HHSF22315001|HHSF223201710144W|HHSF223201310013B|HHSF223201710079C|HHSF223201810001,YES,11/30/2018,21:09:43
009-000322461,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASA FOH Respirator Clearance",,,11/30/2018,21:09:43
009-000323557,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","HHS Payroll Administration Service",,,11/30/2018,21:09:44
009-000323611,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS OMHA Electronic Case Adjudication Processing Environment (Investment)",GS00Q09BGD0020|HHSP233201600045G,YES,11/30/2018,21:09:44
009-000325127,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","OS ASPR Modeling & Visualization Hub Environment",,,11/30/2018,21:09:44
009-000325705,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH CC Sci Mission Hospital / Patient Care Applications and Support Tools",,,11/30/2018,21:09:44
009-000325706,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NICHD Sci Mission Extramural Research Management and Support Tools",,,11/30/2018,21:09:44
009-000325707,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Sci Mission Biomedical Data Repositories & Analytical Tools",,,11/30/2018,21:09:44
009-000325708,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIMH Sci Mission Extramural Research Management and Support Tools",,,11/30/2018,21:09:44
009-000325709,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Administration and Management Support Applications and Tools",,,11/30/2018,21:09:44
009-000325710,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIGMS Sci Mission Intramural Research Operations Support Tools",,,11/30/2018,21:09:45
009-000325712,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIDA Sci Mission Intramural Research Operations Support Tools",,,11/30/2018,21:09:45
009-000325713,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIGMS Sci Mission Extramural Research Management and Support Tools",,,11/30/2018,21:09:45
009-000325714,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIDDK Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:45
009-000325715,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIEHS Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:45
009-000325716,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIGMS Sci Mission Research Knowledge Dissemination Tools",,,11/30/2018,21:09:45
009-000325717,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NICHD Administration and Management Support Applications and Tools",,,11/30/2018,21:09:45
009-000325718,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIEHS Administration and Management Support Applications and Tools",,,11/30/2018,21:09:45
009-000325719,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIGMS Administration and Management Support Applications and Tools",,,11/30/2018,21:09:46
009-000325720,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:46
009-000325722,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIEHS Sci Mission Biomedical Data Repositories & Analytical Tools",,,11/30/2018,21:09:46
009-000325723,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIMH Administration and Management Support Applications and Tools",,,11/30/2018,21:09:46
009-000325724,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH ES Sci Mission Biomedical Data Repositories & Analytical Tools",,,11/30/2018,21:09:46
009-000325725,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH CSR Administration and Management Support Applications and Tools",,,11/30/2018,21:09:46
009-000325726,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCATS Sci Mission Research Knowledge Dissemination Tools",,,11/30/2018,21:09:46
009-000325727,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCCIH Sci Mission Extramural Research Management and Support Tools",,,11/30/2018,21:09:46
009-000325728,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCCIH Sci Mission Research Knowledge Dissemination Tools",,,11/30/2018,21:09:47
009-000325729,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH ES Administration and Management Support Applications and Tools",,,11/30/2018,21:09:47
009-000325730,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH ES Sci Mission Intramural Research Operations Support Tools",,,11/30/2018,21:09:47
009-000325840,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CBHSQ Substance Abuse and Mental Health Data Archive (SAMHDA)",,,11/30/2018,21:09:48
009-000325870,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Open Payments","HHSM500201700022U, HHSN316201200011W",NO,11/30/2018,21:09:48
009-000325876,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Enterprise Eligibility Service (EES) (NM)",,,11/30/2018,21:09:48
009-000325932,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - BHW Handbook (BHWH)",,,11/30/2018,21:09:48
009-000325933,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - MCHB Performance Management Handbook (MPMH)",,,11/30/2018,21:09:48
009-000325934,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - HAB Performance Management Handbook",,,11/30/2018,21:09:49
009-000325935,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - ORHP Performance Management Handbook (OPMH)",,,11/30/2018,21:09:49
009-000326045,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CSAP Underage Drinking Prevention Education Initiative",,,11/30/2018,21:09:49
009-000326050,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CSAP Drug-free Workplace Program",,,11/30/2018,21:09:49
009-000326056,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CSAT Homeless and Housing Network (HHRN)",,,11/30/2018,21:09:49
009-000326068,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CMHS CMHI Implementation Evaluation",,,11/30/2018,21:09:50
009-000326070,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CMHS SAMHSA Tribal Training and TA Center",,,11/30/2018,21:09:50
009-000326368,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Sci Mission Research Knowledge Dissemination Support Tools",,,11/30/2018,21:09:50
009-000326369,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NEI Sci Mission Biomedical Data Repositories & Analytical Tools",,,11/30/2018,21:09:50
009-000326370,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NHGRI Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:50
009-000326372,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NHLBI Sci Mission Extramural Research Management and Support Tools",,,11/30/2018,21:09:50
009-000326383,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NHLBI Sci Mission Intramural Research Operations Support Tools",,,11/30/2018,21:09:50
009-000326385,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAAA Sci Mission Biomedical Data Repositories & Analytical Tools",,,11/30/2018,21:09:50
009-000326386,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAID Sci Mission Biomedical Data Repositories & Analytical Tools",,,11/30/2018,21:09:51
009-000326387,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAID Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:51
009-000326388,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAID Sci Mission Intramural Research Operations Support Tools",,,11/30/2018,21:09:51
009-000326389,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAID Administration and Management Support Applications and Tools",,,11/30/2018,21:09:51
009-000326391,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAMS Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:51
009-000326392,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAMS Sci Mission Extramural Research Management and Support Tools",,,11/30/2018,21:09:51
009-000326393,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAMS Sci Mission Intramural Research Operations Support Tools",,,11/30/2018,21:09:51
009-000326394,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAMS Administration and Management Support Applications and Tools",,,11/30/2018,21:09:52
009-000326395,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NICHD Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:52
009-000326402,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIMH Sci Mission Intramural Research Operations Support Tools",,,11/30/2018,21:09:52
009-000326404,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NINDS Sci Mission Clinical Trials and Management Support Tools",,,11/30/2018,21:09:52
009-000326405,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NINDS Sci Mission Extramural Research Management and Support Tools",,,11/30/2018,21:09:52
009-000326406,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NINDS Administration and Management Support Applications and Tools",,,11/30/2018,21:09:52
009-000326407,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NINR Administration and Management Support Applications and Tools",,,11/30/2018,21:09:52
009-000326408,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NLM Sci Mission Biomedical Data Repositories & Analytical Tools",,,11/30/2018,21:09:53
009-000326409,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NLM Sci Mission Research Knowledge Dissemination Tools",,,11/30/2018,21:09:53
