"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY BudgetAuthority ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY BudgetAuthority ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	007","Department of Defense","	21",007-000007294,"AUTOMATED TOOL INVENTORY CONTROL AND TRACKING SYSTEM - RED RIVER ARMY DEPOT",007-000007294,"	04",007-40-493001,"Working Capital Fund, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822420,604232,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000007309,"Air Force Training Record",007-000007309,"	04",007-05-3500,"Military Personnel, Air Force","	007","	57","	57",0.175,0.171,0,0,0,0,0,0,0,0,0.175,0,0.171,0,0,0,0,822422,604234,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000007309,"Air Force Training Record",007-000007309,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.514,0.309,0,0,0,0,0,0,0,0,0.514,0,0.309,0,0,0,0,822423,604234,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000007310,"Combat Related Special Compensation",007-000007310,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.108,0.11,0.112,0,0,0,0,0,0,0,0.108,0,0.11,0,0.112,0,0.112,822424,604235,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000007410,"DEFENSE CASUALTY INFORMATION PROCESSING SYSTEM",007-000007410,"	04",007-10-1106,"Operation and Maintenance, Marine Corps","	007","	17","	17",0.038,0.661,0.666,0,0,0,0,0,0,0,0.038,0,0.661,0,0.666,0,0.666,822425,604236,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000007410,"DEFENSE CASUALTY INFORMATION PROCESSING SYSTEM",007-000007410,"	04",007-10-1804,"Operation and Maintenance, Navy","	007","	17","	17",0.039,0.526,0.759,0,0,0,0,0,0,0,0.039,0,0.526,0,0.759,0,0.759,822426,604236,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000007410,"DEFENSE CASUALTY INFORMATION PROCESSING SYSTEM",007-000007410,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.506,0.506,0.523,0,0,0,0,0,0,0,0.506,0,0.506,0,0.523,0,0.523,822427,604236,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000007538,"Procurement Automated Data and Documents System",007-000007538,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",2.485,2.257,2.503,0,0,0,0,0,0,0,2.485,0,2.257,0,2.503,0,2.503,822428,604237,2019-03-13,20:50:50
"	007","Department of Defense","	17",007-000007879,"PRODUCT DATA REPORTING EVALUATION SYSTEM",007-000007879,"	04",007-10-1804,"Operation and Maintenance, Navy","	007","	17","	17",0.804,1.745,1.769,0.003,0,0.014,0,0.019,0,0.019,0.801,0,1.731,0,1.75,0,1.75,822429,604238,2019-03-13,20:50:50
"	007","Department of Defense","	17",007-000007879,"PRODUCT DATA REPORTING EVALUATION SYSTEM",007-000007879,"	04",007-40-493002,"Working Capital Fund, Navy","	007","	17","	17",0.235,0.258,0.262,0,0,0,0,0,0,0,0.235,0,0.258,0,0.262,0,0.262,822430,604238,2019-03-13,20:50:50
"	007","Department of Defense","	17",007-000007915,"AUTOMATED BUDGET SYSTEM",007-000007915,"	04",007-40-493002,"Working Capital Fund, Navy","	007","	17","	17",0.594,0.605,0.616,0,0,0,0,0,0,0,0.594,0,0.605,0,0.616,0,0.616,822431,604239,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000007983,"Inferential Retrieval Indexing System",007-000007983,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",1.01,0.01,0.01,0,0,0,0,0,0,0,1.01,0,0.01,0,0.01,0,0.01,822432,604240,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000007991,"Air Force Automated Education Management System",007-000007991,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",2.666,2.719,2.771,0,0,0,0,0,0,0,2.666,0,2.719,0,2.771,0,2.771,822433,604241,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008022,"Innovative Development through Employee Awareness (IDEA) Program Data System",007-000008022,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.147,0.201,0,0,0,0,0,0,0,0,0.147,0,0.201,0,0,0,0,822434,604242,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008046,"Reserve Travel System",007-000008046,"	04",007-10-3740,"Operation and Maintenance, Air Force Reserve","	007","	57","	57",0.668,0.675,0.481,0,0,0,0,0,0,0,0.668,0,0.675,0,0.481,0,0.481,822435,604243,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008049,"SENIOR LEADER CAREER MANAGEMENT SYSTEM",007-000008049,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",1.705,1.705,1.705,0,0,0,0,0,0,0,1.705,0,1.705,0,1.705,0,1.705,822436,604244,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008064,"Air Force Safety Automated System",007-000008064,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",1.992,2.036,2.072,0,0,0,0,0,0,0,1.992,0,2.036,0,2.072,0,2.072,822437,604245,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008070,"AMARC BUSINESS SYSTEM",007-000008070,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.008,0,0.009,0,0,0,0,0,0,0,0.008,0,0,0,0.009,0,0.009,822438,604246,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008070,"AMARC BUSINESS SYSTEM",007-000008070,"	04",007-40-493003,"Working Capital Fund, Air Force","	007","	57","	57",2.641,2.681,2.724,0,0,0,0,0,0,0,2.641,0,2.681,0,2.724,0,2.724,822439,604246,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008072,"AIRCRAFT MAINTENANCE PRODUCTION/COMPRESSION REPORT SYSTEM",007-000008072,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.471,0.788,0.562,0,0,0,0,0,0,0,0.471,0,0.788,0,0.562,0,0.562,822440,604247,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008081,"EXECUTION AND PRIORITIZATION OF REPAIRS SUPPORT SYSTEM",007-000008081,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.198,0.204,0.21,0,0,0,0,0,0,0,0.198,0,0.204,0,0.21,0,0.21,822441,604248,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008081,"EXECUTION AND PRIORITIZATION OF REPAIRS SUPPORT SYSTEM",007-000008081,"	04",007-40-493003,"Working Capital Fund, Air Force","	007","	57","	57",2.653,3.782,3.634,0,0,0,0,0,0,0,2.653,0,3.782,0,3.634,0,3.634,822442,604248,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008091,"INFORMATION CENTER SYSTEM",007-000008091,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.011,0.012,0.013,0,0,0,0,0,0,0,0.011,0,0.012,0,0.013,0,0.013,822445,604250,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008104,"Material Processing System",007-000008104,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.565,0.576,0.588,0,0,0,0,0,0,0,0.565,0,0.576,0,0.588,0,0.588,822446,604251,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008111,"DEPOT MAINTENANCE WORKLOAD PLANNING AND CONTROL SYSTEM (G004C)",007-000008111,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.105,0.107,0.108,0,0,0,0,0,0,0,0.105,0,0.107,0,0.108,0,0.108,822447,604252,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008111,"DEPOT MAINTENANCE WORKLOAD PLANNING AND CONTROL SYSTEM (G004C)",007-000008111,"	04",007-40-493003,"Working Capital Fund, Air Force","	007","	57","	57",0.545,0.527,0.543,0,0,0,0,0,0,0,0.545,0,0.527,0,0.543,0,0.543,822448,604252,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008126,"PURCHASE REQUEST PROCESS SYSTEM",007-000008126,"	04",007-40-493003,"Working Capital Fund, Air Force","	007","	57","	57",5.682,5.796,5.912,0,0,0,0,0,0,0,5.682,0,5.796,0,5.912,0,5.912,822449,604253,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008133,"Reliability, Availability, Maintainability Logistics Support System for Pods",007-000008133,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",7.658,2.063,10.855,0,0,0,0,0,0,0,7.658,0,2.063,0,10.855,0,10.855,822450,604254,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008138,"Budget Reporting System",007-000008138,"	04",007-10-3740,"Operation and Maintenance, Air Force Reserve","	007","	57","	57",0.276,0.28,0.285,0,0,0,0,0,0,0,0.276,0,0.28,0,0.285,0,0.285,822451,604255,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008143,"COMMAND MANAGEMENT SYSTEM AF",007-000008143,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",1.045,1.057,1.071,0,0,0,0,0,0,0,1.045,0,1.057,0,1.071,0,1.071,822452,604256,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008143,"COMMAND MANAGEMENT SYSTEM AF",007-000008143,"	04",007-20-3600,"Research, Development, Test and Evaluation, Air Force","	007","	57","	57",0.099,0.099,0.1,0,0,0,0,0,0,0,0.099,0,0.099,0,0.1,0,0.1,822453,604256,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008145,"Commander's Resource Integration System",007-000008145,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",28.489,7.681,6.564,0,0,0,0,0,0,0,28.489,0,7.681,0,6.564,0,6.564,822454,604257,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008147,"LOGISTICS MANAGEMENT DATA BANK",007-000008147,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.108,0.11,0.112,0,0,0,0,0,0,0,0.108,0,0.11,0,0.112,0,0.112,822455,604258,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008147,"LOGISTICS MANAGEMENT DATA BANK",007-000008147,"	04",007-40-493003,"Working Capital Fund, Air Force","	007","	57","	57",1.083,1.101,1.12,0,0,0,0,0,0,0,1.083,0,1.101,0,1.12,0,1.12,822456,604258,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008150,"REPAIRABILITY FORECAST MODEL",007-000008150,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",0.105,0.107,0.108,0,0,0,0,0,0,0,0.105,0,0.107,0,0.108,0,0.108,822457,604259,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008150,"REPAIRABILITY FORECAST MODEL",007-000008150,"	04",007-40-493003,"Working Capital Fund, Air Force","	007","	57","	57",0.516,0.498,0.513,0,0,0,0,0,0,0,0.516,0,0.498,0,0.513,0,0.513,822458,604259,2019-03-13,20:50:50
"	007","Department of Defense","	17",007-000008181,"INTEGRATED TECHNICAL ITEM MANAGEMENT AND PROCUREMENT",007-000008181,"	04",007-40-493002,"Working Capital Fund, Navy","	007","	17","	17",1.781,2.051,1.972,0,0,0,0,0,0,0,1.781,0,2.051,0,1.972,0,1.972,822461,604261,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008188,"1099 TAX REPORTING PROGRAM",007-000008188,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",1.068,1.043,0.765,0.003,0,0.002,0,0,0,0,1.065,0,1.041,0,0.765,0,0.765,822462,604262,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008190,"TRANSPORTATION SUPPORT SYSTEM",007-000008190,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",0.453,0.428,0,0.003,0,0.003,0,0,0,0,0.45,0,0.425,0,0,0,0,822463,604263,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008192,"DEPLOYABLE DISBURSING SYSTEM",007-000008192,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",7.431,5.72,6.34,0.671,0,0,0,0,0,0,6.76,0,5.72,0,6.34,0,6.34,822464,604264,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008195,"INTERNATIONAL BALANCE OF PAYMENTS",007-000008195,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",0.089,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,822465,604265,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008196,"WORK YEAR AND PERSONNEL COST REPORTING",007-000008196,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",0.591,0.461,0.636,0.008,0,0.009,0,0.016,0,0.016,0.583,0,0.452,0,0.62,0,0.62,822466,604266,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008197,"STANDARD CONTRACT RECONCILIATION TOOL",007-000008197,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",0.867,1.108,1.772,0.006,0,0.007,0,0.387,0,0.387,0.861,0,1.101,0,1.385,0,1.385,822467,604267,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008198,"DEFENSE DISBURSING ANALYSIS REPORTING SYSTEM",007-000008198,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",1.297,1.188,1.026,0,0,0,0,0,0,0,1.297,0,1.188,0,1.026,0,1.026,822468,604268,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008202,"OPERATIONAL DATA STORE",007-000008202,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",5.916,4.833,5.327,0.036,0,0.046,0,0.064,0,0.064,5.88,0,4.787,0,5.263,0,5.263,822469,604269,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008203,"ONLINE REPORT VIEWING",007-000008203,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",1.746,1.887,1.659,0.042,0,0.058,0,0.072,0,0.072,1.704,0,1.829,0,1.587,0,1.587,822470,604270,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008204,"GARNISHMENT EDM SYSTEM",007-000008204,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",0.487,0,0,0,0,0,0,0,0,0,0.487,0,0,0,0,0,0,822471,604271,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000008399,"DEFENSE MILITARY PAY OFFICE",007-000008399,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",12.775,10.398,12.597,0.209,0,0.194,0,0.397,0,0.397,12.566,0,10.204,0,12.2,0,12.2,822472,604272,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008426,"Army Stationing and Installation Plan",007-000008426,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",2.155,1.902,2.1,0,0,0,0,0,0,0,2.155,0,1.902,0,2.1,0,2.1,822473,604273,2019-03-13,20:50:50
"	007","Department of Defense","	57",007-000008659,"ITEM MANAGEMENT CONTROL SYSTEM",007-000008659,"	04",007-10-3400,"Operation and Maintenance, Air Force","	007","	57","	57",3.164,3.475,3.869,0,0,0,0,0,0,0,3.164,0,3.475,0,3.869,0,3.869,822541,604300,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008702,"Army Energy and Water Reporting System",007-000008702,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.625,0.625,0.663,0,0,0,0,0,0,0,0.625,0,0.625,0,0.663,0,0.663,822542,604301,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008702,"Army Energy and Water Reporting System",007-000008702,"	04",007-20-2040,"Research, Development, Test and Evaluation, Army","	007","	21","	21",0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,822543,604301,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008703,"ARMED FORCES RECREATION CENTER-MATERIALS CONTROL INVENTORY SYSTEM",007-000008703,"	04",007-05-2010,"Military Personnel, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822544,604302,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008704,"Armed Forces Recreation Center, Property Management System",007-000008704,"	04",007-05-2010,"Military Personnel, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822545,604303,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008705,"ARMY HOUSING ENTERPRISE SYSTEM",007-000008705,"	04",007-30-0725,"Family Housing Operation and Maintenance, Army","	007","	21","	21",0.86,0.86,0.86,0,0,0,0,0,0,0,0.86,0,0.86,0,0.86,0,0.86,822546,604304,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008710,"Army Recreation Machine Program Gaming Network",007-000008710,"	04",007-05-2010,"Military Personnel, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822547,604305,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008711,"ARMY RECREATION MACHINE PROGRAM ACCOUNTING",007-000008711,"	04",007-05-2010,"Military Personnel, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822548,604306,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008712,"ARMY ENVIRONMENTAL PERFORMANCE IMPROVEMENT AND REPORTING SYSTEM",007-000008712,"	04",007-40-493001,"Working Capital Fund, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822549,604307,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008716,"Cape Environmental",007-000008716,"	04",007-40-493001,"Working Capital Fund, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822550,604308,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008723,"FACILITIES AND EQUIPMENT MAINTENANCE SYSTEM - ARMY MATERIEL COMMAND",007-000008723,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.104,0.104,0.105,0,0,0,0,0,0,0,0.104,0,0.104,0,0.105,0,0.105,822551,604309,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008728,"Geographic Information Systems (GIS) Anniston Army Depot",007-000008728,"	04",007-40-493001,"Working Capital Fund, Army","	007","	21","	21",0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0.001,822552,604310,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008733,"FORT DRUM INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008733,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.013,0.013,0.013,0,0,0,0,0,0,0,0.013,0,0.013,0,0.013,0,0.013,822553,604311,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008736,"FORT BRAGG INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008736,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.631,0.649,0.66,0,0,0,0,0,0,0,0.631,0,0.649,0,0.66,0,0.66,822554,604312,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008738,"FORT CAMPBELL INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008738,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.002,0.002,0.002,0,0,0,0,0,0,0,0.002,0,0.002,0,0.002,0,0.002,822555,604313,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008741,"HAWAII INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008741,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.018,0.019,0.02,0.018,0,0.019,0,0.02,0,0.02,0,0,0,0,0,0,0,822556,604314,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008743,"FORT IRWIN INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008743,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.011,0.011,0.011,0,0,0,0,0,0,0,0.011,0,0.011,0,0.011,0,0.011,822557,604315,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008744,"FORT LEONARD WOOD INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008744,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.018,0.018,0.018,0,0,0,0,0,0,0,0.018,0,0.018,0,0.018,0,0.018,822558,604316,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008752,"FORT WAINWRIGHT INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008752,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.011,0.011,0.011,0,0,0,0,0,0,0,0.011,0,0.011,0,0.011,0,0.011,822559,604317,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008757,"WHITE SANDS MISSILE RANGE INSTALLATION GEOSPATIAL INFORMATION AND SERVICES",007-000008757,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.45,0.468,0.486,0,0,0,0,0,0,0,0.45,0,0.468,0,0.486,0,0.486,822560,604318,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008764,"Web Compliance Assessment and Sustainment System",007-000008764,"	04",007-10-2065,"Operation and Maintenance, Army National Guard","	007","	21","	21",2.84,2.5,1.913,0.989,0,0.638,0,0.04,0,0.04,1.851,0,1.862,0,1.873,0,1.873,822561,604319,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008772,"JOINT BASE LEWIS-MCCHORD POLLUTION PREVENTION SYSTEM",007-000008772,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.089,0.103,0,0,0,0,0,0,0,0,0.089,0,0.103,0,0,0,0,822562,604320,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008773,"Pavement Sustainment Management System",007-000008773,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.35,0.35,0.35,0,0,0,0,0,0,0,0.35,0,0.35,0,0.35,0,0.35,822563,604321,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008777,"Railroad Track Sustainment Management System",007-000008777,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.35,0.35,0.35,0,0,0,0,0,0,0,0.35,0,0.35,0,0.35,0,0.35,822564,604322,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008778,"REPOSITORY OF ENVIRONMENTAL ARMY DOCUMENTS",007-000008778,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.07,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,822565,604323,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008785,"SOLID WASTE ANNUAL REPORTING SYSTEM",007-000008785,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.4,0.4,0.4,0,0,0,0,0,0,0,0.4,0,0.4,0,0.4,0,0.4,822566,604324,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000008785,"SOLID WASTE ANNUAL REPORTING SYSTEM",007-000008785,"	04",007-20-2040,"Research, Development, Test and Evaluation, Army","	007","	21","	21",0.25,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,822567,604324,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000100002,"JCS REPOL",007-000100002,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",0.964,1.882,1.918,0,0,0,0,0,0,0,0.964,0,1.882,0,1.918,0,1.918,822568,604325,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000100003,"Bulk Petroleum - Common Operating Picture",007-000100003,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",1.961,2.032,2.075,0,0,0,0,0,0,0,1.961,0,2.032,0,2.075,0,2.075,822569,604326,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100005,"TOTAL AMMUNITION STOCKPILE RELIABILITY PROGRAM",007-000100005,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.097,0.121,0.133,0,0,0,0,0,0,0,0.097,0,0.121,0,0.133,0,0.133,822571,604328,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100026,"Training Support Materiel Armywide Tracking System",007-000100026,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.921,0.939,0,0,0,0,0,0,0,0,0.921,0,0.939,0,0,0,0,822572,604329,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100027,"Integrated Commercial Intrusion Detection System - Fort Hood",007-000100027,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",1.26,1.241,1.27,0,0,0,0,0,0,0,1.26,0,1.241,0,1.27,0,1.27,822573,604330,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100028,"ITALY PHYSICAL ACCESS CONTROL SYSTEM",007-000100028,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.13,0.135,0.138,0,0,0,0,0,0,0,0.13,0,0.135,0,0.138,0,0.138,822574,604331,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100029,"Del Din Fire Alarm System",007-000100029,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.117,0.122,0.127,0,0,0,0,0,0,0,0.117,0,0.122,0,0.127,0,0.127,822575,604332,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100030,"Del Din Intrusion Detection System",007-000100030,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.859,0.902,0.947,0,0,0,0,0,0,0,0.859,0,0.902,0,0.947,0,0.947,822576,604333,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000100033,"Department of Defense Healthcare Management System Modernization",007-000100033,"	04",007-10-0130,"Defense Health Program","	007","	97","	97",517.705,838.192,622.994,386.221,0,616.691,0,299.019,0,299.019,131.484,0,221.501,0,323.975,0,323.975,822577,604334,2019-03-13,20:50:50
"	007","Department of Defense","	97",007-000100034,"Business Continuity Planning System",007-000100034,"	04",007-40-493005,"Working Capital Fund, Defense-wide","	007","	97","	97",0.209,0.209,0.318,0,0,0,0,0,0,0,0.209,0,0.209,0,0.318,0,0.318,822578,604335,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100035,"Utilities Monitoring Control System (UMCS)",007-000100035,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.746,0.515,0.5,0,0,0,0,0,0,0,0.746,0,0.515,0,0.5,0,0.5,822579,604336,2019-03-13,20:50:50
"	007","Department of Defense","	21",007-000100036,"Army Stationing and Installation Plan - Secret",007-000100036,"	04",007-10-2020,"Operation and Maintenance, Army","	007","	21","	21",0.208,0.24,0.24,0,0,0,0,0,0,0,0.208,0,0.24,0,0.24,0,0.24,822580,604337,2019-03-13,20:50:50
