"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Release Every Six Mo","Release Every Six Mo Comment","Production Deployment Date","Funded by TMF or IT WCF Funding?","Commercial Solution(s) Adoption","Commercial Solution(s) Reasoning","Commercial Solution(s) Costs","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
024-000007001,167,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Integrated Public Alert & Warning System (IPAWS)","	70017000",17047,"	108349","OPEN Cloud Implementation","Modernize and migrate the IPAWS-OPEN system to the cloud, with the objectives of more efficiently operating the system by leveraging the “only pay for what you use” cloud utility model and improve the IPAWS uptime availability performance. Once IPAWS migrates to the cloud, the Program will no longer pay for equipment or licenses – it will only pay for infrastructure and services that are used and billed on a utility model. This is expected to provide significance operational and Oracle license cost savings.  The ARB set an IPAWS KPP of 99.99% uptime availability objective that is not achievable without migrating to the cloud, which has an SLA with financial guarantees of 99.99%. In addition to the focus on business investment and technical performance improvements, the recent announcement of the DHS Data Center 2 (DC2) closure adds additional urgency to migrate to a new cloud-hosted environment.
The project will include a redesign of the application and architecture to a more cost-effective and cloud-optimized design.  IPAWS will eliminate the costly and unnecessary Oracle enterprise SOA architecture platform required of FEMA systems residing at DC2.  The newly designed application and architecture will not require SOA or Oracle databases, and associated licenses.",2018-10-01,2021-09-30,13.347,"2 - Iterative: Incremental, Spiral, Agile",yes,,2020-09-30,N/A,N/A,N/A,N/A,0,0,Green,0.388,25.82,Yellow,In-progress,03/28/2019,21:13:48
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73331",301,"	177433","Acquire IOC","Roll Warehouse Mgmt out to remaining DCs and Implement.",2010-12-29,2012-12-31,2.36,"3 - Not Primarily a Software Development Project",no,"This project is completed.",,,,,,-396,-54.02,Red,0,0,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73332",302,"	177436","COTS Upgrade","Implement FOC through BAE/Manhattan contract, including services, SW acq, HW acq, C&A/ATO.",2010-09-29,2012-08-31,29.199,"1 - Waterfall",yes,,,,,,,-303,-43.16,Red,-0.132,-0.45,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73333",303,"	177432","SOA GSS Integration","Build and implement interfaces to GSA transportation and Numerex via FEMA SOA GSS.",2011-06-01,2013-08-31,0.631,,yes,,,,,,,-92,-23.29,Yellow,0,0,Green,Completed,09/12/2014,07:33:50
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73334",304,"	180172","Data Center Migration","Migrate LSCMS to DHS Data Center.",2010-11-01,2012-08-31,3.36,"1 - Waterfall",no,"Migrating data from old system to new system.  There is no requirement for future data migration.",,,,,,-212,-31.69,Red,0.114,3.39,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73335",4075,"	193844","WM at DISC","Management system at the DISC.",2015-10-01,2017-06-30,1.513,"1 - Waterfall",yes,,2017-06-30,,,,,-53,-8.31,Green,0,0,Green,Completed,09/14/2017,11:30:49
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73336",4077,"	193843",eLearning,"eLearning training solution.",2013-08-01,2014-10-31,0.405,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,-140,-30.7,Red,0,0,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73337",4079,"	197594",COOP/DR,"Stand up a Continuity of Operations/Disaster Recovery environment.",2013-06-01,2016-12-31,0.814,"2 - Iterative: Incremental, Spiral, Agile",no,"Will have functionality changes as required.",,,,,,0,0,Green,0,0,Green,Completed,03/31/2016,11:26:15
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73339",4083,"	197593","Partner Interfaces","Develop and deploy Order, Ship and Receive system interface with FEMA partners.",2013-04-01,2014-09-16,1,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,-106,-30.29,Red,0,0,Green,Completed,01/29/2016,12:18:00
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733310",4085,"	197588","Carrier Rate Changes","Develop and deploy interface with GSA for carrier rate changes.",2013-06-03,2014-06-30,0.4,"2 - Iterative: Incremental, Spiral, Agile",no,"This was one study that was completed.",,,,,,-138,-50.74,Red,0,0,Green,Completed,01/29/2016,12:18:00
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733311",4087,"	197591","CMS Integration/WebEOC","Develop and deploy integration with Crisis Management System (CMS).",2015-10-01,2016-12-30,0.4,"2 - Iterative: Incremental, Spiral, Agile",no,"Will make functionality changes as required.",,,,,,-8,-2.66,Green,0,0,Green,Completed,10/28/2017,06:11:21
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733312",13711,"	66957","Upgrade v2016","The purpose of this SOO is to contract for an upgrade of the LSCMS Manhattan Associates COTS suite from the 2011 version to the 2015 version to address cyber security issues and mitigate software vulnerabilties resulting from unsupportable third party software.",2015-11-01,2017-06-01,9.04,"1 - Waterfall",no,"The complexity of development and the length of testing for deployment i.e, IST, UAT, IV&V, performance testing and Cyber Security Testing.",2016-12-20,N/A,N/A,N/A,N/A,-57,-11.03,Yellow,0,0,Green,Completed,09/20/2018,01:08:39
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733313",15072,"	95344","Disaster Recovery Alternate Site","Stand up a Disaster Recovery Environment that can operate as an alternative site.",2018-01-29,2019-08-13,0.838,"3 - Not Primarily a Software Development Project",no,"The goal of project is to establish an alternate site for LSCMS application.  Once established, releases every 6 months will not be required.  Standard O&M will be performed to ensure that the alternate site matches the primary site.",2019-09-30,N/A,N/A,N/A,N/A,-73,-14.96,Yellow,-0.005,-0.6,Green,In-progress,03/29/2019,17:15:13
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	1",28,"	178169","4th Qtr TWIC Maintenance","Provide TWIC updates to ensure that support systems continue to provide workers with TWIC Cards.",2011-07-01,2011-09-30,1.8,"2 - Iterative: Incremental, Spiral, Agile",no,"Releases are scheduled in accordance with the identified change request when the change request is approved by the configuration control board.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	2",29,"	178168","Consolidated Service Contracts Transition","Transition TWIC services to the Universal Enrollment Services (UES) contract and Technology Infrastructure Modernization (TIM) IDIQ contracts.",2011-07-01,2013-07-08,3.5,"3 - Not Primarily a Software Development Project",no,"Not a software project.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	3",30,"	178612","2012 TWIC Maintenance","Provide necessary activities and TWIC updates to ensure that support systems continue to enroll and issue TWICs to Transportation Workers (TW).",2011-10-01,2012-09-30,20,"2 - Iterative: Incremental, Spiral, Agile",no,"Releases are scheduled in accordance with the identified change request when the change request is approved by the configuration control board.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	4",31,"	180212","TWIC Reader Qualification","Enhance the TWIC Reader qualification program via the Qualified Technology List (QTL) program.",2011-10-01,2012-12-31,1.2,"3 - Not Primarily a Software Development Project",no,"Not a software project.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	5",3861,"	190256","TWIC System Maintenance","Provide necessary activities and TWIC system updates to ensure that support systems continue to enroll and issue TWICs to Transportation Workers (TW).",2012-10-01,2014-08-31,21,"2 - Iterative: Incremental, Spiral, Agile",no,"Releases are scheduled in accordance with the identified change request when the change request is approved by the configuration control board.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	6",3863,"	190296","Extended Expiration Date (EED) TWICs","Establish Extended Expiration Date (EED) TWICs for transportation workers whose current TWIC card expires between 08/31/12 and 12/30/14.",2012-03-01,2013-06-28,2.2,"3 - Not Primarily a Software Development Project",no,"Not a software project.",,,,,,-61,-14.42,Yellow,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	7",3865,"	190295","Card Failure Analysis","Perform a detailed analysis of card failure to determine root cause and provide recommendations to reduce failure rates.",2012-08-01,2013-03-31,1.1,"3 - Not Primarily a Software Development Project",no,"Not a software project.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	9",7891,"	212662","Card Production Services Migration from USCIS to GPO","Plan, develop, and monitor the migration of TWIC card production services from USCIS to GPO, coordinating change requests to the TWIC system where necessary.",2013-03-01,2014-05-31,1.5,"3 - Not Primarily a Software Development Project",no,"Not a software project.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	10",7893,"	212763","TWIC Legacy System Migration to TIM","Coordinate the migration of the TWIC Legacy System to the service-base Technology Infrastructure Modernization (TIM) infrastructure and coordinate the implementation of change requests to ensure TWIC program requirements are met.",2013-07-01,2014-08-31,4.307,"3 - Not Primarily a Software Development Project",no,"Not a software project.",,,,,,0,0,Green,0,0,Green,Completed,01/26/2016,12:43:44
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	11",7895,"	212764","UES System Change Requests","Identify requirements and coordinate change requests to ensure that TWIC program goals can be achieved.",2013-06-22,2020-09-30,6.157,"3 - Not Primarily a Software Development Project",n/a,"Not a software project.",,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,10/31/2018,13:48:08
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	12",7897,"	214434","TIM System Change Requests","Identify requirements and coordinate change requests to ensure that TWIC program goals can be achieved.",2014-10-01,2020-09-30,9,"3 - Not Primarily a Software Development Project",n/a,"Not a software project.",,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,10/31/2018,13:48:08
024-000005628,170,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Transportation Worker Identification Credential (TWIC)","	13",13027,"	44010","Card Production Service Provider (CSPS) Change Requests","Successful implementation of CSPS system changes that are required as a result of new requirements or identified issues wiht the existing interface with the TIM and/or UES systems.",2015-07-09,2020-09-30,5.125,"3 - Not Primarily a Software Development Project",n/a,"This purpose of this project is to identify new requirements or identify issues with the existing CPSP system in order to meet TWIC program objectives.",,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,10/31/2018,13:48:08
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	100",367,"	176003","Functional Releases","This release is to enhance capabilities in the core vetting engine and associated interfaces.    It will also provide increased functionality based on program needs as identified by program leadership.",2011-03-22,2012-10-10,6.768,"3 - Not Primarily a Software Development Project",no,"Project has been completed.",,,,,,-141,-24.82,Yellow,-0.061,-0.9,Green,Completed,06/18/2015,17:01:34
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	200",368,"	175995","SFUI Releases","This release is enhance capabilities in the Secure Flight User Interfaces.   It will also provide increased functionality based on program needs as identified by program leadership.",2011-08-23,2013-01-08,3.586,"3 - Not Primarily a Software Development Project",n/a,"Project has been completed.",,,,,,-80,-16.77,Yellow,0.468,13.05,Yellow,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	300",369,"	175994","RMS Releases","This release is enhance capabilities in the Secure Flight Report Management System (RMS).   It will also provide increased functionality based on program needs as identified by program leadership.",2011-02-08,2012-08-13,3.773,"3 - Not Primarily a Software Development Project",no,"Project has been completed.",,,,,,-38,-6.88,Green,0.795,21.07,Yellow,Completed,09/11/2014,06:29:02
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	400",370,"	175996","Maintenance Releases BY13 Q4","These releases are to address any problem requests (PR) or performance issues across the various Secure Flight environments.    These releases will also include any code revisions or additions necessary to support OIA infrastructure releases, upgrades and technical refreshes.",2011-09-01,2011-09-30,0.204,"3 - Not Primarily a Software Development Project",no,"Project has been completed.",,,,,,0,0,Green,0,0,Green,Completed,09/11/2014,06:29:03
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	500",371,"	175993","Maintenance Releases BY13","These releases are to address any problem requests (PR) or performance issues across the various Secure Flight environments.    These releases will also include any code revisions or additions necessary to support OIA infrastructure releases, upgrades and technical refreshes.",2011-10-01,2012-09-30,2.448,"3 - Not Primarily a Software Development Project",no,"Project has been completed.",,,,,,0,0,Green,0,0,Green,Completed,09/11/2014,06:29:05
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	110",3843,"	189877","Functional Hardware Releases BY14","This release is for Hardware Upgrades for the core vetting engine and associated interfaces.",2012-06-14,2014-06-03,19.851,"3 - Not Primarily a Software Development Project",no,"Project has been completed.",,,,,,-1,-0.14,Green,0.036,0.18,Green,Completed,09/11/2014,06:29:06
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	210",3845,"	190139","Hardware IT Upgrades","Hardware upgrades for the core vetting engine and associated interfaces. SW upgrades that will enhance the abiility of the core vetting engine with making positive name matches, and improve the coordination with law enforcement responses.",2012-10-01,2014-06-17,1.641,"3 - Not Primarily a Software Development Project",no,"Project has been completed.",,,,,,0,0,Green,0.023,1.4,Green,Completed,09/11/2014,06:29:07
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	310",3847,"	190140","RMS Releases BY14","Upgrades to various software packages.",2012-05-25,2013-01-30,1.64,"3 - Not Primarily a Software Development Project",no,"Project has been completed.",,,,,,-106,-42.4,Red,-0.25,-26.32,Yellow,Completed,09/11/2014,06:29:08
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	510",3849,"	190138","Communications, Data Asests, and Software Upgrades","Communications/Data/Software upgrades for the core vetting engine that support TSA’s Risk-Based Security (RBS) mission by identifying high-risk passengers for appropriate security measures/actions and identifying low-risk passengers for expedited screening.",2012-10-01,2013-09-30,3.528,"3 - Not Primarily a Software Development Project",n/a,"Project has been completed.",,,,,,0,0,Green,0.003,0.09,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	120",7885,"	210728","Performance Level Refresh Releases","These upgrades to IT systems that increase the current capabilities in the core vetting engine and associated interfaces.",2013-10-17,2015-08-14,15.16,"3 - Not Primarily a Software Development Project",no,"The completion of Performance Level Refresh Releases are planned longer than 6 month.",,,,,,0,0,Green,0.19,1.25,Green,Completed,03/27/2015,08:00:21
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	520",7887,"	210727","Software IT Upgrades","Software upgrades for the core vetting engine and associated interfaces. SW upgrades that will enhance the abiility of the core vetting engine with making positive name matches, and improve the coordination with law enforcement responses.",2013-10-01,2015-02-20,7.22,"3 - Not Primarily a Software Development Project",n/a,,,,,,,0,0,Green,0.048,0.66,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	130",10961,"	227825","Performance Level Refresh Releases","Upgrades to the IT systems that increase the current capabilities in the core vetting engine and associated interfaces.",2014-11-04,2016-04-27,16.2,"3 - Not Primarily a Software Development Project",n/a,,,,,,,-1,-0.2,Green,0.11,0.68,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	530",10963,"	227826","Software IT Upgrades","Software upgrades for the core vetting engine and associated interfaces. SW upgrades that will enhance the abiility of the core vetting engine with making positive name matches, and improve the coordination with law enforcement responses.",2014-10-01,2015-09-30,4.852,"3 - Not Primarily a Software Development Project",n/a,,,,,,,0,0,Green,0.02,0.41,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	140",13028,"	44034","Performance Level Refresh Releases","SW and HW upgrades for sustaining and improving the performance for redress processes, relief from the watch list matching burden, timely & accurate matches and resolutions, and government response coordination. SW upgrades to improve early insight into potential matches to the watch list with the goal to improve the interactive capability for recurring or manual watch list matching on a 24/7 basis through the SF Operations. SW and HW upgrades to improve the approach for implementing new risk-based security capabilities, streamline the processes for accommodating additional aviation populations, and protect passengers’ personal information from unauthorized use and disclosure.",2015-09-25,2017-02-23,33.13,"3 - Not Primarily a Software Development Project",n/a,,,,,,,0,0,Green,0.489,1.48,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	540",13029,"	44060","Software IT Upgrades","Software upgrades that are designed to improve Risk-Based security initiatives and minimize the overall cost of IT maintenance.",2015-10-01,2017-03-31,7.688,"3 - Not Primarily a Software Development Project",n/a,,,,,,,3,0.55,Green,0.165,2.15,Green,Completed,04/27/2017,11:42:52
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	150",13973,"	77377","Performance Level Refresh Releases","SW and HW upgrades for improving the performance for redress processes as measured in Operational Performance measure 171975, relief from the watch list matching burden, timely & accurate matches and resolutions, and government response coordination. SW upgrades to improve early insight into potential matches to the watch list with the goal to improve the interactive capability for recurring or manual watch list matching on a 24/7 basis through the SF Operations. SW and HW upgrades to improve the approach for implementing new risk-based security capabilities, streamline the processes for accommodating additional aviation populations, and protect passengers’ personal information from unauthorized use and disclosure.",2016-12-07,2020-01-16,40.5,"3 - Not Primarily a Software Development Project",n/a,,,N/A,N/A,N/A,N/A,0,0,Green,0.403,1,Green,In-progress,02/05/2019,23:11:18
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	550",13974,"	77378","Software IT Upgrades","Performing Software upgrades that are designed to improve Risk-Based security initiatives and minimize the overall cost.  Project 550 primary goals are to sustain and improve the performance for core vetting IT systems; continue to reduce the overall cost by leveraging commercial-off-the-shelf (COTS) software.",2017-04-01,2020-09-30,25.09,"3 - Not Primarily a Software Development Project",n/a,"These system upgrades allow SF to continue to strengthen the implementation of TSA’s risk-based security initiatives, and continue to meet the demands of the traveling public and stakeholders, and watch-list matching for all covered aircraft operators with flights into, out of, and within the United States, as well as for covered US aircraft operator flights between two international points (Overflights). The upgrades ensure that SF will continue to provide a rigorous approach for watch-list matching that will be maintained across all covered aircraft operators.",,N/A,N/A,N/A,N/A,0,0,Green,0.485,1.93,Green,In-progress,10/31/2018,16:58:43
024-000005664,173,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program","	6",15142,"	93888","Transportation Vetting System","TVS provides named-based vetting against derogatory terrorism related encounters of a current 36 and growing number of distinct populations.  The system is updated and enhanced to be able to support the changing environment, including expanding vetting populations,  using adaptive maintenance.    Tier 3 and other O&M services are provided in support of the system.",2018-10-01,2031-09-30,287.659,"3 - Not Primarily a Software Development Project",yes,,2017-07-05,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,03/28/2019,21:13:51
024-000005664,173,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program","	8",15683,"	96726",Pre-Check,"Ability to process TSA PreCheck cases using TIM Siebel Lite, which meets capability requirements of:  UES enrollment and communication of status, Identity resolution with biometric and biographic data, Enhanced vetting with biographic scoring, Passenger Disqualification Protocol (PDP) Vetting, Adjudication and Redress, and Detailed TSA Pre-Check Reports.",2017-04-25,2018-05-30,11.038,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-08-18,N/A,N/A,N/A,N/A,-8,-2.05,Green,0,0,Green,Completed,09/20/2018,01:12:46
024-000005664,173,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program","	9",15684,"	96727","TIM Next Gen","The TIM Next Generation system will be based on a loosely coupled architecture with an Independent Data Layer (IDL) and a single instance of a Case Management solution.  The system will utilize a unified user interface, commencing with a unified search capability.  The architecture will facilitate more reusable capabilities.",2017-10-11,2019-01-07,12.633,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-07-23,N/A,N/A,N/A,N/A,-7,-1.55,Green,0,0,Green,Completed,02/28/2019,16:00:08
024-000005664,173,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Technology Infrastructure Modernization (TIM) Program","	7",15685,"	96728","DC1/CSOC Enclaves","Migrate the TIM system from the DHS Data Center 1 (DC1) Shared Services Cloud environment to enclaves in Dc1 and CSOC.  The TIM system is made up of development, test and production environments.",2016-08-01,2018-03-31,7.6,"3 - Not Primarily a Software Development Project",n/a,,,,,,,0,0,Green,0,0,Green,Completed,04/30/2018,10:56:47
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	288661",2206,"	288661","Electronic Document Exchange","The Electronic Document Exchange project addresses the development of a secure transport mechanism for states to electronically exchange Child Support Enforcement (CSE) documents like Affidavits of Paternity, Birth Certificates and Court Orders.  The project supports the Office of Child Support Enforcement's (OCSE's) vision of developing an integrated technical infrastructure that leverages new technologies and approaches to reduce program cost by improving electronic exchanges. Pilot is expected in 2012.",2010-10-20,2012-08-21,0.441,,,,,,,,,6,0.89,Green,0.009,2.04,Green,Completed,02/03/2015,14:56:59
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	288908",2207,"	288908","Passport Denial Online Enhancements","The purpose of this project is to update and expand Passport Denial functionality.           
The scope of the enhancements includes: 
- Allowing state users to view Passport Denial information when a case is closed 
- Developing a page that allows administrators to select success stories by date range for saving to a local file 
- Removing Passport Denial type from dropdown list in Comments selection page 
- Correcting the sorting of Department of State (DoS) details for combined cases.",2011-07-05,2011-10-07,0.043,,,,,,,,,0,0,Green,0.001,2.38,Green,Completed,02/03/2015,14:56:59
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	288983",2208,"	288983","Debt Inquiry Enhancements","This project, currently in the planning phase, will expand the FPLS Portal Debt Inquiry function to provide an alternative method of receiving files for insurance matching partners and implement application enhancements identified by the pilot users. The cost, schedule and milestone estimates provided are a rough order of magnitude estimate determined at the post-award Integrated Baseline Review for this contract, and are subject to change. A detailed project plan, schedule, and cost estimate will be presented to the FPLS Strategic Planning and Oversight Board prior to commencement of these activities, at which point, additional details will be provided here.",2011-10-10,2012-01-20,0.11,,,,,,,,,0,0,Green,0.002,1.82,Green,Completed,02/03/2015,14:56:59
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	288984",2209,"	288984","FY13 E-Employer Search With NDNH","This project will enhance the FPLS E-Employer application to provide the capability for authorized state case workers to access employer address information from the National Directory of New Hires (NDNH).  It will include a search by employer name. This project is also dependent on the completion of the NDNH Employer Address to Relational Database Project.",2012-04-04,2013-02-21,0.275,,,,,,,,,-1,-0.31,Green,0.013,4.73,Green,Completed,02/03/2015,14:56:59
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	288989",2210,"	288989","IRG Interface for OCSE Web Redesign","This project will modify the IRG data structures to allow citizens easier access to state child support agency contact information from the OCSE website.  The project is dependent on the overall OCSE website redesign project (not part of the FPLS investment).",2011-10-10,2012-08-16,0.314,,,,,,,,,0,0,Green,-0.003,-0.96,Green,Completed,02/03/2015,14:57:00
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	288990",2211,"	288990","NDNH Employer Address to Relational Database","Identify and implement all of the changes necessary to convert the Employer Address File (EAF) from current storage scheme to a relational database, and to create an employer name look up table.",2011-04-27,2012-07-13,0.332,,,,,,,,,-7,-1.58,Green,0.011,3.31,Green,Completed,02/03/2015,14:57:00
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	288993",2212,"	288993","DoD Entitlements Interface","The enhancements to FPLS for this project include:
- Allowing state workers to request DoD entitlement data for military and reserve member noncustodial parents (NCPs) that are associated to a military Federal Employer Identification Number (FEIN) on the National Directory of New Hires (NDNH) via the State Services Portal (SSP).
- Providing states with a method of receiving DoD entitlement data via the SSP.
 These enhancements build on existing SSP interfaces with states, which allow state system authorized and authenticated users with secure, role-based access to select FPLS applications. The project supports OCSE's vision by developing an integrated technical infrastructure that leverages new technologies and approaches.",2010-12-15,2011-07-29,0.315,,,,,,,,,17,7.52,Green,-0.001,-0.32,Green,Completed,02/03/2015,14:57:00
009-000001422,184,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","ACF Expanded Federal Parent Locator Service (OCSE)","	289318",2213,"	289318","MICRS Release 12.01","Implement enhancements to the Management Information Central Repository System (MICRS), including:
- Retirement and replacement of the legacy database
- Capture and report additional Insurance Match data
- Redesign of MICRS Federal Case Registry (FCR) reports
- Enhancements to the Research System.",2011-08-22,2012-02-27,0.301,,,,,,,,,-4,-2.12,Green,-0.001,-0.33,Green,Completed,02/03/2015,14:57:00
