Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost,SDLC Methodology,Other SDLC,Release Every Six Mo,Release Every Six Mo Comment,PM Experience Level,Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Project Status,Updated Date,Updated Time
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","P0510-102","3783","P0510-102","Ei/DS Enhancements in FY13 and FY 14","Improve business reporting and early detection of infectious disease outbreaks.","2013-06-01","2014-11-30","1.822000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","4-Other certification with 4 or more years PM experience (within the last five years)","443","80.99","Red","0.000000","0.00","Green","Completed","2014-10-03","17:40:00"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","P0510-104","11831","P0510-104","FY15 EIDS TED Application Enhancement","Develop the National Provider Identifier (NPI) within the TED Provider Record (TEPRV).","2015-06-01","2016-01-01","2.172000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-01-02","09:39:05"
"007-000000510","25","007","Department of Defense","EXECUTIVE INFORMATION/DECISION SUPPORT","P0510-103","11833","P0510-103","FY15 EIDS ESSENCE Application Enhancement","Develop and deploy the Fusion Detection Algorithm and Integrated Dashboard capability.","2014-10-01","2016-01-01","2.902000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-05-04","10:24:48"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-101","2587","P0594-101","Case Adjudication Tracking System Single Code Base","This project involves developing a single code base for the Case Adjudication Tracking System (CATS).","2010-01-01","2012-12-31","12.117000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-973","-118.37","Red","-0.200000","-2.84","Green","In-progress","2014-10-04","15:02:33"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-102","2588","P0594-102","Deploy Automated Continuing Evaluation System Releases","Deploy functionality to further enhance records check automation.","2009-02-01","2013-09-30","13.050000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","278","43.57","Red","1.500000","38.75","Red","Completed","2014-10-04","15:02:33"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-103","2589","P0594-103","DISS Family of Systems (FoS)","The DISS FoS will replace the Joint Personnel Adjudication System (JPAS) as the automated DoD security clearance tool.","2011-10-18","2014-12-31","40.000000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-822","-102.11","Red","-0.103000","-0.37","Green","In-progress","2014-10-04","15:02:33"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-105","11887","P0594-105","CATS v4 - Reporting & Service Module","Program management and technical support, analysis, planning, design, construction, integration, test & evaluation, deployment, and training to provide custom computer programming services, custom computer systems design services, and computer facilities management services to build the reporting and service module releases of the consolidated CATS v4 application.","2014-03-20","2015-03-19","1.194000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-165","-45.33","Red","0.000000","0.00","Green","In-progress","2014-10-04","15:23:56"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-106","11889","P0594-106","CATS v4 - Common Portal Enhancements","For custom computer programming, design, systems and facilities management services to build the Common Portal Enhancements release of the consolidated CATS v4 application.","2014-08-15","2015-08-14","2.055000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-17","-4.67","Green","0.000000","0.00","Green","In-progress","2014-10-04","15:23:56"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-107","11891","P0594-107","HSPD-12 & Suitability Initial Capability","Develop new DISS CATS v4 capabilities for HSPD-12 and Suitability Initial Capability; Series of short-duration projects (sprints) that deliver incremental capabilities in shortened timeframes as defined in roadmaps developed.","2014-09-30","2015-06-29","2.665000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-63","-23.16","Yellow","0.000000","0.00","Green","In-progress","2014-10-04","15:23:56"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-108","11893","P0594-108","JVS","Provide custom computer programming services, custom computer systems design services, and computer facilities management services to conduct risk reduction and development of the JVS prototype, and subsequent development of the JVS upon approval of the JVS Acquisition Milestone B decision.","2014-09-30","2015-10-31","3.998000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-10-04","15:23:56"
"007-000000594","26","007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY","P0594-104","11895","P0594-104","CATS v4 - Human Adjudication","Deliver CATS v4 Human Adjudication Functionality to the DoD Central Adjudication Facility end-users.","2013-09-30","2014-09-29","3.600000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-336","-92.31","Red","0.000000","0.00","Green","In-progress","2014-10-04","15:23:57"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-102","2590","P0595-102","DISN Technology Refreshment (TR/0300)","DISN Technology Refresh plans, purchases, and implements replacements for end of life (EOL) components of the DISN and DISN-supported systems for Procurement.","2007-11-01","2025-09-30","717.945000","7-Not Primarily a Software Development Project","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","-5.727000","-2.01","Green","In-progress","2015-08-27","13:06:04"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-103","2591","P0595-103","DISN TECHNOLOGY REFRESHMENT (TR/0400)","DISN Technology Refresh plans, purchases, and implements replacements for end of life (EOL) components of the DISN and DISN-supported systems for RDT&E.","2007-10-01","2025-09-30","37.845000","7-Not Primarily a Software Development Project","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","1.332000","6.65","Green","In-progress","2015-08-27","13:06:05"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-104","2592","P0595-104","PRESIDENTIAL AND NATIONAL VOICE CONFERENCING (PNVC)(NP/0400)","Presidential and National Voice Conferencing (PNVC) is the AEHF survivable SATCOM voice conferencing (SSVC) system that provides a near toll-quality voice conferencing capability to the President and other senior national/military leaders anywhere in the world.   PNVC activities include program management, system engineering, development, integration, installation, and testing of new baseband (audio-summing, cryptographic, and voice encoder/decoder) equipment with RDT&E funding.","2008-10-01","2025-09-30","105.206000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","1.441000","1.43","Green","In-progress","2015-08-27","13:06:05"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-105","2593","P0595-105","DEFENSE RED SWITCH NETWORK (DRSN) (4C/0400)","Defense Red Switch Network provides Multi-Level secure voice calling and conferencing for DoD and other Federal Departments including gateway interfaces to other secure voice systems. Secure Voice switches are special purpose government only systems, not commercial products.","2009-10-01","2025-09-30","17.927000","7-Not Primarily a Software Development Project","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.965000","6.73","Green","In-progress","2015-08-27","13:06:05"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-106","2594","P0595-106","ENHANCED PENTAGON CAPABILITY / SURVIVABLE EMERGENCY CONFERENCING NETWORK (EPC/SECN) (4D/0300-0100)","Enhanced Pentagon Capability (EPC)/Survivable Emergency Conferencing Network (SECN) are two related Nuclear Command and Control (C2) secure voice systems. They support senior leadership secure voice conferencing, using survivable SATCOM links (DSCS/MILSTAR) and HEMP protected secure voice conferencing switches. This project supports the sustainment of the switching systems and interfaces, but not the satcom terminals or space segments.","2008-10-01","2025-09-30","34.251000","7-Not Primarily a Software Development Project","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","2.312000","8.55","Green","In-progress","2015-08-27","13:06:06"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-108","2596","P0595-108","OPERATIONAL SUPPORT SYSTEMS (OSS) (MT/0400)","The Operational Support Systems provide operational and network operating systems that instrument and automate the operations, administration, maintenance and provisioning functions creating a single DISN-wide view for network managers and operators. Collectively, these systems are known as the DISN Operational Support Systems (OSS).","2008-10-01","2025-09-30","12.543000","5-Mixed","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-342","-23.55","Yellow","0.200000","5.01","Green","In-progress","2015-02-10","10:03:39"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-109","3807","P0595-109","PRESIDENTIAL AND NATIONAL VOICE CONFERENCING (PNVC) (NP/0300)","Presidential and National Voice Conferencing (PNVC) is the AEHF survivable SATCOM voice conferencing (SSVC) system that provides a near toll-quality voice conferencing capability to the President and other senior national/military leaders anywhere in the world.  PNVC activities include purchase of equipment, site survey, coordination , preparation , and installation with Procurement funding.","2012-10-01","2025-09-30","21.120000","7-Not Primarily a Software Development Project","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-5","-0.93","Green","0.000000","0.00","Green","Completed","2015-08-27","13:06:04"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-113","10271","P0595-113","Intelligence, Surveillance, and Reconnaissance (ISR) Transport Service","The Intelligence, Surveillance, and Reconnaissance (ISR) Transport Service core functionality is to provide the foundation for DoD''s A-ISR transport directly supporting Joint ISR FMV critical missions.  The program objectives are to develop, field and sustain an enterprise global Unified Video Dissemination Service (UVDS) capability to support worldwide distribution of FMV to key warfighting and Processing, Exploitation, and Dissemination (PED) cells.  As well as to develop, field and sustain of a A-ISR spread spectrum and two-way broadcast service satellite connectivity to DoD Gateways in order to provide worldwide tactical to strategic connectivity for Full Motion Video (FMV) and other high bandwidth ISR data traffic.","2013-10-01","2020-09-01","50.000000","7-Not Primarily a Software Development Project","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-02-10","10:03:38"
"007-000000595","27","007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK","P0595-114","10461","P0595-114","JIE Increment I Support","JIE Increment I will focus on the upgrade of optical transport network and classified unified capabilities in the U.S. Europe Command (EUCOM) Area of Responsibility (AOR). JIE Increment 1 activities were initiated in the 1st qtr of FY14 with planned completion by FY18.","2014-10-01","2018-12-31","93.000000","7-Not Primarily a Software Development Project","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-60","-6.17","Green","4.270000","7.07","Green","In-progress","2015-08-27","13:06:04"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","P0613-101","2598","P0613-101","DMLSS Modules","DMLSS Module: Development, integration and upgrades.","2011-12-01","2013-05-31","24.880000","1-Waterfall","","no","Delivers production releases in accordance with the approved aquisition strategy.","1-FAC-P/PM(DAWIA-3)- Senior","-198","-36.20","Red","18.009000","72.39","Red","Completed","2014-10-06","14:47:12"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","P0613-102","6127","P0613-102","DMLSS Modules Medical Logistics (Follow on)","DMLSS is the standard DoD medical logistics system and is composed of modules.","2012-10-30","2015-04-29","11.158000","3-Iterative (Prototyping/Incremental)","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-124","-13.61","Yellow","0.000000","0.00","Green","In-progress","2014-10-03","18:20:28"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","P0613-103","9989","P0613-103","DMLS14R","DMLSS Enhancements.","2013-10-01","2015-03-31","17.623000","3-Iterative (Prototyping/Incremental)","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-153","-28.02","Yellow","0.000000","0.00","Green","In-progress","2015-06-10","09:42:19"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","P0613-105","11855","P0613-105","DMLSW15R DMLSS","Re-engineer the DMLSS readiness IT domain.","2015-04-15","2015-12-31","2.397000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-02-10","09:32:13"
"007-000000613","28","007","Department of Defense","Defense Medical Logistics Standard Support","P0613-104","11857","P0613-104","DMLSF15R","Adding enhancements.","2015-04-01","2016-10-30","16.100000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","9-No certification, but with less than two years PM experience (within the last five years)","-2","-0.35","Green","0.000000","0.00","Green","In-progress","2015-08-04","09:36:12"
"007-000000880","30","007","Department of Defense","Global Broadcast Service","P0880-101","2600","P0880-101","DECC Transition","Transitions current GBS broadcast capabilities from current aging facilities to  Defense Enterprise Computing Centers operated by DISA.","2008-10-01","2013-10-13","125.695000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-110","-8.39","Green","-7.148000","-16.00","Yellow","Completed","2014-10-04","08:36:35"
"007-000000880","30","007","Department of Defense","Global Broadcast Service","P0880-102","2601","P0880-102","Portable Receive Suite Activities","Continues development activites for the Rucksack Portable Receive Suite (RPRS) and Suitcase Portable Receive Suite (SPRS) in order to derive a production baseline.","2010-10-01","2016-09-30","35.000000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","-3.028000","-8.79","Green","In-progress","2015-02-10","09:35:59"
"007-000000880","30","007","Department of Defense","Global Broadcast Service","P0880-103","6565","P0880-103","Transportable Ground Receive Suite (TGRS) Activities","Purchases four Qualification Units for the new version of TGRSs that are compatible with the new DECC based broadcast.  Procurement of new TGRSs will begin after the Qualification Units are accepted by the Government.  Also procures retrofit kits for previously fielded TGRSs to become compatible with the new broadcast architecture.","2011-08-22","2016-09-30","80.000000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","0.178000","0.34","Green","In-progress","2015-02-10","09:39:21"
"007-000000881","31","007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT","P0881-101","2602","P0881-101","GCCS-J Sustainment","Sustainment of deployed GCCS-J modernization initiatives to include security and operational fixes, COTS license fees and cost to host at an enterprise location.","2011-10-03","2020-12-31","70.297000","3-Iterative (Prototyping/Incremental)","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-333","-30.41","Red","17.851000","25.39","Yellow","In-progress","2015-08-04","09:49:51"
"007-000000881","31","007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT","P0881-102","2603","P0881-102","GCCS-J Global Modernization","Begin GCCS-J modernization efforts targeted at  priority sustainment cost drivers to include starting to replace expensive COTS products with more cost effective open source COTS, client consolidation and  converting to use of X86 type hardware.  This effort also includes necessary activities necessary to effectively transition the FoS in synch with GCCS-J.","2011-10-03","2020-12-31","84.920000","4-Agile","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-333","-91.48","Red","0.000000","0.00","Green","In-progress","2015-08-04","09:49:50"
"007-000000881","31","007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT","P0881-104","2604","P0881-104","JPES Sustainment","Provide critical and necessary activites (e.g.: software and systems engineering support, modernization, integration, testing, operational support and technical services necessary to analyze, design, test, certify & accredit, deploy and maintain quality software) for the Joint Planning and Execution Services (JPES) applications.","2011-03-29","2012-09-09","13.734000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-1109","-303.84","Red","1.500000","24.52","Yellow","In-progress","2014-10-04","09:18:45"
"007-000000881","31","007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT","P0881-106","2605","P0881-106","JPES Development","Joint Planning and Execution System (JPES) serves as the material developer of APEX enterprise capabilites in accordance with the Adapative Planning Roadmap II in support of the Joint Planning and Execution Community (JPEC) enterprise capabilities to include complete lifecycle support for development and/or integration of capabilities against validated requirements and net-centric Command and Control (C2) architecture.","2011-03-29","2018-09-10","50.737000","5-Mixed","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-357","-31.76","Red","2.655000","9.60","Green","In-progress","2014-10-04","09:18:45"
"007-000000881","31","007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT","P0881-107","9715","P0881-107","GCCS-J Initiatives","Accelerate development, integration and test of GCCS-J modernization initiatives specifically related to JC2CUI, Agile Client, Enterprise COP and infrastructure components necessary to support shift to the enterprise level.","2010-10-01","2020-09-30","83.900000","1-Waterfall","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-577","-47.37","Red","-0.300000","-0.45","Green","In-progress","2014-10-04","09:18:45"
"007-000000881","31","007","Department of Defense","GLOBAL COMMAND AND CONTROL SYSTEM- JOINT","P0881-103","12235","P0881-103","GCCS-J Synchronization","FoS program alignment and synchronization: yearly required FoS changes, correct faults, deficiencies, and respond to interface changes to keep FoS programs interoperable. Provide operational support for the combatant commands, and support for interoperability between GCCS-J and the FoS, external interfaces and Services using the Global infrastructure components to build Service unique applications (includes software fixes, integration and testing necessary to maintain interoperability between GCCS-J and the FoS); provide initial integration of Global Force Management Data Initiative (GFM DI).","2011-10-03","2020-12-31","24.071000","4-Agile","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","-331","-90.44","Red","0.000000","0.00","Green","In-progress","2014-12-15","08:57:01"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","P0884-101","2607","P0884-101","Global Decision Support System (GDSS)","Provides capability for Command and Control (C2) elements to accomplish continuous collaborative planning to task or redirect airborne MAF aircraft while coordinating associated mission, aircrew, and logistics requirements changes through the appropriate Civil Aviation Authority, MAF, Combat Air Forces, and Civil Reserve Air Fleet C2 fixed and mobile elements. Also provides near-real-time 100% total asset visibility and in-transit visibility.  GDSS System Sustainment includes software modifications required to keep pace with external interface changes, downward-directed requirements to meet corporate process changes, software fixes/compatibility, and security mandates.","2001-02-11","2023-09-30","825.103000","5-Mixed","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-2922","-159.76","Red","10.251000","16.91","Yellow","In-progress","2015-02-10","11:19:05"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","P0884-102","2608","P0884-102","Aviation Operational Risk Management (AvORM)","AvORM provides Mobility Air Forces (MAF) aircrews, planners, schedulers, flight managers, and senior leaders predictive analysis tools to mitigate aircrew and mission risks, and reverse the growing safety incidents in worldwide flight operations.  Risks include human fatigue, flight parameters (e.g., weather, airfield conditions/restrictions), planning factors (e.g., Notices to Airmans (NOTAMS), hazardous airspace), and mission factors (e.g., hazardous cargo, tactical navigation, air refueling, aeromedical evacuation).","2010-09-19","2014-09-19","4.668000","1-Waterfall","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","-27","-2.05","Green","0.228000","7.90","Green","Completed","2014-10-04","09:33:36"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","P0884-103","2609","P0884-103","Global Aircrew Scheduling (GAS)","Global Aircrew Scheduling provides unit-level scheduling capability and flight operations, resource allocation, and mission execution data.","2011-04-01","2018-09-30","57.403000","4-Agile","","yes","","3-FAC-P/PM(DAWIA-1)- Entry Level","0","0.00","Green","9.346000","51.75","Red","In-progress","2015-02-10","11:19:05"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","P0884-104","2610","P0884-104","Global Aircrew Management (GAM)","Global Aircrew Management development provides tracking of crew members; reduces time/effort and enhances accuracy of MAF aircrew allocation and management.","2011-04-01","2018-09-30","70.052000","4-Agile","","yes","","3-FAC-P/PM(DAWIA-1)- Entry Level","0","0.00","Green","14.464000","36.62","Red","In-progress","2014-10-04","09:33:37"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","P0884-105","2611","P0884-105","Dynamic Mission Replanning (DMR)","Dynamic Mission Replanning development tool synchronizing mobility missions in real time.","2011-04-01","2018-09-30","123.878000","4-Agile","","yes","","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","26.326000","42.01","Red","In-progress","2014-10-06","11:20:11"
"007-000000884","33","007","Department of Defense","GLOBAL DECISION SUPPORT SYSTEM","P0884-106","9869","P0884-106","Mobility Enterprise Information Services (MEIS)","AMC''s Service Oriented Architecture and data foundational construct resides within the Mobility Enterprise Information Services (MEIS). The MEIS provides the functional air operations and Joint Deployment and Distribution Enterprise (JDDE) information, data, and status in a form defined by the appropriate AMC functional communities to enhance decision-making and planning processes of the Combatant Commanders, Combined Force Air Component Commander (CFACC), Joint Force Air Component Commander (JFACC), Director of Mobility Forces (DIRMOBFOR) and their staffs.  AMC''s  SOA Foundation (i.e. MEIS) is directly tied to AMC''s transportationbusiness processes leveraging open architecture, adaptive environment, loosely-coupled components, real web-applications (Web 2.0), and, in the near future, secure mobile-accessible applications.","2008-04-01","2023-09-01","69.280000","5-Mixed","","yes","","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","9.701000","39.69","Red","In-progress","2015-02-10","11:19:06"
"007-000001046","34","007","Department of Defense","Air and Space Operations Center - Weapon System","P1046-102","2623","P1046-102","AOC 10.1 (will re-baseline project from single activity into 4: activity before FY13, FY13, FY14 and FY15)","Increment 10.1 development/fielding has been provided through follow-on delivery orders providing standardization and upgrades to the infrastructure thru recurring events.  This will continue on as an organic task but on a decreasing level as Increment 10.2 is developed.","2003-12-15","2015-09-30","797.000000","7-Not Primarily a Software Development Project","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","2.642000","0.33","Green","In-progress","2015-02-10","11:46:12"
"007-000001046","34","007","Department of Defense","Air and Space Operations Center - Weapon System","P1046-101","6219","P1046-101","AOC 10.0","Increment 10.0 was the first of two standardization blocks and fielded 5 Falconers, to include Prince Sultan Air Base, and Al-Udeid Air Base.","2000-08-31","2006-12-31","87.160000","1-Waterfall","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","262","11.33","Yellow","0.000000","0.00","Green","Completed","2014-10-04","11:59:37"
"007-000001046","34","007","Department of Defense","Air and Space Operations Center - Weapon System","P1046-108","12475","P1046-108","Air Operations Center (AOC) 10.1 (expand baseline project P1046-102 for FY16-20)","Increment 10.1 development/fielding has been continued starting in FY12 through a Government-Led, Contractor-performed (integration/test/field) construct providing standardization and upgrades to the infrastructure thru recurring events and cyber security upgrades. This will continue on as an organic task but on a decreasing level as Increment 10.2 is developed.","2015-10-01","2020-09-30","57.901000","7-Not Primarily a Software Development Project","","no","Delivers production releases in accordance with the approved aquisition strategy. The integration and testing of third-party system upgrades requires substantial testing and results in releases approximately 12-18 months.However, we conduct maintenance upgrades quarterly and 6-8 security releases annually to maintain certification and accreditation.","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","12.043000","100.00","Red","In-progress","2015-02-10","11:46:11"
"007-000001911","50","007","Department of Defense","Theater Battle Management Core System","P1911-112","6567","P1911-112","UL/UC2 Inc2 Modernization (FY13-FY15; SP2 and SP3)","(FY13-FY15) Modernization efforts to upgrade interfaces and maintain operational capability provided by fielding Inc2.  Apply enhancements to existing capabilities and perform transition activities to prepare for the Unit Command and Control (UC2) competition.  Will result in Inc2 SP2 fielding in FY14 and Inc2 SP3 fielding in FY15.","2012-12-17","2014-12-16","3.800000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","-274","-38.43","Red","-1.400000","-63.64","Red","In-progress","2015-01-09","08:04:16"
"007-000001911","50","007","Department of Defense","Theater Battle Management Core System","P1911-113","6569","P1911-113","Unit Command and Control (UC2)","Award the UC2 Contract to update and replace UL/UC2 based on requirements outlined in user/MAJCOM generated 1067s.  Deliver annual releases and periodic patches over 4-year Period of Performance to meet these requirements.","2014-07-01","2018-12-31","12.200000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-01-09","08:04:16"
"007-000001911","50","007","Department of Defense","Theater Battle Management Core System","P1911-120","11901","P1911-120","TBMCS-FL Sustainment","Continue to upgrade COTS products, maintain/modernize current capabilities, and maintain security accreditation.","2012-09-01","2020-09-30","84.000000","2-Spiral","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-01-09","08:04:17"
"007-000001913","51","007","Department of Defense","Theater Medical Information Program-Joint Increment 2","P1913-101","2666","P1913-101","Medical Situation Awareness Technology (MSAT)/Theater Medical Data Store (TMDS) development and integration","TMIP-J provides information at the point of care and to the Theater tactical and strategic decision makers through efficient, reliable data capture, and data transmission to a centralized Theater database.  TMIP-J fulfills the premise of Train as you fight through the integration of components which are identical or analogous to systems from the sustaining base. Development and Integration of MSAT/TMDS into TMIP-J as part of the Increment 2 Release 2 interface.  MSAT will link together information that encompasses disease and non-battle related injuries; physical and psychological trauma; patient tracking; chemical and biological threats; environmental and occupational health; intelligence; Command and Control data; personnel; unit locations and weather.Theater Medical Data Store (TMDS) serves as the authoritative Theater database for collecting, distributing and viewing Service members'' pertinent medical information. It provides one central location for healthcare providers to view Theater medical data. TMDS updates the AHLTA Clinical Data Repository (CDR), where all Service members'' Electronic Health Records (EHR) reside. This information is also made available to the VA through an interface known as Bidirectional Health Information Exchange-Theater (BHIE-T). Using TMDS, medical staff can view airlifted critically injured patients'' history, progress notes, laboratory, drug and radiological history before arrival at their next location. TMDS supports the collection of information from first responder, battalion aid station and Theater hospitals and makes the information readable in Theater and back to OCONUS and CONUS hospitals and ultimately to the CDR and to the VA.","2010-09-30","2012-09-29","14.596000","3-Iterative (Prototyping/Incremental)","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.107000","0.73","Green","Completed","2014-10-04","20:59:24"
"007-000001913","51","007","Department of Defense","Theater Medical Information Program-Joint Increment 2","P1913-102","2667","P1913-102","TMIP Composite Health Care System Cache (TC2)","TC2 development and integration effort as part of the Increment 2 Release 2 interface. TC2 provides documentation for inpatient healthcare and ancillary services order-entry and result-reporting in the deployed environment. TC2 provides inpatient management, laboratory, radiology and pharmacy ordering capabilities and enables users to schedule outpatient clinic and radiology procedures.TC2 uses the TMIP Framework for transmission of data to the Theater Medical Data Store (TMDS).","2011-10-01","2012-09-30","0.546000","3-Iterative (Prototyping/Incremental)","","no","Delivers production releases in accordance with the approved aquisition strategy","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.001000","0.18","Green","Completed","2014-10-04","20:59:24"
