Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"006-000321500","695","006","Department of Commerce","NOAA/NESDIS/ GOES-R Series Ground Segment","20775","","Awarded","1330","DOCDG133E10CN0229","","","Yes","HARRIS CORPORATION","","103.000000","Firm Fixed Price","","07/19/2010","07/18/2020","Y","The contract is for the GOES-R Ground Segment Antenna System. The antenna system includes the components and infrastructure needed to communicate with the GOES-R satellites in order to control the satellites and capture the telemetry and science data from the GOES-R instruments.","41240","1330","0","2012-02-28 11:55:36","2012-02-28 11:55:36"
"006-000321500","695","006","Department of Commerce","NOAA/NESDIS/ GOES-R Series Ground Segment","20776","","Awarded","4735","GST0110BK0047","GS06F0654Z","4735","No","","","","","","","","","","","","","2012-01-30 12:21:29",""
"006-000400800","716","006","Department of Commerce","Census - Field Support Systems","18964","","Awarded","1301","DOCCM130105CT0018","","","Yes","ZEN TECHNOLOGY INCORPORATED","","0.000150","Order Dependent (IDV only)","","01/21/2005","","Y","INFORMATION TECHNOLOGY SOLUTIONS","42142","1301","","2011-09-14 14:47:21","2012-02-29 10:55:05"
"006-000400800","716","006","Department of Commerce","Census - Field Support Systems","18966","","Awarded","1301","DOCCM130105CT0028","","","Yes","ITS SERVICES INCORPORATED","","0.000150","Order Dependent (IDV only)","","01/21/2005","","Y","INFORMATION TECHNOLOGY SOLUCTIONS","42143","1301","","2011-09-14 14:47:21","2012-02-29 10:55:05"
"006-000400800","716","006","Department of Commerce","Census - Field Support Systems","18967","","Awarded","1301","DOCYA132311NC0349","","","No","","","","","","","","","","","","","2012-08-16 08:08:37",""
"006-000400800","716","006","Department of Commerce","Census - Field Support Systems","18968","","Awarded","1323","DOCNNG07DA35BYA132308NC0502","NNG07DA35B","8000","Yes","CDW GOVERNMENT INCORPORATED","","38.908470","Firm Fixed Price","","09/12/2008","12/31/2014","N","Laptop refresh","42144","1323","0","2012-02-29 10:55:05","2012-02-29 10:55:05"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25263","","Awarded","1344","DOC43PAPT0709019","GS35F4797H","4730","Yes","CGI FEDERAL INCORPORATED","","14.864225","Labor Hours","","09/06/2011","09/28/2012","U","CGI-FEDERAL SERVICES AND SUPPORT","46521","1344","","2012-08-15 10:06:25","2012-08-15 10:06:25"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25265","","Awarded","1344","DOC44PAPT0802108","GS23F9763H","4730","Yes","GRANT THORNTON LLP","","1.642330","Fixed Price Incentive","","07/19/2012","12/31/2012","U","COST ACCOUNTING SUPPORT FROM 2/1/2008 THRU 12/31/2008.","46523","1344","","2012-08-15 10:06:25","2012-08-15 10:06:25"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25267","","Awarded","1344","DOC44PAPT1000012","GS06F0651Z","4730","Yes","PHACIL, INC.","","0.875444","Labor Hours","","03/13/2012","03/13/2012","U","INFORMATIONAL TECHNOLOGY PRODUCT ASSURANCE (ITPA) SERVICESFUNCTIONAL AREA: ENTERPRISE CONFIGURATION MANAGEMENT (ECM)","46525","1344","","2012-08-15 10:06:25","2012-08-15 10:06:25"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25269","","Awarded","1344","DOC44PAPT1109028","GS35F0426T","4730","Yes","CLEARAVENUE LIMITED LIABILITY COMPANY","","2.061880","Firm Fixed Price","","02/16/2012","05/31/2012","U","PROFESSIONAL SERVICES FOR IBM WEBSPHERE (EPETITIONS PROJECT).","46527","1344","","2012-08-15 10:06:25","2012-08-15 10:06:25"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25271","","Awarded","1344","DOC44PAPT1000008","GS06F0631Z","4730","Yes","INFOZEN, INC.","","2.484069","Labor Hours","","08/08/2012","02/28/2013","U","MOD 0020","46529","1344","","2012-08-15 10:06:25","2012-08-15 10:06:25"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25273","","Awarded","1344","DOC45PAPT1200028","DOC45PAPT1170000","1344","Yes","CGI FEDERAL INC.","","0.856284","Labor Hours","","05/01/2012","08/31/2012","U","MIGRATE LEGACY DATA TO COTS (FPNG) - CONTRACTOR SUPPORT - CONVERSION EVM","46531","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25275","","Awarded","1344","DOC45PAPT1200025","DOC45PAPT1170000","1344","Yes","CGI FEDERAL INC.","","0.572158","Labor Hours","","05/01/2012","08/31/2012","U","CONFIGURE COTS (FPNG) - CONTRACTOR SUPPORT - CONFIGURATION EVM","46533","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25277","","Awarded","1344","DOC45PAPT1200048","DOC45PAPT1000002","1344","Yes","GUIDENT TECHNOLOGIES INC","","0.902857","Labor Hours","","06/26/2012","01/31/2013","U","EDW REPORTS","46535","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25279","","Awarded","1344","DOC45PAPT1200062","DOC45PAPT1170000","1344","Yes","CGI FEDERAL INC.","","0.027006","Labor Hours","","03/31/2012","09/30/2012","U","FPNG UI&I REFERENCE DATA SERVICES PROJECT - CONTRACTOR SUPPORT","46537","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25281","","Awarded","1344","DOC45PAPT1000073","DOC45PAPT1000002","1344","Yes","GUIDENT TECHNOLOGIES INC","","4.583286","Labor Hours","","05/22/2012","10/14/2014","U","ENTERPRISE DATA WAREHOUSE (EDW) OPERATIONS AND MAINTENANCE","46539","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25283","","Awarded","1344","DOC45PAPT1200072","DOC45PAPT1000006","1344","Yes","SYNEREN TECHNOLOGIES CORPORATION","","2.032223","Labor Hours","","08/13/2012","09/30/2012","U","MOD 0003","46541","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25285","","Awarded","1344","DOC45PAPT1200109","DOC45PAPT1000002","1344","Yes","GUIDENT TECHNOLOGIES INC","","0.167560","Labor Hours","","04/16/2012","11/30/2012","U","FPNG UI&I REFERENCE DATA SERVICES (RDS)POC:  DATE OF AWARD THROUGH 11/30/2012FUNDING POC: DATE OF AWARD THROUGH 11/30/2012","46543","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25287","","Awarded","1344","DOC56PAPT1000025","DOC50PAPT0801008","1344","Yes","INFORMATION INNOVATORS, INC.","","2.644048","Time and Materials","","06/01/2012","09/22/2012","U","III- TO FM-10- 0015","46545","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25289","","Awarded","1344","DOC56PAPT1103008","DOC50PAPT0801027","1344","Yes","GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.","","1.043874","Labor Hours","","03/12/2012","08/31/2012","U","FUNDING FOR NEW TASK ORDER   CHIEF ARCHITECT TRADEMARKS NEXT GENERATION (TM NG) SUPPORT","46547","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25291","","Awarded","1344","DOC56PAPT1104011","DOC50PAPT0801026","1344","Yes","PROJECT PERFORMANCE CORPORATION","","0.592126","Labor Hours","","03/14/2012","08/31/2012","U","USER INTERFACE&INTEGRATION (UI&I) SERVICES FOR THE FEE PROCESSING NEXT GENERATION (FPNG) SYSTEM - CONTRACTOR SUPPORTPOP:  DATE OF AWARD THROUGH 11/30/2011","46549","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25293","","Awarded","1344","DOC46PAPT1100379","DOC50PAPT0701039","1344","Yes","RED RIVER COMPUTER COMPANY INCORPORATED","","3.495385","Firm Fixed Price","","07/18/2012","07/31/2013","U","RED HAT SOFTWARE AND SUPPORT.","46551","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25295","","Awarded","1344","DOC56PAPT1208002","DOC50PAPT1200010","1344","Yes","NIKSOFT SYSTEMS CORPORATION","","1.349536","Firm Fixed Price","","06/08/2012","10/31/2012","U","MAINTENANCE AND PRODUCTION SUPPORT OF E-COMMERCE SERVICE AREA","46553","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25297","","Awarded","1344","DOC56PAPT1212001","DOC50PAPT1200016","1344","Yes","PRAGMATICS, INC.","","1.220450","Firm Fixed Price","","07/09/2012","12/31/2012","U","SDI-NG - REVENUE ACCOUNTING&MANAGEMENT (RAM) SUPPORT","46555","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25299","","Awarded","1344","DOC56PAPT1212002","DOC50PAPT1200016","1344","Yes","PRAGMATICS, INC.","","0.150516","Labor Hours","","05/16/2012","12/31/2012","U","FPNG UI&I REFERENCE DATA SERVICES - CONTRACTOR SUPPORT -POC:  DATE OF AWARD - 12/31/2012FUNDING POC: DATE OF AWARD - 12/31/2012","46557","1344","","2012-08-15 10:06:26","2012-08-15 10:06:26"
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25301","","Awarded","1344","DOC56PAPT12000329","DOC50PAPT0905000","1344","No","","","","","","","","","","","","","2012-08-15 10:06:26",""
"006-000803100","927","006","Department of Commerce","USPTO Fee Processing Next Generation (FPNG)","25303","","Awarded","1344","DOC56PAPT12000485","DOC50PAPT1200006","1344","No","","","","","","","","","","","","","2012-08-15 10:06:26",""
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","20845","","Awarded","1330","DOCDG133012CQ0004","","","Yes","INTERNATIONAL BUSINESS MACHINES CORPORATION","DG133011RP0009","","Firm Fixed Price","","11/23/2011","","Y","WEATHER AND CLIMATE SUPERCOMPUTER SERVICES INCLUDING ALL OBJECTIVES STATED IN ID/IQ'S STATEMENT OF WORK, SECTION J, ATCH 3. (SUPERCOMPUTER SYSTEM INTEGRATION AND RELATED SERVICES)","42145","1330","","2011-12-27 14:34:47","2012-02-29 10:55:16"
"006-000310400","703","006","Department of Commerce","NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)","20846","","Awarded","1330","DOCDG133011CN0083","","","Yes","INTERNATIONAL BUSINESS MACHINES CORPORATION","","11.473632","Firm Fixed Price","","10/01/2011","09/30/2012","U","THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE ADDITIONAL FUNDS ONLY.  THE PLACES OF PERFORMANCE ARE GAITHERSBURG, MD AND FAIRMONT, WV.","44619","1330","","2012-05-31 09:32:14","2012-05-31 09:32:14"
"006-000312400","709","006","Department of Commerce","NOAA/NWS/ Weather Radio Improvement Project (WRIP)","20868","","Awarded","1330","DOCDG133W09CN0218","","","Yes","COMMUNICATIONS & POWER ENGINEERING, INC.","","11.428804","Firm Fixed Price","","09/21/2009","04/06/2014","Y","Weather Radio Improvement Project - Phase II","41280","1330","0","2012-02-27 17:04:13","2012-02-28 12:22:04"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","19006","","Awarded","1301","DOCSA130111NC0020DOC","","","Yes","IMMIXTECHNOLOGY, INC.","","0.017251","Firm Fixed Price","","03/28/2011","03/26/2016","Y","Purchase of TIBCO maintenance License software","41642","1301","0","2012-02-28 15:17:11","2012-02-28 15:17:11"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","19008","","Awarded","1341","DOCGS35F4670GSB134108NC0168","GS35F4670G","4730","Yes","THE MIL CORPORATION","","10.805919","Labor Hours","","05/05/2008","05/04/2013","N","NIST/Commerce Business System - Support Services","41643","1341","0","2012-02-28 15:17:11","2012-02-28 15:17:11"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","19009","","Awarded","1323","DOCGS35F0085KYA132309CT0008","GS35F0085K","4730","Yes","SYSTALEX CORPORATION","","7.224826","Time and Materials","","08/18/2009","11/13/2012","Y","ADMINISTRATIVE SYSTEMS TECHINAL SUPPORT CONTRACT","41644","1323","0","2012-02-28 15:17:11","2012-02-28 15:17:11"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","19010","","Awarded","1301","DOCSA130108CN0038","","","Yes","BENNET COMMUNICATIONS INC","","0.085944","Firm Fixed Price","","09/26/2008","06/30/2017","Y","digital telephone system, installation, training, warranty, and maintenance for five years","41645","1301","0","2012-02-28 15:17:11","2012-02-28 15:17:11"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","19011","","Awarded","1330","DOCEA133010NC1199","GS35F0085K","4730","Yes","SYSTALEX CORPORATION","","4.764706","Time and Materials","","09/15/2013","07/31/2012","U","MODIFY DUE DATES FOR DELIVERABLES AND CHANGE LABOR CATEGORY HOURS","46639","1330","","2012-08-16 12:47:52","2012-08-16 12:47:52"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","19012","","Awarded","1301","DOCSA130109CN0045","","","Yes","MANAGEMENT SOLUTIONS, INC.","","4.572722","Time and Materials","","09/27/2009","07/02/2012","N","IT System Support","41647","1301","0","2012-02-28 15:17:11","2012-02-28 15:17:11"
"006-000051000","721","006","Department of Commerce","Commerce Business Systems (CBS)","24045","","Awarded","1301","SA130112CN0030","","","No","","","","","","","","","","","","","2012-04-26 09:50:16",""
"006-000321200","697","006","Department of Commerce","NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)","20777","","Awarded","8000","NNG10XA03C","","","Yes","RAYTHEON COMPANY","","312.118846","Cost Plus Award Fee","","09/22/2010","09/21/2018","N","ENGINEERING SERVICES AND DEVELOPMENT LEADING TO THE DELIVERY OF THE JPSS COMMON GROUND SYSTEM INSTRUMENT AND SUPPORT.","41241","8000","0","2012-02-28 11:55:52","2012-02-28 11:55:52"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","24059","","Awarded","1323","DOCGS35F0060LYA132309NC0572","GS35F0060L","4730","Yes","DELOITTE CONSULTING L.P.","","1.807975","Time and Materials","","06/18/2010","06/24/2011","U","EXERCISE OPTION YEAR 1","43609","1323","","2012-04-27 10:02:44","2012-04-27 10:02:44"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","24061","","Awarded","1323","DOCYA132311NC0531","GS35F0223U","4730","Yes","AGILEX TECHNOLOGIES INCORPORATED","","3.524223","Time and Materials","","09/22/2011","08/31/2013","U","FIELD MOBILE APPLICATIONS DEVELOPMENT SUPPORT SERVICES","43611","1323","","2012-04-27 10:02:44","2012-04-27 10:02:44"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","24063","","Awarded","1323","DOCYA132311NC0535","GS35F0283J","4730","Yes","HARRIS CORPORATION (6860)","","5.184636","Time and Materials","","10/05/2011","08/31/2013","U","FIELD MOBILE ARCHITECTURE/INFRASTRUCTURE IMPLEMENTATION SUPPORT.","43613","1323","","2012-04-27 10:02:44","2012-04-27 10:02:44"
"006-000401400","931","006","Department of Commerce","Census - 2020 Decennial Census Research and Testing Phase, FY2012-14","24065","","Awarded","1323","DOCYA132309CQ0028TO001","DOCYA132309CQ0028","1323","Yes","PORTAL TECHNOLOGIES CORP","","1.750000","Time and Materials","","08/21/2011","06/30/2013","U","PROGRAMMATIC AND TECHNICAL SUPPORT SERVICES FOR THE TMO OFFICE ON THE RESEARCH AND DEVELOPEMENT PROGRAM.","43615","1323","","2012-04-27 10:02:44","2012-04-27 10:02:44"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","21357","","Awarded","1344","DOC44PAPT1000012","DOC44PAPT1000012","1344","Yes","PHACIL, INC.","","0.875444","Labor Hours","","03/13/2012","03/13/2012","U","INFORMATIONAL TECHNOLOGY PRODUCT ASSURANCE (ITPA) SERVICESFUNCTIONAL AREA: ENTERPRISE CONFIGURATION MANAGEMENT (ECM)","46631","1344","","2012-08-15 16:30:11","2012-08-15 16:30:11"
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","21359","","Awarded","1344","DOC50PAPT0501005","DOC50PAPT0501005","1344","No","","","","","","","","","","","","","2011-09-16 14:58:18",""
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","21360","","Awarded","1344","DOC50PAPT1100006","DOC50PAPT1100006","1344","No","","","","","","","","","","","","","2011-09-16 14:58:18",""
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","21361","","Awarded","1344","DOC50PAPT1100007","DOC50PAPT1100007","1344","No","","","","","","","","","","","","","2011-09-16 14:58:18",""
"006-000803200","929","006","Department of Commerce","USPTO Patents End-to-End: Software Engineering (PE2E-SE)","24077","","Awarded","1344","DOC56PAPT1213001","DOC50PAPT1200017","1344","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","","2.153060","Labor Hours","","04/09/2012","12/31/2012","U","PATENT END TO END (PE2E) 2.0 - EXAMINATION TOOLS AND INFRASTRUCTURE DEVELOPMENT - CONTRACTOR SUPPORT.PERIOD OF PERFORMANCE:  DATE OF AWARD THROUGH 12/31/2012.FUNDING POP:  DATE OF AWARD THROUGH 12/31/2012.","43641","1344","","2012-04-27 15:05:23","2012-04-27 15:05:23"
"006-000051100","725","006","Department of Commerce","Consolidated HCHB IT Infrastructure (CHII)","21313","","Awarded","","DG135210-NC-0310","","","No","","","","","","","","","","","","","2012-02-28 10:06:12",""
"006-000051100","725","006","Department of Commerce","Consolidated HCHB IT Infrastructure (CHII)","21314","","Awarded","","DG135210NC1026","","","No","","","","","","","","","","","","","2011-09-16 14:57:50",""
"006-000051100","725","006","Department of Commerce","Consolidated HCHB IT Infrastructure (CHII)","21316","","Awarded","","DG135210RP0140","","","No","","","","","","","","","","","","","2012-02-28 10:06:12",""
"006-000051100","725","006","Department of Commerce","Consolidated HCHB IT Infrastructure (CHII)","21317","","Awarded","","DG135210NC2927","","","No","","","","","","","","","","","","","2011-09-16 14:57:50",""
"006-000051100","725","006","Department of Commerce","Consolidated HCHB IT Infrastructure (CHII)","21319","","Awarded","","GST0009AJ0019","","","No","","","","","","","","","","","","","2012-02-28 11:25:49",""
"006-000400300","724","006","Department of Commerce","Census - Data Access and Dissemination System (DADS)","20730","","Awarded","1323","DOCYA132307CN0040","","","Yes","INTERNATIONAL BUSINESS MACHINES CORPORATION","","30.376411","Fixed Price Award Fee","","12/08/2011","06/30/2016","U","MOD 32","46633","1323","","2012-08-16 08:06:34","2012-08-16 08:06:34"
"006-000003213","694","006","Department of Commerce","NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC)","20772","","Awarded","1330","DOCR1BK13090024","","","No","","","","","","","","","","","","","2012-04-30 15:36:11",""
"006-000003213","694","006","Department of Commerce","NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC)","23525","","Awarded","1330","DOCDG133E10BU0085","","","No","","","","","","","","","","","","","2012-04-30 15:36:11",""
"006-000312500","707","006","Department of Commerce","NOAA/NWS/ Next Generation Air Transportation System (NextGen)","20856","","Awarded","1330","DOCDG133W07CQ0066T0001","DOCDG133W07CQ0066","1330","Yes","EARTH RESOURCES TECHNOLOGY INCORPORATED","","12.279607","Time and Materials","","09/27/2007","09/26/2012","Y","Task Order T0001 for Mission Performance and Systems Effectiveness Support","41673","1330","0","2012-02-28 15:51:26","2012-02-28 15:51:26"
"006-000312500","707","006","Department of Commerce","NOAA/NWS/ Next Generation Air Transportation System (NextGen)","20857","","Awarded","1330","DOCDG133W07CQ0066T0004","DOCDG133W10CQ0066","1330","No","","","","","","","","","","","","","2011-11-29 14:07:09",""
"006-000312500","707","006","Department of Commerce","NOAA/NWS/ Next Generation Air Transportation System (NextGen)","20858","","Awarded","1330","DOCDG133W09NC0492","GS23F0286P","4730","Yes","SKJEI TELECOM INCORPORATED","","2.953277","Labor Hours","","03/05/2009","12/31/2011","N","MGT, Tech support","41675","1330","0","2012-02-28 15:51:26","2012-02-28 15:51:26"
"006-000312500","707","006","Department of Commerce","NOAA/NWS/ Next Generation Air Transportation System (NextGen)","23082","","Awarded","1330","DOCDG133W10CQ0026T0013","DOCDG133W10CQ0026","1330","Yes","ACE INFO SOLUTIONS, INC.","","1.433643","Labor Hours","","08/28/2011","08/31/2014","Y","NWS METEOROLOGICAL DEVELOPMENT SUPPORT SERVICES","41674","1330","0","2012-02-28 15:51:26","2012-02-28 15:51:26"
"006-000312500","707","006","Department of Commerce","NOAA/NWS/ Next Generation Air Transportation System (NextGen)","23180","","Awarded","1330","DOCDG133W10SE3487","","","Yes","P3 SOLUTIONS, LLC","","0.211263","Labor Hours","","09/09/2010","09/30/2011","Y","Program Support for the NextGen Major System Acquisition","41677","1330","0","2012-02-28 15:51:26","2012-02-28 15:51:26"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","20729","","Awarded","1323","DOCGS35F0108JYA132303NC0317","GS35F0108J","4730","Yes","ORACLE CORPORATION","","7.834018","Firm Fixed Price","","04/05/2004","12/01/2007","N","ORACLE ENTERPRISE EDITION SOFTWARE LICENSE","42134","1323","0","2012-02-29 10:54:58","2012-02-29 10:54:58"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23072","","Awarded","1323","DOCCM130105CT0018","","","No","","","","","","","","","","","","","2011-12-27 12:19:10",""
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23073","","Awarded","1323","DOCNNG07DA35BYA132308NC0502","","","No","","","","","","","","","","","","","2011-11-29 11:49:06",""
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23074","","Awarded","1323","DOCYA132309CQ0024","","","Yes","GUNNISON CONSULTING GROUP INC","","-0.001000","Order Dependent (IDV only)","","06/23/2011","01/01/1970","U","EXERCISES OPTION PERIOD 2 9/28/2011 - 9/27/2012.","44539","1323","","2012-05-29 15:54:36","2012-05-29 15:54:36"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23075","","Awarded","1323","DOCYA132309CN0086","","","Yes","DATA AND ANALYTIC SOLUTIONS, INC","","0.291385","Fixed Price Level of Effort","","09/23/2009","09/20/2014","Y","TELEPHONE NUMBER MATCHING","42140","1323","0","2012-02-27 15:26:17","2012-02-29 10:54:58"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23076","","Awarded","1323","DOCYA132309CN0085","","","Yes","ARCBRIDGE CONSULTING & TRAINING, INC","","0.184350","Fixed Price Level of Effort","","09/23/2009","09/20/2014","Y","TELEPHONE NUMBER MATCHING","42139","1323","0","2012-02-27 15:26:17","2012-02-29 10:54:58"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23173","","Awarded","1323","DOCGS35F0170KYA132309NC0933","GS35F0170K","4730","Yes","EXECUTIVE INFORMATION SYSTEMS,","","4.883000","Firm Fixed Price","","09/21/2009","09/29/2012","Y","SAS CONSULTANT","42135","1323","0","2012-02-29 10:54:58","2012-02-29 10:54:58"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23174","","Awarded","1323","DOCYA132311SE0367","","","Yes","HILMER, DOUGLAS","","0.113500","Labor Hours","","09/15/2011","09/24/2012","N","CONTRACTOR TO PROVIDE ACS DATA PRODUCTS SUPPORT","42136","1323","0","2011-12-27 12:19:10","2012-02-29 10:54:58"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23175","","Awarded","1323","DOCYA132308CN0034","","","Yes","ACQUIS INC","","1.207025","Time and Materials","","07/31/2008","07/31/2013","N","ADE CUSTOMIZATION SUPPORT SERVICES","42141","1323","0","2011-12-27 12:19:10","2012-02-29 10:54:58"
"006-000400100","648","006","Department of Commerce","Census - American Community Survey (ACS)","23176","","Awarded","1323","DOCYA132311SE0373","","","Yes","ACHIEVA PARTNERS, INC.","","0.212772","Firm Fixed Price","","09/19/2011","10/31/2012","N","ACS WEBSITE SUPPORT","42138","1323","0","2011-12-27 12:19:10","2012-02-29 10:54:58"
"006-000311000","702","006","Department of Commerce","NOAA/NWS/ Data Assimilation and Modeling","20843","","Awarded","1330","DOCDG133W10CN0111","","","Yes","I.M. SYSTEMS GROUP, INC.","DG133W-10-RP-0006","25.055918","Cost Plus Fixed Fee","","04/26/2010","05/25/2015","Y","Scientific Support Services","41271","1330","0","2012-02-28 12:17:19","2012-02-28 12:17:19"
"006-000311000","702","006","Department of Commerce","NOAA/NWS/ Data Assimilation and Modeling","25443","","Awarded","1330","DOCDG133W-10-SE-2290","","","Yes","VETERANS INTERNATIONAL, INC.","DG133W-10-RQ-0528","2.215238","Firm Fixed Price","","07/23/2012","09/25/2012","U","OPTION EXERCISE","46675","1330","","2012-08-16 13:40:08","2012-08-16 13:40:08"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","21342","","Awarded","1344","DOC44PAPT1000012","DOC44PAPT1000012","1344","Yes","PHACIL, INC.","","0.875444","Labor Hours","","03/13/2012","03/13/2012","U","INFORMATIONAL TECHNOLOGY PRODUCT ASSURANCE (ITPA) SERVICESFUNCTIONAL AREA: ENTERPRISE CONFIGURATION MANAGEMENT (ECM)","46629","1344","","2012-08-15 16:29:10","2012-08-15 16:29:10"
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","21343","","Awarded","1344","DOC44PAPT1009008","DOC44PAPT1009008","1344","No","","","","","","","","","","","","","2011-09-16 14:58:12",""
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","21346","","Awarded","1344","DOC50PAPT0501004","DOC50PAPT0501004","1344","No","","","","","","","","","","","","","2011-09-16 14:58:12",""
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","21347","","Awarded","1344","DOC50PAPT0501005","DOC50PAPT0501005","1344","No","","","","","","","","","","","","","2011-09-16 14:58:12",""
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","21348","","Awarded","1344","DOC50PAPT0801001","DOC50PAPT0801001","1344","No","","","","","","","","","","","","","2011-09-16 14:58:12",""
"006-000801100","928","006","Department of Commerce","USPTO Network and Security Infrastructure","21349","","Awarded","1344","DOC50PAPT0801008","DOC50PAPT0801008","1344","No","","","","","","","","","","","","","2011-09-16 14:58:12",""
