Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Baseline,Target for PY,Actual for PY,Target for CY,Measurement Condition,Reporting Frequency,Most Recent Actual Results,Actuals have Met/Not Met Target,Comment,Updated Date,Updated Time
"018-999993200","803","018","Department of Education","Budget Formulation and Execution Line of Business (BFE)","2229","","Number of non-partner components using BFELoB tools and applications","Number","102-Mission and Business Results - Support Delivery of Services","50.000000","60.000000","125.000000","75.000000","Over target","Semi-Annual","175.000000","Met","Most recent number is as of 8/6/12. This number represents components, bureaus, etc that aren't BFELoB partners that nevertheless are using BFELoB tools and services.","08/21/2012","19:43:50"
"018-999993200","803","018","Department of Education","Budget Formulation and Execution Line of Business (BFE)","2230","","Number of registered community site users","Number","202-Process and Activities - Productivity","30000.000000","40000.000000","48000.000000","50000.000000","Over target","Monthly","68600.000000","Met","Most recent number is approx, as of 8/6/12.","08/21/2012","19:43:50"
"018-999993200","803","018","Department of Education","Budget Formulation and Execution Line of Business (BFE)","2231","","Number or MAX Applications having a major release.","Number","213-Technology - Efficiency","3.000000","3.000000","5.000000","5.000000","Over target","Semi-Annual","5.000000","Met","At the baseline, MAX Applications included MAX Federal Community and MAX Collect.  In the meantime, MAX Analytics and MAX Shared Desktop have had initial releases, moving the target from 3 to 5 for the CY (expecting two for MAX Collect in the period).","08/21/2012","19:43:50"
"018-999993200","803","018","Department of Education","Budget Formulation and Execution Line of Business (BFE)","2232","","Savings achieved by using BFELoB online training courses (versus external offering).","Number","202-Process and Activities - Productivity","20000.000000","100000.000000","1750000.000000","150000.000000","Over target","Monthly","3200000.000000","Met","Unique users of online training modules multiplied by estimated cost for equal quality course via industry. Most recent numbers are as of 8/6/12.","08/21/2012","19:43:50"
"018-000001040","804","018","Department of Education","Integrated Support Service (ISS)","2311","","Grant applications submitted electronically (for programs participating)","Percentage","202-Process and Activities - Productivity","83.000000","85.000000","95.000000","85.000000","Over target","Semi-Annual","99.000000","Met","","08/23/2012","14:05:14"
"018-000001040","804","018","Department of Education","Integrated Support Service (ISS)","2312","","Independent Customer Satisfaction Survey/Issue Ticket Closure Questionaire results","Number of Points","114-Customer Results - Service Quality","4.000000","4.000000","4.000000","4.000000","Over target","Monthly","4.000000","Met","4.0 for month of July","08/23/2012","14:05:14"
"018-000001040","804","018","Department of Education","Integrated Support Service (ISS)","2313","","Obtain a &quot;Clean Audit Opinion.&quot;  For purposes of reporting this Audit Opinion in the business case, a clean audit will be designated as a &quot;1&quot; and a non-clean audit will be designated as a &quot;0&quot;.","Failure&#61;0, Success&#61;1","204-Process and Activities - Quality","1.000000","1.000000","1.000000","1.000000","Over target","Semi-Annual","1.000000","Met","The Department received a clean audit FY11.","08/23/2012","14:05:14"
"018-000001040","804","018","Department of Education","Integrated Support Service (ISS)","2314","","Availability of EDCAPS platform for customers during regular operating hours","Percentage","215-Technology - Reliability and Availability","99.100000","99.500000","99.670000","99.600000","Over target","Monthly","99.990000","Met","99.99% for July","08/23/2012","14:05:14"
"018-000001040","804","018","Department of Education","Integrated Support Service (ISS)","2315","","ISS budget growth will be 8% or less from one budget year to the next.","Percentage","103-Mission and Business Results - Management of Government Resources","2.000000","8.000000","2.000000","8.000000","Under target","Semi-Annual","10.000000","Not Met","Budget growth for 2013 is slightly over target due to the need to replace the EDCAPS hardware.  The hardware is at the end of its useful life and threatens the reliability of the system.","08/23/2012","14:05:14"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","2262","","Technology Service Availability: Test and development environment available to application Teams","Percent","216-Technology - Effectiveness","98.000000","98.000000","100.000000","98.000000","Over target","Monthly","100.000000","Met","Target has been 98% but vendor has met SLA 100% of the time. Same results in Dec. for all measures - contractor is exceeding goal.","08/23/2012","07:30:02"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","2263","","Response Time:  Respond to Production support pages within 15 minutes","Minutes","111-Customer Results - Customer Benefit","99.000000","99.000000","100.000000","99.000000","Over target","Monthly","100.000000","Met","Continues to meet/exceed goal. Paging response continues to be extremely fast","08/23/2012","07:30:02"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","2264","","IT Infrastructure Operations: Open necessary change requests and provide build instructions to the VDC prime contractor for Stage and Production environment builds within 7 business days of completing  the Test environment build","Days","103-Mission and Business Results - Management of Government Resources","98.000000","98.000000","100.000000","98.000000","Over target","Monthly","100.000000","Met","Continues to meet/exceed goal. Builds have been on-time and contractor is working with app and infrastructure teams effectively","08/23/2012","07:30:02"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","2265","","Support Application Team Service Requests: Provide development and test environment build support to application Teams within two weeks of each such request","Weeks","103-Mission and Business Results - Management of Government Resources","95.000000","95.000000","100.000000","95.000000","Over target","Monthly","100.000000","Met","Due to new environments being added more build support is needed but we are continuing to meet/exceed goals. New products have been added. No update","08/23/2012","07:30:02"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","2266","","IT Infrastructure Operations: Keep infrastructure upgrade activities to dates coordinated through FSA s EOCM process","Percent","103-Mission and Business Results - Management of Government Resources","90.000000","90.000000","100.000000","90.000000","Over target","Monthly","100.000000","Met","We are continuing to work closely with the ECCB following the EOCM process and esceeding all targets","08/23/2012","07:30:02"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","2267","","Response Time: Provide Level 2 production support (to VDC prime contractor) responding within two hours of initial request","Hours","216-Technology - Effectiveness","99.000000","99.000000","100.000000","99.000000","Over target","Monthly","100.000000","Met","Response times have been in minutes not hours. No outlying points.","08/23/2012","07:30:02"
"018-000001120","805","018","Department of Education","Enterprise IT Infrastructure (EITI)","2268","","IT Infrastructure Operations: Provide limited and effective development activities (e.g., AIMS, ESB):  Releases of software developed, such as RCS and ESB custom code, must be limited to 3 minor, 1 significant error per function point, and the major error must be fixed within one week of discovery","Percent","216-Technology - Effectiveness","95.000000","95.000000","100.000000","95.000000","Over target","Monthly","100.000000","Met","Currently meeting/exceeding goals.","08/23/2012","07:30:02"
"018-000002280","806","018","Department of Education","Integrated Postsecondary Education Data System (IPEDS)","2306","","Average time to respond to incoming calls - help desk","minutes","203-Process and Activities - Cycle Time and Timeliness","5.000000","5.000000","1.250000","5.000000","Under target","Semi-Annual","1.250000","Met","","08/23/2012","07:30:02"
"018-000002280","806","018","Department of Education","Integrated Postsecondary Education Data System (IPEDS)","2307","","Survey response rate","percentage","102-Mission and Business Results - Support Delivery of Services","0.950000","0.950000","0.990000","0.950000","Over target","Semi-Annual","0.990000","Met","","08/23/2012","07:30:02"
"018-000002280","806","018","Department of Education","Integrated Postsecondary Education Data System (IPEDS)","2308","","Data transfer from collection systems to dissemination systems","months","113-Customer Results - Timeliness and Responsiveness","6.000000","6.000000","5.000000","6.000000","Under target","Semi-Annual","5.000000","Met","","08/23/2012","07:30:02"
"018-000002280","806","018","Department of Education","Integrated Postsecondary Education Data System (IPEDS)","2309","","Delay to opening data collection system","days","215-Technology - Reliability and Availability","5.000000","10.000000","0.000000","5.000000","Under target","Semi-Annual","0.000000","Met","","08/23/2012","07:30:02"
"018-000002280","806","018","Department of Education","Integrated Postsecondary Education Data System (IPEDS)","2310","","IPEDS supporting servers unscheduled downtime","percentage of hours","215-Technology - Reliability and Availability","4.000000","4.000000","0.100000","4.000000","Under target","Monthly","0.200000","Met","","08/23/2012","07:30:02"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2269","","Higher Education: Number of material weaknesses","Number of Findings","203-Process and Activities - Cycle Time and Timeliness","1.000000","0.000000","","0.000000","Under target","Semi-Annual","0.000000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2270","","Higher Education: Number of Reportable Conditions","Number of Findings","102-Mission and Business Results - Support Delivery of Services","1.000000","0.000000","","0.000000","Under target","Semi-Annual","0.000000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2271","","Transmit files to FMSS","Number of Files transmitted","216-Technology - Effectiveness","16.000000","16.000000","","16.000000","Over target","Monthly","46.000000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2272","","Process FMSS ABE data","Processing Time in hours","203-Process and Activities - Cycle Time and Timeliness","6.000000","6.000000","","6.000000","Under target","Monthly","0.530000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2273","","Process COD transactions and send to G5","Processing Time in hours","203-Process and Activities - Cycle Time and Timeliness","6.000000","6.000000","","6.000000","Under target","Monthly","5.230000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2274","","Process transactions from G5 and send to COD","Processing time in hours","216-Technology - Effectiveness","3.000000","3.000000","","3.000000","Under target","Monthly","1.400000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2275","","Process Direct Loan Servicing GL data","Processing Time in hours","203-Process and Activities - Cycle Time and Timeliness","4.000000","4.000000","","4.000000","Under target","Monthly","0.160000","Met","Process discontinued as of November 2011.","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2276","","Process eCampus Based Data (eCB) data and send to G5","Processing Time in hours","203-Process and Activities - Cycle Time and Timeliness","4.000000","4.000000","","4.000000","Under target","Monthly","0.580000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2277","","Process Loan Consolidation (LC) data and send to G5","Processing time in hours","203-Process and Activities - Cycle Time and Timeliness","4.000000","4.000000","","4.000000","Under target","Monthly","1.350000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2278","","Process and send transactions to LC from G5","Processing Time in hours","203-Process and Activities - Cycle Time and Timeliness","3.000000","3.000000","","3.000000","Under target","Monthly","2.480000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2279","","Process Lender LaRS799 file","Processing Time in hours","203-Process and Activities - Cycle Time and Timeliness","8.000000","8.000000","","8.000000","Under target","Monthly","0.350000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2280","","Process Lender Lockbox file submission data","Processing time in hours","216-Technology - Effectiveness","8.000000","8.000000","","8.000000","Under target","Monthly","0.540000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2281","","Process Pay.Gov data","Processing Time in hours","111-Customer Results - Customer Benefit","8.000000","8.000000","","8.000000","Under target","Monthly","0.030000","Met","","08/21/2012","19:43:51"
"018-000001060","810","018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)","2282","","Close FMS after month end","No of Business Days","203-Process and Activities - Cycle Time and Timeliness","2.000000","2.000000","","2.000000","Under target","Monthly","2.000000","Met","","08/21/2012","19:43:51"
"018-999991341","811","018","Department of Education","G5 - Grants Management (G5)","2295","","G5 system availability","percent","215-Technology - Reliability and Availability","95.000000","98.000000","99.000000","98.000000","Over target","Quarterly","99.800000","Met","","08/21/2012","19:43:51"
"018-999991341","811","018","Department of Education","G5 - Grants Management (G5)","2296","","Hotline calls resolved at initial point of contact","percent","216-Technology - Effectiveness","88.000000","90.000000","93.000000","90.000000","Over target","Monthly","70.000000","Not Met","","08/21/2012","19:43:51"
"018-999991341","811","018","Department of Education","G5 - Grants Management (G5)","2297","","Number of electronically submitted applications for those programs that offer electronic submissions","percent","216-Technology - Effectiveness","83.000000","85.000000","85.000000","85.000000","Over target","Semi-Annual","99.000000","Met","","08/21/2012","19:43:51"
"018-999991341","811","018","Department of Education","G5 - Grants Management (G5)","2298","","Number of Issue Management Records (IMRs) resolved of those identified by 7/13/2011.","percent","113-Customer Results - Timeliness and Responsiveness","75.000000","0.000000","0.000000","90.000000","Over target","Quarterly","15.000000","Not Met","","08/21/2012","19:43:51"
"018-999991341","811","018","Department of Education","G5 - Grants Management (G5)","2299","","Increase number of Interagency Agreements with partner agencies","number","103-Mission and Business Results - Management of Government Resources","1.000000","1.000000","1.000000","2.000000","Over target","Semi-Annual","1.000000","Not Met","","08/21/2012","19:43:51"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2244","","Disaster Preparedness and Planning (Percent of time systems shall be kept in sync with no more than 1 hour lapse time in synchronization)","Services Provided","216-Technology - Effectiveness","100.000000","99.000000","95.470000","99.000000","Over target","Monthly","95.230000","Not Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2245","","Desktop Services (Median percentage of time that Desktop Services (without Cabling Requirement) are delivered within the following two standards: (1) Standard Service: Completed in no more than 3 business days, 99% of the time; (2) Platinum Service: Completed in no more than 4 hours, 99% of the time).","Services Provided","213-Technology - Efficiency","99.000000","99.600000","100.000000","99.600000","Over target","Monthly","100.000000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2246","","Availability for all service components, features, systems and applications that sustain Email (Exchange/Outlook) service (measured in milleseconds).","Services Provided","115-Customer Results - Service Accessibility","0.996000","0.996000","1.220000","1.220000","Over target","Monthly","1.380000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2247","","Timeliness of Notification: Severity 1:Immediate notification (not more than 15 minutes) of an Emergency event. Standard for metric is 100% notification within this timeframe. Severity 2:Notification within 15 min of  Urgent event. Standard for metric is 100% notification within this timeframe. Severity 3:Notification within 12 hrs of Routine event. Standard for metric is 100% notification within this timeframe. Severity 4: Notification within 24 hrs of Low Impact event. Standard is 100%notific.","Services Provided","103-Mission and Business Results - Management of Government Resources","100.000000","100.000000","87.000000","99.000000","Over target","Monthly","88.000000","Not Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2248","","Customer Satisfaction Survey - Each survey will be averaged, with the total of all averages per month to be the metric for monthly actual results for this SLA.  (Baseline was that 90% of the surveys would have a scoring of &quot;4&quot; or higher.)","Services Provided","111-Customer Results - Customer Benefit","90.000000","99.600000","99.710000","99.600000","Over target","Monthly","99.880000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2249","","Percent of daily system backups completed no later than 6:30AM ET the next calendar day.","Services Provided","203-Process and Activities - Cycle Time and Timeliness","90.000000","90.000000","99.700000","100.000000","Over target","Monthly","100.000000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2250","","Percent of availability of servers in the production environment, less any servers covered under other SLAs.","Services Provided","202-Process and Activities - Productivity","99.600000","99.000000","96.730000","99.000000","Over target","Monthly","93.520000","Not Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2251","","Help Desk Services - Percent of completions within 1 hour of user account disablings or suspensions, from time of notification by ED.","Services Provided","112-Customer Results - Service Coverage","100.000000","99.600000","100.000000","99.600000","Over target","Monthly","100.000000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2252","","Percent of time contractor shall provide network transport and infrastructure availability measured across all components that support certain services.","Services Provided","203-Process and Activities - Cycle Time and Timeliness","99.900000","99.600000","99.850000","99.600000","Over target","Monthly","100.000000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2253","","System Response Time - Percent sustained level at a maximum of 120ms latency identified for Packet Switched Services.","Services Provided","203-Process and Activities - Cycle Time and Timeliness","100.000000","99.600000","99.600000","99.600000","Over target","Monthly","100.000000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2254","","Percent of time that Video Conferencing requirements are met and occur on time.","Services Provided","216-Technology - Effectiveness","99.600000","99.600000","99.800000","99.600000","Over target","Monthly","99.950000","Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2255","","System Maintenance - The contractor shall test and deploy approved updates and/or patches to System Services assets.  Percent of time contractor does this without issue.","Services Provided","115-Customer Results - Service Accessibility","100.000000","99.900000","100.000000","99.900000","Over target","Monthly","68.670000","Not Met","","08/23/2012","07:36:45"
"018-000001020","812","018","Department of Education","EDUCATE (Education Department Utility for Communications, Applications and Technical Environment)","2256","","Information Security - The contractor shall provide Event &amp; Incident Notification for security operational services as determined by mutually agreed upon procedures and in accordance with US-CERT Federal Incident Reporting guidelines as defined at time of approval of this SLA, and ensuring that certain Infrastructure Solutions Security Operations Center Standard Operations Procedures (the &quot;SOC SOP&quot;) are followed.  Percent of time contractor does this without issue.","Services Provided","205-Process and Activities - Security and Privacy","99.800000","100.000000","100.000000","100.000000","Over target","Monthly","99.700000","Not Met","","08/23/2012","07:36:45"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2693","","Number of annual user groups involved in user related issues related to future MSIX DME Efforts","User Group Surveys","101-Mission and Business Results - Services for Citizens","18.000000","18.000000","18.000000","18.000000","Over target","Monthly","18.000000","Met","","08/23/2012","09:52:03"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2694","","Maintain the percentage of help desk problems that are resolved in one business day to ensure adequate support to MSIX Users","Review of logs to validate call resolution","114-Customer Results - Service Quality","90.000000","90.000000","90.000000","90.000000","Over target","Monthly","90.000000","Met","","08/23/2012","09:52:03"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2695","","Maintain system uptime at 99.5% except for periods during routine, schedule maintenance","Customer Service","114-Customer Results - Service Quality","99.500000","99.500000","99.700000","99.500000","Over target","Monthly","99.700000","Met","","08/23/2012","09:52:03"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2696","","Percentage of Help Desk problems that are resolved in the required time","Help Desk Logs to validate call resolution","213-Technology - Efficiency","75.000000","90.000000","90.000000","90.000000","Over target","Monthly","90.000000","Met","","08/23/2012","09:52:03"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2697","","Decrease the amount of time it takes to load student data","Review nightly load logs","213-Technology - Efficiency","1000.000000","4500.000000","4500.000000","4500.000000","Over target","Monthly","4600.000000","Met","","08/23/2012","09:52:03"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2698","","Percent of Help Desk problems that are resolved in one buisness day","Review of logs to validate call resolution","215-Technology - Reliability and Availability","50.000000","75.000000","75.000000","75.000000","Over target","Monthly","75.000000","Met","","08/23/2012","09:52:03"
"018-000001023","815","018","Department of Education","National Assessment of Educational Progress (NAEP)","2321","","Percentage of time NAEP extranet sites are available to be measured using up-time logs and access times recorded at host as hours available.  Scheduled maintenance is excluded from this calculation.","Time that the system is operational and available.","215-Technology - Reliability and Availability","0.960000","0.990000","","0.990000","Over target","Monthly","0.997000","Met","","08/24/2012","08:49:30"
"018-000001023","815","018","Department of Education","National Assessment of Educational Progress (NAEP)","2322","","Average number of page requests per month on NAEP web site as measured by total page requests from the NAEP public web site.","Number of users","112-Customer Results - Service Coverage","20000.000000","30000.000000","","30000.000000","Over target","Monthly","414633.000000","Met","","08/24/2012","08:49:30"
"018-000001023","815","018","Department of Education","National Assessment of Educational Progress (NAEP)","2323","","Percentage of NAEP data users who are satisfied or very satisfied with NAEP products.","Number of users","114-Customer Results - Service Quality","0.900000","0.950000","","0.950000","Over target","Monthly","0.950000","Met","","08/24/2012","08:49:30"
"018-000001023","815","018","Department of Education","National Assessment of Educational Progress (NAEP)","2324","","Response time to NAEP Incident Tracker bug fixes.","Average response time to resolve bug fixes in minu","216-Technology - Effectiveness","8.000000","6.000000","","6.000000","Over target","Monthly","0.000000","Not Met","There were no high priority bug fixes in July.","08/24/2012","08:49:30"
"018-000001023","815","018","Department of Education","National Assessment of Educational Progress (NAEP)","2325","","Response time to NAEP CBA support requests.","Average response time to resolve CBA support reque","216-Technology - Effectiveness","8.000000","7.000000","","7.000000","Over target","Monthly","0.000000","Not Met","NOTE: The CBA Help Desk is operational in January, February and March. Calculates resolution time to incidents that did not require a software push.","08/24/2012","08:49:30"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2283","","Percent of time FMSS is available equal to 98% or greater.","Percentage","215-Technology - Reliability and Availability","98.000000","98.000000","98.000000","98.000000","Over target","Quarterly","98.000000","Met","During the first quarter of FY 2012 the FMSS met this metric.","08/23/2012","07:30:02"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2284","","The FMSS receives an unqualified audit opinion by the independent auditors on the annual financial statements.","UnqualifiedOpinion&#61;1;Qualified&#61;2","103-Mission and Business Results - Management of Government Resources","1.000000","1.000000","1.000000","1.000000","Over target","Semi-Annual","1.000000","Met","The FY 2011 financial statements produced by the FMSS received a clean opinion from the auditors.","08/23/2012","07:30:02"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2285","","100% of FMSS User Help Desk  tickets are followed-up within 24 hours of receipt by the FMSS team.","Percentage","216-Technology - Effectiveness","100.000000","100.000000","100.000000","100.000000","Over target","Monthly","100.000000","Met","All help desk tickets reported for the month of February were followed up on within the 24 hour timeframe.","08/23/2012","07:30:02"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2286","","Monthend closings occur within three days of the end of the month.","3 or less&#61;1;more&#61;2","113-Customer Results - Timeliness and Responsiveness","1.000000","1.000000","1.000000","1.000000","Over target","Monthly","1.000000","Met","All monthly closing have occurred within the three day timeframe.","08/23/2012","07:30:02"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2287","","100% of system modifications included in the scheduled quarterly releases are fully tested and successfully deployed.","Percentage","204-Process and Activities - Quality","100.000000","100.000000","100.000000","100.000000","Over target","Quarterly","100.000000","Met","System modifications included in quarterly scheduled releases have all been successfully tested and deployed.","08/23/2012","07:30:02"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2288","","100% of FACTS II reports are successfully submitted to Treasury within the reporting timeframe designated by Treasury.","Percentage","215-Technology - Reliability and Availability","100.000000","100.000000","100.000000","100.000000","Over target","Quarterly","100.000000","Met","The FACTS reports have been submitted to Treasury within the reporting timeframe established by Treasury.","08/23/2012","07:30:02"
"018-000001031","818","018","Department of Education","Education Resources Information Center (ERIC)","2257","","Quality control of digital library","Percentage for all errors and percentage for criti","114-Customer Results - Service Quality","0.020000","0.020000","0.020000","0.020000","Under target","Quarterly","0.010400","Met","This activity reported monthly in the Metrics Report and validated by the Department's IV&amp;V contractor for the ERIC Program","08/21/2012","19:43:51"
"018-000001031","818","018","Department of Education","Education Resources Information Center (ERIC)","2258","","Timeliness of records published in ERIC","Number of days to process","203-Process and Activities - Cycle Time and Timeliness","30.000000","30.000000","30.000000","30.000000","Under target","Monthly","18.100000","Met","This activity reported monthly in the Metrics Report and validated by the Department's IV&amp;V contractor for the ERIC Program","08/21/2012","19:43:51"
"018-000001031","818","018","Department of Education","Education Resources Information Center (ERIC)","2259","","Web site availability to ERIC user communities","% of time the online system (web site, database, a","215-Technology - Reliability and Availability","99.000000","99.000000","99.000000","99.000000","Over target","Quarterly","99.500000","Met","This activity reported monthly in the Metrics Report and validated by the Department's IV&amp;V contractor for the ERIC Program","08/21/2012","19:43:51"
"018-000001031","818","018","Department of Education","Education Resources Information Center (ERIC)","2260","","Currency of web site","Number of times the ERIC home page is updated with","212-Technology - Quality Assurance","2.000000","2.000000","2.000000","2.000000","Over target","Quarterly","2.000000","Met","This activity reported monthly in the Metrics Report and validated by the Department's IV&amp;V contractor for the ERIC Program","08/21/2012","19:43:51"
"018-000001031","818","018","Department of Education","Education Resources Information Center (ERIC)","2261","","Assessment and recommendations for improving the infrastructure of the online system","Number of substantive recommendations for improvem","114-Customer Results - Service Quality","10.000000","10.000000","10.000000","10.000000","Over target","Semi-Annual","19.000000","Met","This is the formal Annual Needs Analysis deliverable","08/21/2012","19:43:51"
"018-000001010","819","018","Department of Education","EDFacts","2239","","Average speed to answer inbound calls from State partners during hours of operation.","seconds","113-Customer Results - Timeliness and Responsiveness","4.000000","20.000000","8.000000","20.000000","Under target","Monthly","9.000000","Met","The target was set at 20 seconds several years ago so that, during cyclical peaks, resources would not focus on meeting the lower target rather responding to callers' questions.","08/23/2012","14:00:02"
"018-000001010","819","018","Department of Education","EDFacts","2240","","Percentage of partners satisfied that their issue has been resolved.","percentage","204-Process and Activities - Quality","100.000000","90.000000","100.000000","90.000000","Over target","Monthly","100.000000","Met","","08/23/2012","14:00:02"
"018-000001010","819","018","Department of Education","EDFacts","2241","","EDFacts Submission System availability","percentage","215-Technology - Reliability and Availability","100.000000","98.000000","100.000000","98.000000","Over target","Monthly","100.000000","Met","","08/23/2012","14:00:02"
"018-000001010","819","018","Department of Education","EDFacts","2242","","EDFacts Reporting System availability","percentage","215-Technology - Reliability and Availability","99.000000","98.000000","100.000000","98.000000","Over target","Monthly","100.000000","Met","","08/23/2012","14:00:02"
"018-000001010","819","018","Department of Education","EDFacts","2243","","Basic report average run time. The target accounts for cyclical peak demand periods.","seconds","103-Mission and Business Results - Management of Government Resources","33.000000","60.000000","33.000000","60.000000","Under target","Monthly","28.000000","Met","","08/23/2012","14:00:02"
"018-000001018","820","018","Department of Education","ED Web","2738","","Resource utilization (data transactions per day)","count","216-Technology - Effectiveness","4.000000","4.000000","5.634535","4.000000","Over target","Semi-Annual","7.328000","Met","","08/21/2012","19:43:51"
"018-000001018","820","018","Department of Education","ED Web","2739","","Overall customer satisfaction rating (on scale of 1 to 5 where 5 is &quot;very satisfied&quot;)","scale of 1 to 5","114-Customer Results - Service Quality","3.510000","3.700000","2.990000","3.700000","Under target","Semi-Annual","2.940000","Met","","08/21/2012","19:43:51"
"018-000001018","820","018","Department of Education","ED Web","2740","","Web traffic (page views [user mouse click] per day)","count","215-Technology - Reliability and Availability","0.450000","0.580000","2.118000","0.580000","Over target","Monthly","2.441000","Met","","08/21/2012","19:43:51"
"018-000001018","820","018","Department of Education","ED Web","2741","","Site Availability","percentage","112-Customer Results - Service Coverage","99.000000","99.600000","99.720000","99.600000","Over target","Semi-Annual","99.320000","Not Met","","08/21/2012","19:43:51"
"018-000001018","820","018","Department of Education","ED Web","2742","","high quality of system at CAT","percentage of test steps pass","212-Technology - Quality Assurance","92.000000","92.000000","90.000000","92.000000","Over target","Semi-Annual","96.300000","Met","","08/21/2012","19:43:51"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","2683","","Customer issues are addressed within 24 hours of receiving the issue","Percentage","113-Customer Results - Timeliness and Responsiveness","95.000000","98.000000","99.000000","98.000000","Over target","Semi-Annual","99.000000","Met","New PY performance goal","08/23/2012","07:30:02"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","2684","","Availability of CPSS system to users","Percentage","216-Technology - Effectiveness","98.000000","98.000000","98.000000","98.000000","Over target","Monthly","100.000000","Met","","08/23/2012","07:30:02"
