"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Target 2015","Agency Baseline Capability","Target 2016","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Status","Latest Actual Result Met/Not Met (derived)","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems",23599,"	349576","Batch Processing Accuracy",percent,"1 - Customer Satisfaction (Results)",,,95,"Over target",Quarterly,,169057,349576-20160714,95,,Met,,2016-07-14,,2016-07-27,05:27:00
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems",23600,"	349579","Ratio of UFS costs  to Fees Collected",percent,"3 - Financial Performance",,,1,"Under target",Annual,,157564,349579-20151210,0.99,,Met,,2015-12-10,,2016-07-27,05:27:00
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",400,"	171205","Customer Results: Increase percentage of customer satisfaction surveys over 4.00 (measured on a scale from 1 (poor) to 5 (outstanding)).",Percentage,"1 - Customer Satisfaction (Results)",92,,92,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172343,"	76498",92,,Met,,2016-08-17,n,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",401,"	171207","Process/Activities:Maintain the cycle time performance standard of four hours or less for hardware ticket receipt to order placement.  Calculated as number of tickets received / number of tickets under four hours.",Percentage,"1 - Customer Satisfaction (Results)",91,,91,"Under target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172345,"	76494",91,,Met,,2016-08-17,n,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",402,"	171206","Technology: Maintain percentage of computer system uptime availability.  Calculated as (total time in period - scheduled downtime)/total time in period.",Percentage,"1 - Customer Satisfaction (Results)",93,,93,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172344,"	76496",93,,Met,,2016-08-17,n,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",404,"	178460","Maintain the performance standard of 94% of events held in the USCIS headquarters multi-media center are setup through the scheduling system.  No greater than 10% of all scheduled or adhoc functions will go unmanaged in the scheduling system.",Percentage,"2 - Strategic and Business Results",0,,0,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",99365,"	230074",94,Met,Met,,2014-07-18,y,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",405,"	178456","Maintain the performance standard of 20 days or less for repair cycle time from OCONUS sites.",Percentage,"1 - Customer Satisfaction (Results)",0,,0,"Under target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",99367,"	230069",100,Met,Met,,2014-07-18,y,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",406,"	178458","Maintain 85% of all USCIS applications and systems go through integrated testing prior to deployment.  Calculated based on the number of new applications and systems tested / number of new applications and systems deployed.",Percentage,"1 - Customer Satisfaction (Results)",0,,0,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",99369,"	230070",85,Met,Met,,2014-07-18,y,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",408,"	178461","Enterprise Server Administration","Response Time","2 - Strategic and Business Results",0,,0,"Under target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",99371,"	230075",0,Met,Met,,2014-07-18,y,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",21081,"	228278","Percent of annual operating plan budget to decrease by 3% from BY15 baseline budget as cloud alternatives are realized.",Percentage,"3 - Financial Performance",3,,3,"Under target",Annual,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172346,"	76492",3,,Met,,2016-08-17,n,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",21083,"	230364","Increase the number of private cloud-based service offerings utilized by 1 annually to eliminate redundancy and reduce costs, while ensuring information security in support of USCIS OIT Strategic Plan, Goal 2; Objective 2.1: Develop a consolidated utility model for server, storage, desktop, and bandwidth provisioning, using cloud-based service offerings and shared services where appropriate.  Baseline is two current operational cloud services.",Number,"2 - Strategic and Business Results",1,,1,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172347,"	76495",1,,Met,,2016-08-17,n,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",24153,"	43407","Decrease the number of data devices in USCIS by 3 monthly to reduce agency cost and increase technical adaptability by utilizing emerging Smartphone technology in support of USCIS OIT Strategic Plan Goal 2; Objective 2.2: Create a converged environment of voice, video, and data.",Number,"2 - Strategic and Business Results",0,,4,"Under target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172348,"	76497",4,,Met,,2016-08-17,n,2016-08-29,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",24154,"	43406","Increase the number of broadband and VPN tokens eliminated throughout the enterprise by 10% monthly to reduce cost, and increase the use of more secure platforms in support of USCIS OIT Strategic Plan Goal2; Objective 2.2: Create a converged environment of voice, video, and data.",Number,"2 - Strategic and Business Results",0,,10,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172349,"	76493",10,,Met,,2016-08-17,n,2016-08-29,21:27:28
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",708,"	171201","Percent of outstanding change requests completed; this is expected to maintain or increase during the year; this is determined by average of total requests closed divided by total requests closed during 6-months",Percent,"1 - Customer Satisfaction (Results)",75,,78,"Over target",Semi-Annual,,172195,"	77432",88,,Met,"Completed 88% of change requests scheduled for March 2016 thru August 2016. Completed more than targeted goal",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",709,"	171197","Percent of new policies and regulations changes implemented by date of policy to ensure users can process immigration requests; expect to maintain or increase number of requests processed timely; this is average of total requests received during each 6-months",Percent,"1 - Customer Satisfaction (Results)",99,,99,"Over target",Semi-Annual,,172194,"	77438",100,,Met,"Completed all new policy and regulation changes by implementation date",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",710,"	171196","Percent of CLAIMS 3 service desk tickets closed within 72 hours; expect to maintain or decrease closure time; this is average closure time of tickets opened during the month",Percent,"1 - Customer Satisfaction (Results)",95,,95,"Over target",Monthly,,172193,"	77431",93,,"Not Met","Working thru backlog from transition.  Currency attained August 19, 2016",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",711,"	171198","Percent of Ad-Hoc customer requests completed by requester's completion date",Percent,"1 - Customer Satisfaction (Results)",,,,"Over target",Monthly,,101207,"	231916",95,Met,Met,"Remained consistent for July 2014",2014-08-15,y,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",712,"	171202","Percent of office realignments/requests from business customers/field offices completed when office opens or by date of realignment provided by management; expect to maintain or increase timey completions; this is calculated by average of total requests received during 6-month period",Percent,"2 - Strategic and Business Results",99,,99,"Over target",Semi-Annual,,172196,"	77435",100,,Met,"All office realignments & requests from business customers were completed per office schedule",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",713,"	171204","Percent of Security POAMs corrected by date as detailed in the project plan; expect to maintain or increase percent complete; calculated by average of total number of requests at the end of each month",Percent,"2 - Strategic and Business Results",95,,95,"Over target",Monthly,,172197,"	77434",98,,Met,"All Security POAMs corrected by date as detailed in the project plan",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",714,"	171195","Percent of time CLAIMS 3 available to users during office hours; expect to maintain or increase current availability; this is calculated by number of hours system was available during the month divided by total number of availble hours",Percent,"1 - Customer Satisfaction (Results)",98,,98,"Over target",Monthly,,172192,"	77436",98,,Met,"Remained consistent for July 2016.",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",715,"	179279","Percent of immigration benefit requests completed within average processing time guidelines; expect to maintain or increase percentage of completions; this is an average of the total number of cases completed to cases accepted during the period",Percent,"2 - Strategic and Business Results",85,,88,"Over target",Quarterly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172198,"	77433",85,,"Not Met","Immigration benefit requests were completed within average processing time guidelines for the third quarter of FY2016.",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",20307,"	235025","Percentage of Annual Operating Plan goals met; this is expected to maintained or increased; this is percentage of goals met for the entire FY",Percent,"2 - Strategic and Business Results",90,,90,"Over target",Annual,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",172199,"	77437",93,,Met,"Met 93% of FY16 Annual Operating Plan goals",2016-08-26,n,2016-08-29,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",20309,"	235026","Number of dollars saved by reducing errors needing Database Administrator (DBA) attention. This is expected to maintain or increase.  Measured by the total cost of DBA hours per fix. (# fixes per quarter X time to fix X $110 per hour)",Dollars,"3 - Financial Performance",20000,,20000,"Over target",Semi-Annual,,172200,"	77439",0,,"Not Met","Due to contract transition, unable to save any funds against budget projections from April 2016 - August 2016",2016-08-26,n,2016-08-29,21:17:55
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",1143,"	171186","Increase the number of times the FOIA Web Status Check tool is used by customers (reported in FOIA Status Check report)",Number,"1 - Customer Satisfaction (Results)",301000,,305000,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",170218,"	71347",49793,,"Not Met","Total for Jun",2016-07-15,n,2016-08-29,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",1144,"	171182","Sustain or increase the current number of web site visits per month by ensuring scalable site capacity through cloud services (processes and  activities) (reported in the CSWP Visitor Traffic report)",Number,"2 - Strategic and Business Results",9000100,,9010000,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",170215,"	71349",10656801,,Met,"Total for Jun",2016-07-15,n,2016-08-29,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",1145,"	171183","Continue to grow the number of content subscribers receiving email updates on content they have identified as of particular interest or value to them in support of DHS Strategic Plan Goal 3, Objective 3.1.1: Promote Lawful Immigration (reported in Subscription Email Messages and Tweets report)",Number,"2 - Strategic and Business Results",326000,,327000,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",170216,"	71348",4405313,,Met,"Total for Jun",2016-07-15,n,2016-08-29,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",1146,"	171184","Sustain the American Customer Satisfaction Index score for the Web Portal (Customer Results) (reported in User Satisfacation Survey)",Number,"1 - Customer Satisfaction (Results)",80,,81,"Over target",Monthly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",170217,"	71351",83,,Met,"Total for Jun",2016-07-15,n,2016-08-29,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",1147,"	171185","Increase the number of links shared by users with other users per month through popular Social Media technology tools such as Facebook, Twitter, etc",Number,"1 - Customer Satisfaction (Results)",0,,,"Over target",Monthly,,101597,"	231891",3693,Met,Met,"Total for July",2014-08-22,y,2016-08-29,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",20297,"	228388","Increase percentage of cost savings achieved for the operational costs of the uscis.gov website by moving to the cloud, utilizing FY13 costs as baseline",Percentage,"3 - Financial Performance",5,,5,"Over target",Annual,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",,,,,,,,n,2016-08-29,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",20299,"	230348","Sustain Web Portal availability of 99% (technology metric) (reported in monthly status report)",percentage,"2 - Strategic and Business Results",99,,99,"Over target",Quarterly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",170219,"	71350",100,,Met,"Total for Jun",2016-07-15,n,2016-08-29,21:17:53
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",4496,"	181905","(Processes and Activities) Percent of Tier 3 calls responded to within 15 minutes of notification during normal business hours",Percent,"1 - Customer Satisfaction (Results)",99,,99,"Over target",Monthly,,147623,"	241486",100,,Met,"July 2015 Results",2015-08-24,y,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",4497,"	182829","Number of days that primary VIS contractor delays compliance with performance of negotiated schedule and budget for system enhancement projects.",Days,"3 - Financial Performance",7,,7,"Under target",Monthly,,147625,"	241488",7,,Met,"July 2015 Results",2015-08-24,y,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",5719,"	187406","Increase percent growth in the number of employers using E-Verify (cumulative annual)",Percent,"2 - Strategic and Business Results",12,14.7,12,"Over target",Monthly,,172229,"	76252",9.01,,"Not Met","VER Performance Results",2016-07-31,n,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",5725,"	187404","Reduce percent of Initial Mismatches for authorized workers that are later determined to be “Employment Authorized”.",Percent,"2 - Strategic and Business Results",1,0.19,0.9,"Under target",Quarterly,"3255 - Goal 3.1:  Strengthen and Effectively Administer the Immigration System",170232,"	71254",0.16,,Met,"VER Performance Results",2016-03-31,n,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",8745,"	211249","Increase percent of USCIS manual verifications for Systematic Alien Verification of Entitlements (SAVE) referrals that are accurate.",Percent,"2 - Strategic and Business Results",98,99.21,98.4,"Over target",Quarterly,,170234,"	71251",99.13,,Met,"VER Performance Results",2016-06-30,n,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",8747,"	211250","Percent of USCIS manual verifications of E-Verify verifications that are accurate.",Percent,"2 - Strategic and Business Results",99,,99,"Over target",Quarterly,,132303,"	239241",98.93,,"Not Met","FY15 Q2 Results",2015-04-01,y,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",21031,"	235029","(Technology) Percent of time that VIS high-availability application are 100% available to the production environment during normal business hours, less negotiated maintenance windows.",Percent,"1 - Customer Satisfaction (Results)",100,,100,"Over target",Monthly,,147627,"	241487",100,,Met,"July 2015 Results",2015-08-24,y,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",21033,"	235032","Reduce percent of Verification Contact Center calls abandoned",Percent,"1 - Customer Satisfaction (Results)",4,2.15,4,"Under target",Quarterly,,170235,"	71253",0.31,,Met,"VER Performance Results",2016-06-30,n,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",21035,"	235030","Percent of driver's licenses and ID cards verified through RIDE based on participating states' shares of total driver's license and ID card volume  =12%",Percent,"2 - Strategic and Business Results",12,,12,"Over target",Quarterly,,,,,,,,,y,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",21037,"	235033","Percent of RIDE-generated mismatches that are issued because of employer data entry errors or data issues and later determined to be employment authorized  = 10%",Percent,"2 - Strategic and Business Results",10,,10,"Under target",Quarterly,,,,,,,,,y,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",21039,"	235031","Increase percent reduction in average O&M cost per query",Percent,"3 - Financial Performance",2.4,0,2.4,"Over target",Annual,,132311,"	239240",5.94,,Met,"FY15 Q2 Results",2015-04-01,n,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",23171,"	237672","Number of U.S. States with which VER will engage to participate in the RIDE program",Number,"2 - Strategic and Business Results",10,,10,"Over target",Annual,,132313,"	239239",0.84,,"Not Met","FY15 Q2 Results",2015-04-01,y,2016-08-29,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",23173,"	237673","Number of Statements of Work the RIDE program will execute",Number,"2 - Strategic and Business Results",1,,1,"Over target",Annual,,,,,,,,,y,2016-08-29,21:18:17
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",3548,"	288975","Annual Medical Cost Reduced Due to Increased EHR Utilization","% Annual Cost Reduction","3 - Financial Performance",1,,1,"Over target",Annual,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",149548,288975-20150915,16,,Met,,2015-09-15,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",3549,"	288979","Number of organizations in production on the eHealth Exchange","No. of certified participants on an exchange","2 - Strategic and Business Results",100,,28,"Over target",Annual,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",149549,288979-20150915,100,,Met,,2015-09-15,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",3550,"	288980","Number of new architecture artifacts developed","Number of validated architecture artifacts","2 - Strategic and Business Results",450,,30,"Over target",Annual,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",149550,288980-20150915,83,,"Not Met",,2015-09-15,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",3551,"	288981","Number of entities contributing software code to CONNECT as part of the open community model.","Number of organizations contributing code","2 - Strategic and Business Results",15,,200,"Over target",Monthly,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",157972,288981-20151130,10,,"Not Met",,2015-11-30,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",3552,"	288982","Number of new gov't/industry connections as a result of FHA communications and events","Number of new out bound communication connections","1 - Customer Satisfaction (Results)",120,,140,"Over target",Monthly,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",157973,288982-20151130,268,,Met,,2015-11-30,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24511,"	352083","Annual Medical Cost Reduced Due to Increased EHR Utilization","% Annual Cost Reduction","3 - Financial Performance",1,,0,"Over target",Annual,,,,,,,,,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24512,"	352084","Number of organizations in production on the eHealth Exchange","No. of certified participants on an exchange","2 - Strategic and Business Results",100,,0,"Over target",Monthly,,,,,,,,,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24513,"	352085","Number of new architecture artifacts developed","Number of validated architecture artifacts","1 - Customer Satisfaction (Results)",450,,0,"Over target",Monthly,,,,,,,,,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24514,"	352086","Number of entities contributing software code to CONNECT as part of the open community model.","Number of organizations contributing code","1 - Customer Satisfaction (Results)",15,,0,"Over target",Semi-Annual,,,,,,,,,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24515,"	352087","Number of new gov't/industry connections as a result of FHA communications and events","Number of new out bound communication connections","1 - Customer Satisfaction (Results)",120,,0,"Over target",Quarterly,,,,,,,,,y,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24914,"	355272","Provide weekly stakeholder communications including upcoming speaking engagements and events, FHA partner meetings, and program updates. ","Weekly Newsletter","2 - Strategic and Business Results",,,4,"Over target",Monthly,,171743,355272-20160815,4,,Met,,2016-08-15,,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24915,"	355273","Processing of 5 Stakeholder financial Inter-Agency Agreements (IAAs). Q1: IAA Packages sent to Stakeholders. Q2: IAAs processed and funding received. Q3: Completion of Roles and Responspibilities. Q4: Complete FY's Deliverables.","5 Stakeholder IAAs","3 - Financial Performance",,,5,"Over target",Quarterly,,169076,355273-20160715,5,,Met,"Next update not due until 10/15/2016",2016-07-15,,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24916,"	355274","Coordinate federal health architecture activities through the Federal Health Architecture Council.","FHA Council Meetings","2 - Strategic and Business Results",,,4,"Over target",Quarterly,,169077,355274-20160715,4,,Met,"Next update not due until 10/15/2016",2016-07-15,,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24917,"	355275","Create and distribute FHA Quarterly Partner Reports that provide updates to progress and results on Governance and Managing Boards strategic objectives and action items.","Quarterly Partner Report","2 - Strategic and Business Results",,,1,"Over target",Quarterly,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",169078,355275-20160715,1,,Met,"Next update not due until 10/15/2016",2016-07-15,,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24918,"	355276","FHA Funding Partner survey to validate FHA initiatives.","User Survey","1 - Customer Satisfaction (Results)",,,2,"Over target",Semi-Annual,,162776,355276-20160414,2,,Met,"Next update not due until 10/15/2016",2016-04-14,,2016-08-26,01:08:55
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",24919,"	355277","Support the development or implementation of a solution for a complex health IT issue facing federal partners.","Solution Development/Implementation. ","4 - Innovation",,,1,"Over target",Annual,,,,,,,,,,2016-08-26,01:08:55
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",3194,"	294263","# of grant applications received electronically",#,"2 - Strategic and Business Results",215900,,215900,"Over target",Annual,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",157851,294263-20150930,252733,,Met,,2015-09-30,,2016-08-26,01:09:00
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",3195,"	294267","Overall customer satisfaction with the Grants.gov site",%,"1 - Customer Satisfaction (Results)",60,,60,"Over target",Quarterly,,171750,294267-20160630,62,,Met,,2016-06-30,,2016-08-26,01:09:00
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",3196,"	294277","Average time to validate and process a grants application (submission)",minutes,"2 - Strategic and Business Results",10,,10,"Under target",Quarterly,,171751,294277-20160630,1.7,,Met,,2016-06-30,,2016-08-26,01:09:00
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",3197,"	294278","% System availability 18x7 excluding published maintenance periods",%,"2 - Strategic and Business Results",99,,99,"Over target",Monthly,,171752,294278-20160731,100,,Met,,2016-07-31,,2016-08-26,01:09:00
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",3198,"	294279","% of Tier II tickets closed within 24 hours",%,"1 - Customer Satisfaction (Results)",85,,85,"Over target",Quarterly,,171753,294279-20160630,56,,"Not Met",,2016-06-30,,2016-08-26,01:09:00
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",21899,"	339213","O&M contract services",$,"3 - Financial Performance",304587,,2500000,"Under target",Annual,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",157856,339213-20150930,0,,Met,,2015-09-30,,2016-08-26,01:09:00
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",23201,"	345584","Maintain investment cost variance of 10% or less",Percentage,"3 - Financial Performance",10,,10,"Under target",Annual,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",148805,345584-20150831,0.08,,Met,,2015-08-31,,2016-08-26,01:09:05
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",23203,"	345585","UFMS system availability",Percentage,"2 - Strategic and Business Results",99.8,,99.8,"Over target",Monthly,,171763,345585-20160729,100,,Met,,2016-07-29,,2016-08-26,01:09:05
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",23205,"	345587","Year End Close customer satisfaction (average of Year End survey responses)",Percentage,"1 - Customer Satisfaction (Results)",85,,85,"Over target",Annual,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",157979,345587-20151130,100,,Met,,2015-11-30,,2016-08-26,01:09:05
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",23207,"	345588","Ticket accuracy (percentage of tickets that have been updated within the last 5 business days)",Percentage,"2 - Strategic and Business Results",90,,90,"Over target",Monthly,,171764,345588-20160729,94.5,,Met,,2016-07-29,,2016-08-26,01:09:05
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",23209,"	345589","High incident resolution time (percentage of High Incidents resolved within 8 business days)",Percentage,"1 - Customer Satisfaction (Results)",80,,80,"Over target",Monthly,,171765,345589-20160729,57.1,,"Not Met",,2016-07-29,,2016-08-26,01:09:05
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",23211,"	345590","High problem resolution time (percentage of High problems resolved within 20 business days)",Percentage,"1 - Customer Satisfaction (Results)",80,,80,"Over target",Monthly,,171766,345590-20160729,43.3,,"Not Met",,2016-07-29,,2016-08-26,01:09:05
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",23213,"	345822","Reduction in processing time for Year End Financial Data",Hours,"2 - Strategic and Business Results",60,,65,"Under target",Annual,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",157983,345822-20150930,42,,Met,,2015-09-30,,2016-08-26,01:09:05
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",3377,"	285822","Amount of time to process a competitive grant award",Days,"2 - Strategic and Business Results",200,,200,"Under target",Semi-Annual,"691 - Invest in the HHS workforce to help meet America's health and human service needs",171773,285822-20160701,142,,Met,,2016-07-01,,2016-08-26,01:09:32
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",3378,"	285823","Percentage of grants with no conditions 120 days after award",Percent,"2 - Strategic and Business Results",70,,70,"Over target",Monthly,,171774,285823-20160708,72.57,,Met,,2016-07-08,,2016-08-26,01:09:32
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",3379,"	285824","Number of days to complete a Federal Financial Report",Days,"2 - Strategic and Business Results",30,,30,"Under target",Quarterly,,167117,285824-20160610,27,,Met,,2016-06-10,,2016-08-26,01:09:32
