"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Other SDLC","Release Every Six Mo","Release Every Six Mo Comment","PM Experience Level","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","	284598",2223,"	284598","FDA OC Business Intelligence Reporting System","All major functions of UFFRS are available to users through its three production systems.  However, changes to respond to Legislative actions and/or regulations that require corresponding IT adjustments, technical upgrades, or internal business or administrative requirements from the FDA user community are frequent, and usually cannot be anticipated in advance.  The Hyperion/Business Intelligence Reporting System(BIRS) contract for O&M supports such changes under individual IDEA Task Orders.  Most are Fixed Price and range from $.050M to $.500M.  Estimated funding for BIRS Task Orders was identified as ""activities"" in the FY14 submission.  However, because of their type and limited size, and the inability to accurately project Task Order start dates, durations, or actual costs until awarded, HHS has recommended  BIRS be managed as an O&M investment.  As a result of that change, only enhancements that require significant additional resources or pose major risks will be identified as projects.  No enhancements that meet those criteria are anticipated FY13 for FY14. All activities initiated with FY13 or FY14 funding will be reported until completion.",2007-10-01,2013-09-30,0.743,,,,,"1 - FAC-P/PM(DAWIA-3)- Senior",-31,-5.52,Green,0.04,5.38,Green,Completed,07/27/2016,05:27:01
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","	339998",11133,"	339998","FDA OC UFS Upgrade Assessment","The expected outcome of the UFS Upgrade Assessment is a detailed plan and estimate of the level of effort needed to complete the upgrade of UFS from Oracle 11 to Oracle 12.",2014-09-08,2014-11-15,0.36,"7 - Not Primarily a Software Development Project",,n/a,"Only one production release is expected for the upgrade.","4 - Other certification with 4 or more years PM experience (within the last five years)",0,0,Green,0,0,Green,Completed,07/27/2016,05:27:01
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","	346616",12563,"	346616","FDA OC UFS R12 Upgrade","Upgrade the  User Fee System (UFS) from the current Oracle software to Oracle's E-Business Suite (EBS), Release 12.",2015-03-09,2016-02-08,1.75,"7 - Not Primarily a Software Development Project",,no,"The plan includes multiple deliveries of functional work packages to test activities, but only one production release after all work packages have been tested and reviewed separately and together as a complete system.","4 - Other certification with 4 or more years PM experience (within the last five years)",28,8.33,Green,0,0,Green,Completed,07/27/2016,05:27:01
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","	349121",13010,"	349121","FDA OC Business System Improvement Project (BSIP) Phase 1","As part of the Budget System Improvement Project (BSIP), FDA issued Call Order 2 with a focuses on the budget formulation and execution system implementation, testing, and validation. Call 2 will accomplish the following: 
 -         Update the people and process change document, finalize the system design document and system implementation plan
 -         Install, configure and Test Hyperion software and integrate with FDA's Single Sign On (SSO) environment
 -         Install, configure and Test Oracle Web Application environment and integrate with FDA's Single Sign On environment in accordance with the FDA Single Sign On configuration document provided
 -         Implement Hyperion application(s) to support Budget Execution functionalities
 -         Implement Hyperion application(s) to support Budget Formulation functionalities
 -         Implement web based application to support Advanced Acquisition Plan (AAP) functionalities
The call order activities will follow the guidelines established in the overall BPA Call Management Plan (CMP) which has been updated to reflect outputs of Call Order 1.",2015-04-01,2015-12-29,3.538,"4 - Agile",,no,"This project includes the migration and redevelopment of FDA's complex budget system.  Activities include HW and SW installation and configuration, as well as customization, application development and extensive documentation prior to release.   Extensive, multi-level testing and training is critical to project success and cannot be accomplished within a 6 month window.  An agile approach or multiple release approach is not appropriate.","4 - Other certification with 4 or more years PM experience (within the last five years)",0,0,Green,-0.223,-6.3,Green,Completed,07/27/2016,05:27:01
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","	369103",13749,"	369103","FDA OC Business System Improvement Project BSIP Phase II","As part of the Budget System Improvement Project (BSIP), FDA issued Call Orders 4 and 5 under the Integrated Budget and Acquisition Planning System (IBAPS). 
Call Order 4 includes operations and maintenance (O&M) support for the custom AAP software and Oracle Hyperion Planning software implemented as a part of the improved budget formulation and execution system. 
Call Order 5 includes installing, configuring, and testing K2 software for integration into the FDA SharePoint and Single Sign-On (SSO) and enhancements to Hyperion applications. It also includes the development of Business process documents, job aids, standard operating procedures and preparation of training materials and its delivery to the user community. 
The call order activities will follow the guidelines established in the overall BPA Call Management Plan (CMP).",2015-10-01,2016-10-17,5.686,"4 - Agile",,yes,,"4 - Other certification with 4 or more years PM experience (within the last five years)",0,0,Green,-6.613,-116.3,Red,In-progress,07/27/2016,05:27:01
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","	1",5365,"	193213","Workstation Refresh","By the end of 2012, this project will complete a selected refresh of the most critically outdated desktop computer workstations in USCIS offices nation-wide using FY12 funding. Currently, within USCIS over 38% (8609) of the existing desktop computers in service are over 6-years old. These computer workstations have gone beyond their lifecycle, are out-of-warranty, and puts workforce productivity at risk. In addition, a large number of the Dell GX620 desktop systems are experiencing high failure rates which have increased hardware maintenance and costs.",2012-07-08,2012-12-31,11.3,"7 - Not Primarily a Software Development Project",,,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",-61,-53.04,Red,0,0,Green,Completed,08/29/2016,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","	2",8277,"	209115","Deferred Action Childhood Arrival","Equip new hires for this effort with hardware and associated support resources.",2012-10-01,2013-09-30,7.16,"7 - Not Primarily a Software Development Project",,,,"4 - Other certification with 4 or more years PM experience (within the last five years)",-31,-9.31,Green,0.268,3.74,Green,Completed,08/29/2016,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","	3",8279,"	210313","Workstation Refresh FY14","Workstation Refresh (2013) - Procure, deliver, and install about 7000 replacement  computers at 4 major large offices and 6 service centers, March - September 2013.  4/26 - Modified objective to only five offices based on funding.",2012-10-01,2014-04-26,25.956,"7 - Not Primarily a Software Development Project",,,,"4 - Other certification with 4 or more years PM experience (within the last five years)",0,0,Green,19.032,73.32,Red,Completed,08/29/2016,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","	4",8281,"	210316","Service Desk Relocation","Move Service Desk operations from the contractor facility in Westminster, CO to the federal facility at Stennis Space Center, MS.",2012-12-06,2014-03-01,0.31,"7 - Not Primarily a Software Development Project",,,,"4 - Other certification with 4 or more years PM experience (within the last five years)",0,0,Green,0,0,Green,Completed,08/29/2016,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","	5",8283,"	210315","Windows7 Deployment","This enterprise-wide project will upgrade the MS Windows XP Operating System (OS) to the MS Windows 7 OS as well as current internet browsers to MS Internet Explorer 9 to be completed for all of USCIS by September 30, 2013.",2013-01-01,2013-08-31,0.003,"7 - Not Primarily a Software Development Project",,,,"4 - Other certification with 4 or more years PM experience (within the last five years)",-220,-90.91,Red,0,0,Green,Completed,08/29/2016,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","	6",8285,"	210314","MS Office 2010 Deployment","Deploy MS Office 2010 to all USCIS users by end of FY2013.",2012-10-01,2014-02-28,0.003,"7 - Not Primarily a Software Development Project",,,,"4 - Other certification with 4 or more years PM experience (within the last five years)",0,0,Green,0,0,Green,Completed,08/29/2016,21:27:28
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","	8",11191,"	227865","Workstation Refresh FY15","The objective/expected outcome of the Workstation Refresh (2015) project is to procure, deliver, and install replacement computers/laptops at headquarter offices that are upgraded to run Windows7, MS Office 2010, and IE9 as well as create an infrastructure that will host emerging technologies.  This will also improve standardization and security of IT equipment in the USCIS enterprise and implement Personal Identity Verification (PIV) card capabilities to bring USCIS into FISMA compliance.",2014-10-01,2015-09-30,16.143,"7 - Not Primarily a Software Development Project",,yes,,"4 - Other certification with 4 or more years PM experience (within the last five years)",15,4.12,Green,0,0,Green,Completed,08/29/2016,21:27:28
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	400",479,"	181076","CLAIMS 3 FD258","FD258 scope analyze design test and deploy.",2011-10-11,2012-12-01,0.305,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",-176,-78.22,Red,0.253,84.33,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	500",483,"	181077","CLAIMS 3 BRU","CLAIMS 3 BRU Planning and reuse of biometric functions.",2012-09-01,2013-09-30,0.42,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",134,34.01,Red,0,0,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	530",484,"	181082","CLAIMS 3 ICMS R1.19","R1.19 Planning, Requirements, Design, Develop Test and Deploy.",2012-03-19,2012-07-17,0.287,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",64,53.33,Red,0.151,52.61,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	560",485,"	181088","CLAIMS 3 MF R3.15","R3.15 Planning Requirement design develop test and deploy.",2012-04-23,2013-03-31,0.342,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",10,3.07,Green,0.199,58.19,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	590",486,"	181081","CLAIMS 3 MFAS R1.7","R1.17 Planning, requirements, design, develop test and deploy.",2012-04-23,2013-03-31,0.347,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",10,3.07,Green,0.206,59.37,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	600",487,"	181089","CLAIMS 3 Quarterly Table Updates","Perform Q1, Q2, Q3 and Q4 Table updates.",2011-11-03,2012-08-29,1.344,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",-7,-2.33,Green,-0.863,-64.21,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	630",488,"	181084","CLAIMS 3 DBA Support","Perform bi-annual DBA support B1 and B2.",2011-10-02,2012-09-30,1.44,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",0,0,Green,-5.023,-348.82,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	700",491,"	181092","LAN R6.23","Planning, Requirements, Design, Development, Test and deploy.",2011-09-06,2012-09-30,0.35,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",-36,-13.24,Yellow,-0.976,-629.68,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	730",492,"	181083","LAN R6.24","Planning, Requirements, Design, Development, Test and deploy.",2012-07-02,2013-06-30,0.5,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",48,13.22,Yellow,-0.228,-65.14,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	760",493,"	181087","LAN R6.25","Planning, Requirements, Design, Development, Test and deploy.",2012-09-01,2013-09-30,0.5,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",21,5.37,Green,-0.142,-40.57,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	770",4093,"	192376","LAN R6.26","release to update forms.",2013-01-08,2013-10-31,0.575,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",16,5.41,Green,0.225,39.13,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	771",4095,"	192373","LAN R6.27","release to update forms.",2013-04-03,2013-11-30,0.575,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",-8,-3.32,Green,0,0,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	772",4097,"	192375","LAN R6.28","release to update forms.",2013-06-19,2014-01-31,0.5,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",-10,-4.44,Green,-0.701,-140.2,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	773",4099,"	192372","MF R3.16","correct known issues.",2013-01-08,2013-06-08,0.125,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",95,62.91,Red,0.045,42.86,Red,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	774",4101,"	192377","LAN C&A","perform FISMA Self-Assessment.",2013-03-05,2013-08-31,0.962,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",47,26.26,Yellow,0.239,24.84,Yellow,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	775",4103,"	192374","MF C&A","perform FISMA Self-Assessment.",2013-03-05,2013-08-31,0.962,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",47,26.26,Yellow,0.239,24.84,Yellow,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	776",4105,"	198033","FY13 DBA Support","Perform bi-annual DBA support B1 and B2.",2012-10-01,2013-09-30,4.5,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",0,0,Green,0,0,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	777",4107,"	198034","FY13 Quarterly Table Updates","Perform Q1, Q2, Q3 and Q4 Table updates.",2012-10-01,2013-09-29,1.5,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",21,5.79,Green,0.036,2.68,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	780",6147,"	204079","FY14 Biannual Operations Support","Perform Operations Support.",2013-10-01,2014-09-30,8.142,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",1,0.28,Green,0,0,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	781",6149,"	204080","FY14 Quarterly Maintenance Releases","Perform Quarterly releases to support DC1 and other migration efforts.",2013-10-01,2014-09-30,7.023,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",9,2.69,Green,0,0,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	782",8417,"	209280","FY15 Biannual Operations Support","Perform Operations Support.",2014-10-01,2015-09-30,7.2,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",0,0,Green,0,0,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	783",8419,"	209279","FY15 Quarterly Maintenance Releases","Perform Quarterly releases to support DC1 and other migration efforts.",2014-10-01,2015-09-30,7.2,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",10,2.77,Green,-0.25,-3.47,Green,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	784",8421,"	209281","FY15 System Security Updates","Perform Security Updates as needed.",2014-10-01,2015-09-30,1.6,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",4,1.47,Green,0.25,15.63,Yellow,Completed,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	785",10859,"	227709","FY16 Biannual Operations Support","Perform Operations Support.",2015-10-01,2016-09-30,8.11,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",0,0,Green,0.391,4.82,Green,In-progress,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	786",10861,"	227707","FY16 Quarterly Maintenance Releases","Perform Quarterly releases to support DC1 and other migration efforts.",2015-10-01,2016-09-30,8.11,"7 - Not Primarily a Software Development Project",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",0,0,Green,0.284,3.5,Green,In-progress,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	787",10863,"	227708","FY16 System Security Updates","Perform Security Updates as needed to meet DHS MD4300 and USCIS Seucrity Program mandates.",2015-10-01,2016-09-30,1.802,"7 - Not Primarily a Software Development Project",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0,0,Green,In-progress,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	801",12892,"	43655","FY17 Biannual Operation & Maintenance Support","Perform O&M activities for CLAIMS 3 to assure that application is available to users during production hours.",2016-10-01,2017-09-30,13.274,"7 - Not Primarily a Software Development Project",,n/a,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0,0,Green,In-progress,08/29/2016,21:17:55
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","	802",12893,"	43656","FY17 Security Operations Support","Implement required security POAMs as mandated by DHS MD4300 and USCIS Security guidelines.",2016-10-01,2017-09-30,1.518,"7 - Not Primarily a Software Development Project",,n/a,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0,0,Green,In-progress,08/29/2016,21:17:55
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)","	100",8397,"	214758","Customer Relationship Interface System Agile Maintenance Release 5","Increase CRIS efficiency by streamlining and more accurately reflecting business rules and processes.",2013-07-17,2013-10-04,0.62,"7 - Not Primarily a Software Development Project",,yes,,"8 - No certification, but with between 2 and 4 years PM experience (within the last five years)",0,0,Green,0.035,5.65,Green,Completed,08/29/2016,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)","	200",8399,"	214829","CSWP Cloud Migration","CSWP Cloud Migration will enable continuity of website access and authoring capabilities while complying with the requirement to relocate website hosting.",2013-10-01,2014-03-10,0.573,"7 - Not Primarily a Software Development Project",,no,n/a.,"7 - No certification, but with 4 or more years PM experience (within the last five years)",132,82.5,Red,0,0,Green,Completed,08/29/2016,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)","	300",8401,"	214828","CSWP Maintenance Patching","CSWP Maintenance will provide continuous updates of software and the WCMaaS software baseline as well as ensure continued security controls are in place.",2014-02-01,2014-11-30,0.241,"7 - Not Primarily a Software Development Project",,yes,,"7 - No certification, but with 4 or more years PM experience (within the last five years)",0,0,Green,0,0,Green,Completed,08/29/2016,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)","	400",8403,"	214989","E-Filing Maintenance Release 6.6","Increase E-Filing efficiency by addressing outstanding security and Section 508 compliance issues.",2013-09-13,2013-10-31,0.094,"7 - Not Primarily a Software Development Project",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,0,0,Green,Completed,08/29/2016,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)","	500",10855,"	226762","Customer Relationship Interface System User Experience and Usability Updates","Improve CRIS user experience by enabling users to view the site on mobile devices and by displaying history action codes that have been revised for clarity.",2014-05-22,2014-11-21,1.49,"7 - Not Primarily a Software Development Project",,no,n/a.,"8 - No certification, but with between 2 and 4 years PM experience (within the last five years)",0,0,Green,0,0,Green,Completed,08/29/2016,21:17:53
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)","	600",10857,"	227074","Web Portal User Experience and Usability Improvements","Improve Web Portal user experience through on-demand reporting capabilities, improvements to the content authoring tool and the initiation of responsive design (Mobile apps) implementation.",2014-04-30,2015-02-27,0.881,"7 - Not Primarily a Software Development Project",,no,n/a.,"7 - No certification, but with 4 or more years PM experience (within the last five years)",0,0,Green,0,0,Green,Completed,08/29/2016,21:17:53
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010401",1467,"	172766","VIS O & M FY12","VIS O & M Release 7.0. Supports the Department of Homeland Security, U.S. Citizenship & Immigration Services and the USCIS Verification Division's efforts to operate, maintain, and enhance its Verification Information System.",2011-10-04,2012-11-14,1.857,"1 - Waterfall",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",47,11.55,Yellow,-1.447,-77.92,Red,Completed,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010402",1468,"	177618","VIS O & M FY13-14","VIS O & M Release 7.1 through 8.0.  Supports the Department of Homeland Security, U.S. Citizenship & Immigration Services and the USCIS Verification Division's efforts to operate, maintain, and enhance its Verification Information System.",2012-05-07,2013-03-15,9.387,"1 - Waterfall",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",-42,-13.46,Yellow,-0.202,-5.96,Green,Completed,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010406",6869,"	207940","VIS O & M Release 9","VIS O & M Release 9.0. TNC Enhancements, Password Improvements Part 1, Enhanced Navigation Phase 2, PDF TNC Letters and Notices, FNC review through Self Check, SAVE Customer Reports Agency Transaction by Benefit, SAVE Update WEB-3 Customer Reports.",2012-10-01,2013-07-05,2.651,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-0.007,-0.26,Green,Completed,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010404",6871,"	207939","VIS O & M Release 10","VIS O & M Release 10.0. Replicate all data used for VIS ad-hoc reporting to a server, Deploy a VIS Web Services Extended interface for CRM, Enable VIS and CRM to exchange data, Add self-help screens to guide E-Verify user to re-set their password, retrieve their user ID or unlock their account.",2013-06-17,2013-09-22,2.196,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",7,7.22,Green,0.686,31.25,Red,Completed,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010405",6873,"	207941","VIS O & M Release 11","VIS O & M Release 11.0. ELIS (C3) -VIS users will be able to query both C3 and ELIS systems to find the best sponsorship information for an applicant on first step rather than requiring the submission of a G-845 and/or G-845 supplement. PDF Generation Service (PGS) - VIS users will be able to replace functionality to convert the Memorandums of Understanding (MOUs) from MS Word to PDF and deprecate the Documentum Transformation Server (DTS). Extend ISRS for EAD - SAVE WEB-3 users will be able to provide ISRS (image) responses to agencies using I-766 documents (in addition to I-551 documents) and will be able to decrease IAV responses in SAVE and reduce second and third step queries. ELIS (International Addresses) - SAVE WEB-3 users will be able to return international sponsor addresses for sponsors on initial verification queries, be able to reduce the number of second and third steps required to return these addresses, and will be able to enable the data to be properly returned on second and third step when necessary.",2013-08-01,2013-10-30,2.196,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",-70,-120.69,Red,0.141,6.42,Green,Completed,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010413",8381,"	211011","VIS O & M Release 12","VIS O & M Release 12.0. NARA - VIS System Owners will be able to implement a process and tools to delete VIS records that meet the criteria that have been inactive for at least ten years. Removal Order (E-Verify) - E-Verify users will be able to enhance the processing to access DOJ data related to removal order proceedings, will be able to have applicants evaluated against IJ decisions in their EOIR record so that applicants subject to a removal order will not receive a positive response, and will be able to enhance SVS and In-Application Reports to display removal order information for cases.",2013-11-08,2014-03-05,2.196,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",5,4.27,Green,0.411,19.17,Yellow,Completed,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010407",8383,"	211013","VIS O & M Release 13","VIS O & M Release 13.0. CRM INTEGRATION-PHASE 1 VIS to CRM: To enable the AVANT CRM tool to use the most up-to-date Employer and Agency data, VIS will enable services to AVANT to alert it to changes to the VIS Database in real-time.",2014-02-03,2014-06-23,2.261,"4 - Agile",,yes,,"1 - FAC-P/PM(DAWIA-3)- Senior",0,0,Green,-0.13,-6.41,Green,Completed,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010420",11177,"	227298","VIS Improvement & Sustainment","The goal for the VIS Improvement & Sustainment project is to strengthen and improve upon the existing business processes and technical architecture supporting E-Verify and SAVE.   This project will address functional and technical capability gaps, increase the flexibility and capacity for VIS applications to support continued workload growth, and enhance system functionality and performance for end users.  This effort will be conducted through a pilot initiative and incrementally delivered system maintenance activities.",2010-05-01,2020-06-30,953.974,"4 - Agile",,yes,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",0,0,Green,3.925,5.86,Green,In-progress,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010423",11185,"	227376","1.15 RIDE","Maintain connection to AAMVAnet so E-Verify users can access driver’s license and state ID data stored within participating jurisdiction’s database.",2008-09-08,2023-09-30,37.435,"7 - Not Primarily a Software Development Project",,n/a,,"2 - FAC-P/PM(DAWIA-2)- Mid-Level",0,0,Green,-0.009,-0.13,Green,In-progress,08/29/2016,21:18:17
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)","	30010422",11187,"	227302","1.1.4.2.7 Mobile E-Verify","Design, develop, and deploy a Mobile Application (App) for the E-Verify program based on the existing web-based application available to current users.",2014-05-01,2016-03-15,1.2,"4 - Agile",,yes,,"3 - FAC-P/PM(DAWIA-1)- Entry Level",-107,-15.64,Yellow,0.002,0.17,Green,Completed,08/29/2016,21:18:17
