"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Legislative Mandate Required","Legislative Mandate Description","Audit Finding Resolution Required","Audit Finding Resolution Description","Published Agency Strategic Performance Plan Required","Published Agency Strategic Performance Plan Description","Presidential Priority Required","Presidential Priority Description","Other Requirement Required","Other Requirement Description","Updated Date","Updated Time"
024-000005138,316,"	024","Department of Homeland Security","CBP - Advance Passenger Information (APIS)",yes,"Two Acts pose the legislative mandate.  They are Aviation and Transportation Security Act of November 19, 2001 and Enhanced Border Security and Visa Entry Reform Act of 2002. Two URLs are in the next cell.",no,,yes,"DHS Quadrennial Homeland Security Review 2014. APIS supports the homeland security Mission 1:  (Prevent Terrorism and Enhance Security), Goal 1.1 (Prevent Terrorist Attacks) of the QHSR by providing manifests of travelers and crews that can be matched against watchlists to identify people who should not be allowed to travel and Mission 2: Securing and Managing Our Borders by identifying threats and making possible the investigation and interdiction of same as soon as possible.",no,,no,,2015-09-15,11:13:34
009-000005316,318,"	009","Department of Health and Human Services","FDA ORA Regulatory Business Information Services",yes,"RBIS's management of firm data supports a variety of mandates and directives. The FDA depends upon the accuracy, completeness, and uniformity of firm and facility data (known as Establishment data) to support core Agency operations.The FDA uses Establishment data to provide Congress, other government agencies, and the public with the type and number of regulated establishments. Establishment data is used in budget justifications for accomplishing FDA’s obligations under the Federal Food, Drug, and Cosmetic (FD&C) Act and other related Acts. Establishment data drives FDA district resource allocations, inspection planning and execution, and other compliance and enforcement activities.. All seven FDA Centers use Establishment data extensively to support their principal business operations.",no,,yes,"RBIS aligns directly with Strategic Goal 2, Objective C of the HHS Strategic Plan: “Advance Scientific Knowledge and Innovation/Advance the regulatory sciences to enhance food safety, improve medical product development, and support tobacco regulation” and enables FDA Centers to meet FDA Strategic Goal and Long-term Objective 3.1.1 “Advance Food Safety and Nutrition/ Ensure the Safety of the Food Supply from the Farm to the Table”.",no,,yes,"The FDA is required to report hours spent on all operations (field, lab, domestic, import, etc).",2016-03-30,16:00:25
024-000003015,319,"	024","Department of Homeland Security","USCIS - Transformation",no,,yes,"OIG 11-33 Insider Threat Recommendation #2:  Incorporate insider threat risk mitigation strategies into the Transformation effort.",yes,"The USCIS Strategic Plan outlines the framework, core values and goals, and objectives of USCIS.",no,,no,,2012-09-13,07:28:31
024-000003038,320,"	024","Department of Homeland Security","USCIS - Naturalization - CLAIMS 4.0",yes,"Title 8, Code of Federal Regulation.",no,,yes,"DHS IRM Strategic Plan FY14.",yes,"CIO National Initiatives - Deliver.",yes,"USCIS Immigration Laws.",2014-09-09,08:21:38
024-000003030,321,"	024","Department of Homeland Security","USCIS - Document Management Division (DMD)",yes,"As part of the United States Citizenship and Immigration Services (USCIS) statutory mission, USCIS produces a variety of secure identification documents used to provide evidence of eligibility for immigration benefits to its customers.",no,,no,,yes,"USCIS follows presidential mandates, initiatives, and executive orders as directed. The USCIS IDP program aligns with DHS goals to improve national security and homeland security postures of the United States.",yes,"Specific immigration laws include: Public Law 104-208, Illegal Immigration Reform and Immigrant Responsibility Act of 1996, which modified the Immigration and Nationality Act (INA) of 1952 requiring biometric machine-readable documents for border crossing documents; the INA at 8 USC 1304 (d), codified at section 264, requires that every individual who has been granted lawful permanent residence status ""be issued a certificate of alien registration or an alien registration receipt card in such form and manner and at such time as shall be  prescribed under the regulations issued by the Attorney General.  Federal courts have held that this provision imposes upon DHS nondiscretionary duty to issue such documentation in a timely manner; the INA at 8 USC 1324 a and 8 CFR 247 a (12) requires that individuals in those classes referenced in the statue to be authorized to be employed in the United States and they must apply to USCIS for a document evidencing such employment authorization.",2015-09-15,11:13:14
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems",yes,"Congress requires FDA to collect User Fees and report information about them.  UFS collects, manages, and reports User Fees related to twelve different User Fee acts.  Details about  the User Fee laws can be found on the FDA website.",no,,yes,"HHS Strategic Plan, Goal 4: Objective A:  “Strengthen program integrity and responsible stewardship by…integrating financial, performance and risk.…management”.",no,,no,,2016-04-27,15:28:54
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",no,,no,,yes,"The U.S. Department of Homeland Security Strategic Plan for Fiscal Years (FY) 2012-2016 presents the Department's goals, derived from the conclusions of the Quadrennial Homeland Security Review (QHSR) and the Bottom-Up Review (BUR). The goals include objectives and key performance indicators that are essential for implementation and execution of the Department's responsibilities.",no,,yes,"The purpose of the U.S. Citizenship and Immigration Services (USCIS) Infrastructure-End User Support (I-EUS) Investment Management Team  Charter is to facilitate communication amongst Charter members and ensure the USCIS End User Support Investment provides service support to its user base in accordance with its defined scope.  The Charter describes the I-EUS mission, high-level roles and responsibilities, membership, and meeting structure.",2015-09-15,11:14:32
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",yes,"CLAIMS 3 is the primary case management system used for the adjudication of immigrant and non-immigrant benefits and services. CLAIMS 3 provides the customer information on the status of the request and is used to perform background checks. The data within CLAIMS 3 is used to assist in verifying and corroborating applicant petitions through the use of business rules to ensure that the process is consistent with all applicable laws and regulations.",no,,yes,"CLAIMS 3 allows USCIS to attain the following strategic objectives: Ensure that benefits are granted only to eligible applicants and petitioners; identify and communicate immigration-related information to partners in support of DHS strategic goals; achieve and maintain timely processing of immigration benefits; provide information resources and services to appropriate individuals and entities; develop seamless, IT-supported processes that efficiently support immigration benefits adjudication and information sharing; and strengthen key management processes, systems, and administrative support activities, including our information technology infrastructure.",no,,yes,"All IT systems must make their systems accessible for employees with disabilities.",2014-09-09,08:21:26
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",yes,"E-Government Act of 2002.",no,,no,,no,,no,,2012-09-13,07:26:45
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",yes,"The 1986 Immigration Reform and Control Act (IRCA) [P.L. 99-603] called for an automated system for verifying the immigration status of non-citizen individuals applying for or receiving certain types of federally-funded benefits; the result was SAVE. E-Verify resulted from the 1996 Illegal Immigration Reform and Immigrant Responsibility Act (IIRIRA) [P.L. 104-208] and the Basic Pilot Program Extension and Expansion Act of 2003 [P.L. 108-156]. Since 2007, twenty states have enacted legislation mandating some level of E-Verify use, with nine requiring mandatory use of E-Verify for all employers.",yes,"Addressing Recommendations #4 and #7 from GAO report 11-146 ""Federal Agencies Have Taken Steps to Improve E-Verify, but Significant Changes Remain,"" regarding improving the accuracy of source data and developing a life-cycle cost estimate for E-Verify.",yes,"In the USCIS Strategic Plan, enhancing E-Verify and SAVE is a necessary step to achieve Objective 2.2: ""use innovative approaches to provide information resources and services to eligible individuals and entities, including the general public. In the DHS FY14-18 Strategic Plan, E-Verify is specifically linked to Goal 3.2: Prevent Unlawful Immigration.",yes,"Presidential Executive Order 12989, as amended in 2008, and the subsequent Federal Acquisition Regulation (FAR) rule required federal contractors to electronically verify the employment eligibility of employees working under covered federal contracts.",yes,"The REAL ID Act of 2005 [P.L.109-13] established certain minimum standards for state-issued drivers' licenses and state-issued identification cards in order for those documents to be acceptable for official federal purposes as specified by the Act. To issue Real ID compliant documents, states must use the SAVE Program to verify the immigration status of applicants for driver's licenses and identification cards. The Patient Protection and Affordable Care Act of 2010 [P.L. 111-148] provides for a variety of healthcare reforms including health insurance benefits for qualified ""aliens lawfully present in the United States. As part of this eligibility determination, health and human services agencies use the SAVE Program to verify the immigration status of non-citizen applicants.",2015-09-15,11:12:22
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",yes,"E-Government Act of 2002.",no,,no,,yes,"E.O. 13410, Promoting Quality and Efficient Health Care in Federal Government Administered or Sponsored Health Care Programs.",yes,"OMB designated FHA as an E-Gov initiative and Line of Business within Federal Enterprise Architecture.",2013-03-25,09:21:47
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",,,,,,,,,,,2011-09-16,14:51:24
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",yes,"As required by the Federal Manager's Financial Integrity Act of 1982 (FMFIA) and the OMB Circular A-123, the Department issued an unqualified assurance statement in fiscal year 2013 indicating a material weakness (Financial Reporting Systems & Processes) that will be addressed by the UFMS investment.",yes,"The upgrades to UFMS will assist in addressing the FY 2013 material weakness related to segregation of duties, change management, and access to HHS financial systems.",yes,"Goal 4: Increase Efficiency, Transparency, and Accountability of HHS Programs.",yes,"As required by: OMB M-10-26, project focuses on meeting critical business needs first;  Federal Cloud Computing “Cloud First” (Feb 8, 2011); Federal Data Center Consolidation Initiative (FDCCI) - Draft OMB Memo July 20, 2011; Federal Information Technology Shared Services Strategy “Shared First” Dec 8, 2011.",no,,2016-04-27,15:29:33
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",no,,yes,"GAO has made several recommendations, including that HRSA implement key elements of grantee oversight consistent with guidance, including restrictive drawdowns; develop a strategic approach for selecting grantees for site visits; and work to identify grantees’ training needs in order to comply with the National Monitoring Standards. This investment will help HRSA meet these requirements by expanding the EHBs as the primary centralized location for documentation related to oversight and monitoring, as well as a Management Dashboard to allow program officials to track grantee monitoring activities.  These enhancements will be implemented enterprise-wide to serve all Programs.",yes,"This investment supports the HHS Stategic Goals of strengthening health care; advancing the health, safety, and well-being of the American People; and strengthening the Nation's health and human services infrastructure and workforce by collecting, storing and analyzing grantee/program performance data in one centralized system. The system helps programs plan, administer, monitor, analyze, and improve their programs.",no,,no,,2016-04-27,15:29:36
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",yes,"The workload and user population reports produced by NPIRS meet the reporting requirement of the Indian Health Care Improvement Act of 1976, P.L. 94-437, permanently authorized in 2010 by the Indian Health Care Improvement Reauthorization and Extension Act S. 1970 as reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148.",no,,no,,yes,"The priorities defined in the 25 Point Implementation Plan to Reform Federal Information Technology Management are also being implemented within the NPIRS investment as applicable, including data center consolidation and cloud computing initiatives.",no,,2012-09-13,12:49:53
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",yes,"IOAT must meet the management information needs of Indian tribes or tribal organizations with respect to the health care of IHS patients as well as meet the information needs of the IHS. The Indian Health Care Improvement Act of 1976, P.L. 94-437 was permanently authorized in 2010 by The Indian Health Care Improvement Reauthorization and Extension Act S. 1790 as Reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148. Additional legislation mandates the maintenance activities performed, including the Health Insurance Portability and Accountability Act,"" P.L. 104-191, August 21, 1996; and Subtitle D of the Health Information Technology for Economic and Clinical Health Act (HITECH Act), enacted as part of the American Recovery and Reinvestment Act of 2009.",no,,yes,"The IHS infrastructure investment directly supports the HHS’ Strategic Plan Goal 1: Transform Healthcare, Objective E:  Ensure access to quality, culturally competent care for vulnerable populations by (1) implementing an enterprise approach to information technology infrastructure that fosters communication, innovation, collaboration, standardization and interoperability throughout IHS, and (2) by ensuring that systems provide security that guarantees the confidentiality, integrity and availability of IHS information resources.",yes,"The IOAT investment adheres to the directives identified in EO 13589 Promoting Efficient Spending through IT device inventory improvements and evaluating IT solutions that consolidate desktop services, email, and collaboration tools. The priorities defined in the Federal Information Technology Shared Services strategy are being adopted as applicable, including the use of Enterprise wide software licensing agreements to standardize software amongst the geographically dispersed IHS locations and looking at shared services or cloud computing technologies when analyzing alternative solutions.",no,,2016-05-26,19:49:48
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",yes,"US Code, Title 25, Chapter 18, General Provisions, Section 1662, titled Automated Management Information System, mandated that the IHS establish an automated management information system that would include: 1) Financial Management System (FMS); 2) Patient care information system for each Area served by the IHS; 3)Privacy component that protects the privacy of patient information held by, or on behalf of, the IHS; and 4) Services-based cost accounting component that provides estimates of the costs associated with the provision of specific medical treatments or services in each IHS Area Office. P.L. 100-713 mandates that the Secretary provide automated management information systems to each Indian tribe and tribal organization that provides health services under a contract entered into with the IHS under the Indian Self-Determination Act.",no,,yes,"The RPMS program supports increased patient safety through the monitoring of adverse events (HHS 2014-2018 Goal 1 Objective B). The RPMS EHR attained Meaningful Use Certification and is being implemented system-wide (HHS 2014-2018 Goal 1 Objective F). The RPMS program adheres to Capital Planning and Investment Control (CPIC) strategies that align to HHS 2014-2018 Goal 4 Objective A to strengthen program integrity and responsible stewardship in the management of all programs.",yes,"The RPMS investment adheres to the directives identified in EO 13589 Promoting Efficient Spending by evaluating operational costs and implementing cost saving measures wherever possible. The priorities defined in the 25 Point Implementation Plan to Reform Federal Information Technology Management are also being implemented within the RPMS investment as applicable, including reforming acquisition practices to reduce the amount of administrative fees incurred with prior contracting practices.",yes,"The RPMS must meet the management information needs of Indian tribes or tribal organizations with respect to the health care of IHS patients as well as meet the information needs of the IHS. The Indian Health Care Improvement Act of 1976, P.L. 94-437 was permanently authorized in 2010 by The Indian Health Care Improvement Reauthorization and Extension Act S. 1790 as Reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148. Additional legislation mandates the maintenance activities performed; Government Performance and Results Act of 1993, P.L. 103-62; Information Technology Management Reform Act of 1996, Clinger-Cohen Act, Division E, P.L. 104-106; Health Insurance Portability and Accountability Act,"" P.L. 104-191, August 21, 1996; Subtitle D of the Health Information Technology for Economic and Clinical Health Act (HITECH Act), enacted as part of the American Recovery and Reinvestment Act of 2009.",2015-09-15,14:31:44
009-000001408,337,"	009","Department of Health and Human Services","NIH ES Business Intelligence System (NBIS)",no,,no,,no,,no,,yes,"NIH Management recognized the need to improve business processes to meet it’s mission requirements and as such the Deputy Director of Management commissioned the development of the NIH DW (NBIS).  NBIS provides accurate, timely and actionable information to empower data-driven decision making at the NIH for administrative business areas, including Finance and HR.",2016-05-27,19:30:43
009-000001405,339,"	009","Department of Health and Human Services","NIH CC Clinical Research Information System (CRIS)",no,,no,,no,,no,,yes,"An electronic health record (EHR) provides a system to support the standards set by the Joint Commission as well as the requirements for Clinical Laboratory Improvement Amendments (CLIA) certification.  The Office of the National Coordinator for Health Information Technology (ONC) also requires all EHR’s to be certified.  These organizations identify that health information is to be managed in a systematic way by the hospital, allowing for information to be captured at the time of the delivery of care, treatment or service and that the information is used to provide safe and quality care.  Through the use of an electronic system the standards and policies identified by these organizations are met.",2016-05-26,19:49:34
009-000000833,341,"	009","Department of Health and Human Services","NIH NCI Cancer Therapy Evaluation Program (CTEP)",no,,no,,no,,no,,no,,2012-09-12,16:04:43
009-000001410,342,"	009","Department of Health and Human Services","NIH ES Electronic Research Administration (eRA)",yes,"Grants Management GMLoB; PL106-107.",no,,no,,no,,no,,2012-09-13,09:04:39
009-000001413,343,"	009","Department of Health and Human Services","NIH ES NIH Business System (NBS)",no,,no,,no,,no,,no,,2012-09-14,14:50:42
009-000001476,344,"	009","Department of Health and Human Services","OS ASA Accounting for Pay System (AFPS)",no,,no,,no,,no,,no,,2013-09-12,09:33:58
009-000001479,345,"	009","Department of Health and Human Services","OS ASA Debt Management and Collection System (DMCS)",no,,no,,no,,no,,no,,2013-09-12,09:35:12
009-000003888,346,"	009","Department of Health and Human Services","OS ASA Enterprise Human Resources and Personnel (EHRP)",no,,yes,"2015 Audit Findings: No material weaknesses.  Findings include ISA processes, POA&M processes, User Access Listing, SSP Controls, SOD Policy, Third-Party Security Reporting, EHRP Security Administration, Contingency Planning, and Configuration Management Procedures.",yes,"HHS Strategic Goal 4 - Ensure Efficiency, Transparency, Accountability, and Effectiveness of HHS Programs. HHS is dedicated to developing the systems, workforce, and infrastructure that can address complicated and emerging challenges to improve the health and well-being of the nation.  Robust and secure information management systems, collaboration to develop innovative solutions, a highly skilled and diverse workforce, and a commitment to sustainability are all part of that effort.",yes,"Digital Government Strategy - one of three goals is to ensure that as the government adjusts to this new digital world, we seize the opportunity to procure and manage devices, applications, and data in smart, secure and affordable ways.",no,,2016-02-06,20:50:07
009-000004658,347,"	009","Department of Health and Human Services","OS ASFR HHS Consolidated Acquisition Solution",,,,,,,,,,,2013-09-11,08:52:29
009-000006266,348,"	009","Department of Health and Human Services","OS ASA Information Technology Infrastructure and Operations",no,,no,,no,,yes,"Iimplementation of Homeland Security Presidential Directive-12 (HSPD-12) PIV card authentication per NIST guidelines for securing access to government resources.",no,,2013-09-12,12:24:16
009-000001482,349,"	009","Department of Health and Human Services","OS ASA Payment Management System (PMS)",,,,,,,,,,,2013-09-12,12:23:38
009-000001418,353,"	009","Department of Health and Human Services","SAMHSA - CHBSQ National Survey on Drug Use and Health (NSDUH)",yes,"Section 505 of the Public Health Service Act (42 USC 290aa4).",no,,yes,"http://store.samhsa.gov/shin/content//SMA11-4629/02-ExecutiveSummary.pdf .",no,,no,,2012-09-12,16:06:17
009-000006779,354,"	009","Department of Health and Human Services","HHS Information Security Program Investment",yes,"The Office of Management and Budget (OMB) has mandated that the Department of Health and Human Services (HHS) and all other Federal agencies implement the Trusted Internet Connections (TIC): Memorandum M-08-05.  Additionally, the Program will continue to enhance the program’s security compliance and annual FISMA program review efforts to more effectively measure the Department and OPDIV levels of compliance with the requirements of FISMA.",yes,"Funds will enable the implementation of corrective action plans to resolve the security weaknesses identified in OIG audits and security controls testing.  HHS currently has a material weakness condition based on information technology system security controls weaknesses identified in OIG financial statement audits.  The weaknesses identified are in a number of financial systems and in the network infrastructure supporting those systems.  Funds will be applied to resolve and mitigate the system security issues that are causing the material weakness condition.",no,,no,,no,,2016-03-31,12:21:24
009-000001361,355,"	009","Department of Health and Human Services","HRSA - BHW National Practitioner Data Bank (NPDB)",yes,"The NPDB was established under Title IV of Public Law 99-660, the Health Care Quality Improvement Act of 1986. NPDB authority was expanded by Section 1921, as amended by section 5(b) of the Medicare and Medicaid Patient and Program Protection Act of 1987, and as amended by the Omnibus Budget Reconciliation Act of 1990. The Healthcare Integrity and Protection Data Bank (HIPDB) was established under section 1128E of the Social Security Act as added by Section 221(A) of the Health Insurance Portability and Accountability Act of 1996. Section 6403 of the Affordable Care Act of 2010 mandated the merger of the HIPDB into the NPDB.  This merger occurred in May 2013.",no,,yes,"NPDB directly supports HHS’ Strategic Goal 1 Objective B: Improve health care quality and patient safety.  The NPDB system flags doctors, nurses, and other health care workers with a record of license suspension, malpractice, or other adverse actions.  The NPDB enables hospitals, government agencies, and other healthcare organizations to make informed decisions on hiring and issuing clinical privileges, which directly improves patient safety.",no,,no,,2016-04-07,17:59:19
021-002703942,357,"	021","Department of Transportation","FAAXX084: Instrument Flight Procedure Automation (IFPA)",no,,no,,yes,"The IFPA Investment supports Delivering Aviation Access Through Innovation in DOT Strategic Plan. AeroNav Products, a component of Mission Support within the Air Traffic Organization (ATO), designs, develops and publishes Performance Based Navigation (PBN) instrument flight procedures which provide commercial airlines more paths into and out of major airports, including the ability to safely land and takeoff during adverse weather. The Information Technology (IT) tools provided by this investment are used daily in the design, development and production of these flight procedures.",no,,yes,"FAA Orders (8260.XX) and Notices (N8260.XX) issued by the Flight Standards organization (AFS) within the Aviation Safety organization (AVS). AVS is the Regulator for the ATO's AeroNav Products organization, and as such, develops and publishes all instrument flight procedure design criteria.",2014-09-12,17:11:01
021-147277724,359,"	021","Department of Transportation","FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh",no,,yes,"System age, component shelf life and inherent deterioration of parts cause sustainability issues. The situation is further worsened by obsolescence of parts and components.",yes,"FAA Strategic Initiative: Make aviation safer and smarter.  VSCS and VTABS form a safety-critical thread in the NAS per the FAA Handbook 6 - Reliability, Maintainability and Availability. VSCS/VTABS provides A/G and G/G communications to air traffic controllers at all ARTCCs in the National Airspace (NAS) which is vital for the safety of the flying public.",no,,no,,2015-09-17,18:28:54
021-089571105,361,"	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",no,,no,,yes,"WAAS supports the FAA Strategic Initiatives with increased aviation safety, reduction in transportation related injuries and fatalities, and Next Level of Safety, by providing precise satellite navigation and landing guidance to equipped aircraft in any weather.",no,,no,,2014-09-12,17:12:59
021-006227212,363,"	021","Department of Transportation","FAAXX036: Terminal Primary Surveillance (TPS)",no,,no,,yes,"This investment supports the following Office of the Administrator (AOA) strategic priorities: Maintain an average daily capacity for core airports of 58,166, or higher, arrivals and departures. Radar systems are critical to the safe operation of the National Air Space (NAS). This investment is also critical to achieving greater capacity in the NAS. Accurate and reliable radar is required to handle the increasing number of flights while reducing the amount of air traffic congestion. TPS will help FAA achieve meeting its adjusted operational availability by replacing obsolete parts and improving system performance.",no,,no,,2014-09-12,17:10:13
021-860081937,364,"	021","Department of Transportation","FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)",no,,no,,yes,"ASDE-X supports the FAA's Strategic Initiatives. The ASDE-X program is pushing towards making Aviation safer and smarter thru the use of Risk Based Decision Making. The program maintains and uses a Risk Register which is updated on a monthly basis. The ASDE-X program Enhances Global Leadership by constantly striving to improve safety,  air traffic efficiency, and environmental sustainability across the globe. We track our surveillance systems thru Metrics, Performance Monitoring and Trend Analysis.",no,,no,,2014-09-12,17:13:30
021-623287423,366,"	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",no,,no,,yes,"The FTI program supports the DOT Strategic Plan 2014-2018 and FAA Strategic Initiatives. FTI supports the DOT and FAA strategic goal to deliver benefits through technology and infrastructure (Improved Financial Performance) by enhancing the agency's ability to reduce operations cost growth in telecommunications by offering a broad range of telecommunications services that will allow the FAA to match price to performance. FTI also supports the DOT and FAA Strategy to make aviation safer and smarter by providing the high availability telecommunications services required to support air traffic control operations.",no,,no,,2015-09-17,18:32:05
021-514765477,368,"	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",no,,no,,yes,"ERAM contributes to the DOT Strategic Plan's Safety goal to reduce transportation related injuries and fatalities and the Economic Competitiveness goal of achieving maximum economic returns on transportation policies and investment outcomes. In the Next Generation Air Transportation System (NextGen) timeframe, demand for air transportation and other airspace services is expected to grow significantly from today's levels in terms of passenger volume, amount of cargo shipped, and overall number of flights. In the FAA Strategic Initiatives Plan, ERAM supports the NextGen initiative for improving services and efficiency within the NAS. ERAM provides a fully redundant system. ERAM also increases the number of flight plans that can be stored; provides flexibility in airspace configuration; and extends radar coverage in all ARTCCs by increasing the number of radar feeds.",no,,no,,2015-09-17,18:32:44
021-161006572,370,"	021","Department of Transportation","FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP)",no,,no,,yes,"The ATOP system supports the DOT Strategic Plan and the Economic Competitiveness goal of Aviation Access by providing more optimal fuel efficient flight profiles.  ATOP will provide, in 2016, automation to allow the use of ADS-C Climb/Decent Procedures (CDP) and ASD-B In-Trail Procedures (ITP) to allow airlines more capability to adjust their flights profiles to take advantage of more economical flight paths saving them both time and fuel.",no,,no,,2015-09-17,18:34:07
021-613828465,371,"	021","Department of Transportation","FAAXX603: Time Based Flow Management (TBFM)",no,,no,,yes,"The TBFM Program supports the DOT Strategic Plan; Economic Competitiveness Strategic Goal. TBFM will allow more efficient use of congested airspace by reducing delays due to current flight scheduling constraints, and automating the coordination and management of departures over shared and congested National Airspace System (NAS) resources (fixes, airways). TBFM will allow more fluid flights with fewer speed changes and reduced miles and time to improve performance for both the FAA and the aircraft industry and flying public.",no,,no,,2014-09-12,17:16:29
021-826990043,373,"	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",yes,"PL 112-95 Section 312 - Aircraft Certification Process Review and Reform

(c) RECOMMENDATIONS.-In conducting the assessment, the Administrator shall make recommendations to improve efficiency and reduce costs through streamlining and reengineering the certification process under section 44704 of such title to ensure that the Administrator can conduct certifications and approvals under such section in a manner that supports and enables the development of new products and technologies and the global competitiveness of the United States aviation industry.",no,,yes,"The ASKME Program supports the following DOT Strategic Plan (2011-2016) goal area of Safety and the DOT Outcome; Reduction in transportation related fatalities and injuries; Commercial Air Carrier Fatality Rate; Reduce commercial air carrier fatalities per 100 million persons on board by 24% over 9-yr period (2010-2018) and no more than 6.2 in 2018.",no,,no,,2015-09-17,18:35:31
021-620588994,375,"	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",no,,no,"The FAA administrator has proposed an FAA reorganization that will resolve some of the issues addressed in the IG report, ""FAA's Approach to SWIM has Led to Cost and Schedule Uncertainty and No Clear Path for Achieving NextGen Goals,"" dated June 15, 2011.",yes,"SWIM supports several goals under the Agency's Strategic Initiatives: Make Aviation Safer and Smarter - SWIM develops the appropriate tools, metrics, and approaches to reduce and limit the serious losses of standard separation within NAS. SWIM also facilitates the identification of the top airport surface risks areas through data collection and analysis. Deliver Benefits Through Technology and Infrastructure - the acceleration of NextGen technology and operational improvements helps to reduce noise, fuel burn, and emissions even with continued growth in system activity. Enhance Global Leadership - SWIM enhances international cooperation and harmonization in legislation, regulatory requirements, policies, as well as procedures in civil aviation safety, air navigation, and environmental mitigation. The program also incorporates international considerations in the FAA processes for the implementation of new technology and standards.",no,,no,,2015-09-17,18:37:32
021-189475443,376,"	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",no,N/A.,no,N/A.,yes,"To meet the FAA's Strategic Initiatives goal 'Make Aviation Safer and Smarter',  AFS will implement an SMS and leverage the capabilities of the SAS, the principal means by which AFS will implement safety assurance, one component of the SMS.  It provides a comprehensive, standardized approach to the oversight of aviation certificate holders. It is an automated, decision support system based on system safety principles and embraces a proactive, risk-based approach to oversight.  This system allows ASIs to make independent assessments while supporting data sharing, collaboration, and open communication.  In an increasingly complex operational environment, the SAS allows the AFS workforce to use data-supported system-wide analysis and focus their efforts on the most probable safety problems rather than trying to be everywhere to observe everything as the current system requires. This will result in reducing one of the root causes of aviation accidents and achieving the FAA strategic goals.",no,N/A.,no,N/A.,2015-09-17,18:36:06
021-113910548,377,"	021","Department of Transportation","FAAXX709: Runway Status Lights (RWSL)",no,,yes,"DOT OIG Audit Report ""FAA Operational and Programmatic Deficiencies Impede Integration of Runway Safety Technologies, dated June 26, 2014, issued the following recommendation: ""Develop and implement a plan, in coordination with airport authorities, to address issues, such as, construction schedules and site adaptation/design that may impede RWSL's deployment with cost and schedule estimates.",yes,"RWSL supports the Department of Transportation for a New Generation Strategic Plan Fiscal Years 2012-2016"" Strategic Goal of ""Safety"" specifically ""Safety Strategies to Reduce Fatalities and Injuries in Aviation.  RWSL supports the FAA Strategic Initiatives 2014-2018, FAA Strategic Priority ""Make aviation safer and smarter, and the  Administrator's  Priority  Initiative ""Risk  Based Decision Making: Build on safety management principles to proactively address emerging safety risk by using consistent, data-informed approaches to make smarter, system-level, risk-based decisions. RWSL also supports the National Runway Safety Plan 2015-2017.",no,,yes,"RWSL is a direct response to National Transportation Safety Board (NTSB) Safety Recommendation A-00-66 ""Require all airports with scheduled passenger service, a ground movement safety system that will prevent runway incursions; the system should provide a direct warning capability to flight crews. In addition, demonstrate through computer simulations or other means that the system will, in fact, prevent incursions"".",2015-09-17,18:38:49
021-130077684,379,"	021","Department of Transportation","FAAXX711: Data Communications NextGen Support (DataComm)",no,,no,,yes,"The Data Comm investment will provide additional communication capabilities that support the AOA Strategic Priority, ""Deliver Benefits through Technology and Infrastructure"".  Data Comm also supports the following DOT Strategic Plan goals:  Safety, Economic Competitiveness, and Environmental Sustainability.",no,,no,,2015-09-17,18:39:26
021-391613792,380,"	021","Department of Transportation","FAAXX713: NextGen NAS Voice System (NVS)",no,,no,,yes,"FAA Strategic Priorities: Delivering benefits through technology and infrastructure by maintaining an average daily airport capacity for core airports of 59,122, or higher, arrivals and departures.",no,,no,,2015-09-17,18:40:04
