"Unique Investment Identifier","Business Case Id","Agency Code","Agency Name","Investment Title","Planning Budgetary Resources PY1 and Prior","Planning Budgetary Resources PY","Planning Budgetary Resources CY","Planning Budgetary Resources BY","DME Budgetary Resources PY1 and Prior","DME Budgetary Resources PY","DME Budgetary Resources CY","DME Budgetary Resources BY","DME Government FTE Costs PY1 and Prior","DME Government FTE Costs PY","DME Government FTE Costs CY","DME Government FTE Costs BY","Omd Budgetary Resources PY1 and Prior","Omd Budgetary Resources PY","Omd Budgetary Resources CY","Omd Budgetary Resources BY","Omd Government FTE Costs PY1 and Prior","Omd Government FTE Costs PY","Omd Government FTE Costs CY","Omd Government FTE Costs BY","Government FTE Number PY1 and Prior","Government FTE Number PY","Government FTE Number CY","Government FTE Number BY","Prior Year Cost Change PY","Prior Year Cost Change CY","Prior Year Cost Percentage Change PY","Prior Year Cost Percentage Change CY"
005-000000039,236,"	005","Department of Agriculture","DM-OPPM-Integrated Acquisition System (IAS)",13.56,0,0,0,233.82,0,0,0,13.56,0,0,0,157.484,11.587,12.11,11.995,30.977,1.747,1.984,2.145,17.06,12.7,12.7,12.7,-0.78,-0.02,-5.526,-0.142
005-000001659,239,"	005","Department of Agriculture","APHIS-Animal Disease Traceability Information System (ADTIS)",0,0,0,0,22.72,0,0,0,1.906,0,0,0,15.413,0.267,0.714,0.714,4.885,0.196,0.196,0.196,7.4,3.7,3.7,3.7,-1,0.058,-68.353,6.808
005-000002321,243,"	005","Department of Agriculture","DM-OCIO-Optimized Computing Environment (OCE)",1.921,0,0,0,79.999,28.937,28.937,0,0.66,0,0,0,3.645,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
005-000000063,249,"	005","Department of Agriculture","RMA-13 Emerging Information Technology Architecture (EITA)",0,0,0,0,56.519,12.48,14.209,12.44,0.8,0,0,0,41.706,5.499,7.74,8.048,3.273,1.339,2.16,2.565,23,16,16,20,5,4,34.921,19.892
005-000000028,250,"	005","Department of Agriculture","FS-Resource Ordering and Status System (ROSS)",0,0,0,0,31.878,0,0,0,0.028,0,0,0,44.854,5.182,4.861,4.861,1.318,0.846,0.667,0.667,14,7,6.5,6,0,-0.5,0,-8.295
005-000002224,252,"	005","Department of Agriculture","DM-OCIO-USDA Identity & Access Management",1.533,0.15,0.05,0.05,1.181,0,0,0,0,0,0,0,105.517,13.525,14.268,13.201,1.222,1.654,1.789,1.781,12,16,16,16,0,-0.001,0,-0.006
005-000000018,253,"	005","Department of Agriculture","AMS-Web-Based Supply Chain Management (WBSCM)",1.79,0,0,0,96.463,0,0,0,4.375,0,0,0,91.741,37.185,37.854,31.926,9.745,0.47,0.531,0.542,44,22,15,15,2.886,-10.072,8.3,-20.785
009-000001386,257,"	009","Department of Health and Human Services","CDC OID National Center for Immunization Respiratory Diseases Vaccine Tracking System (VTrckS)",0.886,0,0,0,76.232,0,0,0,1.786,0,0,0,38.977,11.54,12.13,12.611,2.873,1.508,1.553,1.6,38.1,12,12,12,0,0,0,0
009-000006260,258,"	009","Department of Health and Human Services","CDC Information Technology Infrastructure",0,0,0,2.23,0.5,0,0,0,0,0,0,0.77,867.307,87.444,82.744,80.514,190.696,28.656,28.656,27.886,1364,218,218,218,0,4.8,0,4.503
009-000001384,260,"	009","Department of Health and Human Services","CDC National Select Agent Platform (NSAP)",4.187,3.772,1.6,2.98,32.985,0.25,0.253,0,1.901,0.159,0.252,0.156,29.365,1.367,1.057,3.284,2.174,0.151,0.149,0.151,15,6,2.5,2.5,-0.004,0.095,-0.07,2.954
009-000001372,261,"	009","Department of Health and Human Services","CDC PHIN: BioSense",2.55,0.375,0.375,0.375,186.922,1.45,1.45,2.572,23.975,0.338,0.338,0.338,41.78,4.091,4.091,4.091,8.463,1.92,1.92,1.92,151,16,16,16,0,0,0,0
009-000001378,262,"	009","Department of Health and Human Services","CDC PHIN: National Electronic Disease Surveillance System",9.304,0.303,0.303,0.942,119.485,2.607,2.607,7.73,14.179,0.25,0.25,1.8,41.855,3.693,3.693,5.782,10.516,2.599,2.599,1.2,143,23,23,23,0,0,0,0
009-000004261,264,"	009","Department of Health and Human Services","CMS Beneficiary Enrollment and Plan Payment for Part C & D",0,0,0,0,3.172,0,0,0,0,0,0,0,515.555,24.482,21.639,21.597,17.736,3.479,3.479,3.479,152.5,24.5,24.5,24.5,0.147,-2.895,0.529,-10.334
009-000001474,265,"	009","Department of Health and Human Services","CMS Beneficiary e-Services",0,0,0,0,2.515,3,0,0,0,0,0,0,385.599,49.01,48.008,50.543,28.64,4.544,4.544,4.544,224,32,32,32,12.656,-13.388,28.83,-20.303
009-000004263,268,"	009","Department of Health and Human Services","CMS Medicare Beneficiary Enrollment Data Management",0,0,0,0,7.816,2.847,0,0,0,0,0,0,159.501,10.718,9.421,11.559,7.411,0.994,0.994,0.994,43,7,7,7,2.888,-4.756,24.745,-31.349
009-000000704,269,"	009","Department of Health and Human Services","CMS Information Management and Analytics",0,0,0,0,15.5,0,0,0,0,0,0,0,183.291,19.528,18.887,20.928,6.995,2.272,2.272,2.414,69,16,16,17,-1.504,-3.151,-6.454,-12.962
009-000004260,270,"	009","Department of Health and Human Services","CMS Drug Claims (DDPS)",0,0,0,0,1.676,0,0,0,0,0,0,0,167.033,18.385,16.491,16.382,7.455,1.278,1.278,1.278,59,9,9,9,0.054,-3.323,0.275,-15.755
009-000004254,272,"	009","Department of Health and Human Services","CMS Durable Medical Equipment (DME) Claims Processing",0,0,0,0,11.802,0,0,0,0,0,0,0,105.228,17.731,17.731,29.131,3.461,0.568,0.568,0.568,28,4,4,4,0.024,-0.635,0.131,-3.354
009-000006796,273,"	009","Department of Health and Human Services","CMS Encounter Data",0,0,0,0,39.416,4.114,5.951,0,3.618,0.1,0.1,0,53.593,18.349,26.541,23.758,1.315,0.447,0.447,0.547,35.35,3.85,3.85,3.85,0.023,9.802,0.1,42.183
009-000001465,274,"	009","Department of Health and Human Services","CMS Health Care Quality Improvement System (QIES)",27,0,0,0,80.16,0,0,0,0.2,0,0,0,195.256,29.234,37.32,35.845,2.536,0.852,0.852,0.852,25.4,6,6,6,1.336,-4.542,4.647,-10.634
009-000001468,275,"	009","Department of Health and Human Services","CMS Healthcare Integrated General Ledger Accounting System (HIGLAS)",25.337,0,0,0,575.554,0,0,0,29.892,0,0,0,859.175,94.159,94.159,108.85,41.724,4.97,4.97,4.97,525,35,35,35,0.21,-14.481,0.212,-12.746
009-000004417,277,"	009","Department of Health and Human Services","CMS ICD-10 Initiative",7.943,0,0,0,68.398,19.609,17.5,15,1.911,0.71,0.71,0.71,0,0,0,0,1.511,0,0,0,25,5,5,5,0.03,0.03,0.148,0.165
012-000001055,278,"	012","Department of Labor","Consumer Price Index (CPI) Maintenance",0,0,0,0,0,0,0,0,0,0,0,0,63.82,3.799,3.831,3.882,115.117,11.266,10.444,10.62,1106,99,90,90,0.119,-0.963,0.8,-6.3
009-000004414,280,"	009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims",0,0,0,0,5.806,3.65,0,0,0,0,0,0,136.245,12.513,11.173,13.731,6.131,0.71,0.71,0.71,55,5,5,5,3.68,-1.31,27.894,-9.93
009-000004611,281,"	009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)",0,0,0,0,58.039,8.348,9.094,8.337,1.059,0.147,0.213,0.213,111.841,29.599,21.219,19.453,2.046,0.533,0.497,0.497,35,5,5,5,17.647,1.096,84.113,3.662
009-000006265,283,"	009","Department of Health and Human Services","CMS IT Infrastructure - Ongoing",0,0,0,0,316.903,0,0,0,0,0,0,0,2105.693,585.605,378.76,328.365,8.009,1.611,1.611,1.611,88,11,11,11,71.094,-18.269,13.775,-4.583
009-000000714,284,"	009","Department of Health and Human Services","CMS Medicaid Data Systems",0,0,0,0,1.364,0,0,0,0,0,0,0,59.076,17.194,20.423,16.22,3.022,1.491,1.491,1.491,28,10.5,10.5,10.5,0.063,2.134,0.338,10.789
009-000002454,285,"	009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)",0,0,0,0,20.515,0.1,0,0,0,0,0,0,36.515,7,6.2,25.151,2.671,0.478,0.478,0.478,23.4,3.4,3.4,3.4,0.116,-8.184,1.555,-55.067
009-000005234,287,"	009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System",0,0,0,0,51.628,0,0,0,6.295,0,0,0,139.077,29.463,23.689,22.479,13.744,2.84,2.84,2.84,120,20,20,20,3.516,-2.939,12.214,-9.974
009-000004255,290,"	009","Department of Health and Human Services","CMS Part A Claims Processing",0,0,0,0,5.334,0,0,0,0,0,0,0,115.445,18.385,21.646,25.534,1.235,0.284,0.284,0.284,14,2,2,2,0.012,2.139,0.064,10.808
009-000004256,291,"	009","Department of Health and Human Services","CMS Part B Claims Processing",0,0,0,0,15.089,8.278,0,0,0,0,0,0,95.705,14.217,13.468,20.468,2.536,0.426,0.426,0.426,21,3,3,3,8.296,-4.358,56.725,-23.877
009-000004258,293,"	009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)",0,0,0,0,1.183,0,0,0,0,0,0,0,123.257,20.967,20.775,20.807,9.433,1.846,1.846,2.272,88,13,13,16,0.078,-0.964,0.343,-4.087
009-000005345,298,"	009","Department of Health and Human Services","FDA CDER Drug Review & Submissions (ADIMS)",2.863,0,0,0,39.935,0.886,0.913,5,1.667,0.225,0.225,0.15,48.308,11.195,14.145,10.92,5.103,0.525,0.525,0.6,52.83,7.5,5,5,-3.43,0,-21.093,0
009-000005318,299,"	009","Department of Health and Human Services","FDA ORA Automated Laboratory Management",1.8,0,0,0,64.628,3.175,6.38,11.83,2.09,0.27,0.42,0.27,27.457,8.339,7.3,7.14,1.322,0.218,0.42,0.69,26.1,4.6,5.6,4.6,-3.398,-0.58,-22.065,-3.841
024-000005116,303,"	024","Department of Homeland Security","CBP - Land Border Integration",3.142,0,0,0,311.057,0,0,0,0,0,0,0,440.398,72.464,72.464,72.464,108.466,1.543,1.556,1.633,628,10,10,11,-0.012,-0.017,0,0
024-000005056,304,"	024","Department of Homeland Security","CBP - SAP",0,0,0,0,64.579,0,0,0,0,0,0,0,198.123,12.024,13.331,13.331,35.068,2.39,2.182,2.608,95,20,19,20,-0.126,0.942,-1,6
024-000005064,307,"	024","Department of Homeland Security","CBP - Tactical Communication (TAC-COM) Modernization",0,0,0,0,369.76,0,0,0,0,0,0,0,63.527,26.421,28.371,29.471,28.216,3.154,2.379,3.077,233,20,17,17,-0.032,-0.846,0,-3
024-000005358,308,"	024","Department of Homeland Security","ICE - TECS Modernization",18.315,0,0,0,96.941,21,21.5,21,11.04,5.001,5.096,5.193,0,0,0,5.431,0,0,0,0,43,20,20,21,0,0,0,0
009-000005317,310,"	009","Department of Health and Human Services","FDA ORA Systems for Inspections, Recalls, Compliance and Enforcement (SIRCE)",8.436,0.2,0,0,144.344,24.615,15.6,15.6,8.308,0.75,0.3,0.3,60.183,11.581,6.161,6.161,3.242,0.6,0.3,0.3,41.8,9,4,4,13.828,-2.549,57.814,-10.233
024-000005188,311,"	024","Department of Homeland Security","CBP - Infrastructure (Infra)",0,0,0,0,0,0,0,0,0,0,0,0,3599.01,240.364,252.838,241.206,1093.024,237.815,182.978,210.713,9039,1700,1508,1514,-1.465,-49.081,0,-10
024-000005052,312,"	024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance",0.4,0,0,0,37.163,0,0,0,0,0,0,0,448.908,105.752,119.615,115.819,25.662,3.782,2.307,2.284,113,14,14,16,-0.559,2.224,-1,2
024-000005053,314,"	024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)",134.536,0,0,0,2222.575,33.495,26.29,17.027,89.605,12.452,6.272,0,998.807,95.023,81.383,54.458,0,0,6.448,12.399,290,82,80,80,-0.091,-20.791,0,-15
024-000005137,315,"	024","Department of Homeland Security","CBP - Analytical Framework for Intelligence (AFI)",22,0,0,0,73.5,0,0,0,0,0,0,0,24.123,20.723,20.723,20.723,17.614,2.646,2.362,3.143,150,22,14,20,-0.019,-0.336,0,-1
024-000005138,316,"	024","Department of Homeland Security","CBP - Advance Passenger Information (APIS)",0,0,0,0,18.71,0,0,0,0,0,0,0,86.86,1.971,1.971,1.971,5.056,0.407,0.307,0.396,43,3,3,3,-0.004,-0.109,0,-5
009-000005316,318,"	009","Department of Health and Human Services","FDA ORA Regulatory Business Information Services",4.53,0,0,0,54.985,7.991,8.831,12.849,2.139,0.339,0.332,0.331,30.313,4.948,4.836,4.918,2.116,0.324,0.331,0.332,17.07,4.42,4.42,4.42,0,0.497,0,3.593
024-000003015,319,"	024","Department of Homeland Security","USCIS - Transformation",155.162,9.62,4.137,4.216,831.138,126.183,114.277,114.708,23.744,17.37,18.183,18.529,146.9,45.37,37.819,34.692,42.156,1.339,1.365,1.391,627,104,104,104,22.614,-5.13,13,-3
024-000003038,320,"	024","Department of Homeland Security","USCIS - Naturalization - CLAIMS 4.0",1.058,0,0,0,75.6,0,0,0,8.143,0,0,0,147.232,7.597,7.597,7.749,0.37,0.373,0.377,0.384,24,3,3,3,-1.235,-1.235,-13,-13
024-000003030,321,"	024","Department of Homeland Security","USCIS - Document Management Division (DMD)",0,0,0,0,1.013,0,0,0,0,0,0,0,501.819,48.752,49.149,51.06,23.898,2.29,2.313,2.348,204,22,22,22,2.29,2.313,5,5
009-000005323,322,"	009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems",2.036,0,0,0,76.303,9.313,0.223,0,0.52,0.263,0.263,0,62.75,12.993,9.74,12.3,3.023,0.3,0.3,0.563,28.25,3.75,3.75,3.75,7.264,-2.108,46.549,-16.685
024-000003127,323,"	024","Department of Homeland Security","USCIS - Infrastructure (End User Support)",0,0,0,0,0,0,0,0,0,0,0,0,675.236,50.485,50.485,51.495,52.458,13.145,13.22,13.37,356,175,175,144,-58.414,-59.176,-48,-48
024-000003036,324,"	024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0",2.758,0,0,0,81.9,0,0,0,0,0,0,0,143.371,14.686,14.686,14.979,6.828,0.187,0.189,0.193,36,2,2,2,-3.176,-3.339,-18,-18
024-000003040,326,"	024","Department of Homeland Security","USCIS - CSS (Customer Service Systems)",0,0,0,0,0,0,0,0,0,0,0,0,43.987,8.818,8.818,8.994,11.12,1.052,1.063,1.084,18,9,9,9,0,0,0,0
024-000003029,327,"	024","Department of Homeland Security","USCIS - Verification Modernization (VER)",9.307,1.192,0,0,146.837,18.677,17.198,18.671,9.614,2.159,0,0,179.64,39.344,53.118,53.131,14.42,2.575,84.909,84.408,198,41,610,610,0,95.523,0,160
009-999991400,330,"	009","Department of Health and Human Services","Federal Health Architecture",13.47,1.4,1.4,1.4,52.556,6.472,6.472,6.472,1,0.2,0.2,0.2,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0
009-999990160,331,"	009","Department of Health and Human Services","Grants.gov - Find and Apply",0.4,0,0.5,0,9.192,0,5.9,6.9,0,0,0,0,82.432,11.16,11.415,11.676,9.7,1.822,1.822,1.822,67,10,10,10,0,6.4,0,48.349
009-000001397,332,"	009","Department of Health and Human Services","HHS Unified Financial Management System (UFMS) Investment",41.193,0,0,0,218.169,45.132,20.009,0,0.99,0,0,0,253.003,25.775,25.381,25.923,3.189,1.865,2.82,2.871,262.6,10.6,16,16,1.517,-0.513,2.129,-1.053
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",9.514,0.315,0.129,0.129,85.044,1.44,5.871,4.283,6.072,0.133,0.25,0.327,76.015,8.779,9.837,12.429,5.386,0.724,0.998,1.011,66.8,5.5,7.5,7.5,0.05,6.705,0.441,64.595
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",0.28,0,0,0,6.856,0,0,0,1.5,0,0,0,79.604,9.195,9.195,11.635,3.995,0.566,0.566,0.126,49,4.5,4.5,1,0,0,0,0
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",0,0,0,0,0,0,0,0,0,0,0,0,380.755,44.995,35.798,38.698,151.901,22.124,21.656,21.656,1520,220,210,210,9.665,0,16.822,0
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",50.298,1.453,1.413,1.824,276.59,13.07,12.722,16.415,48.122,1.016,1.036,1.055,458.694,47.055,45.294,51.404,249.59,39.639,40.392,41.159,1965.1,268.35,268.35,268.35,1.376,0,1.364,0
009-000001408,337,"	009","Department of Health and Human Services","NIH ES Business Intelligence System (NBIS)",2.759,0,0,0,46.963,0,0,0,6.227,0,0,0,98.01,15.677,15.892,16.212,24.271,2.9,2.042,2.081,286,16,16,16,0.836,-0.453,4.712,-2.464
009-000001405,339,"	009","Department of Health and Human Services","NIH CC Clinical Research Information System (CRIS)",3.21,0,0,0,53.711,0,0,0,18,0,0,0,39.736,3.39,3.85,3.923,32.962,5.533,5.589,5.644,256,42,42,42,-0.911,1.171,-9.264,14.163
009-000000833,341,"	009","Department of Health and Human Services","NIH NCI Cancer Therapy Evaluation Program (CTEP)",15.038,0.342,2.791,2.791,37.26,2.365,0,0,0.544,0.048,0.049,0.049,57.762,6.582,6.507,6.507,2.003,0.162,0.113,0.113,20.6,1,1,1,0,0,0,0
009-000001410,342,"	009","Department of Health and Human Services","NIH ES Electronic Research Administration (eRA)",42.81,0,0,0,167.111,8.4,2,2,38.749,0,0,0,318.356,30.076,28.293,28.293,97.342,11.92,12.202,12.202,512.67,73,73,73,1.658,-6.743,3.402,-13.695
009-000001413,343,"	009","Department of Health and Human Services","NIH ES NIH Business System (NBS)",10.379,0,0,0,157.118,0.682,0,0,39.608,0,0,0,165.66,27.599,26.287,26.532,31.647,4.312,6.077,6.935,217,38,43,43,0,-2.764,0,-7.868
009-000001476,344,"	009","Department of Health and Human Services","OS ASA Accounting for Pay System (AFPS)",0.6,0,0,0,0,0,0,0,0,0,0,0,22.514,2.547,2.541,2.621,1.93,0.212,0.218,0.221,20,2,2,2,0,0,0,0
009-000001479,345,"	009","Department of Health and Human Services","OS ASA Debt Management and Collection System (DMCS)",0.6,0,0,0,0,0,0,0,0,0,0,0,62.543,3.969,3.969,4.07,0.792,0.086,0.088,0.089,11,1,1,1,0,0,0,0
009-000003888,346,"	009","Department of Health and Human Services","OS ASA Enterprise Human Resources and Personnel (EHRP)",21.391,0,0,0,11.727,0,0,0,0.41,0,0,0,128.192,17.479,16.665,16.461,69.829,8.66,8.39,8.19,311.1,61.9,59.3,57,0,0,0,0
009-000004658,347,"	009","Department of Health and Human Services","OS ASFR HHS Consolidated Acquisition Solution",3.089,0,0,0,21.732,0,0,0,0,0,0,0,43.287,7.204,6.888,6.888,1.699,0.673,0.989,0.989,21.5,4.4,6.7,6.7,0,0,0,0
009-000006266,348,"	009","Department of Health and Human Services","OS ASA Information Technology Infrastructure and Operations",2.31,0,0,0,9.171,0,0,0,0.122,0,0,0,446.56,52.366,52.366,57.325,43.829,6.351,6.351,5.625,355,41.55,41.55,43,0,0,0,0
009-000001482,349,"	009","Department of Health and Human Services","OS ASA Payment Management System (PMS)",0.684,0,0,0,4.812,0.7,0.876,0.7,0,0,0,0,33.596,4.887,5.082,6.619,7.135,1.35,1.35,1.35,120,9,9,9,0,0,0,0
009-000001418,353,"	009","Department of Health and Human Services","SAMHSA - CHBSQ National Survey on Drug Use and Health (NSDUH)",0,0,0,0,2.291,0,0,0,0,0,0,0,267.822,35.92,36.494,36.649,11.365,1.816,1.83,1.85,78,12,12,12,0,0,0,0
009-000006779,354,"	009","Department of Health and Human Services","HHS Information Security Program Investment",0,0,0,0,0,0,0,0,0,0,0,0,60.698,8.1,11.7,18.43,30.2,10.8,11.6,4.87,115,81,39,39,0,0,0,0
009-000001361,355,"	009","Department of Health and Human Services","HRSA - BHW National Practitioner Data Bank (NPDB)",5.651,0.106,0.109,0.112,53.666,3.085,3.391,4.424,1.484,0.175,0.175,0.199,155.225,11.452,11.2,14.36,44.901,0.629,0.629,0.629,204,6,6,6,0,0,0,0
021-002703942,357,"	021","Department of Transportation","FAAXX084: Instrument Flight Procedure Automation (IFPA)",1.441,0,0,0,64.3,2.4,3.4,9.4,6.6,0.336,0.824,0.371,33.524,5.358,5.402,5.516,9.066,2.352,2.463,2.58,95,13,15,13,0,0,0,0
021-147277724,359,"	021","Department of Transportation","FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh",52.072,3.6,2.25,0,191.3,10.2,7.65,11.3,21.078,0.261,0.266,0.271,493.95,43.1,43.8,44.6,11.328,0.261,0.266,0.271,45,3,3,3,0,0,0,0
021-089571105,361,"	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",49.548,6.1,6.19,6.31,1855.552,92.5,101.01,103.79,70.537,4.26,4.43,4.58,131.5302,14.11,14.47,14.8,52.231,3.57,3.71,3.85,856.8,45.9,46,45.8,0,0,0,0
021-006227212,363,"	021","Department of Transportation","FAAXX036: Terminal Primary Surveillance (TPS)",38.5,0,0,0,811.09263,35.037746,13.686581,14.605022,32.515929,1.96295,1.968693,1.491295,111.948308,3.960671,3.966707,4.337569,117.039804,17.216797,17.822543,18.788573,966.82,96.24,95.77,94.14,0,0,0,0
021-860081937,364,"	021","Department of Transportation","FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)",0,0,0,0,530.41093,5.4,10.5,8.4,4.381717,0.380443,0.393758,0.40754,58.461,10.053,10.334,10.623,2.582943,0.224264,0.232114,0.240238,110.38,7.36,7.36,7.36,0,0,0,0
021-623287423,366,"	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",6.1,0,0,0,312.541,0,0,0,11.342,0,0,0,1558.963,137.465002,137.010004,137.350007,21.522,3.015,3.17,3.33,249,17,17,17,0,0,0,0
021-514765477,368,"	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",1.4,0,0,0,2553.6,10.5,0,0,107,0,0,0,327.396,89.31,80.78,82.88,182.67,53.95,56.86,59.7,1521.4,261.4,262.4,262.4,0,0,0,0
021-161006572,370,"	021","Department of Transportation","FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP)",10,0.6,0,0,511.951,2.9,19,23,40.172,0.61,0.633,0.656867,706.498586,58.474483,60.809709,62.126561,116.388,13.02,13.541,14.082,1076,64,55,55,0,2,0,2.17
021-613828465,371,"	021","Department of Transportation","FAAXX603: Time Based Flow Management (TBFM)",13.88,0.5,0.6,1.5,476.5452,20.5,38,48.1,19.339,2.696,4.1572,3.312162,136.71349,24,26.414,27.716,14.654,0,0,0,276,12,20,14,0.456,1.9642,0.97,2.92
021-826990043,373,"	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",1.331,0,0,0,81.069,10.198,7.5,4.2,10.534,0.715,0.53,0.557,4.126,2.682,3.221,4.137,3.207,1.316,1.422,1.624,71.8,15.3,14,15,-0.002,0,-0.01,0
021-620588994,375,"	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",100.7,0,0,0,276.3,34.711,23.9,25,20.2,1.5,1.5,1.5,7.6,1.673,9.268,18.37,1.4,0.5,0.5,0.5,128.9,8,8,8,-2.408,4.096,-5.9,13.18
021-189475443,376,"	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",0,0,0,0,163.561,22.5,18.9,17.2,40.967633,13.040535,11.32364,8.87,5.569137,2.322257,0,7.957727,1.69,0,0,0,123.1,82.8,73.9,54.9,0,1.640219,0,5.74
021-113910548,377,"	021","Department of Transportation","FAAXX709: Runway Status Lights (RWSL)",5.7,0,0,0,299.4,39.702919,22.080874,4.322065,12.528898,1.440015,1.496176,0.516651,0.943103,1.409807,1.724757,1.84676,0.540941,1.629562,1.372373,1.924318,59.9,16.99,17.73,15.24,0,0,0,0
021-130077684,379,"	021","Department of Transportation","FAAXX711: Data Communications NextGen Support (DataComm)",149.664097,0,0,10.04,459.905603,149.54,234.3,221.36,8.983304,3.342664,3.445618,3.548987,0,0,0,0,0,0,0,0,88,16,16,16,0,0,0,0
021-391613792,380,"	021","Department of Transportation","FAAXX713: NextGen NAS Voice System (NVS)",68.875729,0,3.891,3.846,9.244131,20.2,49.109,43.854,10.86,5.1,5.9,7.5,0,0,0,0,0,0,0,0,73.89,28.5,30.8,39.1,3.717,13.048,17.22,28.46
021-006081945,382,"	021","Department of Transportation","FAAXX732: Common Support Services Weather (CSS-Wx)",65,0,0,0,35.9468,25,13,3.3,4.222,2.01687,4.360879,3.502281,0,0,0,0,0,0,0,0,11.5,14.5,17.45,16.22,0,0,0,0
024-000005119,389,"	024","Department of Homeland Security","CBP - Non-Intrusive Inspection (NII) Systems Program",0,0,0,0,569.591,21.7,90.263,54.815,0,1.189,1.229,1.217,1285.532,106.356,114.093,114.093,32.079,3.566,3.688,3.66,274,55,55,55,8.945,0,7,0
029-666666107,391,"	029","Department of Veterans Affairs","Benefits 21st Century Education",0,0,0,0,215.352,0.975,0,11.826,4.021,0.059,0,0.621,42.499,5.011,0,6.103,0.762,0.302,0.365,0.373,38,3,3,8,-9.784,0.365,-60.7,0
184-000000016,392,"	184","U.S. Agency for International Development","Steady State IT Infrastructure & Technology Modernization Program",0,0,0,0,25.625189,8.407402,7.118,8.948,0,0,0,0,139.624123,28.422,27.96018,33.170242,6.765992,4.723648,1.95858,2.101677,41,28.48,12,12,-21.54695,-13.76324,-34.15,-27.09
005-000000073,393,"	005","Department of Agriculture","FS-AgPRS - USDA Public Safety Land Mobile Radio System",0,0,0,0,0,0,4.519,4.519,0,0,0,0,134.495,18.581,11.002,11.002,129.538,19.351,21.388,21.388,382,194,194,194,0,-0.637,0,-1.697
005-000000098,394,"	005","Department of Agriculture","FS-Forest Service Computer Base",0,0,0,0,0,0,12.649,12.649,0,0,0,0,1793.716,161.45,144.191,144.191,347.854,47.614,48.619,48.619,1025,498,498,498,0,-3.991,0,-1.905
020-000016005,395,"	020","Environmental Protection Agency","CDX - Central Data Exchange",28.924,0,0,0,33.8712,0.66,1.197,9.613,4.51,0.82,0.847,0.848,74.881,4.978,5.226,5.373,13.1876,0.819,0.847,0.849,128,10,10,10,-16.107,-10.923,-68.9,-57.4
020-000016026,398,"	020","Environmental Protection Agency","EPASS - EPA Personnel Access and Security System",6.4035,0.497,0,0,20.0661,1.65,0,0,1.1,1.004,0,0,13.4803,2.512,4.656,3.667,3.9926,0,1.045,1.047,40,7,7,7,0.014,-0.011,0.2,-0.2
020-000010126,401,"	020","Environmental Protection Agency","FinRS - Financial Replacement System",13.184,0,0,0,85.445,0,0,0,30.305,0,0,0,93.3189,15.989,18.862,17.901,13.4184,5.351,5.544,4.163,345,40,40,30,-4.251,-0.822,-16.6,-3.3
020-000015010,402,"	020","Environmental Protection Agency","ICIS - Integrated Compliance Information System",5.354,0,0,0,81.363,4.711,3.897,6.888,9.4879,2.315,2.372,2.375,41.0548,6.676,7.03,7.592,25.2442,2.451,2.515,2.518,226,29,29,29,-6.804,-5.946,-29.6,-27.3
020-000013015,412,"	020","Environmental Protection Agency","SEMS - Superfund Enterprise Management System",4.362,0,0,0,17.8013,0,0,0,1.5778,0,0,0,18.0644,6.308,6.613,6.971,0.0292,0.284,0.319,0.253,11,2,2,2,0.006,0.336,0.1,5.1
020-000020201,413,"	020","Environmental Protection Agency","TIM - Technology Infrastructure Modernization",0.847,0,0,0,8.9438,0,0,0,0.252,0,0,0,1951.7874,115.694,109.898,126.7,493.9803,38.48,40.928,38.33,3373,274,277,256,-6.651,-14.95,-4.1,-9
