"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Investment Category","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2015 (PY) ($ M)","Total IT Spending FY2016 (CY) ($ M)","Total IT Spending FY2017 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	021","Department of Transportation","	12",021-996986511,"FAAXX125: FAA Administrative Voice Enterprise Services (FAVES)",021-996986511,"	00","	04",021-12-1301,Operations,"	021","	12",,18.5,19,19.5,0,0,0,0,0,0,18.5,0,19,0,19.5,0,562530,414169,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986509,"FAAXX123: ATO Helpdesk & Infrastructure Support",021-996986509,"	00","	04",021-12-1301,Operations,"	021","	12",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562531,414170,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986501,"FAAXX043: Aeronautical Information Management (AIM) Program Segment 2",021-996986501,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,12.6,5,10.4,12.6,0,5,0,10.4,0,0,0,0,0,0,0,562532,414171,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986501,"FAAXX043: Aeronautical Information Management (AIM) Program Segment 2",021-996986501,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562533,414171,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986501,"FAAXX043: Aeronautical Information Management (AIM) Program Segment 2",021-996986501,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,1,1.2,1.2,1,0,1.2,0,1.2,0,0,0,0,0,0,0,562534,414171,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986501,"FAAXX043: Aeronautical Information Management (AIM) Program Segment 2",021-996986501,"	00","	04",021-12-1301,Operations,"	021","	12",,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,562535,414171,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986513,"FAAXX127: FAA Academy Training Modernization and Distance Learning",021-996986513,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0.135061,0.141814,0.148905,0.135061,0,0.141814,0,0.148905,0,0,0,0,0,0,0,562536,414172,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986513,"FAAXX127: FAA Academy Training Modernization and Distance Learning",021-996986513,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,1.5,1.5,1.5,1.5,0,1.5,0,1.5,0,0,0,0,0,0,0,562537,414172,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986513,"FAAXX127: FAA Academy Training Modernization and Distance Learning",021-996986513,"	00","	04",021-12-1301,Operations,"	021","	12",,3.45254,3.424898,3.478043,0,0,0,0,0,0,3.45254,0,3.424898,0,3.478043,0,562538,414172,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986513,"FAAXX127: FAA Academy Training Modernization and Distance Learning",021-996986513,"	00","	04",021-12-1301,Operations,"	021","	12",,0.135061,0.141814,0.148905,0,0,0,0,0,0,0.135061,0,0.141814,0,0.148905,0,562539,414172,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-000002008,"FHWAX068: IT Alternative Analysis",021-000002008,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.303665,0.299801,0.116906,0,0,0,0,0.116906,0,0.303665,0,0.299801,0,0,0,562540,414173,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-000002008,"FHWAX068: IT Alternative Analysis",021-000002008,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.125,0.1275,0.3,0,0,0,0,0.3,0,0.125,0,0.1275,0,0,0,562541,414173,2016-01-07,15:10:19
"	021","Department of Transportation","	27",021-000003001,"FRAXX341: Enterprise Business Solutions",021-000003001,"	00","	04",021-27-0700,"Safety and Operations","	021","	27",,0.1513,0,0,0,0,0,0,0,0,0.1513,0,0,0,0,0,562542,414174,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123450,"OSTXX400: OSTR Web",021-432123450,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,1.383,1.426,1.471,0,0,0,0,0,0,1.383,0,1.426,0,1.471,0,562543,414175,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123451,"OSTXX401: OSTR Mission Support",021-432123451,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,1.685728,0.857709,0.44035,0,0,0,0,0,0,1.685728,0,0.857709,0,0.44035,0,562544,414176,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123452,"OSTXX402: OSTR Volpe ADP Institutional Support Services Contract (AISSC)",021-432123452,"	00","	04",021-04-4522,"Working Capital Fund, Volpe National Transportation Systems Center","	021","	04",,7.6021,7.9821,8.3824,0.4318,0,0.4534,0,0.4771,0,7.1703,0,7.5287,0,7.9053,0,562545,414177,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123453,"OSTXX403: OSTR IT Support for Transportation Safety Institute",021-432123453,"	00","	04",021-04-1730,"Research and Development","	021","	04",,0.494751,0.496751,0.498751,0.0816,0,0.0816,0,0.0816,0,0.413151,0,0.415151,0,0.417151,0,562546,414178,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123455,"OSTXX405: OSTR Volpe Enterprise Project Management System",021-432123455,"	00","	04",021-04-4522,"Working Capital Fund, Volpe National Transportation Systems Center","	021","	04",,0.27,0.27,0.2854,0.04,0,0.04,0,0.0454,0,0.23,0,0.23,0,0.24,0,562547,414179,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123456,"OSTXX406: OSTR Confidential Close Calls Reporting System",021-432123456,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.193234,0.193234,0.193234,0,0,0,0,0,0,0.193234,0,0.193234,0,0.193234,0,562548,414180,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-999993457,"OSTXX407: OSTR Nationwide Differential GPS (Contribution to DHS-USCG [UPI#024-60-02-00-02-6071-00-404-142])",021-999993457,"	48","	04",021-04-1730,"Research and Development","	021","	04",,5.631885,5.63236,5.63285,0,0,0,0,0,0,5.631885,0,5.63236,0,5.63285,0,562549,414181,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123459,"OSTXX408: OSTR National Transportation Library Web",021-432123459,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.664783,0.664783,0.664783,0,0,0,0,0,0,0.664783,0,0.664783,0,0.664783,0,562550,414182,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-432123460,"OSTXX409: OSTR Airline Information System",021-432123460,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.86,0.86,0.86,0,0,0,0,0,0,0.86,0,0.86,0,0.86,0,562551,414183,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694850,"FHWAX125: e-NEPA Collaboration Tool",021-844694850,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.321244,0.221657,0.18,0.23437,0,0.134714,0,0.1,0,0.086874,0,0.086943,0,0.08,0,562552,414184,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694850,"FHWAX125: e-NEPA Collaboration Tool",021-844694850,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0,0,0.06344,0,0,0,0,0.043116,0,0,0,0,0,0.020324,0,562553,414184,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694851,"FHWAX126: Non-Destructive Evaluation (NDE) Laboratory / Pavement Research Database System (PRDS)",021-844694851,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.191063,0.25205,0.12205,0.191063,0,0.24205,0,0.10205,0,0,0,0.01,0,0.02,0,562554,414185,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694851,"FHWAX126: Non-Destructive Evaluation (NDE) Laboratory / Pavement Research Database System (PRDS)",021-844694851,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.124883,0.191169,0.178533,0.092391,0,0.136949,0,0.027492,0,0.032492,0,0.05422,0,0.151041,0,562555,414185,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694852,"FHWAX127: PlanWorks",021-844694852,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.223516,0.070609,0.056144,0.223516,0,0.063666,0,0.002195,0,0,0,0.006943,0,0.053949,0,562556,414186,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694852,"FHWAX127: PlanWorks",021-844694852,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.199265,0.167358,0.171524,0.199265,0,0.167358,0,0.171524,0,0,0,0,0,0,0,562557,414186,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694853,"FHWAX128: U.S. DOT Connected Vehicles",021-844694853,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,4.5,5.119919,4.086508,0,0,0.320847,0,0.321479,0,4.5,0,4.799072,0,3.765029,0,562558,414187,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694854,"FHWAX129: Freight Analysis Framework",021-844694854,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.306874,0.056943,0.057153,0,0,0,0,0,0,0.306874,0,0.056943,0,0.057153,0,562559,414188,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-844694855,"FHWAX130: Freight Performance Measures (FPM)",021-844694855,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.503249,0.013282,0.013381,0,0,0,0,0,0,0.503249,0,0.013282,0,0.013381,0,562560,414189,2016-01-07,15:10:19
"	021","Department of Transportation","	17",021-222145660,"FMCSA700: PRISM",021-222145660,"	00","	04",021-17-8159,"Motor Carrier Safety Operations and Programs","	021","	17",,0.943333,0.13,0.229,0.943333,0,0,0,0,0,0,0,0.13,0,0.229,0,562561,414190,2016-01-07,15:10:19
"	021","Department of Transportation","	17",021-222145661,"FMCSA701: Resource Management",021-222145661,"	00","	04",021-17-8159,"Motor Carrier Safety Operations and Programs","	021","	17",,1.961311,1.088524,1.323892,1.534495,0,0.374345,0,0.385575,0,0.426816,0,0.714179,0,0.938317,0,562562,414191,2016-01-07,15:10:19
"	021","Department of Transportation","	17",021-222145662,"FMCSA702: Grants Solutions",021-222145662,"	48","	04",021-17-8158,"Motor Carrier Safety Grants","	021","	17",,1.060635,0.825,0.84975,0,0,0,0,0,0,1.060635,0,0.825,0,0.84975,0,562563,414192,2016-01-07,15:10:19
"	021","Department of Transportation","	17",021-222145662,"FMCSA702: Grants Solutions",021-222145662,"	48","	04",021-27-0704,"Grants to the National Railroad Passenger Corporation","	021","	27",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562564,414192,2016-01-07,15:10:19
"	021","Department of Transportation","	17",021-222145663,"FMCSA703: Assets and Property",021-222145663,"	00","	04",021-17-8159,"Motor Carrier Safety Operations and Programs","	021","	17",,0.091256,0.091256,0.091256,0,0,0,0,0,0,0.091256,0,0.091256,0,0.091256,0,562565,414193,2016-01-07,15:10:19
"	021","Department of Transportation","	27",021-001256899,"FRAXX015: Multiple Cause Incident Analysis (MCIA) Tool",021-001256899,"	00","	04",021-27-0700,"Safety and Operations","	021","	27",,0.26,0.02,0.02,0.26,0,0,0,0,0,0,0,0.02,0,0.02,0,562566,414194,2016-01-07,15:10:19
"	021","Department of Transportation","	70",021-584233674,"MARAD027: US Merchant Marine Academy Marine Simulation Systems",021-584233674,"	00","	04",021-70-1750,"Operations and Training","	021","	70",,0.48,3.15,3.18,0,0,2,0,2,0,0.48,0,1.15,0,1.18,0,562567,414195,2016-01-07,15:10:19
"	021","Department of Transportation","	27",021-953667852,"FRAXX024: Post-Accident Toxicological Testing Data System (PATTS) II",021-953667852,"	00","	04",021-27-0700,"Safety and Operations","	021","	27",,0.016,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,562568,414196,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986514,"FAAXX128: Aerospace Medical Equipment Needs (AMEN) Phase II",021-996986514,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562569,414197,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986514,"FAAXX128: Aerospace Medical Equipment Needs (AMEN) Phase II",021-996986514,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,2.5,3,0,0,2.5,0,3,0,0,0,0,0,0,0,562570,414197,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986515,"FAAXX129: NAS Voice Recorder Program (NVRP)",021-996986515,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0.5,3,2,0.5,0,3,0,2,0,0,0,0,0,0,0,562571,414198,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986515,"FAAXX129: NAS Voice Recorder Program (NVRP)",021-996986515,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0.259705,0.353199,0.360263,0.259705,0,0.353199,0,0.360263,0,0,0,0,0,0,0,562572,414198,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986516,"FAAXX130: Operations Network (OPSNET) Replacement",021-996986516,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,1,3,0,0,1,0,3,0,0,0,0,0,0,0,562573,414199,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986517,"FAAXX131: Integrated Display Systems (IDS) Replacement",021-996986517,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,16.9,13.3,4.2,16.9,0,13.3,0,4.2,0,0,0,0,0,0,0,562574,414200,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986517,"FAAXX131: Integrated Display Systems (IDS) Replacement",021-996986517,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,1.52,1.331,0.977,1.52,0,1.331,0,0.977,0,0,0,0,0,0,0,562575,414200,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986517,"FAAXX131: Integrated Display Systems (IDS) Replacement",021-996986517,"	00","	04",021-12-1301,Operations,"	021","	12",,0.686,1.092,1.053,0,0,0,0,0,0,0.686,0,1.092,0,1.053,0,562576,414200,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986518,"FAAXX132: Enterprise Information Display System (E-IDS)",021-996986518,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,10,5,0,0,10,0,5,0,0,0,0,0,0,0,562577,414201,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986518,"FAAXX132: Enterprise Information Display System (E-IDS)",021-996986518,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,0.248,1,0,0,0.248,0,1,0,0,0,0,0,0,0,562578,414201,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-996986519,"FAAXX133: Terminal Work Package 1",021-996986519,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,5,10,0,0,5,0,10,0,0,0,0,0,0,0,562579,414202,2016-01-07,15:10:19
"	021","Department of Transportation","	36",021-856955861,"FTAXX030: Web Site Support",021-856955861,"	00","	04",021-36-1120,"Administrative Expenses","	021","	36",,0.628,0.6475,0.94,0,0,0,0,0,0,0.628,0,0.6475,0,0.94,0,562580,414203,2016-01-07,15:10:19
"	021","Department of Transportation","	40",021-999996128,"SLSDC003: SLSDC Accounting System (DOI/FSSP)",021-999996128,"	48","	04",021-40-4089,"Saint Lawrence Seaway Development Corporation","	021","	40",,2,0.33,0.38,1.942,0,0,0,0,0,0.058,0,0.33,0,0.38,0,562581,414204,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-675842136,"FHWAX047: Open Source Application Development Portal (OSADP)",021-675842136,"	00","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.861994,0.287331,0.316906,0.861994,0,0.287331,0,0.016906,0,0,0,0,0,0.3,0,562582,414205,2016-01-07,15:10:19
"	021","Department of Transportation","	15",021-854973121,"FHWAX048: Long-Term Bridge Performance Program's Bridge Portal (LTBP)",021-854973121,"	48","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0.16824,0.16824,0.533957,0.16824,0,0.16824,0,0.405344,0,0,0,0,0,0.128613,0,562583,414206,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-04-0116,"Financial Management Capital","	021","	04",,3.7654,7.3206,5.3562,3.7654,0,7.3206,0,5.3562,0,0,0,0,0,0,0,562584,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-12-4562,"Administrative Services Franchise Fund","	021","	12",,1.0106,0,0,1.0106,0,0,0,0,0,0,0,0,0,0,0,562585,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-12-1301,Operations,"	021","	12",,0,0,1.13,0,0,0,0,0,0,0,0,0,0,1.13,0,562586,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-15-8083,"Federal-aid Highways","	021","	15",,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0.44,0,562587,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-17-8159,"Motor Carrier Safety Operations and Programs","	021","	17",,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.11,0,562588,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-27-0700,"Safety and Operations","	021","	27",,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,562589,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-36-1120,"Administrative Expenses","	021","	36",,0,0,0.0895,0,0,0,0,0,0,0,0,0,0,0.0895,0,562590,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-70-1750,"Operations and Training","	021","	70",,0,0,0.0854,0,0,0,0,0,0,0,0,0,0,0.0854,0,562591,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-18-8016,"Operations and Research (Transportation Trust Fund)","	021","	18",,0,0,0.0877,0,0,0,0,0,0,0,0,0,0,0.0877,0,562592,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-56-0130,"Salaries and Expenses","	021","	56",,0,0,0.0247,0,0,0,0,0,0,0,0,0,0,0.0247,0,562593,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-04-0102,"Salaries and Expenses","	021","	04",,0,0,0.0614,0,0,0,0,0,0,0,0,0,0,0.0614,0,562594,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-50-1400,"Operational Expenses","	021","	50",,0,0,0.0493,0,0,0,0,0,0,0,0,0,0,0.0493,0,562595,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-04-1730,"Research and Development","	021","	04",,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0.038,0,562596,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-61-0301,"Salaries and Expenses","	021","	61",,0,0,0.0195,0,0,0,0,0,0,0,0,0,0,0.0195,0,562597,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-04-4522,"Working Capital Fund, Volpe National Transportation Systems Center","	021","	04",,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0.083,0,562598,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",021-04-4520,"Working Capital Fund","	021","	04",,0,0,0.0603,0,0,0,0,0,0,0,0,0,0,0.0603,0,562599,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",343-00-0100,"Salaries and Expenses","	343","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461,562600,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",001-35-0107,"Salaries and Expenses","	001","	35",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2053,562601,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",474-00-0300,"Office of Museum and Library Services: Grants and Administration","	474","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285,562602,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",415-00-4056,"Operating Fund","	415","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768,562603,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",417-00-0100,"National Endowment for the Arts: Grants and Administration","	417","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315,562604,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",449-00-0100,"Salaries and Expenses","	449","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3355,562605,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	04",021-129153448,"OSTXX107: Financial Data Warehouse & Business Intelligence Reporting Tool",021-129153448,"	48","	04",339-00-1400,"Commodity Futures Trading Commission","	339","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787,562606,414207,2016-01-07,15:10:19
"	021","Department of Transportation","	17",021-222145664,"FMCSA704: Customer Relationship Management System (CRM)",021-222145664,"	00","	04",021-17-8159,"Motor Carrier Safety Operations and Programs","	021","	17",,0.507287,0.626588,0.626588,0,0,0,0,0,0,0.507287,0,0.626588,0,0.626588,0,562607,414208,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509269,"FAAXX135: Continuous Monitoring",021-129509269,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562608,414209,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509269,"FAAXX135: Continuous Monitoring",021-129509269,"	00","	04",021-12-1301,Operations,"	021","	12",,14.192714,14.476568,15.634693,0,0,0,0,0,0,14.192714,0,14.476568,0,15.634693,0,562609,414209,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509270,"FAAXX136: Enterprise Information Management",021-129509270,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562610,414210,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509270,"FAAXX136: Enterprise Information Management",021-129509270,"	00","	04",021-12-1301,Operations,"	021","	12",,31.939116,32.577898,35.18413,0,0,0,0,0,0,31.939116,0,32.577898,0,35.18413,0,562611,414210,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509271,"FAAXX137: Enterprise IT Management",021-129509271,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,3.891269,3.969094,4.286622,3.891269,0,3.969094,0,4.286622,0,0,0,0,0,0,0,562612,414211,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509271,"FAAXX137: Enterprise IT Management",021-129509271,"	00","	04",021-12-1301,Operations,"	021","	12",,22.405766,22.853882,24.682191,0,0,0,0,0,0,22.405766,0,22.853882,0,24.682191,0,562613,414211,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509272,"FAAXX138: Financial Management",021-129509272,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,8.868836,9.046213,9.76991,8.868836,0,9.046213,0,9.76991,0,0,0,0,0,0,0,562614,414212,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509272,"FAAXX138: Financial Management",021-129509272,"	00","	04",021-12-1301,Operations,"	021","	12",,5.279176,5.384759,5.81554,0,0,0,0,0,0,5.279176,0,5.384759,0,5.81554,0,562615,414212,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509273,"FAAXX139: Human Resources",021-129509273,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562616,414213,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509273,"FAAXX139: Human Resources",021-129509273,"	00","	04",021-12-1301,Operations,"	021","	12",,10.662292,10.875538,11.74558,0,0,0,0,0,0,10.662292,0,10.875538,0,11.74558,0,562617,414213,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509274,"FAAXX140: Information Technology Infrastructure",021-129509274,"	00","	04",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)","	021","	12",,2.530715,2.581329,2.787836,2.530715,0,2.581329,0,2.787836,0,0,0,0,0,0,0,562618,414214,2016-01-07,15:10:19
"	021","Department of Transportation","	12",021-129509274,"FAAXX140: Information Technology Infrastructure",021-129509274,"	00","	04",021-12-1301,Operations,"	021","	12",,30.508047,31.118208,33.607665,0,0,0,0,0,0,30.508047,0,31.118208,0,33.607665,0,562619,414214,2016-01-07,15:10:19
