Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"009-000005234","287","009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System","yes","The project will allow for the efficient expansion of the agency's Medi-Medi data match project as required in the DRA of 2005. The effort supports provisions in the BIPA of 2000 and the Part D program components of the MMA of 2003. The program will meet a key functional goal of the new Patient Protection and Affordable Care Act by providing increased tools to combat fraud, waste and abuse.","no","","yes","The HHS strategic initiative to Ensure program integrity and responsible stewardship has been the primary goal of the modernization program since its start. The robust, integrated data sources developed by One PI will provide significant support to the efforts to Transform health-care by providing an analytic platform and reducing unnecessary costs.","P42-009-040","no","","no","","09/16/2011","14:57:54"
"009-000004255","290","009","Department of Health and Human Services","CMS Part A Claims Processing","yes","All legislation affecting health care will be implemented through a change request designed to alter the current claims processing.","no","","no","","","no","","no","","09/12/2012","14:24:30"
"009-000004256","291","009","Department of Health and Human Services","CMS Part B Claims Processing","yes","All legislation affecting health care will be implemented through a change request designed to alter the current claims processing procedures.","no","","no","","","no","","no","","09/16/2011","14:55:52"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","yes","CFRs. 42 CFR Parts. 417 422 423 and 480. The application and contract requirements, the required MA and/or Part D benefits that must be offered by each organization, and the Part D requirements for access to Part D drugs (i.e., the formulary) are codified in these parts of the regulation.","no","","no","","","no","","no","","09/16/2011","14:55:58"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","yes","Medicare Modernization Act of 2003.","no","","no","","","no","","no","","09/16/2011","14:55:22"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Drug Review & Submissions (ADIMS)","yes","The ADIMS investment addresses in part the goals of PDUFA, GDUFA and BsUFA legislative mandates under FDASIA. The enhancements for the different user fee mandates (GDUFA, PDUFA V & BsUFA) include provision of important review/regulatory information pertaining to calculation of goals, tracking information on the review process, tracking meetings and user-fee payments, archiving regulatory communication between the FDA/industry and generation of reports.","no","","no","","","no","","no","","09/11/2013","06:15:41"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","yes","1.National Biosurveillance eLEXNET Interface System (NEIS) is the FDA's contribution to the National Biosurveillance Integration System (NBIS) and is mandated by P.L. 110-53. It analyzes data from the eLEXNET system and can detect anomalies and trends in analytical results. NBIS is part of an interagency coordination system that includes DHS, HHS, FDA, the states and is designed for quick identification, characterization of food or other items that are dangerous to human health.","no","","yes","HHS Strategic Plan 2007-2012 mandate that i) FDA, along with CDC, continue to develop and support laboratory capacity expansion to improve analysis of biological or toxic substances; ii) support the development  and validation of laboratory methods through the Laboratory Response Network (LRN). The LRN was established by HHS in accordance with Presidential Decision Directive 39, which outlined national anti-terrorism policies and assigned specific missions to federal departments and agencies.  (http://www.bt.cdc.gov/lrn/). LRN's principal mandate (supported by FDA) is to develop, maintain and strengthen an integrated national and international network of laboratories that can respond quickly to needs for rapid testing, timely notification and secure messaging of results associated with acts of biological or chemical terrorism and other high priority public health emergencies.  See Other Requirement for the ORA Science Strategic Plan (SSP).","P43-009-040","no","","yes","The ORA Science Strategic Pan (SSP), V 1.2, May 13, 2011 calls for a LIMS in Core Initiative (CI) 4. The LIMS work in ALM directly supports the SSP. In addition, work on LIMS and eLEXNET also supports SSP CIs 1, 2, 5, and 6. At a high level, these cover: the need for an integrated/automated IT system for all the ORA labs; ensuring capacity for rapid analysis, including national emergencies; collaboration and leveraging of resources across ORA/FDA, other Federal, state, and local stakeholders.","09/12/2013","09:35:28"
"009-000005354","301","009","Department of Health and Human Services","FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21)","no","","no","","yes","Improve scientific IT platform: 2011 Strategic Plan for Regulatory Science; 2011 FDA Strategic Priorities.","P41-009-038,P42-009-038,P43-009-038","no","","yes","Data center consolidation; meet objectives of the Federal CIO's 25-point IT Reform Implementation Plan, Recovery Act for CER.","09/16/2011","14:58:35"
"009-000005315","302","009","Department of Health and Human Services","FDA CDER MedWatch Plus","yes","Serious and unexpected adverse drug experience follow up mandated by 310.305, 314.80, 314.98 and 600.80.","yes","OMB Tech Stat revealed errors with FDA's E300 reporting process.  FDA has implemented appropriate measures to improve the quality of E300 reporting.","yes","Funding will be required to meet the regulations referenced in the legislative mandate section.","P44-009-037","no","","no","","04/02/2012","09:25:30"
"009-000005317","310","009","Department of Health and Human Services","FDA ORA Mission Accomplishments and Regulatory Compliance Services","yes","1.The Bioterrorism Act (BTA) of 2002 in Section 307 requires prior notice for imported food shipments.  The BTA and subsequent regulations require that FDA process such food shipments with prior notice (801(m) of the Federal, Food, Drug, and Cosmetic Act) on a 24x7 basis.  MARCS is required to provide support for this processing 24 hours a day, seven days a week.  This has resulted in technical solutions to support this requirement, which is not typical of FDA systems.  The Food Safety and Modernization Act (FSMA) of 2011 includes Section 110 Building Domestic Capacity. This requires MARCS to build a technical solution for interfacing with external partners.  Section 110(d) specifically refers to information technology to enable the requirements of Section 110.  This is expected to take the form of a robust extranet structure to facilitate data transfer, data sharing, and work flow sharing.  The report that will be developed is expected to have specific technical solutions.","no","","yes","MARCS aligns directly with Strategic Goal 2, Objective C of the HHS strategic plan: Advance Scientific Knowledge and Innovation; Invest in the regulatory sciences to improve food and medical product safety and enables FDA Centers to meet FDA Strategic Goal 4: Improve the Quality and Safety of Manufactured Products and the Supply Chain.","P43-009-038","no","","no","","09/11/2013","06:14:44"
"009-000005316","318","009","Department of Health and Human Services","FDA ORA Regulatory Business Information Services","yes","The Food and Drug Administration Safety and Innovation Act (FDASIA), signed into law on July 9 2012, gives FDA the authority to collect user fees from industry to fund reviews of innovator drugs, medical devices, generic drugs and biosimilar biologics. This will require MARCS and RBIS to build additional technical interfaces with outside partner agencies. This will require developing and using improved adverse-event data-collection systems, including information technology systems and using improved analytical tools to assess potential safety problems, including access to external data bases.  Furthermore, changes will be required within RBIS components if the source registration systems are changed to support Sec 704. Sec 618 requires a report containing strategy and recommendations on a risk-based regulatory framework pertaining to health information technology, including mobile medical applications, that promotes innovation, protects patient safety and avoids regulatory duplication.","no","","yes","RBIS aligns directly with Strategic Goal 2, Objective C of the HHS strategic plan: Advance Scientific Knowledge and Innovation; Invest in the regulatory sciences to improve food and medical product safety and enables FDA Centers to meet FDA Strategic Goal 4: Improve the Quality and Safety of Manufactured Products and the Supply Chain.","P43-009-038","no","","yes","The Food Safety and Modernization Act (FSMA) of 2011 includes Section 110 Building Domestic Capacity. This requires MARCS to build a technical solution for interfacing with external partners. This will have a direct impact on RBIS as RBIS will need to be modified to support changes in MARCS. Section 110(d) specifically refers to information technology to enable the requirements of Section 110.  RBIS will need to provide additional reporting and firm management capabilities to support this.  The report that will be developed is expected to have specific technical solutions.","09/12/2012","16:09:03"
"009-000005323","322","009","Department of Health and Human Services","FDA OC User Fee and Financial Reporting Systems","yes","UFS is needed to collect, manage, and report User Fees required Legislation. Legislation UFS supports includes Animal Drug User Fee Act (ADUFA) ), Animal Generic Drug User Fee Act (AGDUFA), Color Certification (CERTS), Exports Certificate (Exports), Food Safety Modernization Act (FSMA) Medical Device User Fee Act (MDUFMA), Mammography Quality Standards Act (MQSA), Prescription Drug User Fee Act (PDUFA.","no","","yes","3.4.2 Ensure program integrity and responsible stewardship through effective administration of fiduciary responsibilities: Strengthen financial management systems, practices, controls, and reporting to ensure financial accountability; meet statutory and regulatory requirements; and provide timely, reliable, and useful financial information.","P41-009-040","no","","no","","09/11/2013","06:15:13"
"009-999991400","330","009","Department of Health and Human Services","Federal Health Architecture","yes","E-Government Act of 2002.","no","","no","","","yes","E.O. 13410, Promoting Quality and Efficient Health Care in Federal Government Administered or Sponsored Health Care Programs.","yes","OMB designated FHA as an E-Gov initiative and Line of Business within Federal Enterprise Architecture.","09/12/2012","16:06:11"
"009-999990160","331","009","Department of Health and Human Services","Grants.gov - Find and Apply","yes","Grant Reform (http://www.whitehouse.gov/omb/grants_reform/): On November 20, 1999, the President signed Public Law 106-107 (6 pages, 110 kb), the Federal Financial Assistance Management Improvement Act. The purposes of this law are to: improve the effectiveness and performance of Federal grant programs; simplify grant application and reporting requirements; improve the delivery of services to the public; and facilitate greater coordination among those responsible for delivering such services.","","","","","","","","","","09/16/2011","14:51:24"
"009-000001397","332","009","Department of Health and Human Services","HHS Unified Financial Management System: Modernization Program","yes","As required by the Federal Manager's Financial Integrity Act of 1982 (FMFIA) and the OMB Circular A-123, the Department issued a qualified assurance statement indicating a material weakness (Financial Reporting Systems & Processes) that will be addressed by the Modernization efforts.","yes","The expansion of budget tools directly affects a financial statement audit material weakness from the HHS FY2009 Agency Financial Report related to budgetary analysis, such as reducing manual entries and facilitating compliance with the Anti-Deficiency Act.  During FY10, we determined an issue related to a Recovery Act contract for the Indian Health Service was reportable.","yes","Goal 4: Increase Efficiency, Transparency, and Accountability of HHS Programs.","P41-009-040","yes","As required by OMB M-10-26, project focuses on meeting critical business needs first.","no","","09/16/2011","14:48:16"
"009-000000706","333","009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)","no","","yes","GAO is making several recommendations, including that HRSA implement key elements of grantee oversight consistent with guidance, including restrictive drawdowns; develop a strategic approach for selecting grantees for site visits; and work to identify grantees' training needs in order to comply with the National Monitoring Standards. This investment will help HRSA meet these requirements by expanding the EHBs as the primary centralized location for documentation related to oversight and monitoring, as well as a Management Dashboard to allow program officials to track grantee monitoring activities.  These enhancements will be implemented enterprise-wide to serve all Programs.","yes","This investment supports the HHS Stategic Goals of strengthening health care; advancing the health, safety, and well-being of the American People; and strengthening the Nation's health and human services infrastructure and workforce by collecting, storing and analyzing grantee/program performance data in one centralized system. The system helps programs plan, administer, monitor, analyze, and improve their programs.","P41-009-037,P45-009-039,P41-009-041,P42-009-041,P45-009-037,P44-009-041,P43-009-041","no","","no","","09/16/2011","14:45:11"
"009-000001359","334","009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements","yes","The workload and user population reports produced by NPIRS meet the reporting requirement of the Indian Health Care Improvement Act of 1976, P.L. 94-437, permanently authorized in 2010 by the Indian Health Care Improvement Reauthorization and Extension Act S. 1970 as reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148.","no","","no","","","yes","The priorities defined in the 25 Point Implementation Plan to Reform Federal Information Technology Management are also being implemented within the NPIRS investment as applicable, including data center consolidation and cloud computing initiatives.","no","","09/16/2011","14:45:19"
"009-000006263","335","009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)","yes","IOAT must meet the management information needs of Indian tribes or tribal organizations with respect to the health care of IHS patients as well as meet the information needs of the IHS. The Indian Health Care Improvement Act of 1976, P.L. 94-437 was permanently authorized in 2010 by The Indian Health Care Improvement Reauthorization and Extension Act S. 1790 as Reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148. Additional legislation mandates the maintenance activities performed, including the Health Insurance Portability and Accountability Act, P.L. 104-191, August 21, 1996; and Subtitle D of the Health Information Technology for Economic and Clinical Health Act (HITECH Act), enacted as part of the American Recovery and Reinvestment Act of 2009.","no","","yes","The IHS infrastructure investment directly supports the HHS' Strategic Plan Goal 1: Transform Healthcare, Objective E:  Ensure access to quality, culturally competent care for vulnerable populations by (1) implementing an enterprise approach to information technology infrastructure that fosters communication, innovation, collaboration, standardization and interoperability throughout IHS, and (2) by ensuring that systems provide security that guarantees the confidentiality, integrity and availability of IHS information resources.","P41-009-037","yes","The IOAT investment adheres to the directives identified in EO 13589 Promoting Efficient Spending through IT device inventory improvements and evaluating IT solutions that consolidate desktop services, email, and collaboration tools. The priorities defined in the Federal Information Technology Shared Services strategy are being adopted as applicable, including the use of Enterprise wide software licensing agreements to standardize software amongst the geographically dispersed IHS locations and looking at shared services or cloud computing technologies when analyzing alternative solutions.","no","","09/16/2011","14:58:47"
"009-000001362","336","009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements","yes","US Code, Title 25, Chapter 18, General Provisions, Section 1662, titled Automated Management Information System, mandated that the IHS establish an automated management information system that would include: 1) Financial Management System (FMS); 2) Patient care information system for each Area served by the IHS; 3)Privacy component that protects the privacy of patient information held by, or on behalf of, the IHS; and 4) Services-based cost accounting component that provides estimates of the costs associated with the provision of specific medical treatments or services in each IHS Area Office. P.L. 100-713 mandates that the Secretary provide automated management information systems to each Indian tribe and tribal organization that provides health services under a contract entered into with the IHS under the Indian Self-Determination Act.","no","","yes","The RPMS program supports increased patient safety through the monitoring of adverse events (HHS 2010-2015 Goal 1 Objective A). The RPMS EHR attained Meaningful Use Certification and is being implemented system-wide (HHS 2010-2015 Goal 1 Objective F). The RPMS program adheres to Capital Planning and Investment Control (CPIC) strategies as defined in the HHS IRM Strategic Plan for 2007-2012 as well as the IHS OIT Enterprise Architecture Strategic Planning processes defined in the IHS OIT Strategic Plan 2011-2015.","P42-009-037","yes","The RPMS investment adheres to the directives identified in EO 13589 Promoting Efficient Spending by evaluating operational costs and implementing cost saving measures wherever possible. The priorities defined in the 25 Point Implementation Plan to Reform Federal Information Technology Management are also being implemented within the RPMS investment as applicable, including reforming acquisition practices to reduce the amount of administrative fees incurred with prior contracting practices.","yes","The RPMS must meet the management information needs of Indian tribes or tribal organizations with respect to the health care of IHS patients as well as meet the information needs of the IHS. The Indian Health Care Improvement Act of 1976, P.L. 94-437 was permanently authorized in 2010 by The Indian Health Care Improvement Reauthorization and Extension Act S. 1790 as Reported & included in HR 3590, which was part of the Patient Protection and Affordable Care Act of 2010, P.L. 111-148. Additional legislation mandates the maintenance activities performed; Government Performance and Results Act of 1993, P.L. 103-62; Information Technology Management Reform Act of 1996, Clinger-Cohen Act, Division E, P.L. 104-106; Health Insurance Portability and Accountability Act, P.L. 104-191, August 21, 1996; Subtitle D of the Health Information Technology for Economic and Clinical Health Act (HITECH Act), enacted as part of the American Recovery and Reinvestment Act of 2009.","09/16/2011","14:45:42"
"009-000001408","337","009","Department of Health and Human Services","NIH ES Business Intelligence System (NBIS)","no","","no","","no","","","no","","yes","NIH Management recognized the need to improve business processes to meet it's mission requirements and as such the Deputy Director of Management commissioned the development of the NIH DW (NBIS).  NBIS provides accurate, timely and actionable information to empower data-driven decision making at the NIH for administrative business areas, including Finance and HR.","09/16/2011","14:48:38"
"009-000001405","339","009","Department of Health and Human Services","NIH CC Clinical Research Information System (CRIS)","no","","no","","no","","","no","","yes","An electronic health record (EHR) provides a system to support the standards set by the Joint Commission as well as the requirements for Clinical Laboratory Improvement Amendments (CLIA) certification.  The Office of the National Coordinator for Health Information Technology (ONC) also requires all EHR's to be certified.  These organizations identify that health information is to be managed in a systematic way by the hospital, allowing for information to be captured at the time of the delivery of care, treatment or service and that the information is used to provide safe and quality care.  Through the use of an electronic system the standards and policies identified by these organizations are met.","09/16/2011","14:48:34"
"009-000006338","340","009","Department of Health and Human Services","NIH IT Infrastructure","no","","no","","no","","","no","","no","","09/16/2011","14:59:21"
"009-000000833","341","009","Department of Health and Human Services","NIH NCI Cancer Therapy Evaluation Program (CTEP)","no","","no","","no","","","no","","no","","09/16/2011","15:01:49"
"009-000001410","342","009","Department of Health and Human Services","NIH ES Electronic Research Administration (eRA)","yes","Grants Management GMLoB; PL106-107.","no","","no","","","no","","no","","09/16/2011","14:48:42"
"009-000001413","343","009","Department of Health and Human Services","NIH ES NIH Business System (NBS)","no","","no","","no","","","no","","no","","09/16/2011","14:51:14"
"009-000001476","344","009","Department of Health and Human Services","OS ASA Accounting for Pay System (AFPS)","no","","no","","no","","","no","","no","","09/16/2011","14:52:32"
"009-000001479","345","009","Department of Health and Human Services","OS ASA Debt Management and Collection System (DMCS)","no","","no","","no","","","no","","no","","09/16/2011","14:52:33"
"009-000004658","347","009","Department of Health and Human Services","OS ASFR HHS Consolidated Acquisition Solution","yes","The Clinger-Cohen Act requires that information technology, be utilized in a cost efficient manner conducive to best business practices; specifically in the acquisition of information technology.","yes","All findings have been resolved or scheduled to be resolved.  Executive leadership has been briefed and is fully  aware of all corrective action.","yes","The HHS Strategic Plan requires that a well-managed and secure enterprise information technology environment be provided and that financial and capital resources are used appropriately, efficiently, and effectively.","P41-009-040","yes","Departments and agencies are directed to take specific actions to implement the principles of transparency, participation, and collaboration set forth in the President's Memorandum.","","","09/16/2011","14:57:52"
"009-000006266","348","009","Department of Health and Human Services","OS ASA Information Technology Infrastructure and Operations","no","","no","","no","","","yes","Iimplementation of Homeland Security Presidential Directive-12 (HSPD-12) PIV card authentication per NIST guidelines for securing access to government resources.","no","","09/12/2012","16:03:54"
"009-000001482","349","009","Department of Health and Human Services","OS ASA Payment Management System (PMS)","yes","http://www.gao.gov/special.pubs/af12194.pdf.","","","","","","yes","Protecting Privacy while Reducing Improper Payments with the Do Not Pay and Reducing Improper Payments through the Do Not Pay List.","","","09/12/2013","12:23:38"
"009-000001418","353","009","Department of Health and Human Services","SAMHSA - CHBSQ National Survey on Drug Use and Health (NSDUH)","yes","Section 505 of the Public Health Service Act (42 USC 290aa4).","no","","yes","http://store.samhsa.gov/shin/content//SMA11-4629/02-ExecutiveSummary.pdf .","P43-009-040","no","","no","","09/16/2011","14:51:16"
"009-000006779","354","009","Department of Health and Human Services","HHS Information Security Program Investment","yes","The Office of Management and Budget (OMB) has mandated that the Department of Health and Human Services (HHS) and all other Federal agencies implement the Trusted Internet Connections (TIC): Memorandum M-08-05.  Additionally, the Program will continue to enhance the program's security compliance and annual FISMA program review efforts to more effectively measure the Department and OPDIV levels of compliance with the requirements of FISMA.","yes","Funds will enable the implementation of corrective action plans to resolve the security weaknesses identified in OIG audits and security controls testing.  HHS currently has a material weakness condition based on information technology system security controls weaknesses identified in OIG financial statement audits.  The weaknesses identified are in a number of financial systems and in the network infrastructure supporting those systems.  Funds will be applied to resolve and mitigate the system security issues that are causing the material weakness condition.","no","","","no","","no","","09/16/2011","15:00:24"
"009-000001361","355","009","Department of Health and Human Services","HRSA - BHPr National Practitioner Data Bank (NPDB)","yes","Federal legislation are the foundation of the Data Bank.  The NPDB was established under Title IV of Public Law 99-660, the Health Care Quality Improvement Act of 1986, and is expanded by Section 1921, as amended by section 5(b) of the Medicare and Medicaid Patient and Program Protection Act of 1987, and as amended by the Omnibus Budget Reconciliation Act of 1990. The Healthcare Integrity and Protection Data Bank (HIPDB) was established under section 1128E of the Social Security Act as added by Section 221(A) of the Health Insurance Portability and Accountability Act of 1996. Section 6403 of the Affordable Care Act of 2010 mandated the merger of the HIPDB into the NPDB.  This merger occurred in May 2013.","no","","yes","NPDB directly supports HHS' Strategic Goal 1 Objective B: Improve health care quality and patient safety.  The NPDB system flags doctors, nurses, and other health care workers with a record of license suspension, malpractice, or other adverse actions.  The NPDB enables hospitals, government agencies, and other healthcare organizations to make informed decisions on hiring and issuing clinical privileges, which directly improves patient safety.","P44-009-037","no","","no","","08/30/2013","14:35:59"
"009-000267385","951","009","Department of Health and Human Services","CMS CCIIO Pre-Existing Condition Insurance Program (PCIP)","yes","Section 1101 of Title I of the Patient Protection and Affordable Care Act of 2010 (Affordable Care Act) and PCIP regulations at 45 CFR Part 152 which is designed to make health insurance available to millions of Americans denied coverage by private insurance companies because of a pre-existing condition.","no","","no","","","no","","no","","09/16/2011","15:01:01"
"009-000267389","961","009","Department of Health and Human Services","CMS CCIIO Healthcare Insurance Exchange IT Investment","yes","Section 1101 of Title I of the Patient Protection and Affordable Care Act of 2010 (Pub. L. 111-148) as amended by the Health Care and Education Reconciliation Act of 2010 (Pub. L. 111-152), referred to collectively as the Affordable Care Act. (Affordable Care Act) and Affordable Insurance Exchanges regulations at 45 CFR Part 155 and 156 which is designed to provide competitive marketplaces for individuals and small employers to directly compare available private health insurance options on the basis of price, quality, and other factors. The Exchanges, which will become operational by January 1, 2014.","no","","yes","The HHS Strategic Plan 2010-2015, Goal 1: Strengthen Health Care, Objective A:  Make coverage more secure for those who have insurance, and extend affordable coverage to the uninsured.  The description of this objective specifically refers to creation of Health Care Exchanges.","P41-009-037","yes","On March 23, 2010, President Obama signed the Affordable Care Act. The law puts in place comprehensive health insurance reforms that will roll out over four years and beyond.","yes","The White House web site lists Health Care as a popular issue. The section on ACA mentions the Exchanges under Better Access to Care.","09/16/2011","15:01:04"
"009-000267390","971","009","Department of Health and Human Services","CMS CCIIO Early Retiree Reinsurance Program (ERRP)","yes","Section 1102 of the Patient Protection and Affordable Care Act (PPACA) and ERRP regulations at 45 CFR Part 149 which is designed to encourage the retention of employer-sponsored health benefits coverage and to lower costs of such benefits to early retirees and their eligible spouses, surviving spouses and dependents.","no","","no","","","no","","no","","09/16/2011","15:01:05"
"009-000236620","991","009","Department of Health and Human Services","CMS HITECH (Health Information Technology for Economic & Clinical Health)","yes","Health Information Technology for Economic & Clinical Health Act (part of ARRA passed in 2009).","no","","no","","","no","","no","","09/16/2011","15:00:59"
"009-000001380","1086","009","Department of Health and Human Services","CDC OID National Healthcare Safety Network (NHSN)","no","","no","","yes","HHS Strategic Plan 1.B.3. to Increase the number of hospitals and other selected healthcare settings that report into NHSN.","P42-009-037","no","","no","","09/16/2011","14:35:48"
"009-000004093","1087","009","Department of Health and Human Services","Continued Implementation of HSPD-12 (formerly known as IAM@HHS)","","","","","","","","yes","HSPD-12 was signed by the President on August 27, 2004. On February 3, 2011, the Office of Management and Budget (OMB) issued OMB Memorandum M-11-11, Continued Implementation of Homeland Security Presidential Directive (HSPD)-12 - Policy for a Common Identification Standard for Federal Employees and Contractors.  This memo outlines a plan of action that will expedite full use of the PIV credentials for access to federal facilities and information systems.","no","","09/13/2013","05:50:23"
"009-000005797","1088","009","Department of Health and Human Services","OS ASPA HHS Web Management Investment","yes","Work related to the Affordable Care Act Law is performed within investment, specifically providing access to information on changes from the Law as well as providing Americans with the ability to search for healthcare plans based on specific requirements (finder.healthcare.gov). For more information see http://www.healthcare.gov.","","","no","","","yes","Work related to OMB Digital Strategy is being lead by this investment. It has launched the agency website: www.hhs.gov/digitalstrategy.","","","09/13/2012","09:37:40"
"009-000276109","1089","009","Department of Health and Human Services","HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS)","no","","yes","The GAO made several recommendations to improve Program Oversight which includes: HRSA strengthen oversight of health centers to ensure they are operating effectively and in compliance with program requirements; improve existing documentation of compliance decisions; strengthen ability to consistently identify and cite grantee non-compliance; and periodically assess whether the new Progressive Action process addresses grantee non-compliance and working as intended.  As a sub-component of the HRSA EHBs, the BHCMIS investment will help HRSA meet these requirements by leveraging strategic system enhancements implemented through the EHBs, and expanding functionalities within BHCMIS.","yes","This investment supports the Agency's strategic objective of ensuring access to comprehensive, culturally competent, quality primary health care services for medically underserved and vulnerable populations by collecting, storing and analyzing health center performance data; providing real-time reports on health center services and sites; and, assessing and tracking health centers against key program requirements.  By monitoring health center performance data on access, cost and quality of care indicators, HRSA can identify successful practices, develop effective training and technical assistance resources, and work to improve the performance of health centers.","P41-009-037","no","","no","","09/14/2012","14:50:52"
"009-000281361","1090","009","Department of Health and Human Services","CMS Fraud Prevention System (FPS) (Formerly CMS National Fraud Prevention Program)","yes","Section 4241 of the Small Business Job Act of 2010.","no","","no","","P41-009-040","no","","no","","09/16/2011","14:36:14"
"009-000281532","1091","009","Department of Health and Human Services","CMS Quality Program","yes","QIO Statement of Work is found in Part B of Title XI of the Social Security Act (hereinafter referred to as the Act), as amended by the Peer Review Improvement Act of 1982.  The Act established the Utilization and Quality Control Peer Review Organization Program, now known as the Quality Improvement Organization (QIO) Program.","no","","yes","Objective 1.3 Improve health care quality,safety,cost, and value. http://goals.performance.gov/prgoals/38134.","P44-009-037","no","","yes","The Patient Protection and Affordable Care Act of March 2010 added several additional business lines which OMB approved to become part of the QIO total portfolio of business.","09/16/2011","14:36:20"
"009-000281595","1092","009","Department of Health and Human Services","CMS Risk Adjustment Data Collection","no","","no","","no","","","no","","no","","09/16/2011","14:36:25"
"009-000281603","1093","009","Department of Health and Human Services","CMS Shared Systems Integrated Testing","yes","All legislation affecting health care will be implemented through a change request designed to alter the current claims processing procedures.","no","","no","","","no","","no","","09/16/2011","14:36:26"
"009-000281783","1094","009","Department of Health and Human Services","CMS Accountable Care Organizations","yes","Section 3022 of the Affordable Care Act, mandates the establishment of the Accountable Care Organization Medicare Shared Savings Program.","no","","yes","Strategic Goal 1: Healthcare, Strategic Objective 1.3: Improve health care quality, safety, cost and value.","P44-009-037","no","","no","","09/16/2011","14:36:39"
"009-000282322","1096","009","Department of Health and Human Services","CMS Physician Feedback Program","yes","Legislation mandates that CMS establish a VBM that will be applicable to most physicians by 2015 and to all physicians by 2017.  Legislation also calls for the development of a Medicare specific Episode grouper that could be used to capture episode based cost for certain conditions.  CMS intends to use information captured in the feedback reports (QRURs), which may include episode based costs to develop the VBM that would apply to physician payment.  Therefore, CMS needs to develop an investment that allows for the efficient development and dissemination of reports that will serve as the basis for the VBM.","no","","yes","This investment would help achieve HHS strategic goal related to Health Care (specifically objective 1.3), i.e. Improve health care quality, safety, cost, and value.","P44-009-037","no","","no","","09/16/2011","14:36:45"
"009-000004158","1173","009","Department of Health and Human Services","HRSA - BCRS Management Information System Solution (BMISS)","no","","no","","yes","This investment supports the Agency's strategic goal of Strengthening the Nation's Health and Human Services Infrastructure and Workforce by increasing the field strength of the National Health Service Corp through scholarship and loan repayment agreements.  This system supports HRSA by providing an end-to-end solution to manage the entire life cycle of program participants.","P41-009-041","no","","no","","09/12/2012","14:29:35"
"009-000267387","1175","009","Department of Health and Human Services","CMS CCIIO Enterprise IT Data Management Investment","yes","The Patient Protection and Affordability Care Act, H.R. 3590 and the Health Care and Education Reconciliation Act, H.R. 4872; hereafter referred to as the Affordable Care Act, by providing data to ensure compliance with the new insurance market rules, and to work closely with state insurance commissioners and governors, consumers, and stakeholders throughout the implementation process of Federal and State health insurance  exchanges.","no","","no","","","","","","","09/12/2012","14:29:40"
"009-000267910","1177","009","Department of Health and Human Services","CMS CCIIO Health Insurance and Oversight IT Investment","yes","Section 1103, 1002, 1001,  of the Patient Protection and Affordable Care Act of 2010 regulations at 45 CFR Part 154, establishes a process for collection of issuer and product data, clinical scenario data, consumer inquiries and complaints. This data and rate  determinations are entered into HIOS.","no","","no","","","no","","no","","09/12/2012","14:29:44"
"009-000314838","1179","009","Department of Health and Human Services","CMS Medicare Secondary Payer Systems","no","","no","","no","","","no","","no","","09/12/2012","14:29:47"
"009-000314914","1181","009","Department of Health and Human Services","CMS Master Data Management (MDM)","yes","Required to support Patient Protection and Affordable Care Act (ACA), H.R. 3590.","no","","no","","","no","","no","","09/12/2012","14:29:51"
"009-000314915","1183","009","Department of Health and Human Services","CMS Enterprise Portal","yes","Congress.  Patient Protection and Affordable Care Act.","no","","no","","","yes","25 Point Implementation Plan to Reform Federal Information Technology Management.","no","","09/12/2012","14:29:55"
"009-000314916","1185","009","Department of Health and Human Services","CMS Enterprise Identity Management (EIDM)","yes","Congress.  Patient Protection and Affordable Care Act, H.R. 3590.","no","","no","","","yes","25 Point Implementation Plan to Reform Federal Information Technology Management.","yes","FICAM, NSTIC, and NIST.","09/12/2012","14:30:00"
