Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Target 2013,Target 2014,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Status,Latest Actual Result Comment,Latest Actual Result Date,Metric Updated Date,Metric Updated Time
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6811","","Contractor shall provide event notification at or exceeding the minimum performance indicators.","Percentage of Services Provided","113-Customer Results - Timeliness and Responsiveness","100.000000","","Over target","Monthly","","58052","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6813","","The end-user will be surveyed to determine services received were to their satisfaction; number of survey responses receiving 4 out of 5.","Percentage of Services Provided","114-Customer Results - Service Quality","90.000000","","Over target","Monthly","","58053","","95.110000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6815","","The Contractor shall provide performance system backups by 6:30 AM ET.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","99.700000","","Over target","Monthly","","58055","","99.990000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6817","","Acceptable time to resolve incidents for existing hardware, software telecommunication components, and multimedia services within the ED environment that impact Customers. This includes escalation and restoration of service.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","99.000000","","Over target","Monthly","","58056","","96.190000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6819","","The OCIO and Principal Offices/Program Offices will be surveyed to determine the extent to which EDUCATE services helped them to do their jobs, achieve their mission; number of survey responses receiving 4 out of 5.","Percentage of Services Provided","111-Customer Results - Customer Benefit","90.000000","","Over target","Monthly","","33253","","0.000000","","No actual results provided for Oct 2012.","2012-10-31","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6821","","Measures availability of storage devices in the production environment, less any storage devices covered under other SLA(s).","Percentage of Services Provided","213-Technology - Efficiency","99.600000","","Over target","Monthly","","58057","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6823","","Acceptable time for deletion, suspension and changes of access authorizations and codes for ED or contractor; User accounts disabled or suspended to be completed within 1 hour from time of notification.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","100.000000","","Over target","Monthly","","58058","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6825","","Addition and Modification of User IDs and access authorizations and codes for ED or contractor. Contractor to fulfill administration services requests. If a request requires multiple tickets (children) these still count as one request and the elapsed time is for all child tickets to be completed; within 6 business hours until completion from an ED authorized user.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","100.000000","","Over target","Monthly","","58065","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6827","","Contractor shall own and manage the root cause analysis process to understand and implement appropriate measures to prevent recurring problems/trends; RCAs completed within 5 business days of service-resolved time for Severity 1 and 2 incidents.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","99.900000","","Over target","Monthly","","58062","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6829","","Ability of Help Desk to complete resolvable incidents for hardware, software and system components within the desktop environment that impact customers upon first contact with the help desk agent.","Percentage of Services Provided","114-Customer Results - Service Quality","95.000000","","Over target","Monthly","","58060","","97.520000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6831","","This service level will express the percentage of calls presented to the service desk for which the end users abandoned the call while in the hold queue, waiting for an agent.","Percentage of Services Provided","113-Customer Results - Timeliness and Responsiveness","7.000000","","Under target","Monthly","","58061","","4.270000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6833","","Average time (in seconds) a customer waits in the hold queue, waiting for live agent, after processing (IVR greeting, etc.).","Services Provided (Measured in Seconds)","113-Customer Results - Timeliness and Responsiveness","30.000000","","Under target","Monthly","","58059","","44.540000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6835","","Contractor shall provide network transport and infrastructure availability measured across all components that support the following network services: MPLS network, Private Lines, Ethernet, and Network-based VPN services. The service delivery point is defined as the transport in to the ED facility (i.e., ED building locations). (Measured as Percent of Success.)","Percentage of Services Provided","215-Technology - Reliability and Availability","99.600000","","Over target","Monthly","","58063","","99.390000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6837","","Latency is the round trip delay experienced by an end-user across the carrier network to all EDUCATE locations; sustained level at a maximum of 120 ms latency.","Percentage of Services Provided","103-Mission and Business Results - Management of Government Resources","100.000000","","Over target","Monthly","","58064","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6839","","Latency is the end to end round trip delay is between Remote Access device and edge router and the measurement is for PTC-based Remote Access devices only; sustained level at a maximum of 70 ms latency.","Percentage of Services Provided","111-Customer Results - Customer Benefit","100.000000","","Over target","Monthly","","58066","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6841","","The contractor shall provide video teleconferencing services to internal and external users via point-to-point and multipoint bridge services.","Percentage of Services Provided","112-Customer Results - Service Coverage","99.600000","","Over target","Monthly","","58067","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6843","","Contractor shall provide voice availability measured across all components that support the following voice related services: VoIP and voice messaging. Service Delivery point is defined as Call Managers.","Percentage of Services Provided","112-Customer Results - Service Coverage","99.600000","","Over target","Monthly","","58071","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6845","","The Contractor shall test and deploy approved updates and/or patches to System Services assets. This includes Intel and Unix servers, storage devices, network devices and Exchange updates. Updates/patches that are released on a recurring basis and tested and scheduled through the change process are included. Emergency releases will be scheduled and applied based on mutual agreement between the contractor and ED.","Percentage of Services Provided","202-Process and Activities - Productivity","100.000000","","Over target","Monthly","","58068","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6847","","Contractor shall provide ED.gov availability at or exceeding the minimum performance indicators.","Percentage of Services Provided","112-Customer Results - Service Coverage","99.600000","","Over target","Monthly","","58069","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6849","","Contractor shall provide connectED Services availability at or exceeding the minimum performance indicators.","Percentage of Services Provided","112-Customer Results - Service Coverage","99.600000","","Over target","Monthly","","58070","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6851","","The Contractor shall provide event and incident notification for security operational services as determined by mutually agreed upon procedures and in accordance with US-CERT Federal Incident Reporting guidelines as defined at the time of approval of this SLA and that certain Infrastructure Solutions Security Operations Center Standard Operating Procedure (the SOC SOP).","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","98.000000","","Over target","Monthly","","40925","","100.000000","","","2012-12-31","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6853","","The contractor shall provide Time to Containment for security operational services as determined by mutually agreed upon procedures and in accordance with US-CERT Federal Incident Reporting guidelines as defined at the time of final approval of the SLA and SOP.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","97.000000","","Over target","Monthly","","58072","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6855","","The contractor shall provide Infrastructure Services Availability for security operational services as mutually agreed. See Infrastructure Solutions Security Operations Center Standard Operation Procedure (the SOC SOP).","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","98.600000","","Over target","Monthly","","58073","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6859","","Contractor shall maintain current software versioning on Infrastructure Intrusion Detection/Intrusion Prevention and Anti Viral Components, not to include workstations.","Percentage of Services Provided","216-Technology - Effectiveness","98.100000","","Over target","Monthly","","58074","","98.200000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6861","","Contractor shall maintain current software versions for the identified security platforms within this SLA.","Percentage of Services Provided","216-Technology - Effectiveness","98.500000","","Over target","Monthly","","58076","","98.200000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","6863","","Contractor will complete Enterprise Vulnerability Management Service consisting of running monthly credential and non-credential vulnerability scans across the Enterprise Servers.","Percentage of Services Provided","216-Technology - Effectiveness","96.000000","","Over target","Monthly","","58077","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7327","","Contractor shall maintain current software versions for the identified security platforms within this SLA. Refer to Security Infrastructure Services within that certain Infrastructure Solutions Security Operations Center Standard Operating Procedures (the SOC SOP).","Percentage of Services Provided","216-Technology - Effectiveness","97.000000","","Over target","Monthly","","58075","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7329","","Contractor will complete patching of Microsoft OS Critical patches and MS OS High and Medium Security patches within 30 days of discovery.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","97.500000","","Over target","Monthly","","58078","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7331","","Contractor will complete Audit/Data Call Requests on time and accurately.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","100.000000","","Over target","Monthly","","58079","","100.000000","","","2013-06-24","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7857","","Measures the percentage of time that Microsoft Exchange Messaging Services are Available For Use during Scheduled Uptime in the applicable Measurement Period.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","99.600000","99.600000","Over target","Monthly","","94473","","100.000000","Met","","2014-06-23","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7859","","Measures the percentage of time that Mobile Messaging Services are Available For Use during Scheduled Uptime in the applicable Measurement Period.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","99.600000","99.600000","Over target","Monthly","","94471","","100.000000","Met","","2014-06-23","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7861","","Measures the average percentage of time that Managed Network Devices are Available For Use during Scheduled Uptime in the applicable Measurement Period.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","99.600000","99.600000","Over target","Monthly","","94465","","99.620000","Met","","2014-06-23","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7863","","Measures rate of incidents that are resolved by a single call to the service desk in the applicable Measurement Period.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","67.000000","67.000000","Over target","Monthly","","94469","","71.460000","Met","","2014-06-23","07/23/2014","11:08:30"
"018-000001020","812","018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)","7865","","Measures the percentage of Non-Automated Service Requests in the applicable Measurement Period initiated by The Department of Education that are Completed on Time in the applicable Measurement Period.","Percentage of Services Provided","203-Process and Activities - Cycle Time and Timeliness","96.000000","96.000000","Over target","Monthly","","94467","","85.920000","Not Met","","2014-06-23","07/23/2014","11:08:30"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2693","","Number of annual user groups involved in user related issues related to future MSIX DME Efforts","User Group Surveys","101-Mission and Business Results - Services for Citizens","10.000000","8.000000","Over target","Quarterly","","97421","","1.000000","Not Met Yet","3rd QTR Update","2014-07-13","07/18/2014","09:43:08"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2694","","Maintain the percentage of help desk problems that are resolved in one business day to ensure adequate support to MSIX Users","Review of logs to validate call resolution","203-Process and Activities - Cycle Time and Timeliness","90.000000","90.000000","Over target","Quarterly","","97429","","100.000000","Met","3rd QTR Update","2014-07-13","07/18/2014","09:43:08"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2695","","Maintain system uptime at 99.5% except for periods during routine, schedule maintenance","Customer Service","213-Technology - Efficiency","99.500000","99.500000","Over target","Monthly","","97427","","99.670000","Met","MSIX Availability for June 2014 ","2014-07-13","07/18/2014","09:43:08"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2696","","Percentage of Help Desk problems that are resolved in the required time","Help Desk Logs to validate call resolution","213-Technology - Efficiency","90.000000","90.000000","Over target","Quarterly","","97423","","100.000000","Met","3rd QTR Update","2014-07-13","07/18/2014","09:43:08"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2697","","Decrease the amount of time it takes to load student data","Review nightly load logs","213-Technology - Efficiency","3500.000000","3500.000000","Over target","Quarterly","","97425","","6844.000000","Met","3rd QTR Update","2014-07-13","07/18/2014","09:43:08"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","2698","","Percent of Help Desk problems that are resolved in one buisness day","Review of logs to validate call resolution","203-Process and Activities - Cycle Time and Timeliness","75.000000","75.000000","Over target","Quarterly","","62521","","98.000000","Met","MSIX Update","2013-08-15","07/18/2014","09:43:08"
"018-000001000","813","018","Department of Education","Migrant Student Information Exchange (MSIX)","6915","","The number of technical assistance webinars conducted per year","Webinars conduct throughout the year","111-Customer Results - Customer Benefit","8.000000","5.000000","Over target","Quarterly","","97431","","3.000000","Not Met Yet","3rd QTR Update","2014-07-13","07/18/2014","09:43:08"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2283","","Percent of time FMSS is available equal to 98% or greater.","Percentage","215-Technology - Reliability and Availability","98.000000","99.000000","Over target","Quarterly","","97501","","100.000000","Met","The FMSS was available to users greater than the 98% (99.96%) performance measure. ","2014-07-07","07/21/2014","13:29:11"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2284","","The FMSS receives an unqualified audit opinion by the independent auditors on the annual financial statements.","UnqualifiedOpinion&#61;1;Qualified&#61;2","103-Mission and Business Results - Management of Government Resources","1.000000","1.000000","Over target","Semi-Annual","","72657","","1.000000","Met","The FY 2013 Financial Statements as produced by the FMSS received an unqualified (clean) opinion from the independent auditors.","2013-12-06","07/21/2014","13:29:11"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2285","","100% of FMSS User Help Desk  tickets are followed-up within 24 hours of receipt by the FMSS team.","Percentage","216-Technology - Effectiveness","100.000000","100.000000","Over target","Monthly","","97507","","100.000000","Met","All Help Desk tickets were successfully followed up with for the month of June 2014.","2014-07-03","07/21/2014","13:29:11"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2286","","Monthend closings occur within three days of the end of the month.","3 or less&#61;1;more&#61;2","113-Customer Results - Timeliness and Responsiveness","1.000000","1.000000","Over target","Monthly","","97509","","1.000000","Met","The month of June 2014 was successfully closed within the 3 day performance measurement.","2014-07-07","07/21/2014","13:29:11"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2287","","100% of system modifications included in the scheduled quarterly releases are fully tested and successfully deployed.","Percentage","204-Process and Activities - Quality","100.000000","100.000000","Over target","Quarterly","","97505","","100.000000","Met","All system modifications planned for deployment for the third quarter of FY 2014 were successfully deployed.","2014-07-03","07/21/2014","13:29:11"
"018-000001024","817","018","Department of Education","Financial Management Support System (FMSS)","2288","","100% of FACTS II reports are successfully submitted to Treasury within the reporting timeframe designated by Treasury.","Percentage","215-Technology - Reliability and Availability","100.000000","100.000000","Over target","Quarterly","","97503","","100.000000","Met","The third quarter FACTS reports were successfullt transmitted to Treasury within the transmission timeframe established by Treasury.","2014-07-11","07/21/2014","13:29:11"
"018-000001010","819","018","Department of Education","EDFacts","2239","","Average speed to answer inbound calls from State partners during hours of operation.","seconds","113-Customer Results - Timeliness and Responsiveness","20.000000","20.000000","Under target","Monthly","P41-018-011","97173","","9.000000","Met","","2014-07-01","07/16/2014","11:04:04"
"018-000001010","819","018","Department of Education","EDFacts","2240","","Percentage of partners satisfied that their issue has been resolved.","percentage","204-Process and Activities - Quality","90.000000","90.000000","Over target","Monthly","P41-018-011","97177","","100.000000","Met","","2014-07-01","07/16/2014","11:04:04"
"018-000001010","819","018","Department of Education","EDFacts","2241","","EDFacts Submission System availability","percentage","215-Technology - Reliability and Availability","98.000000","98.000000","Over target","Monthly","P41-018-011","97169","","100.000000","Met","","2014-07-01","07/16/2014","11:04:04"
"018-000001010","819","018","Department of Education","EDFacts","2242","","EDFacts Reporting System availability","percentage","215-Technology - Reliability and Availability","98.000000","98.000000","Over target","Monthly","P41-018-011","97171","","100.000000","Met","","2014-07-01","07/16/2014","11:04:04"
"018-000001010","819","018","Department of Education","EDFacts","2243","","Basic report average run time. The target accounts for cyclical peak demand periods.","seconds","103-Mission and Business Results - Management of Government Resources","60.000000","60.000000","Under target","Monthly","P41-018-011","97175","","28.000000","Met","","2014-07-01","07/16/2014","11:04:04"
"018-000001018","820","018","Department of Education","ED Web","2738","","Resource utilization (data transactions per day)","count","216-Technology - Effectiveness","4.000000","4.000000","Over target","Semi-Annual","P41-018-009","66297","","6.902000","Met","","2013-10-28","06/24/2014","12:24:25"
"018-000001018","820","018","Department of Education","ED Web","2739","","Overall customer satisfaction rating (on scale of 1 to 5 where 5 is &quot;very satisfied&quot;)","scale of 1 to 5","114-Customer Results - Service Quality","3.700000","3.700000","Under target","Semi-Annual","P42-018-012","80501","","6.353000","Met","","2014-02-26","06/24/2014","12:24:25"
"018-000001018","820","018","Department of Education","ED Web","2740","","Web traffic (page views [user mouse click] per day)","count","215-Technology - Reliability and Availability","0.580000","0.580000","Over target","Monthly","P41-018-009","80505","","2.426000","Met","","2014-02-26","06/24/2014","12:24:25"
"018-000001018","820","018","Department of Education","ED Web","2741","","Site Availability","percentage","112-Customer Results - Service Coverage","99.600000","99.600000","Over target","Semi-Annual","P43-018-012","80503","","99.870000","Met","","2014-02-26","06/24/2014","12:24:25"
"018-000001018","820","018","Department of Education","ED Web","2742","","high quality of system at CAT","percentage of test steps pass","212-Technology - Quality Assurance","92.000000","92.000000","Over target","Semi-Annual","P44-018-012","80499","","94.700000","Met","","2014-02-26","06/24/2014","12:24:25"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","2683","","Customer issues for CPSS are addressed within 24 hours of receiving the issue.","Percentage","113-Customer Results - Timeliness and Responsiveness","98.000000","98.000000","Over target","Semi-Annual","","86947","","98.000000","Met","(FY13/FY14 Metric) (Reports Semi-annually. Oct 2013 to March 2014 results reported for Apr 2014) ","2014-03-31","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","2684","","Availability of CPSS system to users.","Percentage","113-Customer Results - Timeliness and Responsiveness","98.000000","98.000000","Over target","Monthly","","97165","","100.000000","Met","(FY13/FY14) (For July 2014 monthly submission)","2014-06-30","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","2685","","Accuracy of CPSS transactions sent to financial system with correct Transaction Code","Percentage","212-Technology - Quality Assurance","98.000000","98.000000","Over target","Semi-Annual","","86953","","98.000000","Met","(FY13/FY14 Metric) (Reports Semi-annually. Oct 2013 to March 2014 results reported for Apr 2014) ","2014-03-31","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","2686","","Federal and Education Acquisition Regulations (FAR and EDAR) clauses are updated in CPSS within 30 days of receipt from vendor","Percentage","213-Technology - Efficiency","95.000000","95.000000","Over target","Semi-Annual","","86955","","95.000000","Met","(FY13/FY14 Metric) (Reports Semi-annually. Oct 2013 to March 2014 results reported for Apr 2014) ","2014-03-31","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","2687","","Purchase Card data transactions are correctly imported from purchase card vendor","Percentage","212-Technology - Quality Assurance","98.000000","98.000000","Over target","Semi-Annual","","86957","","98.000000","Met","(FY13/FY14 Metric) (Reports Semi-annually. Oct 2013 to March 2014 results reported for Apr 2014) ","2014-03-31","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4795","","Installation of software updates and patches provided for the CPSS II software solution, and any third party software provided as part of the solution, are implemented within scheduled timeframes.","Percentage","216-Technology - Effectiveness","100.000000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4797","","Reported incidents of severity levels 1, 2, and 3 for CPSS II are addressed within the time parameters defined in the Service Level Agreements (SLAs).","Percentage","114-Customer Results - Service Quality","99.000000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4799","","New FAR clauses are put into production for CPSS II users within 21 calendar days of their publication at www.acquisition.gov; EDAR clauses, within 21 calendar days of being published by the Department.","Percentage","113-Customer Results - Timeliness and Responsiveness","100.000000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4801","","CPSS II application will be available for use 99.6% of regularly scheduled uptime.","Percentage","216-Technology - Effectiveness","99.600000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4803","","CPSS II database will be available for use 99.6% of regularly scheduled uptime.","Percentage","216-Technology - Effectiveness","99.600000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4805","","CPSS II Reports will be available for use 99.6% of regularly scheduled uptime.","Percentage","112-Customer Results - Service Coverage","99.600000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4807","","CPSS II Application and database will be successfully backed up 99.6% of regularly scheduled time and upon request.","Percentage","112-Customer Results - Service Coverage","99.600000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001070","821","018","Department of Education","Contracts and Purchasing Support System (CPSS)","4809","","CPSS II Application and database backups will be successfully restored as per production sample and upon request.","Percentage","113-Customer Results - Timeliness and Responsiveness","100.000000","","Over target","Monthly","","","","","","","","07/16/2014","10:46:26"
"018-000001090","822","018","Department of Education","Virtual Data Center (VDC)","2336","","Critical Processing:  All Production Processing will complete in the applications prescribed execution windows.","All Production Processing Apps","103-Mission and Business Results - Management of Government Resources","100.000000","100.000000","Over target","Monthly","","97291","","100.000000","Met","","2014-07-15","07/17/2014","10:11:50"
"018-000001090","822","018","Department of Education","Virtual Data Center (VDC)","2337","","Mainframe Availability:  % of time a mainframe production region is available.","Percentage of Mainframe Availability","215-Technology - Reliability and Availability","100.000000","100.000000","Over target","Monthly","","97287","","100.000000","Met","","2014-07-15","07/17/2014","10:11:50"
"018-000001090","822","018","Department of Education","Virtual Data Center (VDC)","2338","","Non Mainframe Server Availability:  % of time servers are available for processing during required hours of operation.","Non-Mainframe Server Availability","215-Technology - Reliability and Availability","99.980000","99.980000","Over target","Monthly","","97289","","99.990000","Met","","2014-07-15","07/17/2014","10:11:50"
"018-000001090","822","018","Department of Education","Virtual Data Center (VDC)","2339","","Customer Satisfaction:  Satisfaction level defined per the Customer Satisfaction Survey (Scoring of a 3.7 or greater on a rating scale of 1-5; 1 being equivalent to a Unsatisfactory and 5 being a Outstanding rating.)","Percentage of response results","111-Customer Results - Customer Benefit","3.000000","3.000000","Over target","Semi-Annual","","86661","","5.000000","Met","","2014-03-31","07/17/2014","10:11:50"
"018-000001090","822","018","Department of Education","Virtual Data Center (VDC)","2340","","Firewall Availability:  Percentage that firewalls are available.","Outage information","215-Technology - Reliability and Availability","99.950000","99.950000","Over target","Monthly","","97293","","100.000000","Met","","2014-07-15","07/17/2014","10:11:50"
"018-000003133","845","018","Department of Education","National Student Loan Database System (NSLDS)","7867","","Customer Service Quality - Increase the percentage of customers rate their experience on the survey score as 4 out of 5 or higher to 90% (1 being the lowest and 5 being the highest)","Percentage","111-Customer Results - Customer Benefit","90.000000","90.000000","Over target","Monthly","","95003","","98.000000","Met","","2014-05-31","07/17/2014","12:23:33"
"018-000003133","845","018","Department of Education","National Student Loan Database System (NSLDS)","7869","","Student Website Utilization - Increase in the the number of user sessions of NSLDS student site by a margin of 10%.","Number","216-Technology - Effectiveness","7730715.000000","7730715.000000","Over target","Monthly","","97349","","710170.000000","Met","","2014-07-16","07/17/2014","12:23:33"
"018-000003133","845","018","Department of Education","National Student Loan Database System (NSLDS)","7871","","Data Provider Edit Passage - Maintain the overall edit passage rate from data providers at 95% for the most recently completed calendar year.","Percentage","214-Technology - Information and Data","98.000000","98.000000","Over target","Monthly","","97351","","86.530000","Met","","2014-07-16","07/17/2014","12:23:33"
"018-000003133","845","018","Department of Education","National Student Loan Database System (NSLDS)","7873","","Meeting development requirements - Meet 95% of all requirements listed on the requirements traceability matrix after testing.","Percentage","212-Technology - Quality Assurance","95.000000","95.000000","Over target","Monthly","","97353","","98.000000","Met","","2014-07-16","07/17/2014","12:23:33"
"018-000003133","845","018","Department of Education","National Student Loan Database System (NSLDS)","7875","","Support Delivery of Services - Increase the identification of ineligible applicants during pre-screening and post-screening by .5% for the most recent completed Award Year Cycle.","Percentage","103-Mission and Business Results - Management of Government Resources","0.500000","0.500000","Over target","Semi-Annual","","97347","","98.000000","Met","","2014-07-16","07/17/2014","12:23:33"
"018-000003116","849","018","Department of Education","Central Processing System (CPS)","2726","","Percentage of web availability of FAFSA on the web excluding scheduled outages","Percentage","216-Technology - Effectiveness","99.600000","99.600000","Over target","Monthly","","94501","","100.000000","Met","","2014-05-30","07/18/2014","10:44:33"
