Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost ($M),Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Updated Date,Updated Time
"018-000000095","1329","018","Department of Education","Enterprise Trusted Internet Connection (ETIC)","1","9887","","TIC Capabilities","Implementation of security capabilities that satisfy the requirements specified in DHS' TIC Reference Architecture.  As DHS publishes new versions of the TIC Reference Architecture, the Department must identify capability gaps, prioritize requirements for implementation, identify funding requirements, plan for, design, acquire and implement the capabilities.","2013-10-01","2017-09-30","8.502678","0","0.00","Green","0.000000","0.00","Green","2014-06-24","12:49:42"
"018-000000095","1329","018","Department of Education","Enterprise Trusted Internet Connection (ETIC)","2","9889","","External Connection Consolidation","Reduction and consolidation of Department of Education external access points to include all external connections for systems directly funded by the Department whose mission criticality or data sensitivity level are Moderate to High and systems hosted at contractor data centers, in the cloud, and by web hosting entities.","2013-10-01","2017-09-30","2.036122","0","0.00","Green","0.000000","0.00","Green","2014-06-24","12:49:42"
"018-000000095","1329","018","Department of Education","Enterprise Trusted Internet Connection (ETIC)","3","9891","","TIC Policy & Guidance","Development and maintenance of Department-wide TIC policy and guidance, to include standard contract language for the procurement of TIC related capabilities and services.","2013-10-01","2017-09-30","0.479200","0","0.00","Green","0.000000","0.00","Green","2014-06-24","12:49:42"
"018-000000082","1345","018","Department of Education","Access & Identity Management System (AIMS)","AIMS2","8615","","AIMS 2A Release","Implement automated tools and additional search criteria for CSRs and ISSOs; additional security measures for blacklisted accounts; update password maintenance functionality; generate enterprise user audit reports.","2013-08-21","2014-02-28","0.635000","-16","-9.88","Green","0.000000","0.00","Green","2014-03-13","13:34:30"
"018-000000082","1345","018","Department of Education","Access & Identity Management System (AIMS)","AIMS3","8617","","AIMS 3 Release","Implement process for customer service centers to deactivate an account; update enrollment process; update search results page with new data elements.","2014-02-25","2014-09-29","0.620000","0","0.00","Green","0.000000","0.00","Green","2013-09-13","15:14:16"
"018-000000082","1345","018","Department of Education","Access & Identity Management System (AIMS)","AIMS4","8619","","AIMS 4 Release","Implement additional security requirements; update reporting capabilities.","2014-09-12","2015-03-09","0.855000","0","0.00","Green","0.000000","0.00","Green","2013-09-13","15:14:17"
"018-000000082","1345","018","Department of Education","Access & Identity Management System (AIMS)","AIMS5","8621","","AIMS 5 Release","Implement updated enrollment process; update reporting capabilities.","2015-03-16","2015-10-19","0.914000","0","0.00","Green","0.000000","0.00","Green","2013-09-13","15:14:17"
"018-000000089","1347","018","Department of Education","Rational Support","A","8501","","Rational Support FY14 DME","Provide reliable ECM &amp; Configuration Management services.","2013-12-18","2014-03-25","0.136000","176","181.44","Red","-0.062000","-45.59","Red","2014-01-23","13:02:47"
"018-000000089","1347","018","Department of Education","Rational Support","B","8503","","Rational Support - FY15 DME","Provide reliable ECM and configuration management services.","2015-01-09","2015-12-31","0.044000","0","0.00","Green","0.000000","0.00","Green","2013-09-13","12:53:16"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2015-1","8561","","FY15 - DME","FY 2015 DME (to be broken out in BY16 business case).","2014-10-01","2015-09-30","2.314000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-01","10599","","FY14 - Engineering/Architecture Support","Contractor support for engineering, architecture, and documentation.","2014-01-13","2014-09-30","0.183000","0","0.00","Green","0.000000","0.00","Green","2014-08-20","14:02:54"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-02","10601","","FY14 - Incident Case Tracking","Support for forensics and incident response tracking and logging investigated cases.","2014-07-15","2014-09-30","0.349000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-03","10603","","FY14 - Internal/External Security Monitoring","Added capabilities for automated passive vulnerability scanning (PVS), including added monitoring of external partners COD / DMSC / 4 TIVAS.","2014-07-15","2014-09-30","1.042000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-04","10605","","FY14 - Threat Management","Mapping of the threats to the enterprise and providing prioritized remediation.","2014-07-15","2014-09-30","0.220000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-05","10607","","FY14 - Security Information and Event Management (SIEM) Support","Increased capabilities such as license and storage space, needed as additional systems and application logs are captured.","2014-07-14","2014-09-30","0.438000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-06","10609","","FY14 - Hardware and Facilities","Additional hardware and facilities support required as new capabilities are added/updated.","2014-07-15","2014-09-30","0.005000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-07","10611","","FY14 - Collaboration and Integration","Develop and integrate disaster recovery/continuity of operations (DR/COOP) technology, as well as data-to-day collaboration with the enterprise.","2014-07-15","2014-09-30","0.014000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-08","10613","","FY14 - Data Center Support","Contractor services within the VDC resulting from new capabilities and technologies.","2014-07-15","2014-09-30","0.050000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"018-000000030","1351","018","Department of Education","Security Operations Center (SOC)","FY2014-09","10615","","FY14 - New Capabilities","Supports the purchase of new technologies, including licensing, professional services, training, and maintenance.","2014-07-15","2014-09-30","0.037000","0","0.00","Green","0.000000","0.00","Green","2014-07-17","14:59:44"
"019-000000122","559","019","Department of Energy","CF iManage","A100000000","1412","","STRIPES:  Western Deployment","Deployment the STRIPES/PRISM software to the Western Area Power Administration.  And integrate STRIPES into their existing accounting system.","2011-10-11","2011-11-08","0.006000","14","50.00","Red","0.001360","22.67","Yellow","2012-02-23","15:48:24"
"019-000000122","559","019","Department of Energy","CF iManage","A200000000","1413","","STRIPES:  Labor Intensive Processes","Identify, evaulate, and streamline current labor intesive Help Desk / User / STRIPES Team processes.","2011-10-03","2012-02-29","0.003500","124","83.22","Red","-0.000077","-2.20","Green","2012-02-23","15:48:24"
"019-000000122","559","019","Department of Energy","CF iManage","A300000000","1414","","STRIPES:  Integration with the Office of Science Portfolio Analysis Management System (PAMS)","Integration 3 under the PAMS Project Plan:  Create a partial requisition in STRIPES and transmit meta data back to PAMS.","2012-02-01","2012-08-30","0.004000","0","0.00","Green","0.000000","0.00","Green","2012-09-14","13:05:13"
"019-000000122","559","019","Department of Energy","CF iManage","A400000000","1415","","STRIPES Upgrade","Evaluate, and analyze the Compusearch PRISM version 7.x.  Develop project plan.","2012-07-27","2012-09-28","0.008000","51","80.95","Red","0.002100","26.25","Yellow","2012-09-14","13:05:13"
"019-000000122","559","019","Department of Energy","CF iManage","B100000000","1416","","CHRIS: PeopleSoft 9.1 Transition","Continuation of the PeopleSoft release 9.1 software implementation in CHRIS, retaining critical DOE mods and functionality. Funding for this project is part of the O&amp;M budget for CHRIS.","2011-10-03","2012-05-02","0.628600","0","0.00","Green","0.000000","0.00","Green","2012-09-14","13:05:13"
"019-000000122","559","019","Department of Energy","CF iManage","C100000000","1417","","Q1/Q2 Spinout - IDW/iPortal","Efforts include the evaluation and analysis of STRIPES reporting requirements, patches, transparency. ETL enhancements.","2011-10-01","2012-03-31","0.181000","1","0.55","Green","0.010500","5.80","Green","2012-04-27","08:54:44"
"019-000000122","559","019","Department of Energy","CF iManage","C200000000","1418","","Q3/Q4 Spinout - IDW/iPortal","Efforts include the evaluation and analysis of STRIPES reporting requirements, patches, transparency. ETL enhancements.","2012-04-01","2012-09-30","0.141000","0","0.00","Green","0.002000","1.42","Green","2012-10-31","16:21:01"
"019-000000122","559","019","Department of Energy","CF iManage","C300000000","1419","","Data Mart Usability","Analyze and determine alternative methods for  data analysis to increase transparency of key financial and program management  data within the organization.","2011-11-15","2012-09-30","0.240000","0","0.00","Green","0.029000","12.08","Yellow","2012-10-31","16:21:01"
"019-000000122","559","019","Department of Energy","CF iManage","C400000000","1420","","11g Upgrade","OWB upgrade to 11g; database upgrade to 11g.  This upgrade will ensure continued vendor support of critical product sets needed for data integration of data mart.","2012-01-01","2012-06-30","0.080000","0","0.00","Green","0.021500","26.88","Yellow","2012-07-30","13:49:42"
"019-000000122","559","019","Department of Energy","CF iManage","D100000000","2921","","FY 2012 SW License costs","The comprehensive costs for the programs' SW Licenses.","2011-10-01","2012-09-30","2.981459","0","0.00","Green","0.128413","4.31","Green","2012-10-31","16:21:01"
"019-000000122","559","019","Department of Energy","CF iManage","A500000000","5167","","STRIPES / PAMS Integration FY12-FY13","Preparing the STRIPES application to be ready to fully integrate with the Office of Science Portfolio Analysis Management System (PAMS).","2012-08-20","2013-01-31","0.109650","-15","-9.15","Green","0.007770","7.09","Green","2013-03-29","11:05:39"
"019-000000122","559","019","Department of Energy","CF iManage","C1000000","5169","","FY14 Q2 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2014-01-01","2014-03-31","0.120750","0","0.00","Green","-0.001620","-1.34","Green","2014-04-29","11:09:20"
"019-000000122","559","019","Department of Energy","CF iManage","C1100000","5171","","FY14 Q3 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2014-04-01","2014-06-30","0.125300","0","0.00","Green","0.000190","0.15","Green","2014-07-31","10:00:46"
"019-000000122","559","019","Department of Energy","CF iManage","C1200000","5173","","FY14 Q4 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2014-07-01","2014-09-30","0.131250","0","0.00","Green","0.000000","0.00","Green","2014-08-28","14:33:41"
"019-000000122","559","019","Department of Energy","CF iManage","C500000000","5175","","FY13 Q1 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2012-10-01","2012-12-31","0.103000","0","0.00","Green","0.005750","5.58","Green","2013-02-28","10:37:13"
"019-000000122","559","019","Department of Energy","CF iManage","C600000000","5177","","FY13 Q2 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2013-01-01","2013-03-31","0.338050","0","0.00","Green","-0.009655","-2.86","Green","2013-04-29","09:53:35"
"019-000000122","559","019","Department of Energy","CF iManage","C700000000","5179","","FY13 Q3 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2013-04-01","2013-06-30","0.443500","0","0.00","Green","0.035517","8.01","Green","2013-07-29","13:06:01"
"019-000000122","559","019","Department of Energy","CF iManage","C800000000","5181","","FY13 Q4 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2013-07-01","2013-09-30","0.117000","0","0.00","Green","0.002750","2.35","Green","2013-10-30","09:31:23"
"019-000000122","559","019","Department of Energy","CF iManage","C900000000","5183","","FY14 Q1 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2013-10-01","2013-12-31","0.117450","0","0.00","Green","-0.000425","-0.36","Green","2014-01-30","11:20:51"
"019-000000122","559","019","Department of Energy","CF iManage","A600000000","6867","","STRIPES:  Upgrade to PRISM version 6.5 SP2 Build 8","Upgrade to include major components of the PRISM 6.5 service packs to bring the Department in a better position to upgrade to PRISM 7.x next fiscal year.","2013-04-01","2013-06-02","0.260000","5","8.06","Green","0.012000","4.62","Green","2013-06-28","10:51:08"
"019-000000122","559","019","Department of Energy","CF iManage","A700000000","7661","","STRIPES: Upgrade to PRISM v7.1","Upgrade to PRISM version 7.1 Service Pack 8 or 9; major enhancements to the Requisition module of the PRISM application.","2013-10-01","2014-09-30","2.037703","61","16.76","Yellow","0.428803","21.05","Yellow","2014-08-28","14:33:41"
"019-000000122","559","019","Department of Energy","CF iManage","C130000000","7663","","FY15 Q1 & Q2 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2014-10-01","2015-03-31","0.248921","0","0.00","Green","0.000000","0.00","Green","2013-09-10","14:40:02"
"019-000000122","559","019","Department of Energy","CF iManage","C1400000","7665","","FY15 Q3 & Q4 Spinout - IDW/iPortal","Efforts include period end close activity, evaluation and analysis of reporting requirements, patches, transparency. ETL enhancements.","2015-04-01","2015-09-30","0.269738","0","0.00","Green","0.000000","0.00","Green","2013-09-10","14:40:03"
"019-000000122","559","019","Department of Energy","CF iManage","E100000000","10197","","STARS:  Oracle Financials R12 Upgrade","Upgrade to Oracle Federal Financials Release 12; enhancements to the application.","2013-10-07","2015-02-13","2.350080","0","0.00","Green","0.000000","0.00","Green","2014-07-31","10:00:46"
"019-000000122","559","019","Department of Energy","CF iManage","F100000000","10423","","Funds Distribution Improvement (iBudget FDS 2.0)","DOE enterprise process and system enhancements to distribute apportioned funds in a timely manner with sufficient internal controls, transparency, flexibility and at a lower transaction cost.","2014-01-13","2014-09-30","3.250000","0","0.00","Green","0.000000","0.00","Green","2014-05-30","07:23:38"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","Dash","1435","","Dashboard","MPR/QPR Automation in Livecycle.","2011-10-01","2012-09-30","0.172000","0","0.00","Green","0.000000","0.00","Green","2012-10-31","15:19:45"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","PEM","1436","","PEM","Upgade older modules into newer framework.","2011-10-01","2012-09-30","0.572000","0","0.00","Green","0.000000","0.00","Green","2012-10-31","15:19:45"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","UP","1438","","Upgrades","ECPs, RCPs, Licensing, Configuration Management, &amp; EM-11 Support.","2011-10-01","2012-09-30","0.779000","0","0.00","Green","0.000000","0.00","Green","2012-10-31","15:19:45"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","WEB","1439","","Web Application Refresh","Streamline look and usability of modules.","2011-10-01","2012-06-30","0.114000","0","0.00","Green","0.000000","0.00","Green","2012-10-31","15:19:45"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","Modules","5139","","Module Specific Modifications","Software development to replace older modules into the newer application framework to streamline the user interface, improve application performance and usability, to add new functionality to match the customer's business processes.","2012-10-01","2013-09-30","0.201100","16","6.23","Green","0.007130","3.55","Green","2013-08-28","12:23:22"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","O and M","5563","","Routine Operations and Maintenance","Provide support all on-going routine operations and maintenance activities.","2012-10-01","2013-09-30","1.057000","0","0.00","Green","-0.095931","-9.08","Green","2013-10-30","10:11:58"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","Apps","8131","","Application Upgrades FY 2014","Continue to upgrade the functionality of the IPABS system/framework in compliance with evolving business requirements. Additionally, provide support to automated linkage/integration opportunities between IPABS-IS and other Departmental corporate databases an establish database-to-database transfer capabilities between these systems.","2013-10-01","2014-09-30","0.400000","0","0.00","Green","0.000741","0.19","Green","2014-08-28","12:40:43"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","Mods","8135","","Module Specific Development","Software development to replace older modules into the newer application framework to streamline the user interface, improve application performance and usability, to add new functionality to match the customer's business processes.","2013-10-01","2014-09-30","0.155000","0","0.00","Green","0.000027","0.02","Green","2014-05-30","07:09:03"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","O&M","8137","","Operations and Maintenance","Provide support all on-going routine operations and maintenance activities.","2013-10-01","2014-09-30","1.698000","0","0.00","Green","0.000000","0.00","Green","2014-01-30","15:41:25"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","O&M 15","8139","","IPABS System O&M FY15","Provide support to IPABS system maintenance.","2014-10-01","2015-09-30","1.133000","0","0.00","Green","0.000000","0.00","Green","2013-09-12","11:01:30"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","SysFY15","8141","","IPABS System Development FY15","Provide support to IPABS system/framework upgrades.","2014-10-01","2015-09-30","0.900000","0","0.00","Green","0.000000","0.00","Green","2013-09-12","11:01:30"
"019-000000208","564","019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)","App","8593","","Application Upgrades","Continue to upgrade the functionality of the IPABS system/framework in compliance with evolving business requirements. Additionally, provide support to automated linkage/integration opportunities between IPABS-IS and other Departmental corporate databases an establish database-to-database transfer capabilities between these systems.","2012-10-01","2013-09-30","0.461500","0","0.00","Green","-0.037250","-8.07","Green","2013-10-30","10:11:59"
"019-000000577","573","019","Department of Energy","NNSA Enterprise Secure Network (ESN)","FY12 ECO","7797","","FY12 NNSA Enterprise Secure Computing","Implementation of ESN.  Technology enhancements to facilitate secure classified communication.","2011-10-01","2012-09-30","14.266400","0","0.00","Green","0.000000","0.00","Green","2014-08-28","12:57:32"
"019-000000577","573","019","Department of Energy","NNSA Enterprise Secure Network (ESN)","FY13 ECO","7799","","FY13 NNSA Enterprise Secure Computing","Implementation of ESN.  Technology enhancements to facilitate secure classified communication.","2012-10-01","2013-09-30","16.321235","0","0.00","Green","0.000000","0.00","Green","2014-08-28","12:57:32"
"019-000000577","573","019","Department of Energy","NNSA Enterprise Secure Network (ESN)","FY14 ECO","7801","","FY14 NNSA Enterprise Secure Computing","Implementation of ESN.  Technology enhancements to facilitate secure classified communication.","2013-10-01","2014-09-30","13.187830","0","0.00","Green","0.436422","3.31","Green","2014-08-28","12:57:32"
"019-000000577","573","019","Department of Energy","NNSA Enterprise Secure Network (ESN)","FY15 ECO","7803","","FY15 NNSA Enterprise Secure Computing","Implementation of ESN. Technology enhancements to facilitate secure classified communication.","2014-10-01","2015-09-30","14.966500","0","0.00","Green","0.000000","0.00","Green","2013-10-30","10:56:11"
"019-000000731","575","019","Department of Energy","NNSA Y12 ERP","VP982 1201","1408","","FY2012 Steady State System Support","FY2012 Steady State System Support.","2011-10-01","2012-09-30","8.344000","0","0.00","Green","0.137000","1.64","Green","2012-10-31","14:56:48"
"019-000000731","575","019","Department of Energy","NNSA Y12 ERP","VP982 1301","5191","","FY2013 Steady State System Support 1st Half","FY2013 Steady State System Support.","2012-10-01","2013-03-31","4.000000","0","0.00","Green","-0.130000","-3.25","Green","2013-04-29","09:58:18"
"019-000000731","575","019","Department of Energy","NNSA Y12 ERP","VP982 1307","5193","","FY2013 Steady State System Support 2nd Half","FY2013 Steady State System Support.","2013-04-01","2013-09-30","4.710000","0","0.00","Green","0.130000","3.50","Green","2013-10-30","10:43:50"
"019-000000731","575","019","Department of Energy","NNSA Y12 ERP","VP982 1401","5195","","FY2014 SAP Annual Support Packs","Application of SAP Support Packs.","2013-10-01","2013-12-31","0.100000","0","0.00","Green","0.007000","7.00","Green","2014-01-30","11:33:26"
"019-000000731","575","019","Department of Energy","NNSA Y12 ERP","VP982 1503","7793","","FY2015 SAP Annual Support Packs","Application of SAP Support Packs.","2014-10-01","2014-12-31","0.100000","0","0.00","Green","0.000000","0.00","Green","2013-12-23","10:39:03"
"019-000000971","579","019","Department of Energy","EM RL - BMS Site Wide Business Management System","10","2923","","FY2012 HCM PeopleSopft People tools upgrade","Maintenance upgrade required to maintain vendor supported application.","2011-01-02","2012-03-30","0.050000","64","72.73","Red","0.020000","40.00","Red","2013-09-12","10:03:32"
"019-000000976","580","019","Department of Energy","EM RL - Records Management","01","1441","","Electronic medical Record (EMR) system implementation","Implementing  complient records mangement system that will enable process automation and capture of electronic medical records.","2010-10-01","2012-09-30","0.125000","0","0.00","Green","0.000000","0.00","Green","2013-02-28","10:50:26"
"019-000000976","580","019","Department of Energy","EM RL - Records Management","02","1442","","Maintnance of systems used for medical records","This is maintnance cost associated with systems that are used for processing medical records at the Hanford site.","2011-10-01","2012-09-30","0.033600","0","0.00","Green","0.000000","0.00","Green","2013-02-28","10:50:26"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","8932040105","1446","","Maintenance and Production Support - FY 2012","Maintain system with current COTs schedule.  Retiresystems not in alignment with Federal Engerprise Architecture (FES).  Cyber security upgrades.  Maintain system functionality consistent with industry.","2011-10-01","2012-09-30","9.538389","0","0.00","Green","-0.353629","-3.71","Green","2013-02-28","11:14:45"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","893206","1448","","Apply Oracle security Patches and COTs application patches - FY 2012","CYber Security Upgrades.","2011-10-01","2012-09-30","0.060000","0","0.00","Green","0.008382","13.97","Yellow","2013-02-28","11:14:45"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320402","5199","","Maintenance and Production Support - FY 2013","Maintain system with current COTs schedule.  Maintain system functionality consistent with industry.","2012-10-01","2013-09-30","5.023670","0","0.00","Green","0.181699","3.62","Green","2013-10-30","09:48:55"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","893207","5203","","Apply Oracle security patches and COTs application patches - FY 2013","Cyber Security Upgrades.","2012-10-01","2013-09-30","0.616521","0","0.00","Green","-0.020402","-3.31","Green","2013-10-30","09:48:55"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320404","7641","","Apply PeopleSoft Patches - FY 2014","Maintain system with current COTs schedule.  Maintain system functionality consistent with industry.","2013-10-01","2014-06-30","0.605000","0","0.00","Green","-0.016192","-14.92","Yellow","2014-05-30","07:49:39"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320405","7643","","Apply Oracle security patches - FY 2014","Cyber Security Upgrades.","2013-10-01","2014-09-30","0.060000","0","0.00","Green","-0.012403","-28.84","Yellow","2014-05-30","07:49:39"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320407","7647","","OBIEE Enhancement to Support eReporting- FY 2014","Enhance the OBIEE Comprehensive model so that business reporting is more efficient.","2013-10-01","2014-09-30","1.400000","0","0.00","Green","-0.000183","-0.01","Green","2014-05-30","07:49:39"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320408","7649","","Apply PeopleSoft Patches - FY 2015","Maintain system with current COTs schedule.  Maintain system functionality consistent with industry.","2015-01-01","2015-06-30","0.635000","0","0.00","Green","0.000000","0.00","Green","2013-09-10","11:44:54"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320409","7651","","Apply Oracle security patches - FY 2015","Cyber Security Upgrades.","2014-10-01","2015-09-30","0.070000","-30","-8.24","Green","0.000000","0.00","Green","2013-09-10","11:44:54"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320410","7653","","Implement additional PeopleSoft Supply Chain module functionality - FY 2015","Use existing COTS functionality consistence with industry.","2014-10-01","2015-09-30","0.405000","0","0.00","Green","0.000000","0.00","Green","2013-09-10","11:44:54"
"019-000001122","583","019","Department of Energy","EM SR SRNS (89.32.04.01.05) Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business, Financial, and Administrative Systems)","89320411","7655","","OBIEE Enhancement to Support eReporting- FY 2015","Develop Standard Report that leverage industry best practices.","2014-10-01","2015-09-30","0.870000","0","0.00","Green","0.000000","0.00","Green","2013-09-10","11:44:54"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","EI","1423","","EIA ICAM Implementation","ICAM Implementation at EIA.","2012-01-01","2012-03-01","0.004100","0","0.00","Green","0.000000","0.00","Green","2014-04-30","12:13:11"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","HQ-LACS","1425","","DOECOE LACS implementation","DOECOE LACS Implementation.","2011-10-03","2012-12-31","0.168520","46","10.11","Yellow","0.000000","0.00","Green","2014-04-30","12:13:11"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","HQ-PKI","1426","","HQ-PKI","Headquarters Public Key Infrastructure.","2011-10-03","2012-09-28","0.100000","0","0.00","Green","0.000000","0.00","Green","2013-07-30","15:46:35"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","SC-1","1427","","Back End Infrastructure","Backend Infrastructure.","2011-10-01","2012-09-30","0.248000","0","0.00","Green","0.000000","0.00","Green","2013-07-30","15:46:35"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","SC-2","1428","","SC Card Issuance and Maintenance","Card Issuance and Maintenance.","2011-10-01","2012-09-30","0.050000","0","0.00","Green","0.001346","2.69","Green","2013-07-30","15:46:35"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","SC-3","1429","","SC Logical Access Controls Systems","Logical Access Controls Systems.","2011-10-01","2012-09-30","0.330000","0","0.00","Green","0.000000","0.00","Green","2013-07-30","15:46:35"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","SC-4","1430","","SC Physical Security Access Controls Systems","Physical Security Acess Controls Systems.","2011-10-01","2012-09-30","0.020000","0","0.00","Green","0.000000","0.00","Green","2013-07-30","15:46:35"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","W1-1-1","5149","","Phase 1 Governance","Facilitate Collaboration and Cooperation between all Program Office ICAM Activities. Provide coherent governance for the DOE ICAM Initiative.","2012-10-01","2014-03-31","0.483000","0","0.00","Green","0.000000","0.00","Green","2014-04-30","12:13:11"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","W1-1-4","5157","","Modernize Credential Validation Service","Establish Credential Validation Service &amp; Data repository.","2012-10-01","2012-11-28","0.250000","0","0.00","Green","0.000000","0.00","Green","2013-10-30","11:13:37"
"019-000000134","1075","019","Department of Energy","Identity, Credential, and Access Management (ICAM)","W1-1-7","5161","","Implement LACS: Networks","Enable network logon at HQ.","2012-10-01","2012-12-31","0.500000","0","0.00","Green","0.000000","0.00","Green","2013-10-30","11:13:35"
