Unique Investment Identifier,Business Case Id,Performance Metric Id,Agency Performance Metric Id,Performance Metric Actual Id,Agency Performance Metric Actual Id,Actual Result,Actual Result Met/Not Met,Actual Result Comment,Actual Result Date,Updated Date,Updated Time
"005-000001430","248","2918","","14673","","99.800000","Met","Updated for April actuals.","","05/31/2012","17:22:05"
"005-000001430","248","2918","","14761","","99.800000","Met","Updated for April actuals.","","05/31/2012","18:22:47"
"005-000001430","248","2918","","14825","","99.800000","Met","Updated for April actuals.","","05/31/2012","18:39:58"
"005-000001430","248","2918","","18335","","99.500000","Met","Updated for May actuals.","","06/30/2012","17:58:39"
"005-000001430","248","2918","","18445","","99.500000","Met","Updated for May actuals.","","06/30/2012","18:27:14"
"005-000001430","248","2918","","18563","","99.500000","Met","Updated for May actuals.","","06/30/2012","18:33:30"
"005-000001430","248","2918","","22265","","99.500000","Met","Updated for June actuals.","","08/01/2012","16:23:45"
"005-000001430","248","2918","","22367","","99.500000","Met","Updated for June actuals.","","08/01/2012","16:35:53"
"005-000001430","248","2918","","32399","","99.900000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:46:04"
"005-000001430","248","2918","","32401","","99.900000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:04"
"005-000001430","248","2918","","32503","","99.900000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:57:40"
"005-000001430","248","2918","","32505","","99.900000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:40"
"005-000001430","248","2918","","37771","","100.000000","Met","Updated with November actual results.","2012-11-30","12/28/2012","15:15:03"
"005-000001430","248","2918","","42041","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:06"
"005-000001430","248","2918","","42043","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:06"
"005-000001430","248","2918","","42167","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:39"
"005-000001430","248","2918","","42169","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:39"
"005-000001430","248","2918","","42331","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:00"
"005-000001430","248","2918","","42333","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:00"
"005-000001430","248","2918","","45231","","100.000000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:39:23"
"005-000001430","248","2918","","46879","","99.700000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:57"
"005-000001430","248","2918","","51963","","99.900000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:47"
"005-000001430","248","2918","","56721","","99.900000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:02"
"005-000001430","248","2918","","57989","","100.000000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:53"
"005-000001430","248","2918","","59651","","100.000000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:09"
"005-000001430","248","2918","","62093","","99.900000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:11"
"005-000001430","248","2919","","3001","","99.200000","Met","Updated for March actuals.","","04/30/2012","14:15:24"
"005-000001430","248","2919","","14677","","99.890000","Met","Updated for April actuals.","","05/31/2012","17:22:05"
"005-000001430","248","2919","","14759","","99.890000","Met","Updated for April actuals.","","05/31/2012","18:22:47"
"005-000001430","248","2919","","14819","","99.890000","Met","Updated for April actuals.","","05/31/2012","18:39:58"
"005-000001430","248","2919","","18343","","99.700000","Met","Updated for May actuals.","","06/30/2012","17:58:39"
"005-000001430","248","2919","","18447","","99.700000","Met","Updated for May actuals.","","06/30/2012","18:27:14"
"005-000001430","248","2919","","18559","","99.700000","Met","Updated for May actuals.","","06/30/2012","18:33:30"
"005-000001430","248","2919","","22259","","99.900000","Met","Updated for June actuals.","","08/01/2012","16:23:45"
"005-000001430","248","2919","","22373","","99.900000","Met","Updated for June actuals.","","08/01/2012","16:35:53"
"005-000001430","248","2919","","32381","","100.000000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:46:04"
"005-000001430","248","2919","","32383","","99.900000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:04"
"005-000001430","248","2919","","32485","","100.000000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:57:40"
"005-000001430","248","2919","","32487","","99.900000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:40"
"005-000001430","248","2919","","37767","","100.000000","Met","Updated with November actual results.","2012-11-30","12/28/2012","15:15:03"
"005-000001430","248","2919","","42027","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:06"
"005-000001430","248","2919","","42029","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:06"
"005-000001430","248","2919","","42151","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:39"
"005-000001430","248","2919","","42153","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:39"
"005-000001430","248","2919","","42323","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:00"
"005-000001430","248","2919","","42325","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:00"
"005-000001430","248","2919","","45221","","99.900000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:39:23"
"005-000001430","248","2919","","46869","","99.200000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:56"
"005-000001430","248","2919","","51971","","99.600000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:47"
"005-000001430","248","2919","","56725","","100.000000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:02"
"005-000001430","248","2919","","57990","","99.900000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:53"
"005-000001430","248","2919","","59650","","99.900000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:09"
"005-000001430","248","2919","","62095","","100.000000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:11"
"005-000001430","248","2920","","3007","","99.000000","Met","Updated for March actuals.","","04/30/2012","14:15:24"
"005-000001430","248","2920","","14671","","99.300000","Met","Updated for April actuals.","","05/31/2012","17:22:05"
"005-000001430","248","2920","","14765","","99.300000","Met","Updated for April actuals.","","05/31/2012","18:22:48"
"005-000001430","248","2920","","14821","","99.300000","Met","Updated for April actuals.","","05/31/2012","18:39:58"
"005-000001430","248","2920","","18341","","98.300000","Met","Updated for May actuals.","","06/30/2012","17:58:39"
"005-000001430","248","2920","","18453","","98.300000","Met","Updated for May actuals.","","06/30/2012","18:27:14"
"005-000001430","248","2920","","18565","","98.300000","Met","Updated for May actuals.","","06/30/2012","18:33:30"
"005-000001430","248","2920","","22261","","99.100000","Met","Updated for June actuals.","","08/01/2012","16:23:45"
"005-000001430","248","2920","","22369","","99.100000","Met","Updated for June actuals.","","08/01/2012","16:35:53"
"005-000001430","248","2920","","32393","","99.700000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:46:04"
"005-000001430","248","2920","","32395","","99.500000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:04"
"005-000001430","248","2920","","32489","","99.700000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:57:40"
"005-000001430","248","2920","","32491","","99.500000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:40"
"005-000001430","248","2920","","37769","","99.500000","Met","Updated with November actual results.","2012-11-30","12/28/2012","15:15:03"
"005-000001430","248","2920","","42037","","99.400000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:06"
"005-000001430","248","2920","","42039","","99.500000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:06"
"005-000001430","248","2920","","42163","","99.400000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:39"
"005-000001430","248","2920","","42165","","99.500000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:39"
"005-000001430","248","2920","","42327","","99.400000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:00"
"005-000001430","248","2920","","42329","","99.500000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:00"
"005-000001430","248","2920","","45223","","99.800000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:39:23"
"005-000001430","248","2920","","46873","","99.500000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:56"
"005-000001430","248","2920","","51965","","98.900000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:47"
"005-000001430","248","2920","","56717","","99.300000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:02"
"005-000001430","248","2920","","57991","","99.000000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:53"
"005-000001430","248","2920","","59654","","99.400000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:09"
"005-000001430","248","2920","","62097","","98.500000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:11"
"005-000001430","248","2921","","3003","","100.000000","Met","Updated for March actuals.","","02/28/2012","13:27:33"
"005-000001430","248","2921","","14679","","100.000000","Met","Updated for April actuals.","","05/31/2012","17:22:05"
"005-000001430","248","2921","","14767","","100.000000","Met","Updated for April actuals.","","05/31/2012","18:22:48"
"005-000001430","248","2921","","14823","","100.000000","Met","Updated for April actuals.","","05/31/2012","18:39:58"
"005-000001430","248","2921","","18333","","100.000000","Met","Updated for May actuals.","","06/30/2012","17:58:39"
"005-000001430","248","2921","","18455","","100.000000","Met","Updated for May actuals.","","06/30/2012","18:27:14"
"005-000001430","248","2921","","18561","","100.000000","Met","Updated for May actuals.","","06/30/2012","18:33:30"
"005-000001430","248","2921","","22267","","100.000000","Met","Updated for June actuals.","","08/01/2012","16:23:45"
"005-000001430","248","2921","","22371","","100.000000","Met","Updated for June actuals.","","08/01/2012","16:35:53"
"005-000001430","248","2921","","32385","","100.000000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:46:04"
"005-000001430","248","2921","","32387","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:04"
"005-000001430","248","2921","","32499","","100.000000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:57:40"
"005-000001430","248","2921","","32501","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:40"
"005-000001430","248","2921","","42045","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:06"
"005-000001430","248","2921","","42171","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:39"
"005-000001430","248","2921","","42317","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:00"
"005-000001430","248","2921","","45217","","100.000000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:39:23"
"005-000001430","248","2921","","46865","","100.000000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:56"
"005-000001430","248","2921","","51967","","100.000000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:47"
"005-000001430","248","2921","","56715","","100.000000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:02"
"005-000001430","248","2921","","57987","","100.000000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:53"
"005-000001430","248","2921","","59649","","100.000000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:09"
"005-000001430","248","2921","","62099","","100.000000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:11"
"005-000001430","248","2922","","3009","","100.000000","Met","Updated for March actuals.","","02/28/2012","13:27:33"
"005-000001430","248","2922","","14681","","99.300000","Met","Updated for April actuals.","","05/31/2012","17:22:05"
"005-000001430","248","2922","","14769","","99.300000","Met","Updated for April actuals.","","05/31/2012","18:22:48"
"005-000001430","248","2922","","14827","","99.300000","Met","Updated for April actuals.","","05/31/2012","18:39:58"
"005-000001430","248","2922","","18339","","100.000000","Met","Updated for May actuals.","","06/30/2012","17:58:39"
"005-000001430","248","2922","","18449","","100.000000","Met","Updated for May actuals.","","06/30/2012","18:27:14"
"005-000001430","248","2922","","18567","","100.000000","Met","Updated for May actuals.","","06/30/2012","18:33:30"
"005-000001430","248","2922","","22271","","100.000000","Met","Updated for June actuals.","","08/01/2012","16:23:45"
"005-000001430","248","2922","","22377","","100.000000","Met","Updated for June actuals.","","08/01/2012","16:35:53"
"005-000001430","248","2922","","32397","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:04"
"005-000001430","248","2922","","32507","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:40"
"005-000001430","248","2922","","37761","","100.000000","Met","Updated with November actual results.","2012-11-30","12/28/2012","15:15:03"
"005-000001430","248","2922","","42051","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:06"
"005-000001430","248","2922","","42053","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:06"
"005-000001430","248","2922","","42181","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:39"
"005-000001430","248","2922","","42183","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:39"
"005-000001430","248","2922","","42319","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:00"
"005-000001430","248","2922","","42321","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:00"
"005-000001430","248","2922","","45219","","100.000000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:39:23"
"005-000001430","248","2922","","46871","","99.300000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:56"
"005-000001430","248","2922","","51959","","100.000000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:47"
"005-000001430","248","2922","","56723","","99.200000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:02"
"005-000001430","248","2922","","57988","","100.000000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:53"
"005-000001430","248","2922","","59652","","100.000000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:09"
"005-000001430","248","2922","","62101","","100.000000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:11"
"005-000001430","248","2923","","3011","","100.000000","Met","Updated for March actuals.","","02/28/2012","13:27:33"
"005-000001430","248","2923","","14683","","100.000000","Met","Updated for April actuals.","","05/31/2012","17:22:05"
"005-000001430","248","2923","","14773","","100.000000","Met","Updated for April actuals.","","05/31/2012","18:22:48"
"005-000001430","248","2923","","14829","","100.000000","Met","Updated for April actuals.","","05/31/2012","18:39:58"
"005-000001430","248","2923","","18345","","100.000000","Met","Updated for May actuals.","","06/30/2012","17:58:39"
"005-000001430","248","2923","","18457","","100.000000","Met","Updated for May actuals.","","06/30/2012","18:27:14"
"005-000001430","248","2923","","18557","","100.000000","Met","Updated for May actuals.","","06/30/2012","18:33:30"
"005-000001430","248","2923","","22269","","100.000000","Met","Updated for June actuals.","","08/01/2012","16:23:45"
"005-000001430","248","2923","","22379","","100.000000","Met","Updated for June actuals.","","08/01/2012","16:35:53"
"005-000001430","248","2923","","32403","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:04"
"005-000001430","248","2923","","32493","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:40"
"005-000001430","248","2923","","37773","","100.000000","Met","Updated with November actual results.","2012-11-30","12/28/2012","15:15:03"
"005-000001430","248","2923","","42047","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:06"
"005-000001430","248","2923","","42049","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:06"
"005-000001430","248","2923","","42173","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:39"
"005-000001430","248","2923","","42175","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:39"
"005-000001430","248","2923","","42341","","100.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:00"
"005-000001430","248","2923","","42343","","100.000000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:00"
"005-000001430","248","2923","","45227","","100.000000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:39:23"
"005-000001430","248","2923","","46867","","100.000000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:56"
"005-000001430","248","2923","","51969","","100.000000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:47"
"005-000001430","248","2923","","56729","","100.000000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:02"
"005-000001430","248","2923","","57994","","100.000000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:53"
"005-000001430","248","2923","","59656","","100.000000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:09"
"005-000001430","248","2923","","62103","","100.000000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:11"
"005-000001430","248","2924","","3013","","100.000000","Met","Updated for March actuals.","","02/28/2012","13:27:33"
"005-000001430","248","2924","","14685","","100.000000","Met","Updated for April actuals.","","05/31/2012","17:22:05"
"005-000001430","248","2924","","14771","","100.000000","Met","Updated for April actuals.","","05/31/2012","18:22:48"
"005-000001430","248","2924","","14831","","100.000000","Met","Updated for April actuals.","","05/31/2012","18:39:58"
"005-000001430","248","2924","","15145","","100.000000","Met","Updated for April actuals.","","06/01/2012","14:44:52"
"005-000001430","248","2924","","18347","","99.900000","Met","Updated for May actuals.","","06/30/2012","17:58:39"
"005-000001430","248","2924","","18459","","99.900000","Met","Updated for May actuals.","","06/30/2012","18:27:14"
"005-000001430","248","2924","","18569","","99.900000","Met","Updated for May actuals.","","06/30/2012","18:33:30"
"005-000001430","248","2924","","22273","","99.900000","Met","Updated for June actuals.","","08/01/2012","16:23:45"
"005-000001430","248","2924","","22381","","99.900000","Met","Updated for June actuals.","","08/01/2012","16:35:53"
"005-000001430","248","2924","","22459","","99.900000","Met","Updated for June actuals.","","08/01/2012","18:32:27"
"005-000001430","248","2924","","32379","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:04"
"005-000001430","248","2924","","32509","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:40"
"005-000001430","248","2924","","37775","","99.700000","Met","Updated with November actual results.","2012-11-30","12/28/2012","15:15:03"
"005-000001430","248","2924","","42055","","99.700000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:06"
"005-000001430","248","2924","","42057","","99.700000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:06"
"005-000001430","248","2924","","42177","","99.700000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:39"
"005-000001430","248","2924","","42179","","99.700000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:39"
"005-000001430","248","2924","","42345","","99.700000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:00"
"005-000001430","248","2924","","42347","","99.700000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:00"
"005-000001430","248","2924","","45225","","99.500000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:39:23"
"005-000001430","248","2924","","46877","","99.800000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:57"
"005-000001430","248","2924","","51961","","99.900000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:47"
"005-000001430","248","2924","","56719","","99.900000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:02"
"005-000001430","248","2924","","57992","","99.700000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:53"
"005-000001430","248","2924","","59655","","99.300000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:09"
"005-000001430","248","2924","","62105","","99.400000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:11"
"005-000000063","249","2859","","6083","","1.000000","Met","Numbers are within Departmental thresholds.","","02/28/2012","13:27:45"
"005-000000063","249","2859","","14687","","0.970000","Met","Numbers are within Departmental thresholds.","","05/31/2012","17:22:09"
"005-000000063","249","2859","","14775","","0.970000","Met","Numbers are within Departmental thresholds.","","05/31/2012","18:22:52"
"005-000000063","249","2859","","14833","","0.970000","Met","Numbers are within Departmental thresholds.","","05/31/2012","18:40:02"
"005-000000063","249","2859","","18351","","1.000000","Met","Numbers are within Departmental thresholds.","","06/30/2012","17:58:43"
"005-000000063","249","2859","","18461","","1.000000","Met","Numbers are within Departmental thresholds.","","06/30/2012","18:27:18"
"005-000000063","249","2859","","18571","","1.000000","Met","Numbers are within Departmental thresholds.","","06/30/2012","18:33:34"
"005-000000063","249","2859","","22383","","0.930000","Met","Numbers are within Departmental thresholds.","","08/01/2012","16:35:57"
"005-000000063","249","2859","","30921","","0.980000","Met","Updated with September actual results.","2012-10-05","11/01/2012","16:45:20"
"005-000000063","249","2859","","32421","","0.970000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:46:10"
"005-000000063","249","2859","","32423","","0.980000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:10"
"005-000000063","249","2859","","32529","","0.970000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:57:47"
"005-000000063","249","2859","","32531","","0.980000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:47"
"005-000000063","249","2859","","38013","","0.970000","Met","Updated with November actual results.","2012-11-30","12/31/2012","10:01:07"
"005-000000063","249","2859","","42067","","0.990000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:15"
"005-000000063","249","2859","","42069","","0.970000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:15"
"005-000000063","249","2859","","42211","","0.990000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:47"
"005-000000063","249","2859","","42213","","0.970000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:47"
"005-000000063","249","2859","","42365","","0.990000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:08"
"005-000000063","249","2859","","42367","","0.970000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:08"
"005-000000063","249","2859","","45245","","0.990000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:44:19"
"005-000000063","249","2859","","46893","","0.990000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:58"
"005-000000063","249","2859","","51987","","0.980000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:49"
"005-000000063","249","2859","","56745","","0.990000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:14"
"005-000000063","249","2859","","58006","","0.980000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:54"
"005-000000063","249","2859","","59670","","0.980000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:11"
"005-000000063","249","2859","","62107","","0.980000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:20"
"005-000000063","249","2860","","6085","","0.960000","Met","Numbers are within Departmental thresholds.","","02/28/2012","13:27:45"
"005-000000063","249","2860","","18349","","1.000000","Met","Numbers are within Departmental thresholds.","","06/30/2012","17:58:43"
"005-000000063","249","2860","","18463","","1.000000","Met","Numbers are within Departmental thresholds.","","06/30/2012","18:27:18"
"005-000000063","249","2860","","18573","","1.000000","Met","Numbers are within Departmental thresholds.","","06/30/2012","18:33:34"
"005-000000063","249","2860","","22385","","0.910000","Met","Numbers are within Departmental thresholds.","","08/01/2012","16:35:57"
"005-000000063","249","2860","","30923","","0.940000","Met","Updated with September actual results.","2012-10-05","11/01/2012","16:45:20"
"005-000000063","249","2860","","32409","","0.980000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:46:10"
"005-000000063","249","2860","","32411","","0.940000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:10"
"005-000000063","249","2860","","32521","","0.980000","Met","Updated with October actual results.","2012-10-31","11/27/2012","17:57:47"
"005-000000063","249","2860","","32523","","0.940000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:47"
"005-000000063","249","2860","","38015","","0.930000","Met","Updated with November actual results.","2012-11-30","12/31/2012","10:01:07"
"005-000000063","249","2860","","42063","","0.980000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:15"
"005-000000063","249","2860","","42065","","0.930000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:15"
"005-000000063","249","2860","","42203","","0.980000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:47"
"005-000000063","249","2860","","42205","","0.930000","Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:47"
"005-000000063","249","2860","","42369","","0.980000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:08"
"005-000000063","249","2860","","42371","","0.930000","Met","Updated with November actual results.","2012-11-30","01/31/2013","18:06:08"
"005-000000063","249","2860","","45247","","0.980000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:44:19"
"005-000000063","249","2860","","46897","","0.980000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:58"
"005-000000063","249","2860","","51993","","0.980000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:49"
"005-000000063","249","2860","","56743","","0.980000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:14"
"005-000000063","249","2860","","58004","","0.990000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:54"
"005-000000063","249","2860","","59668","","0.970000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:11"
"005-000000063","249","2860","","62109","","0.970000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:20"
"005-000000063","249","2861","","6087","","100.000000","Met","All business cycle due dates were met within legal timeframes.","","02/28/2012","13:27:45"
"005-000000063","249","2861","","30925","","100.000000","Met","Updated with September actual results.","2012-10-05","11/01/2012","16:45:20"
"005-000000063","249","2861","","32405","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:46:10"
"005-000000063","249","2861","","32537","","100.000000","Met","Updated with September actual results.","2012-10-05","11/27/2012","17:57:47"
"005-000000063","249","2861","","45235","","100.000000","Met","Updated with January actual results.","2013-01-31","02/28/2013","13:44:19"
"005-000000063","249","2861","","46881","","100.000000","Met","Updated with February actual results.","2013-02-28","03/25/2013","14:09:58"
"005-000000063","249","2861","","51983","","100.000000","Met","Updated with March actual results.","2013-03-31","04/26/2013","16:17:49"
"005-000000063","249","2861","","56733","","100.000000","Met","Updated with April actual results.","2013-04-30","05/29/2013","17:57:14"
"005-000000063","249","2861","","57995","","100.000000","Met","Updated with May actual results.","2013-05-31","06/25/2013","16:23:54"
"005-000000063","249","2861","","59657","","100.000000","Met","Updated with June actual results.","2013-06-30","07/23/2013","16:23:11"
"005-000000063","249","2861","","62111","","100.000000","Met","Updated with July actual results.","2013-07-31","08/21/2013","11:15:20"
"005-000000063","249","2862","","6089","","64.000000","Not Met","0 indicates goal did not exist for the PY","","03/30/2012","10:09:40"
"005-000000063","249","2862","","30927","","48.000000","Not Met","Updated with September actual results.","2012-09-30","11/01/2012","16:45:20"
"005-000000063","249","2862","","32427","","52.000000","Not Met","Updated with October actual results.","2012-10-31","11/27/2012","17:46:10"
"005-000000063","249","2862","","32429","","48.000000","Not Met","Updated with September actual results.","2012-09-30","11/27/2012","17:46:10"
"005-000000063","249","2862","","32517","","52.000000","Not Met","Updated with October actual results.","2012-10-31","11/27/2012","17:57:47"
"005-000000063","249","2862","","32519","","48.000000","Not Met","Updated with September actual results.","2012-09-30","11/27/2012","17:57:47"
"005-000000063","249","2862","","38017","","66.000000","Not Met","Updated with November actual results.","2012-11-30","12/31/2012","10:01:07"
"005-000000063","249","2862","","42071","","75.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:24:15"
"005-000000063","249","2862","","42073","","66.000000","Not Met","Updated with November actual results.","2012-11-30","01/31/2013","17:24:15"
"005-000000063","249","2862","","42185","","75.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","17:30:47"
"005-000000063","249","2862","","42187","","66.000000","Not Met","Updated with November actual results.","2012-11-30","01/31/2013","17:30:47"
"005-000000063","249","2862","","42357","","75.000000","Met","Updated with December actual results.","2012-12-31","01/31/2013","18:06:08"
