Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Target 2012,Target 2013,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Result Met/Not Met,Latest Actual Result Comment,Latest Actual Result Date,Metric Updated Date,Metric Updated Time
"009-000201062","276","009","Department of Health and Human Services","CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems","3521","291723","percent of time the system is available (excluding planned outages)","percent","215-Technology - Reliability and Availability","99.000000","99.000000","Over target","Monthly","","61747","291723-20130701","99.000000","Met","","2013-07-01","08/06/2013","10:24:23"
"009-000201062","276","009","Department of Health and Human Services","CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems","3522","291731","Helpdesk tickets not resolved within 10 days","number","204-Process and Activities - Quality","35.000000","35.000000","Under target","Quarterly","","55895","291731-20130505","10.000000","Met","from the BCSSI helpdesk","2013-05-05","08/06/2013","10:24:23"
"009-000001472","279","009","Department of Health and Human Services","CMS Integrated Data Repository (IDR)","3425","289377","Part B Payment Grade validation ","Percentage","111-Customer Results - Customer Benefit","93.000000","93.000000","Over target","Monthly","","63309","289377-20130819","93.000000","Met","","2013-08-19","08/29/2013","09:36:02"
"009-000001472","279","009","Department of Health and Human Services","CMS Integrated Data Repository (IDR)","3426","289378","Percentage of time warehouse is up and operational for users between 6am and 6pm while providing for timely loading of data between 6pm and 6am","Percentage","215-Technology - Reliability and Availability","96.000000","96.000000","Over target","Monthly","","63311","289378-20130819","96.000000","Met","","2013-08-19","08/29/2013","09:36:02"
"009-000001472","279","009","Department of Health and Human Services","CMS Integrated Data Repository (IDR)","3427","289379","Increase the total number of submitted queries over the next 12 months","Number","111-Customer Results - Customer Benefit","70.000000","70.000000","Over target","Semi-Annual","","58882","289379-20130617","71.710000","Met","","2013-06-17","08/29/2013","09:36:02"
"009-000001472","279","009","Department of Health and Human Services","CMS Integrated Data Repository (IDR)","3428","289380","Increase the total number of IDR based applications over the next 12 months","Number","111-Customer Results - Customer Benefit","60.000000","60.000000","Over target","Semi-Annual","","58883","289380-20130617","61.000000","Met","","2013-06-17","08/29/2013","09:36:02"
"009-000001472","279","009","Department of Health and Human Services","CMS Integrated Data Repository (IDR)","3429","289385","Percent of available Part A, Part B and Part D data loaded into the IDR","Percentage","202-Process and Activities - Productivity","70.000000","70.000000","Over target","Semi-Annual","","58884","289385-20130617","71.000000","Met","","2013-06-17","08/29/2013","09:36:02"
"009-000001472","279","009","Department of Health and Human Services","CMS Integrated Data Repository (IDR)","3430","294952","Increase IDR user base over the next 12 months","number","202-Process and Activities - Productivity","60.000000","60.000000","Over target","Semi-Annual","","58885","294952-20130617","61.000000","Met","","2013-06-17","08/29/2013","09:36:02"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","3274","295834","Improve system performance to increase the number of concurrent users","number of concurrent users ","113-Customer Results - Timeliness and Responsiveness","200.000000","200.000000","Over target","Monthly","","61594","295834-20130703","260.000000","Met","","2013-07-03","08/01/2013","14:57:09"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","3275","295835","Percent of large organizations using batch process to upload ","%","213-Technology - Efficiency","50.000000","50.000000","Under target","Quarterly","","61595","295835-20130703","85.000000","Not Met","","2013-07-03","08/01/2013","14:57:09"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","3276","295891","Increase in the number of users who submit the 270/271  request","number of users","213-Technology - Efficiency","20.000000","20.000000","Under target","Quarterly","","61596","295891-20130703","9.000000","Met","","2013-07-03","08/01/2013","14:57:09"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","3277","295901","Percentage of time system is available during normal busy hours","%","215-Technology - Reliability and Availability","60.000000","60.000000","Over target","Quarterly","","61597","295901-20130703","100.000000","Met","","2013-07-03","08/01/2013","14:57:09"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","3278","295902","Percentage of web applications that require manual intervention","%","204-Process and Activities - Quality","40.000000","40.000000","Under target","Quarterly","","61598","295902-20130703","100.000000","Not Met","","2013-07-03","08/01/2013","14:57:09"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","3279","295911","Quality of products and services provided as indicated by number of problems reported post production.","Number ","114-Customer Results - Service Quality","70.000000","70.000000","Over target","Quarterly","","61599","295911-20130703","98.000000","Met","","2013-07-03","08/01/2013","14:57:09"
"009-000004414","280","009","Department of Health and Human Services","CMS Interoperability & Standardization - Claims","3280","297346","Error Rate as shown on monthly report","%","204-Process and Activities - Quality","4.000000","4.000000","Under target","Monthly","","61600","297346-20130703","0.000000","Met","","2013-07-03","08/01/2013","14:57:09"
"009-000004611","281","009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)","3288","294905","Reduce time for Medicare Contractors to process enrollments through the automation of Application Fee payment process","number of days","203-Process and Activities - Cycle Time and Timeliness","2.000000","1.900000","Under target","Semi-Annual","","59330","294905-20130708","1.500000","Met","With Pay.gov implementation, cycle time has reduced to 1 day in most cases","2013-07-08","08/29/2013","09:36:45"
"009-000004611","281","009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)","3291","294908","Improve system performance to increase the number of concurrent users","number of concurrent users ","113-Customer Results - Timeliness and Responsiveness","1600.000000","1700.000000","Over target","Quarterly","","59331","294908-20130708","1700.000000","Met","","2013-07-08","08/29/2013","09:36:45"
"009-000004611","281","009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)","3292","294909","Percentage of enrollments processed electronically (rather than on paper)","%","101-Mission and Business Results - Services for Citizens","20.000000","25.000000","Over target","Quarterly","","59332","294909-20130624","29.000000","Met","","2013-06-24","08/29/2013","09:36:45"
"009-000004611","281","009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)","7840","325631","Percentage of system availablity during reporting period.","%","215-Technology - Reliability and Availability","99.000000","100.000000","Over target","Monthly","","63347","325631-20130805","100.000000","Met","","2013-08-05","08/29/2013","09:36:45"
"009-000004611","281","009","Department of Health and Human Services","CMS Interoperability & Standardization - Provider Enrollment (PECOS)","7841","325632","Average answer delay of External User Services (EUS)  ","minutes","203-Process and Activities - Cycle Time and Timeliness","8.000000","7.000000","Under target","Semi-Annual","","59329","325632-20130514","7.500000","Not Met","","2013-05-14","08/29/2013","09:36:45"
"009-000006265","283","009","Department of Health and Human Services","CMS IT Infrastructure - Ongoing","3315","285030","Percentage of time when a call reaches the service desk queue and the time an agent begins service by improving efficiency.","Percentage","111-Customer Results - Customer Benefit","95.000000","95.000000","Over target","Quarterly","","57339","285030-20130430","84.340000","Not Met","","2013-04-30","08/01/2013","14:57:16"
"009-000006265","283","009","Department of Health and Human Services","CMS IT Infrastructure - Ongoing","3316","285034","Percentage of mainframe jobs completed in accordance with required schedules.","Percentage","202-Process and Activities - Productivity","98.000000","90.000000","Over target","Quarterly","","57341","285034-20130430","100.000000","Met","","2013-04-30","08/01/2013","14:57:16"
"009-000006265","283","009","Department of Health and Human Services","CMS IT Infrastructure - Ongoing","3317","285036","Percentage of time data communications equipment and services are fully operational.","Percentage","215-Technology - Reliability and Availability","99.000000","98.000000","Over target","Quarterly","","57343","285036-20130430","100.000000","Met","","2013-04-30","08/01/2013","14:57:16"
"009-000006265","283","009","Department of Health and Human Services","CMS IT Infrastructure - Ongoing","3318","285413","Percentage of the total number of tickets resolved on the first call resolution.","Percentage","113-Customer Results - Timeliness and Responsiveness","61.000000","66.000000","Over target","Quarterly","","57345","285413-20130430","79.610000","Met","","2013-04-30","08/01/2013","14:57:16"
"009-000006265","283","009","Department of Health and Human Services","CMS IT Infrastructure - Ongoing","3319","289652","The end to end network time taken between Servers and the workstation to respond to/acknowledge a transaction.","Percentage","203-Process and Activities - Cycle Time and Timeliness","95.000000","95.000000","Over target","Monthly","","61629","289652-20130628","100.000000","Met","","2013-06-28","08/01/2013","14:57:16"
"009-000000714","284","009","Department of Health and Human Services","CMS Medicaid Data Systems","3146","291941","MBES accomplishing all System and Support Requirements within the proposed timeline","% of requirement completed in the timeline","203-Process and Activities - Cycle Time and Timeliness","100.000000","100.000000","Over target","Monthly","P43-009-040","61470","291941-20130710","100.000000","Met","","2013-07-10","08/01/2013","14:55:46"
"009-000000714","284","009","Department of Health and Human Services","CMS Medicaid Data Systems","3147","291942","MDR accomplishing all System and Support Requirements within the proposed timeline","% of requirement completed in the timeline","203-Process and Activities - Cycle Time and Timeliness","95.000000","96.000000","Over target","Monthly","P43-009-040","61471","291942-20130709","100.000000","Met","","2013-07-09","08/01/2013","14:55:46"
"009-000000714","284","009","Department of Health and Human Services","CMS Medicaid Data Systems","3148","291943","O&M Cost Variance (Allocated O&M-Actual O&M/Allocated O&M)","Percentage","103-Mission and Business Results - Management of Government Resources","0.000000","0.000000","Over target","Semi-Annual","P43-009-040","52277","291943-20130409","0.000000","Met","","2013-04-09","08/01/2013","14:55:46"
"009-000000714","284","009","Department of Health and Human Services","CMS Medicaid Data Systems","3149","291944","Percentage of work units processed (# processed/#submitted","Percentage","202-Process and Activities - Productivity","0.000000","100.000000","Under target","Semi-Annual","P43-009-040","52279","291944-20130409","100.000000","Met","","2013-04-09","08/01/2013","14:55:46"
"009-000000714","284","009","Department of Health and Human Services","CMS Medicaid Data Systems","3150","291945","MSIS Customer Satisfaction- Measures the percentage of files approved when first submitted","Percentage","114-Customer Results - Service Quality","70.000000","75.000000","Over target","Semi-Annual","P43-009-040","52281","291945-20130409","85.000000","Met","","2013-04-09","08/01/2013","14:55:46"
"009-000000714","284","009","Department of Health and Human Services","CMS Medicaid Data Systems","3151","291946","MSIS Customer satisfaction- Measures the average time it takes for a file to be approved","Average Number","115-Customer Results - Service Accessibility","162.000000","150.000000","Under target","Semi-Annual","P43-009-040","52283","291946-20130409","175.000000","Not Met","","2013-04-09","08/01/2013","14:55:46"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3451","299901","Percentage of time system is available for users (Excluding scheduled & unscheduled CMS infrastructure downtime.)","Percent","213-Technology - Efficiency","97.000000","97.000000","Over target","Monthly","","61740","299901-20130618","99.680000","Met","","2013-06-18","08/06/2013","10:24:22"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3452","299902","Number of high risk findings found during Security Assessment","Number of high risk findings","205-Process and Activities - Security and Privacy","0.000000","0.000000","Under target","Semi-Annual","","44717","299902-20130220","0.000000","Met","No high risk findings were found.  New report forthcoming.","2013-02-20","08/06/2013","10:24:22"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3453","299929","Percent of end user locations performing electronic document imaging","Percent","103-Mission and Business Results - Management of Government Resources","50.000000","95.000000","Over target","Semi-Annual","","44719","299929-20130220","75.000000","Not Met","","2013-02-20","08/06/2013","10:24:22"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3454","299941","Time taken to send Part A & B case files from Level 2 to Level 3","Number of days","103-Mission and Business Results - Management of Government Resources","0.000000","0.000000","Under target","Semi-Annual","","44721","299941-20130220","4.000000","Not Met","","2013-02-20","08/06/2013","10:24:22"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3455","299946","Percent of FFS, Medicare Advantage, and Part D appeal types included in system","Percent","103-Mission and Business Results - Management of Government Resources","100.000000","100.000000","Over target","Semi-Annual","","44723","299946-20130220","100.000000","Met","","2013-02-20","08/06/2013","10:24:22"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3456","300020","Adherence to budget/cost control discipline as measured by percent above/below planned budget","Percent","201-Process and Activities - Financial","10.000000","10.000000","Under target","Monthly","","61741","300020-20130618","10.000000","Met","","2013-06-18","08/06/2013","10:24:22"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3457","300021","Percentage of incidents that were closed timely and efficiently as a result of the MAS Support Desk interaction","Percent","113-Customer Results - Timeliness and Responsiveness","100.000000","100.000000","Over target","Monthly","","61742","300021-20130618","88.000000","Not Met","","2013-06-18","08/06/2013","10:24:22"
"009-000002454","285","009","Department of Health and Human Services","CMS Medicare Appeals System (MAS)","3458","300022","Accuracy and technical excellence of contract deliverables and reports based on monthly status report","Percent","206-Process and Activities - Management and Innovation","100.000000","100.000000","Over target","Monthly","","61743","300022-20130618","100.000000","Met","","2013-06-18","08/06/2013","10:24:22"
"009-000005234","287","009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System","3293","292461","Provide training to add additional users on the One PI System.","Number ","102-Mission and Business Results - Support Delivery of Services","150.000000","150.000000","Over target","Quarterly","","61604","292461-20130701","213.000000","Met","","2013-07-01","08/01/2013","14:57:10"
"009-000005234","287","009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System","3294","292462","The percentage of new and existing users who are satisfied to highly satisfied with the analytic capabilities of the system based on survey results.","Percent ","114-Customer Results - Service Quality","55.000000","55.000000","Over target","Semi-Annual","","58955","292462-20130529","82.000000","Met","Next survey will be conducted in November 2013.","2013-05-29","08/01/2013","14:57:10"
"009-000005234","287","009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System","3295","292463","Additional Data Sources into the IDR","Number ","214-Technology - Information and Data","2.000000","2.000000","Over target","Semi-Annual","","52607","292463-20130401","0.000000","Not Met","FISS BO is installed in production.  However, the actual data is not yet ready to populate in production, per the IDR dev team.  CNC data iss loaded into the One PI shareable data lab.  However, BO is not allowed to access that portion of the IDR.","2013-04-01","08/01/2013","14:57:10"
"009-000005234","287","009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System","3296","292464","The number of new COTS analytic tools available to end users","Number ","216-Technology - Effectiveness","3.000000","2.000000","Over target","Semi-Annual","","52609","292464-20130401","0.000000","Not Met","The STARS analytic tool integration with the One PI Home Page is currently on hold as STARS must resolve certain findings prior to full implementation into production.  The SAS EBI analytic tool integration is still in pilot status, and thus not yet available to One PI users.","2013-04-01","08/01/2013","14:57:10"
"009-000005234","287","009","Department of Health and Human Services","CMS Medicare Integrity Program Modernization-One PI System","3297","292465","System Availability and Performance based on SLA's and/or external measurement","Percent ","215-Technology - Reliability and Availability","85.000000","85.000000","Over target","Monthly","","61605","292465-20130701","99.250000","Met","Monthly metric for May 2013 is shown","2013-07-01","08/01/2013","14:57:10"
"009-000001902","289","009","Department of Health and Human Services","CMS Modernized IT Infrastructure","3226","286422","Percentage of all daily production batch cycles that complete within their scheduled timeframes. ","Percentage","215-Technology - Reliability and Availability","99.700000","99.700000","Over target","Monthly","","61548","286422-20130628","100.000000","Met","","2013-06-28","08/01/2013","14:57:05"
"009-000001902","289","009","Department of Health and Human Services","CMS Modernized IT Infrastructure","3227","286441","The average availability of an applicatoin hosted on mid-tier, mainframe, an d FFS platforms.","Percentage","215-Technology - Reliability and Availability","99.850000","99.700000","Over target","Monthly","","61549","286441-20130628","100.000000","Met","","2013-06-28","08/01/2013","14:57:05"
"009-000001902","289","009","Department of Health and Human Services","CMS Modernized IT Infrastructure","3228","286442","Percentage of availability of files and online regions by time of day and hours per month.","Percentage","215-Technology - Reliability and Availability","100.000000","98.800000","Over target","Monthly","","61550","286442-20130628","100.000000","Met","","2013-06-28","08/01/2013","14:57:05"
"009-000001902","289","009","Department of Health and Human Services","CMS Modernized IT Infrastructure","3229","286445","The average time to answer an inbound call or chat request at the EDC Help Desk.","Time in Seconds","113-Customer Results - Timeliness and Responsiveness","22.550000","45.000000","Under target","Monthly","","61552","286445-20130628","15.000000","Met","","2013-06-28","08/01/2013","14:57:05"
"009-000001902","289","009","Department of Health and Human Services","CMS Modernized IT Infrastructure","3230","286446","Percentage of change and problem tickets that are resolved without any further action required","Percentage","113-Customer Results - Timeliness and Responsiveness","99.140000","80.000000","Over target","Monthly","","61551","286446-20130628","100.000000","Met","","2013-06-28","08/01/2013","14:57:05"
"009-000004255","290","009","Department of Health and Human Services","CMS Part A Claims Processing","3241","288933","The Number of P1 & P2 issues post production ","Number","114-Customer Results - Service Quality","0.000000","0.000000","Under target","Quarterly","P44-009-037","55749","288933-20130508","0.000000","Met","Over target - identified eleven P2 issues","2013-05-08","08/01/2013","14:57:07"
"009-000004255","290","009","Department of Health and Human Services","CMS Part A Claims Processing","3242","288934","Accuracy and technical excellence of contract deliverables and reports based on monthly status report.","Percentage","206-Process and Activities - Management and Innovation","100.000000","100.000000","Over target","Monthly","P42-009-038","61567","288934-20130703","100.000000","Met","On target","2013-07-03","08/01/2013","14:57:07"
"009-000004255","290","009","Department of Health and Human Services","CMS Part A Claims Processing","3243","288935","The percentage of change requests delivered to BETA on schedule.","Percentage","203-Process and Activities - Cycle Time and Timeliness","100.000000","100.000000","Over target","Quarterly","P44-009-037","55753","288935-20130508","100.000000","Met","Under target","2013-05-08","08/01/2013","14:57:07"
"009-000004255","290","009","Department of Health and Human Services","CMS Part A Claims Processing","3244","288936","Adherence to budget / cost control discipline (as measured by percent above oe below planned budget)","Percentage","203-Process and Activities - Cycle Time and Timeliness","10.000000","10.000000","Under target","Monthly","P43-009-039","61568","288936-20130703","10.000000","Met","On target","2013-07-03","08/01/2013","14:57:07"
"009-000004255","290","009","Department of Health and Human Services","CMS Part A Claims Processing","3245","288937","The percentage of Incidents that were closed timely and efficiently as a result of one help desk interaction.","Percentage","113-Customer Results - Timeliness and Responsiveness","100.000000","100.000000","Over target","Quarterly","P44-009-038","55757","288937-20130508","100.000000","Met","On target","2013-05-08","08/01/2013","14:57:07"
"009-000004256","291","009","Department of Health and Human Services","CMS Part B Claims Processing","3246","288950","The Number of P1 & P2 issues post production","Number ","114-Customer Results - Service Quality","0.000000","0.000000","Under target","Quarterly","P44-009-037","55759","288950-20130508","1.000000","Not Met","Over target - identified one P2 issue","2013-05-08","08/01/2013","14:57:07"
"009-000004256","291","009","Department of Health and Human Services","CMS Part B Claims Processing","3247","288951","Accuracy and technical excellence of contract deliverables and reports based on monthly status report","Percentage","206-Process and Activities - Management and Innovation","100.000000","100.000000","Over target","Monthly","P41-009-037","61569","288951-20130703","100.000000","Met","On target","2013-07-03","08/01/2013","14:57:07"
"009-000004256","291","009","Department of Health and Human Services","CMS Part B Claims Processing","3248","288952","The percentage of change requests delivered to BETA on schedule","Percentage","203-Process and Activities - Cycle Time and Timeliness","100.000000","100.000000","Over target","Quarterly","P42-009-038","55763","288952-20130508","97.000000","Not Met","Under target","2013-05-08","08/01/2013","14:57:07"
"009-000004256","291","009","Department of Health and Human Services","CMS Part B Claims Processing","3249","288953","Adherence to budget / cost control discipline (as measured by percent above/below planned budget)","Percentage","201-Process and Activities - Financial","10.000000","10.000000","Under target","Monthly","P46-009-037","61570","288953-20130703","9.800000","Met","On target","2013-07-03","08/01/2013","14:57:07"
"009-000004256","291","009","Department of Health and Human Services","CMS Part B Claims Processing","3250","288954","The percentage of incidents that were closed timely and efficiently as a result of one help desk interaction","Percentage","113-Customer Results - Timeliness and Responsiveness","100.000000","100.000000","Over target","Quarterly","P44-009-041","55767","288954-20130508","99.000000","Not Met","Under target","2013-05-08","08/01/2013","14:57:07"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","3251","291140","Percentage of HPMS help desk inquiries completed within 24 hours","Percent","113-Customer Results - Timeliness and Responsiveness","95.000000","95.000000","Over target","Quarterly","","61571","291140-20130701","96.620000","Met","A total of 1287 out of 1341 help desk inquires resolved in 24 hours. ","2013-07-01","08/29/2013","09:36:25"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","3252","291143","Percentage of HPMS system availability during normal business hours (6 am - 10 pm EST, Monday-Friday) except for regularly scheduled maintenance periods","Percent","215-Technology - Reliability and Availability","95.000000","95.000000","Over target","Monthly","","63319","291143-20130801","99.770000","Met","Reflects last month's values.","2013-08-01","08/29/2013","09:36:25"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","3253","291146","Percentage of the time the monthly HPMS to OIS system feeds are delivered timely, according to production schedules. ","Percent","203-Process and Activities - Cycle Time and Timeliness","96.000000","92.000000","Over target","Monthly","","63321","291146-20130801","100.000000","Met"," All monthly files have been transferred successfully, to date. ","2013-08-01","08/29/2013","09:36:25"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","3254","291514","Percentage of satisfied users as captured in the HPMS satisfaction survey. ","Percent","113-Customer Results - Timeliness and Responsiveness","90.000000","80.000000","Over target","Annual","P42-009-037","61574","291514-20130621","80.980000","Met","Positive Experience = A rating of 4 or 5 for frequent users. 247 positive ratings out of 305 ratings received. ","2013-06-21","08/29/2013","09:36:25"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","3255","291517","Percentage of emergency database change requests (DB CRs) as an overall percentage of all database change requests (emergency, scheduled, and reoccurring).","Percent","203-Process and Activities - Cycle Time and Timeliness","30.000000","30.000000","Under target","Quarterly","","61575","291517-20130701","29.610000","Met","45 out of 152 total DBARs were emergency DBARs. ","2013-07-01","08/29/2013","09:36:25"
"009-000004258","293","009","Department of Health and Human Services","CMS Plan Enrollment (HPMS)","7891","328435","Percentage of contracts approved via HPMS in time for the annual election period.","Percent","203-Process and Activities - Cycle Time and Timeliness","","0.000000","Over target","Annual","P41-009-040","","","","","","","08/29/2013","09:36:25"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","3459","288843","Percentage of time that the RDS website is available to the public","percentage","113-Customer Results - Timeliness and Responsiveness","95.000000","95.000000","Over target","Semi-Annual","","46027","288843-20130311","95.000000","Met","","2013-03-11","08/01/2013","14:57:05"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","3460","288844","Number of interim payments requests processed in 30 days","number","113-Customer Results - Timeliness and Responsiveness","98.000000","98.000000","Over target","Monthly","","61553","288844-20130708","98.000000","Met","","2013-07-08","08/01/2013","14:57:05"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","3461","288857","Number of unmitigated high level system vulerabilites","number","215-Technology - Reliability and Availability","0.000000","0.000000","Over target","Monthly","","61554","288857-20130708","0.000000","Met","","2013-07-08","08/01/2013","14:57:05"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","3462","288858","Number of emergency system releases needed in CY","number","212-Technology - Quality Assurance","2.000000","2.000000","Under target","Semi-Annual","","46033","288858-20130311","2.000000","Met","","2013-03-11","08/01/2013","14:57:05"
"009-000002476","296","009","Department of Health and Human Services","CMS Retiree Drug Subsidy","3463","288859","Number of requests for additional funds","number","211-Technology - Technology Costs","0.000000","0.000000","Over target","Semi-Annual","","46035","288859-20130311","0.000000","Met","","2013-03-11","08/01/2013","14:57:05"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Automated Drug Information Management System","3490","285241","Number of db values/db admin resolved","#","215-Technology - Reliability and Availability","25.000000","25.000000","Over target","Quarterly","","61611","285241-20130630","370.000000","Met"," On Schedule","2013-06-30","08/01/2013","14:57:13"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Automated Drug Information Management System","3492","285243","Increase number of BLA Communications","#","202-Process and Activities - Productivity","100.000000","100.000000","Over target","Semi-Annual","","61612","285243-20130630","2678.000000","Met","On Schedule","2013-06-30","08/01/2013","14:57:13"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Automated Drug Information Management System","3493","285245","Reduce time for contractor to contact client on TroubleTickets ","hours","113-Customer Results - Timeliness and Responsiveness","2.000000","2.000000","Under target","Monthly","","61613","285245-20130630","1.317000","Met","On Schedule","2013-06-30","08/01/2013","14:57:13"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Automated Drug Information Management System","3494","285247","Increase number of Business Data refreshes in PreProd","#","114-Customer Results - Service Quality","1.000000","1.000000","Over target","Quarterly","","61614","285247-20130630","1.000000","Met","On Schedule","2013-06-30","08/01/2013","14:57:13"
"009-000005345","298","009","Department of Health and Human Services","FDA CDER Automated Drug Information Management System","3495","287202","Maintain SLA response times for resolution of severity 2 trouble tickets","hours","213-Technology - Efficiency","8.000000","8.000000","Under target","Monthly","","61615","287202-20130630","5.350000","Met","On Schedule","2013-06-30","08/01/2013","14:57:13"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","3484","285839","Percentage of user requirements accomplished for portal configuration for eLEXNET. Outcome: Increased user satisfaction and system usage which reduces the use of telephone, etc. This results in greater staff efficiency.","0-100% scale with 100% highest possible score.  ","111-Customer Results - Customer Benefit","20.000000","20.000000","Over target","Semi-Annual","P43-009-041","52579","285839-20130415","20.000000","Met","data pending","2013-04-15","06/28/2013","14:44:01"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","3486","285862","Percentage of ORA labs and District Offices using QMS process forms in QMiS. Outcome: defined, accepted, universal culture of quality with reduced errors and support for laboratory accreditation. Aligns with 2012 Congressional Justification Performance Measure (CJ) 214206.","0-100% scale with 100% highest possible score.  ","204-Process and Activities - Quality","25.000000","50.000000","Over target","Semi-Annual","P43-009-041","45601","285862-20130304","22.000000","Not Met","77% out of 52 units as of end Jan 2013","2013-03-04","06/28/2013","14:44:01"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","3487","285863","Number of labs converted from manual to automated data entry into eLEXNET. Outcome: Reduction in FTE time required and improved response to changing conditions to support protection. Aligns with 2012 CJ 214303 and 214305.","0-5 with 5 with highest possible labs converted.  ","111-Customer Results - Customer Benefit","1.000000","2.000000","Over target","Semi-Annual","P43-009-041","45603","285863-20130304","77.000000","Met","The target for this metric for the current fiscal year is 25%.  As the value of this metric is 22.5% as of the end of March of this FY, this metric is on track to reach the target by the end of the FY. ","2013-03-04","06/28/2013","14:44:01"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","3488","285864","Number of hours of unplanned system downtime for eLEXNET er year. eLEXNET is a 24x7 system. Outcome: Greater reliability and availability in case of a health emergency or bioterrorism threat. Aligns with CJ 214305.","Number of hours of unplanned downtime per year","215-Technology - Reliability and Availability","12.000000","11.500000","Under target","Monthly","P43-009-041","58957","285864-20130613","11.000000","Met","The annual target for this current year is 11.500. Each month, this is expected to be less than 1, or 12/12. The monthly cumulative targets are Oct: 1; Nov: 2; Dec: 3; Jan: 4; Feb: 5; Mar: 6; Apr: 7; May: 8; Jun: 9; Jul: 10; Aug: 11; Sep: 12. The target for this month (April) is .95. The actual for this month is .0. This metric is on target to be met over the course of CY.","2013-06-13","06/28/2013","14:44:01"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","3489","285865","Number of ORA labs with LIMS functionality. Outcome: increased laboratory surge capacity, improved tracking of inventory - e.g., reagents - and equipment calibration, resulting in cost savings. Provides equipment calibration, records for legal actions. Aligns with CJ 214305.","0-16 reflecting # of fixed/portable labs affected","216-Technology - Effectiveness","2.000000","2.000000","Over target","Semi-Annual","P43-009-041","45607","285865-20130304","2.000000","Met","The LIMS contract is expected to begin in September, 2011, so PY is 0.","2013-03-04","06/28/2013","14:44:01"
"009-000005318","299","009","Department of Health and Human Services","FDA ORA Automated Laboratory Management","5109","320441","Percentage of units' websites converted or deleted for accessing SOPs in QMiS. Outcome: Reduction in resources and more efficient use of resources for managing and updating websites ","0-100% scale with 100% highest possible score.  ","204-Process and Activities - Quality","","50.000000","Over target","Semi-Annual","P43-009-041","45609","320441-20130304","11.500000","Not Met","11.5% out of 52 units as of end Jan 2013","2013-03-04","06/28/2013","14:44:01"
