Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
009-000001468,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,35.248
009-000001472,Major,247-Health Care Administration,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,220,3.66
009-000001474,Major,108-Customer Services,305-Public Affairs,3-Support Delivery of Services to Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.0
009-000001476,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
009-000001479,Major,127-Collections and Receivables,402-Financial Management,4-Management of Government Resources,626-Debt Collection,753-Financial Management,7-Service Types and Components,500,0.0
009-000001482,Major,126-Payments,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,1.499
009-000001483,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.4
009-000001506,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,613-Time Reporting,752-Human Resources,7-Service Types and Components,550,0.0
009-000001507,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001508,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.3
009-000001509,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,618-Education / Training,752-Human Resources,7-Service Types and Components,550,0.0
009-000001510,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,408,0.15
009-000001513,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,408,0.025
009-000001514,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.45
009-000001518,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,550,0.051
009-000001519,Non Major,256-Employee Relations,403-Human Resource Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,550,0.0
009-000001521,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001522,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,549-Sourcing Management,724-Supply Chain Management,7-Service Types and Components,0,0.45
009-000001523,Non Major,112-Policy and Guidance Development,306-Regulatory Development,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.1
009-000001524,Non Major,112-Policy and Guidance Development,306-Regulatory Development,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001533,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000001535,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001539,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001540,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001541,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001543,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001545,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001547,Non Major,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001549,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001550,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001552,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001554,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,517-Partner Relationship Management,701-Customer Relationship Management,7-Service Types and Components,550,0.0
009-000001555,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,410,2.057
009-000001557,Non Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,624-Payroll,753-Financial Management,7-Service Types and Components,500,0.0
009-000001560,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,408,0.0
009-000001565,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,408,0.446
009-000001567,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,574-Categorization,733-Knowledge Management,7-Service Types and Components,408,0.175
009-000001682,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,20.112
009-000001706,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,220,0.0
009-999990020,Funding Contribution,039-Food and Nutrition Assistance,112-Income Security,1-Services for Citizens,615-Benefit Management,752-Human Resources,7-Service Types and Components,0,0.0
009-999990230,Funding Contribution,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
009-999990060,Funding Contribution,113-Public Comment Tracking,306-Regulatory Development,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001742,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000001783,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,0.293
009-000001785,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,46.457
009-000001788,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,3.479
009-000001789,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,0.484
009-000001791,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.1
009-000001793,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000001794,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,1.306
009-000001795,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,645-Team / Org Management,756-Human Capital / Workforce Management,7-Service Types and Components,550,1.936
009-000001798,Non Major,259-Budget and Performance Integration,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
009-000001801,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.185
009-000001807,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,614-Awards Management,752-Human Resources,7-Service Types and Components,408,0.16
009-000001880,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001881,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,2.941
009-000001885,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001886,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001887,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001888,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001889,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001890,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001891,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000001892,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,0.0
009-000001893,Non Major,094-Contingency Planning,302-Internal Risk Management and Mitigation,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001894,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001895,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001896,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001897,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001898,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000001902,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,542-Risk Management,721-Management of Process,7-Service Types and Components,100,0.0
009-000001909,Non Major,111-Public Relations,305-Public Affairs,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.256
009-000001912,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,656-Certification and Accreditation,761-Security Management,7-Service Types and Components,170,0.0
009-000001924,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.07
009-000001943,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000001963,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,593-Modeling,743-Knowledge Discovery,7-Service Types and Components,0,11.367
009-000002043,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,550,0.6
009-000002044,Non Major,112-Policy and Guidance Development,306-Regulatory Development,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000002049,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000002050,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002051,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002052,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002053,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000002054,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002055,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002056,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002057,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002058,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002059,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000002060,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002061,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002062,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002063,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002064,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002065,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000002178,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.8
009-000002228,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,647-Workforce Acquisition / Optimization,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
009-000002231,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000002242,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,410,0.0
009-000002288,Non Major,110-Product Outreach,305-Public Affairs,3-Support Delivery of Services to Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000002293,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000002303,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,0,0.0
009-000002304,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,622-Credit / Charge,753-Financial Management,7-Service Types and Components,0,0.019
009-000002305,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,547-Performance Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000002310,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,1.86
009-000002311,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,618-Education / Training,752-Human Resources,7-Service Types and Components,0,0.0
009-999991100,Funding Contribution,124-Accounting,402-Financial Management,4-Management of Government Resources,623-Expense Management,753-Financial Management,7-Service Types and Components,500,0.0
009-999991200,Funding Contribution,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.0
009-999991300,Funding Contribution,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,600,0.0
009-000002454,Major,247-Health Care Administration,110-Health,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,404,0.0
009-000002476,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-999993100,Funding Contribution,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
009-000002559,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,410,0.0
009-000003856,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
009-000003868,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,574-Categorization,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000003870,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.005
009-000003871,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,408,0.01
009-000003873,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,549-Sourcing Management,724-Supply Chain Management,7-Service Types and Components,408,0.025
009-000003876,Non Major,256-Employee Relations,403-Human Resource Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,550,0.929
009-000003878,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.3
009-000003879,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.198
009-000003888,Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.798
009-000003891,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
009-000003893,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,647-Workforce Acquisition / Optimization,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
009-000003896,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000003943,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000003944,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,663-Task Management,762-Collaboration,7-Service Types and Components,600,2.106
009-000003962,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,0.0
009-000003967,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.9
009-000003975,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000003976,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,604-Meta Data Management,751-Data Management,7-Service Types and Components,220,0.0
009-000003981,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,410,0.0
009-000003988,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,410,0.0
009-000003989,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,604-Meta Data Management,751-Data Management,7-Service Types and Components,0,0.0
009-000004001,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000004025,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,0,0.0
009-000004027,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,170,0.0
009-000004045,Non Major,055-Resolution Facilitation,116-Litigation and Judicial Activities,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
009-000004055,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.085
009-000004058,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.105
009-000004059,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.032
009-000004060,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000004062,Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,200,4.82
009-000004065,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
009-000004066,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000004068,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004093,Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,10.442
009-000004094,Non Major,259-Budget and Performance Integration,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,2.31
009-000004102,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,3.18
009-000004126,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,1.2
009-000004135,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,0.0
009-000004136,Non Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,220,0.172
009-000004137,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000004147,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,220,0.0
009-000004149,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.7
009-000004158,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,6.95
009-000004159,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,603-Data Warehouse,751-Data Management,7-Service Types and Components,310,3.21
009-000004168,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000004169,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,541-Business Rule Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000004198,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000004252,Non Major,105-Budget Execution,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
009-000004253,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004254,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004255,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004256,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004257,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000004258,Major,247-Health Care Administration,110-Health,1-Services for Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,404,0.0
009-000004259,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004260,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004261,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000004262,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,220,0.0
009-000004263,Major,247-Health Care Administration,110-Health,1-Services for Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000004311,Non Major,124-Accounting,402-Financial Management,4-Management of Government Resources,622-Credit / Charge,753-Financial Management,7-Service Types and Components,500,0.0
009-000004345,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,0,0.2
009-000004353,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.35
