Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
007-000003421,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,904-All Subfunctions Related To Tracking and Workflow,711-Tracking and Workflow,7-Service Types and Components,0,0.0
007-000003425,Non Major,023-Environmental Monitoring and Forecasting,108-Environmental Management,1-Services for Citizens,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003426,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.327
007-000003431,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003432,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003437,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003438,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003439,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003441,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,912-All Subfunctions Related To Knowledge Management,733-Knowledge Management,7-Service Types and Components,0,0.0
007-000003442,Non Major,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003443,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.416
007-000003445,Non Major,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,921-All Subfunctions Related To Financial Management,753-Financial Management,7-Service Types and Components,0,0.0
007-000003446,Non Major,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003447,Non Major,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,913-All Subfunctions Related To Records Management,734-Records Management,7-Service Types and Components,0,0.662
007-000003448,Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003449,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003450,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003451,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003452,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003453,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003454,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003455,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003456,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003457,Non Major,254-Benefits Management,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.176
007-000003462,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003463,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,930-All Subfunctions Related To Forms Management,766-Forms Management,7-Service Types and Components,0,0.0
007-000003465,Non Major,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,921-All Subfunctions Related To Financial Management,753-Financial Management,7-Service Types and Components,0,0.0
007-000003468,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003469,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003470,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003477,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.459
007-000003480,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003481,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003485,Non Major,005-Criminal Incarceration,102-Correctional Activities,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003488,Non Major,006-Criminal Rehabilitation,102-Correctional Activities,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003492,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003493,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,5.7
007-000003495,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003498,Non Major,284-Force Training,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003504,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003506,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003507,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003508,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003533,Non Major,060-Air Transportation,118-Transportation,1-Services for Citizens,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003534,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003535,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,930-All Subfunctions Related To Forms Management,766-Forms Management,7-Service Types and Components,0,0.0
007-000003538,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,722.797
007-000003542,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003543,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003545,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.517
007-000003546,Non Major,283-Building Partnerships,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003547,Non Major,283-Building Partnerships,103-Defense and National Security,1-Services for Citizens,911-All Subfunctions Related To Document Management,732-Document Management,7-Service Types and Components,0,0.0
007-000003548,Non Major,278-Force Management ,103-Defense and National Security,1-Services for Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003549,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003550,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003553,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003554,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003556,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,923-All Subfunctions Related To Development and Integration,755-Development and Integration,7-Service Types and Components,0,0.0
007-000003558,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003559,Non Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,921-All Subfunctions Related To Financial Management,753-Financial Management,7-Service Types and Components,0,0.0
007-000003561,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003562,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003564,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.0
007-000003566,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003568,Non Major,284-Force Training,103-Defense and National Security,1-Services for Citizens,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,7.8
007-000003569,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003570,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003576,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,912-All Subfunctions Related To Knowledge Management,733-Knowledge Management,7-Service Types and Components,0,11.916
007-000003578,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003581,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.134
007-000003582,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003583,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003584,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.349
007-000003586,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.025
007-000003587,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,912-All Subfunctions Related To Knowledge Management,733-Knowledge Management,7-Service Types and Components,0,0.0
007-000003588,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,921-All Subfunctions Related To Financial Management,753-Financial Management,7-Service Types and Components,0,0.0
007-000003590,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003591,Non Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003592,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003593,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003596,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,918-All Subfunctions Related To Reporting,745-Reporting,7-Service Types and Components,0,0.0
007-000003598,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003601,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003602,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.966
007-000003604,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,908-All Subfunctions Related To Investment Management,723-Investment Management,7-Service Types and Components,0,0.0
007-000003605,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003608,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-999993612,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003616,Non Major,283-Building Partnerships,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003617,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003618,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.0
007-000003622,Non Major,254-Benefits Management,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003623,Non Major,278-Force Management ,103-Defense and National Security,1-Services for Citizens,917-All Subfunctions Related To Business Intelligence,744-Business Intelligence,7-Service Types and Components,0,0.0
007-000003626,Non Major,281-Force Application,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003628,Non Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003629,Non Major,282-Protection,103-Defense and National Security,1-Services for Citizens,916-All Subfunctions Related To Knowledge Discovery,743-Knowledge Discovery,7-Service Types and Components,0,0.0
007-000003631,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003632,Non Major,284-Force Training,103-Defense and National Security,1-Services for Citizens,923-All Subfunctions Related To Development and Integration,755-Development and Integration,7-Service Types and Components,0,0.0
007-000003633,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003634,Non Major,061-Ground Transportation,118-Transportation,1-Services for Citizens,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003636,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,912-All Subfunctions Related To Knowledge Management,733-Knowledge Management,7-Service Types and Components,0,0.247
007-000003637,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003638,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003642,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003643,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.01
007-000003645,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,916-All Subfunctions Related To Knowledge Discovery,743-Knowledge Discovery,7-Service Types and Components,0,0.0
007-000003646,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003647,Non Major,278-Force Management ,103-Defense and National Security,1-Services for Citizens,913-All Subfunctions Related To Records Management,734-Records Management,7-Service Types and Components,0,0.0
007-000003648,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.06
007-000003649,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003653,Non Major,"277-Intelligence, Surveillance, and Reconnaissance",113-Intelligence Operations,1-Services for Citizens,921-All Subfunctions Related To Financial Management,753-Financial Management,7-Service Types and Components,0,0.0
007-000003655,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003657,Non Major,282-Protection,103-Defense and National Security,1-Services for Citizens,912-All Subfunctions Related To Knowledge Management,733-Knowledge Management,7-Service Types and Components,0,0.0
007-000003659,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003662,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003663,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,911-All Subfunctions Related To Document Management,732-Document Management,7-Service Types and Components,0,0.0
007-000003664,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003666,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003667,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.417
007-000003671,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003673,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003674,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003676,Non Major,254-Benefits Management,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003677,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,923-All Subfunctions Related To Development and Integration,755-Development and Integration,7-Service Types and Components,0,0.0
007-000003678,Non Major,"015-Elementary, Secondary, and Vocational Education",106-Education,1-Services for Citizens,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003680,Non Major,064-Training and Employment,119-Workforce Management,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003681,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003683,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003686,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,1.5
007-000003688,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003693,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003700,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003703,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-999993704,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.425
007-000003708,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003709,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003711,Non Major,278-Force Management ,103-Defense and National Security,1-Services for Citizens,916-All Subfunctions Related To Knowledge Discovery,743-Knowledge Discovery,7-Service Types and Components,0,0.0
007-000003714,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,2.178
007-000003715,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003716,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,910-All Subfunctions Related To Content Management,731-Content Management,7-Service Types and Components,0,0.0
007-000003725,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.0
007-000003727,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003728,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003730,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003731,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003732,Non Major,281-Force Application,103-Defense and National Security,1-Services for Citizens,911-All Subfunctions Related To Document Management,732-Document Management,7-Service Types and Components,0,0.0
007-000003733,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003737,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003740,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,10.734
007-000003741,Non Major,128-Asset and Liability Management,402-Financial Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.012
007-000003743,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003748,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003749,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003750,Non Major,278-Force Management ,103-Defense and National Security,1-Services for Citizens,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003751,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003752,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003754,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
