Unique_Investment_Identifier,Agency Code,Investment Title,Performance_Metric_ID,Metric_Description,Unit_of_Measure,Measurement_category,Baseline,Target for CY,Metric_results
009-000002454,9,CMS Medicare Appeals System (MAS),3454,Time taken to send Part A & B case files from Level 2 to Level 3,Number of days,103-Mission and Business Results - Management of Government Resources,5.0,0.0,
009-000002454,9,CMS Medicare Appeals System (MAS),3455,"Percent of FFS, Medicare Advantage, and Part D appeal types included in system",Percent,103-Mission and Business Results - Management of Government Resources,100.0,100.0,
009-000002454,9,CMS Medicare Appeals System (MAS),3456,Adherence to budget/cost control discipline as measured by percent above/below planned budget,Percent,201-Process and Activities - Financial,10.0,10.0,Met
009-000002454,9,CMS Medicare Appeals System (MAS),3457,Percentage of incidents that were closed timely and efficiently as a result of the MAS Support Desk interaction,Percent,113-Customer Results - Timeliness and Responsiveness,90.0,100.0,Met
009-000002454,9,CMS Medicare Appeals System (MAS),3458,Accuracy and technical excellence of contract deliverables and reports based on monthly status report,Percent,206-Process and Activities - Management and Innovation,95.0,100.0,Met
009-000005234,9,CMS Medicare Integrity Program Modernization-One PI System,3293,Provide training to add additional users on the One PI System.,Number ,102-Mission and Business Results - Support Delivery of Services,100.0,150.0,
009-000005234,9,CMS Medicare Integrity Program Modernization-One PI System,3294,The percentage of new and existing users who are satisfied to highly satisfied with the analytic capabilities of the system based on survey results.,Percent ,114-Customer Results - Service Quality,50.0,55.0,
009-000005234,9,CMS Medicare Integrity Program Modernization-One PI System,3295,Additional Data Sources into the IDR,Number ,214-Technology - Information and Data,0.0,2.0,
009-000005234,9,CMS Medicare Integrity Program Modernization-One PI System,3296,The number of new COTS analytic tools available to end users,Number ,216-Technology - Effectiveness,2.0,3.0,
009-000005234,9,CMS Medicare Integrity Program Modernization-One PI System,3297,System Availability and Performance based on SLA's,Percent ,215-Technology - Reliability and Availability,0.0,85.0,Not Met
009-000001902,9,CMS Modernized IT Infrastructure,3226,Percentage of all daily production batch cycles that complete within their scheduled timeframes. ,Percentage,215-Technology - Reliability and Availability,99.7,99.7,Met
009-000001902,9,CMS Modernized IT Infrastructure,3227,"The average availability of an applicatoin hosted on mid-tier, mainframe, an d FFS platforms.",Percentage,215-Technology - Reliability and Availability,99.85,99.85,Met
009-000001902,9,CMS Modernized IT Infrastructure,3228,Percentage of availability of files and online regions by time of day and hours per month.,Percentage,215-Technology - Reliability and Availability,100.0,100.0,Met
009-000001902,9,CMS Modernized IT Infrastructure,3229,The average time to answer an inbound call or chat request at the EDC Help Desk.,Time in Seconds,113-Customer Results - Timeliness and Responsiveness,22.55,22.55,Met
009-000001902,9,CMS Modernized IT Infrastructure,3230,Percentage of change and problem tickets that are resolved without any further action required,Percentage,113-Customer Results - Timeliness and Responsiveness,99.14,99.14,Met
009-000004255,9,CMS Part A Claims Processing,3241,The Number of P1 & P2 issues post production ,Number,114-Customer Results - Service Quality,5.0,0.0,
009-000004255,9,CMS Part A Claims Processing,3242,Accuracy and technical excellence of contract deliverables and reports based on monthly status report.,Percentage,206-Process and Activities - Management and Innovation,95.0,100.0,
009-000004255,9,CMS Part A Claims Processing,3243,The percentage of change requests delivered to BETA on schedule.,Percentage,203-Process and Activities - Cycle Time and Timeliness,95.0,100.0,
009-000004255,9,CMS Part A Claims Processing,3244,Adherence to budget / cost control discipline (as measured by percent above oe below planned budget),Percentage,203-Process and Activities - Cycle Time and Timeliness,10.0,10.0,
009-000004255,9,CMS Part A Claims Processing,3245,The percentage of Incidents that were closed timely and efficiently as a result of one help desk interaction.,Percentage,113-Customer Results - Timeliness and Responsiveness,92.5,100.0,
009-000004256,9,CMS Part B Claims Processing,3246,The Number of P1 & P2 issues post production,Number ,114-Customer Results - Service Quality,5.0,0.0,
009-000004256,9,CMS Part B Claims Processing,3247,Accuracy and technical excellence of contract deliverables and reports based on monthly status report,Percentage,206-Process and Activities - Management and Innovation,95.0,100.0,
009-000004256,9,CMS Part B Claims Processing,3248,The percentage of change requests delivered to BETA on schedule,Percentage,203-Process and Activities - Cycle Time and Timeliness,95.0,100.0,
009-000004256,9,CMS Part B Claims Processing,3249,Adherence to budget / cost control discipline (as measured by percent above/below planned budget),Percentage,201-Process and Activities - Financial,10.0,10.0,
009-000004256,9,CMS Part B Claims Processing,3250,The percentage of incidents that were closed timely and efficiently as a result of one help desk interaction,Percentage,113-Customer Results - Timeliness and Responsiveness,95.0,100.0,
009-000004258,9,CMS Plan Enrollment (HPMS),3251,Percentage of HPMS help desk inquiries completed within 24 hours,Percent,113-Customer Results - Timeliness and Responsiveness,90.0,95.0,Not Met
009-000004258,9,CMS Plan Enrollment (HPMS),3252,"Percentage of HPMS system availability during normal business hours (6 am - 10 pm EST, Monday-Friday) except for regularly scheduled maintenance periods",Percent,215-Technology - Reliability and Availability,90.0,95.0,Met
009-000004258,9,CMS Plan Enrollment (HPMS),3253,Percentage of the time the monthly HPMS to OIS system feeds are delivered timely.  This would be measured by a successful transaction of the data to gentran by 12 noon on the day of distribution.,Percent,203-Process and Activities - Cycle Time and Timeliness,92.0,96.0,Not Met
009-000004258,9,CMS Plan Enrollment (HPMS),3254,Percent of users with a positive HPMS experience as captured in the semi-annual satisfaction survey with the HPMS business owner community.,Percent,113-Customer Results - Timeliness and Responsiveness,85.0,90.0,Not Met
009-000004258,9,CMS Plan Enrollment (HPMS),3255,"Percentage of emergency database change requests (DB CRs) as an overall percentage of all database change requests (emergency, scheduled, and reoccurring).",Percent,203-Process and Activities - Cycle Time and Timeliness,50.0,30.0,Not Met
009-000002476,9,CMS Retiree Drug Subsidy,3459,Percentage of time that the RDS website is available to the public,percentage,113-Customer Results - Timeliness and Responsiveness,95.0,95.0,
009-000002476,9,CMS Retiree Drug Subsidy,3460,Number of interim payments requests processed in 30 days,number,113-Customer Results - Timeliness and Responsiveness,95.0,98.0,
009-000002476,9,CMS Retiree Drug Subsidy,3461,Number of unmitigated high level system vulerabilites,number,215-Technology - Reliability and Availability,0.0,0.0,
009-000002476,9,CMS Retiree Drug Subsidy,3462,Number of emergency system releases needed in CY,number,212-Technology - Quality Assurance,0.0,2.0,
009-000002476,9,CMS Retiree Drug Subsidy,3463,Number of requests for additional funds,number,211-Technology - Technology Costs,0.0,0.0,
009-000005345,9,FDA CDER Automated Drug Information Management System,3490,Number of defects of fixed,#,215-Technology - Reliability and Availability,123.0,150.0,Not Met
009-000005345,9,FDA CDER Automated Drug Information Management System,3491,Incerase number of applications using SSO,#,213-Technology - Efficiency,1.0,3.0,Met
009-000005345,9,FDA CDER Automated Drug Information Management System,3492,Increase number of BLA Communications,#,101-Mission and Business Results - Services for Citizens,0.0,200.0,Met
009-000005345,9,FDA CDER Automated Drug Information Management System,3493,Reduce time for contractor to contact client on TroubleTickets ,hours,113-Customer Results - Timeliness and Responsiveness,3.0,2.0,Met
009-000005345,9,FDA CDER Automated Drug Information Management System,3494,Increase number of Business Data refreshes in PreProd,#,114-Customer Results - Service Quality,2.0,4.0,Met
009-000005345,9,FDA CDER Automated Drug Information Management System,3495,Maintain SLA response times for resolution of severity 2 trouble tickets,hours,213-Technology - Efficiency,8.0,8.0,Met
009-000005318,9,FDA ORA Automated Laboratory Management,3484,"Percentage of user requirements accomplished for portal configuration for eLEXNET. Outcome: Increased user satisfaction and system usage which reduces the use of telephone, etc. This results in greater staff efficiency.",0-100% scale with 100% highest possible score.  ,111-Customer Results - Customer Benefit,15.0,20.0,
009-000005318,9,FDA ORA Automated Laboratory Management,3485,Percentage of identified Standard Operating Procedures under document control and management in QMiS. Outcome: improvement in consistently valid results.,0-100% scale with 100% highest possible score.  ,204-Process and Activities - Quality,0.0,100.0,
009-000005318,9,FDA ORA Automated Laboratory Management,3486,"Percentage of ORA labs and District Offices with consistent and well-defined national quality factors in QMiS. Outcome: defined, accepted, universal culture of quality with reduced errors and support for laboratory accreditation. Aligns with 2012 Congressional Justification Performance Measure (CJ) 214206.",0-100% scale with 100% highest possible score.  ,204-Process and Activities - Quality,0.0,25.0,
009-000005318,9,FDA ORA Automated Laboratory Management,3487,Percentage of labs converted from manual to automated data entry into eLEXNET. Outcome: Reduction in FTE time required and improved response to changing conditions to support protection. Aligns with 2012 CJ 214303 and 214305.,0-100% scale with 100% highest possible score.  ,111-Customer Results - Customer Benefit,15.0,25.0,
009-000005318,9,FDA ORA Automated Laboratory Management,3488,Number of hours of unplanned system downtime for eLEXNET er year. eLEXNET is a 24x7 system. Outcome: Greater reliability and availability in case of a health emergency or bioterrorism threat. Aligns with CJ 214305.,Number of hours of unplanned downtime per year,215-Technology - Reliability and Availability,48.0,12.0,Met
009-000005318,9,FDA ORA Automated Laboratory Management,3489,"Number of ORA labs with LIMS functionality. Outcome: increased laboratory surge capacity, improved tracking of inventory - e.g., reagents - and equipment calibration, resulting in cost savings. Provides equipment calibration, records for legal actions. Aligns with CJ 214305.",0-16 reflecting # of fixed/portable labs affected,216-Technology - Effectiveness,0.0,2.0,
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3496,HPC: Decrease time a batch job waits before resources become available on a cluster,Hours,101-Mission and Business Results - Services for Citizens,36.0,24.0,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3497,HPC: Increase aggregarte avilability of spare capacity across all clusters.,%,202-Process and Activities - Productivity,3.0,8.0,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3498,HPC: Increase immunity for running jobs from power outgages lasting up to 6 minutes,%,101-Mission and Business Results - Services for Citizens,85.0,100.0,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3499,SE: Increase the number of SE rooms,# of SE Rooms,206-Process and Activities - Management and Innovation,0.0,3.0,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3500,SE: maintain optimal response time as new rooms are added to the Scientific Enclave.,seconds,215-Technology - Reliability and Availability,10.0,10.0,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3501,DCM: Median Hours to respond and resolve Severity One outages,Number,113-Customer Results - Timeliness and Responsiveness,3.5,3.25,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3502,DCM: Percentage of uptime at Contractor Host Data Center (CHDC) Platform Reliablity,%,114-Customer Results - Service Quality,99.99,99.993,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3503,DCM: Percentage of uptime of FDA Critical Applications,%,114-Customer Results - Service Quality,99.9,99.3,Met
009-000005315,9,FDA CDER MedWatch Plus,3472,Reduction in Operations and Maintenance Costs,$,211-Technology - Technology Costs,2.985,1.5,
009-000005315,9,FDA CDER MedWatch Plus,3473,Cost avoided by eliminating a separate drug quality system,$,201-Process and Activities - Financial,0.0,131250.0,
009-000005315,9,FDA CDER MedWatch Plus,3474,"Time for retrieval of complete product information including manufacturing, regulatory, substance and labeling.",Hours,203-Process and Activities - Cycle Time and Timeliness,5.0,5.0,Met
009-000005315,9,FDA CDER MedWatch Plus,3475,Length of time from receipt of a non-electronic report until report is available in a database for reviewers,Days,103-Mission and Business Results - Management of Government Resources,14.0,10.0,
009-000005315,9,FDA CDER MedWatch Plus,3476,Percentage of concomitant drugs in adverse event reports with validated active ingredient or trade name ,%,111-Customer Results - Customer Benefit,0.0,50.0,
009-000005315,9,FDA CDER MedWatch Plus,3477,Percentage validated OTC trade names in adverse event reports,%,202-Process and Activities - Productivity,0.0,50.0,
009-000005315,9,FDA CDER MedWatch Plus,3478,Percentage of electronic reports from manufacturers that must go through a manual process to validate a trade name since the trade name cannot be validated automatically against existing dictionary,%,213-Technology - Efficiency,30.0,20.0,
009-000005317,9,FDA ORA Mission Accomplishments and Regulatory Compliance Services,3479,"Number of hours of unplanned down time due to applications the Prior Notice Center. The Bioterrorism Act of 2002 requires prior notice for imported food shipments. These need to be processed on a 24x7 basis. If the system is down, then these have to be processed manually. MARCS support for this activity on a 24x7 basis is key to food security. Aligns with 2012 Congressional Justification Performance Measure (CJ) 214201.",# of hours of unplanned down time per year,114-Customer Results - Service Quality,200.0,160.0,
009-000005317,9,FDA ORA Mission Accomplishments and Regulatory Compliance Services,3480,"Percentage of field work flows designed for offline use. Activities that occur outside of a government facility (field activities) make up a significant portion of the work of ORA. Often these are in areas with no network connectivity. Providing the ability to conduct such work on a computer is key to improving the efficiency of field staff for imports, domestics, and foreign activities. Aligns with CJ 214205, 224201, 234202, 234203, 244202, 244203, 253201, and 254201.",% of field work flows designed for offline use,112-Customer Results - Service Coverage,5.0,15.0,
009-000005317,9,FDA ORA Mission Accomplishments and Regulatory Compliance Services,3481,"Number of imported products screened per year. FDA has to screen a product within two hours to meet CBP requirements to support the free flow of trade. The number of imported items has been steadily increasing and is projected to continue. PREDICT is used for risk based screening to support this throughput. Only a small portion of product can be inspected, so this screening is critical to protecting the public health. Supports CJ 214202 and 214204.",# of imported products screened per year,202-Process and Activities - Productivity,18000000.0,20000000.0,Not Met
009-000005317,9,FDA ORA Mission Accomplishments and Regulatory Compliance Services,3482,"Percentage of work flows handled via a Business Process Management System (BPMS) supported by an Enterprise Service Bus in a Service Oriented Architecture. This is the new MARCS architecture. Work flows in the past have crossed multiple legacy systems. This produces a disjointed approach. With the BPMS, these work flows will be united, increasing efficiency and the ability to share data within FDA. Aligns with CJ 214205, 224201, 234202, 234203, 244202, 244203, 253201, and 254201.",% of work flows,216-Technology - Effectiveness,0.0,10.0,
009-000005317,9,FDA ORA Mission Accomplishments and Regulatory Compliance Services,3483,"Percentage of MARCS functionality re-engineered from legacy systems into new components. Legacy systems have outdated architectures and, sometimes, are on obsolete technologies. Re-engineering these into the new MARCS architecture increases reliability and efficiency. Aligns with CJ 214205, 224201, 234202, 234203, 244202, 244203, 253201, and 254201.",% of MARCS functionality re-engineered,213-Technology - Efficiency,5.0,30.0,
009-000006267,9,FDA OC-OIM Operational Infrastructure,3504,% of IT Budget Devoted to Training and Skills Enhancement,%,114-Customer Results - Service Quality,0.5,1.5,
009-000006267,9,FDA OC-OIM Operational Infrastructure,3505,% of IT Budget Devoted to R&D and Innovation,%,206-Process and Activities - Management and Innovation,2.1,3.0,
009-000006267,9,FDA OC-OIM Operational Infrastructure,3506,Median # of Days to Deploy an R&D Environment in Production,Days,113-Customer Results - Timeliness and Responsiveness,30.0,1.0,
009-000006267,9,FDA OC-OIM Operational Infrastructure,3507,# of ITI Managers with FACPPM Certification ,#,103-Mission and Business Results - Management of Government Resources,0.0,3.0,Not Met
009-000006267,9,FDA OC-OIM Operational Infrastructure,3508,Median # of Days to Resolve Severity One Outages,Days,203-Process and Activities - Cycle Time and Timeliness,5.8,3.0,Met
009-000006267,9,FDA OC-OIM Operational Infrastructure,3509,Number of Days Critical Business Services are Unavailable (Excluding Planned Outages),Days,215-Technology - Reliability and Availability,4.0,3.0,Met
009-000006267,9,FDA OC-OIM Operational Infrastructure,3510,% of IT Service Requests Submitted with ITI Risk Assessment,%,103-Mission and Business Results - Management of Government Resources,70.0,80.0,
009-000006267,9,FDA OC-OIM Operational Infrastructure,3511,% of ITI Services that Meet Published SLAs,%,114-Customer Results - Service Quality,80.0,80.0,
009-000006267,9,FDA OC-OIM Operational Infrastructure,3512,% of IT Service Requests Approved According to Established Prioritization Criteria,%,103-Mission and Business Results - Management of Government Resources,0.0,70.0,Not Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3298,"Number of active users utilizing RBIS ORADSS per year. Making reporting capabilities available to end users enables them to complete their work. These reports are used throughout the ORA work flows. Supports Congressional Justification Performance Measure (CJ) 214205, 224201, 234202, 234203, 244202, 244203, 253201, 254201, and 214201.",# of active users utilizing RBIS ORADSS per year.,115-Customer Results - Service Accessibility,3000.0,4000.0,Not Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3299,"Number of firms cross matched with Dunn & Bradstreet (D&B) in RBIS FMLS. D&B contains information on firms worldwide. ORA uses this information to improve the quality of firm data that is used throughout the ORA work flows. This produces more accurate firm information for end users. Supports with CJ 214205, 224201, 234202, 234203, 244202, 244203, 253201, 254201, 214201, 214202, and 214204.",# of firms cross matched with D&B per year.,114-Customer Results - Service Quality,0.0,600000.0,Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3300,Number of objects available in RBIS ORADSS. This allows end users increased access to data without having to navigate the underlying data structures.,# of objects available in RBIS ORADSS.,202-Process and Activities - Productivity,5300.0,5700.0,Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3301,Number of legacy reports remaining to be migrated. RBIS ORADSS is completing the migration of old reports to the FDA standard COTS reporting tool. This will standardize the development and maintenance of reports for ORA.,# of legacy reports remaining to be migrated.,213-Technology - Efficiency,100.0,0.0,Not Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3302,"Number of calls to the match and address validation service. RBIS FMLS is called to match firm information received with what is already in the firm database. Fuzzy logic is used to match received information to existing firm identifiers. If no current firm identifier can be matched, then a new firm identifier is made. This results in better information available for ORA work flows. Supports with CJ 214205, 224201, 234202, 234203, 244202, 244203, 253201, 254201, 214201, 214202, and 214204.",# of calls to match/address validation service.,214-Technology - Information and Data,300000.0,400000.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3596,ROI. Maintain or reduce Cost per dollar collected through UFFRS,dollars,201-Process and Activities - Financial,0.001,0.001,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3597,Maintain or reduce unscheduled down time as a result of application/UFFRS defects,percent,215-Technology - Reliability and Availability,2.0,1.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3598,Maintain or reduce Cost per User,dollar,211-Technology - Technology Costs,0.004,0.004,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3599,Reduce execution time for key reports,time,203-Process and Activities - Cycle Time and Timeliness,300.0,8.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3600,Increase the number of BIRS users generating special reports,percent,111-Customer Results - Customer Benefit,180.0,5.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3601,Maintain or increase the number of regulatory actions that are  supported by UFFMS,number,102-Mission and Business Results - Support Delivery of Services,7.0,7.0,Met
009-999991400,9,Federal Health Architecture,3548,Number of Federal participants in S&I framework activities,No. of Federal participants in use case dev.,111-Customer Results - Customer Benefit,3.0,6.0,Not Met
009-999991400,9,Federal Health Architecture,3549,Number of Federal exchanges utilizing CONNECT ,No. of certified participants on an exchange,111-Customer Results - Customer Benefit,15.0,35.0,Not Met
009-999991400,9,Federal Health Architecture,3550,Number of new architecture artifacts developed,Number of validated architecture artifacts,214-Technology - Information and Data,0.0,250.0,Not Met
009-999991400,9,Federal Health Architecture,3551,CONNECT transitioning to open source contribution,Number of code segments contributed,214-Technology - Information and Data,0.0,4.0,Not Met
009-999991400,9,Federal Health Architecture,3552,Number of new gov't/industry connections as a result of FHA communications and events,Number of new out bound communication connections,206-Process and Activities - Management and Innovation,20.0,40.0,Met
009-999990160,9,Grants.gov - Find and Apply,3194,# of grant applications received electronically,#,103-Mission and Business Results - Management of Government Resources,796.0,221706.0,Met
009-999990160,9,Grants.gov - Find and Apply,3195,Overall customer satisfaction with the Grants.gov site,%,111-Customer Results - Customer Benefit,57.0,60.0,Not Met
009-999990160,9,Grants.gov - Find and Apply,3196,Average time to validate and process a grants application (submission),minutes,203-Process and Activities - Cycle Time and Timeliness,20.0,20.0,Met
009-999990160,9,Grants.gov - Find and Apply,3197,% System availability 18x7 excluding published maintenance periods,%,215-Technology - Reliability and Availability,99.0,99.0,Met
009-999990160,9,Grants.gov - Find and Apply,3198,% of Tier II tickets closed within 24 hours,%,203-Process and Activities - Cycle Time and Timeliness,95.0,95.0,Not Met
009-000001397,9,HHS Unified Financial Management System: Modernization Program,3602,Achievement of clean audit opinion.,# of clean audit opinions (cumulative),102-Mission and Business Results - Support Delivery of Services,1.0,7.0,
009-000001397,9,HHS Unified Financial Management System: Modernization Program,3603,UFMS customer satisfaction rate (defined as scoring 4 or higher on user survey).,%,111-Customer Results - Customer Benefit,90.0,92.0,
009-000001397,9,HHS Unified Financial Management System: Modernization Program,3604,Total average cost per hour of producing monthly and annual reports.,$,201-Process and Activities - Financial,72.0,72.0,
009-000001397,9,HHS Unified Financial Management System: Modernization Program,3605,UFMS uptime (excluding scheduled maintenance downtime).,%,215-Technology - Reliability and Availability,99.0,99.0,
009-000001397,9,HHS Unified Financial Management System: Modernization Program,3606,Data request completion time,Minutes,203-Process and Activities - Cycle Time and Timeliness,0.0,1.0,
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3377,Amount of time to process a competitive grant award,Days,113-Customer Results - Timeliness and Responsiveness,0.0,331.0,Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3378,Percentage of grants with no conditions 120 days after award,Percent,212-Technology - Quality Assurance,85.0,90.0,Not Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3379,Number of days to complete a grant performance report,Days,103-Mission and Business Results - Management of Government Resources,25.0,20.0,Not Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3380,Application availability to users,Percent,215-Technology - Reliability and Availability,99.0,99.9,Not Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3381,Page load speed,Seconds,213-Technology - Efficiency,7.0,6.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3152,Results: Effective customer contact management processes and reporting - percent of initial customer requests receive an initial response or acknowledgment within 1 business day of the request.,percentage,113-Customer Results - Timeliness and Responsiveness,95.0,95.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3153,Results: User Population and Workload Reports delivered as scheduled - percent of reports are delivered within 2 business days of due date; no scheduled reports are delivered more than 5 business days after due date.,percentage,111-Customer Results - Customer Benefit,95.0,95.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3154,Results: User Population and Workload Reports are delivered with acceptable accuracy - percent of all Service Unit counts in original official reports are accurate within a 1% margin of error in report data.,percentage,114-Customer Results - Service Quality,99.0,99.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3155,Activities and Technology: Data Integrity Verification Results - percent of reported results are delivered within 5 business days of the due date for the Quarterly reporting period.,percentage,212-Technology - Quality Assurance,100.0,100.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3156,Activities and Technology: Security Certification and Accreditation - percent of security requirements are met within 5 business days of agreed upon date with OIT Security and are acceptable.,percentage,205-Process and Activities - Security and Privacy,95.0,95.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3157,Activities and Technology: Data mart availability except during scheduled maintenance - percentage of service availability per the Service Level Agreements.,percentage,215-Technology - Reliability and Availability,95.0,95.0,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3308,Domain Controller availability except during scheduled maintenance.,% ,215-Technology - Reliability and Availability,99.98,99.98,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3309,Email SLA availability during normal business hours except during scheduled maintenance.,% ,215-Technology - Reliability and Availability,99.9,99.9,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3310,"Circuit availability (Area, Rockville/Albuquerque, Access to Internet) ",%,214-Technology - Information and Data,99.9,99.9,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3311,"Availability of IHS public-facing web pages, including IHS Home Page, and the IHS search engine except during scheduled maintenance. ",% ,115-Customer Results - Service Accessibility,99.99,99.99,Not Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3312,"Responses to the Help Desk customer service satisfaction data calls, with a satisfied or higher rating.",% ,114-Customer Results - Service Quality,95.0,95.0,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3313,High Security risks closed monthly,% ,103-Mission and Business Results - Management of Government Resources,99.0,100.0,Not Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3314,Length of time risks have gone unaddressed,# ,103-Mission and Business Results - Management of Government Resources,30.0,30.0,Not Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3387,Percentage of RPMS facilities/sites that install patches and versions for utilized applications within 45 days of release,Percentage,115-Customer Results - Service Accessibility,0.0,70.0,
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3388,Average days in accounts receivable for small ambulatory clinics,Number,202-Process and Activities - Productivity,65.0,59.0,Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3389,Percentage of IHS federal hospitals attaining meaningful use ,Percentage,212-Technology - Quality Assurance,0.0,96.0,
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3390,Percentage of classroom attendees surveyed rated an 80% satisfaction level or better with Trainer,Percentage,114-Customer Results - Service Quality,0.0,80.0,Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3391,Percentage of National OIT Help Desk  Tickets for RPMS Closed Within 30 Days of Creation,Percentage,203-Process and Activities - Cycle Time and Timeliness,69.0,75.0,Not Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3392,Percentage of patients identified by RPMS Clinical Decision Support logic as at-risk who have a comprehensive assessment for all Cardiovascular Disease-related risk factors,Percentage,101-Mission and Business Results - Services for Citizens,30.0,40.6,Not Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3393,Percentage of adults ages 18 and over as identified by RPMS Clinical Decision Support tools who are screened for depression.,Percentage,101-Mission and Business Results - Services for Citizens,15.0,56.5,Not Met
009-000001408,9,NIH Business Intelligence System (NBIS),3409,Service  available for use by the custmers within the agreed service time,Percentage,215-Technology - Reliability and Availability,99.8,99.9,Met
009-000001408,9,NIH Business Intelligence System (NBIS),3410,Percentages of tickets resolved within 30 days,Percentage,114-Customer Results - Service Quality,90.0,95.0,Met
009-000001408,9,NIH Business Intelligence System (NBIS),3411,Number of NIH employees using the business intelligence capability,Number of Users,103-Mission and Business Results - Management of Government Resources,1200.0,1300.0,
009-000001408,9,NIH Business Intelligence System (NBIS),3412,"Users' level of satisfaction with the ability of a system, system component, or service to perform its required function at a stated instant or over a stated period of time when it is needed.",Number (1-5) customer survey,114-Customer Results - Service Quality,3.0,3.5,
009-000001408,9,NIH Business Intelligence System (NBIS),3413,Problem Backlog,Number of unresolved problems,204-Process and Activities - Quality,15.0,10.0,
009-000001408,9,NIH Business Intelligence System (NBIS),3414,Percentage of incidents escalated to problem management,Percentage,204-Process and Activities - Quality,2.0,1.5,
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3400,Percent users who find CRIS usefull in their job based on CRIS user satisfaction survey,Likert Scale,111-Customer Results - Customer Benefit,51.1,55.0,
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3401,Percent users satisfied with the manner in which CRIS supports clinical care based on CRIS user satisfaction survey,Likert Scale,202-Process and Activities - Productivity,68.0,72.0,
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3402,Percent users satisfied with the manner in which CRIS supports clinical research based on CRIS user satisfaction survey,Likert Scale ,202-Process and Activities - Productivity,62.0,66.0,
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3403,Percent users satisfied with the CRIS support desk based on CRIS user satisfaction survey,Likert Scale,114-Customer Results - Service Quality,57.5,61.0,
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3404,The mean score for the users  overall satisfied with the CRIS traning Program based on student satisfaction survey,Likert Scale,114-Customer Results - Service Quality,3.0,4.0,Met
