Unique_Investment_Identifier,Agency Code,Investment Title,Performance_Metric_ID,Metric_Description,Unit_of_Measure,Measurement_category,Baseline,Target for CY,Metric_results
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3502,DCM: Percentage of uptime at Contractor Host Data Center (CHDC) Platform Reliablity,%,114-Customer Results - Service Quality,99.99,99.993,Met
009-000005354,9,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),3503,DCM: Percentage of uptime of FDA Critical Applications,%,114-Customer Results - Service Quality,99.9,99.3,Met
009-000005315,9,FDA CDER MedWatch Plus,3474,"Time for retrieval of complete product information including manufacturing, regulatory, substance and labeling.",Hours,203-Process and Activities - Cycle Time and Timeliness,5.0,5.0,Met
009-000005317,9,FDA ORA Mission Accomplishments and Regulatory Compliance Services,3481,"Number of imported products screened per year. FDA has to screen a product within two hours to meet CBP requirements to support the free flow of trade. The number of imported items has been steadily increasing and is projected to continue. PREDICT is used for risk based screening to support this throughput. Only a small portion of product can be inspected, so this screening is critical to protecting the public health. Supports CJ 214202 and 214204.",# of imported products screened per year,202-Process and Activities - Productivity,18000000.0,20000000.0,Not Met
009-000006267,9,FDA OC-OIM Operational Infrastructure,3507,# of ITI Managers with FACPPM Certification ,#,103-Mission and Business Results - Management of Government Resources,0.0,3.0,Not Met
009-000006267,9,FDA OC-OIM Operational Infrastructure,3508,Median # of Days to Resolve Severity One Outages,Days,203-Process and Activities - Cycle Time and Timeliness,5.8,3.0,Met
009-000006267,9,FDA OC-OIM Operational Infrastructure,3509,Number of Days Critical Business Services are Unavailable (Excluding Planned Outages),Days,215-Technology - Reliability and Availability,4.0,3.0,Met
009-000006267,9,FDA OC-OIM Operational Infrastructure,3512,% of IT Service Requests Approved According to Established Prioritization Criteria,%,103-Mission and Business Results - Management of Government Resources,0.0,70.0,Not Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3298,"Number of active users utilizing RBIS ORADSS per year. Making reporting capabilities available to end users enables them to complete their work. These reports are used throughout the ORA work flows. Supports Congressional Justification Performance Measure (CJ) 214205, 224201, 234202, 234203, 244202, 244203, 253201, 254201, and 214201.",# of active users utilizing RBIS ORADSS per year.,115-Customer Results - Service Accessibility,3000.0,4000.0,Not Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3299,"Number of firms cross matched with Dunn & Bradstreet (D&B) in RBIS FMLS. D&B contains information on firms worldwide. ORA uses this information to improve the quality of firm data that is used throughout the ORA work flows. This produces more accurate firm information for end users. Supports with CJ 214205, 224201, 234202, 234203, 244202, 244203, 253201, 254201, 214201, 214202, and 214204.",# of firms cross matched with D&B per year.,114-Customer Results - Service Quality,0.0,600000.0,Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3300,Number of objects available in RBIS ORADSS. This allows end users increased access to data without having to navigate the underlying data structures.,# of objects available in RBIS ORADSS.,202-Process and Activities - Productivity,5300.0,5700.0,Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3301,Number of legacy reports remaining to be migrated. RBIS ORADSS is completing the migration of old reports to the FDA standard COTS reporting tool. This will standardize the development and maintenance of reports for ORA.,# of legacy reports remaining to be migrated.,213-Technology - Efficiency,100.0,0.0,Not Met
009-000005316,9,FDA ORA Regulatory Business Information Services,3302,"Number of calls to the match and address validation service. RBIS FMLS is called to match firm information received with what is already in the firm database. Fuzzy logic is used to match received information to existing firm identifiers. If no current firm identifier can be matched, then a new firm identifier is made. This results in better information available for ORA work flows. Supports with CJ 214205, 224201, 234202, 234203, 244202, 244203, 253201, 254201, 214201, 214202, and 214204.",# of calls to match/address validation service.,214-Technology - Information and Data,300000.0,400000.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3596,ROI. Maintain or reduce Cost per dollar collected through UFFRS,dollars,201-Process and Activities - Financial,0.001,0.001,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3597,Maintain or reduce unscheduled down time as a result of application/UFFRS defects,percent,215-Technology - Reliability and Availability,2.0,1.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3598,Maintain or reduce Cost per User,dollar,211-Technology - Technology Costs,0.004,0.004,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3599,Reduce execution time for key reports,time,203-Process and Activities - Cycle Time and Timeliness,300.0,8.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3600,Increase the number of BIRS users generating special reports,percent,111-Customer Results - Customer Benefit,180.0,5.0,Met
009-000005323,9,FDA OC User Fee and Financial Reporting Systems,3601,Maintain or increase the number of regulatory actions that are  supported by UFFMS,number,102-Mission and Business Results - Support Delivery of Services,7.0,7.0,Met
009-999991400,9,Federal Health Architecture,3548,Number of Federal participants in S&I framework activities,No. of Federal participants in use case dev.,111-Customer Results - Customer Benefit,3.0,6.0,Not Met
009-999991400,9,Federal Health Architecture,3549,Number of Federal exchanges utilizing CONNECT ,No. of certified participants on an exchange,111-Customer Results - Customer Benefit,15.0,35.0,Not Met
009-999991400,9,Federal Health Architecture,3550,Number of new architecture artifacts developed,Number of validated architecture artifacts,214-Technology - Information and Data,0.0,250.0,Not Met
009-999991400,9,Federal Health Architecture,3551,CONNECT transitioning to open source contribution,Number of code segments contributed,214-Technology - Information and Data,0.0,4.0,Not Met
009-999991400,9,Federal Health Architecture,3552,Number of new gov't/industry connections as a result of FHA communications and events,Number of new out bound communication connections,206-Process and Activities - Management and Innovation,20.0,40.0,Met
009-999990160,9,Grants.gov - Find and Apply,3194,# of grant applications received electronically,#,103-Mission and Business Results - Management of Government Resources,796.0,221706.0,Met
009-999990160,9,Grants.gov - Find and Apply,3195,Overall customer satisfaction with the Grants.gov site,%,111-Customer Results - Customer Benefit,57.0,60.0,Not Met
009-999990160,9,Grants.gov - Find and Apply,3196,Average time to validate and process a grants application (submission),minutes,203-Process and Activities - Cycle Time and Timeliness,20.0,20.0,Met
009-999990160,9,Grants.gov - Find and Apply,3197,% System availability 18x7 excluding published maintenance periods,%,215-Technology - Reliability and Availability,99.0,99.0,Met
009-999990160,9,Grants.gov - Find and Apply,3198,% of Tier II tickets closed within 24 hours,%,203-Process and Activities - Cycle Time and Timeliness,95.0,95.0,Not Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3377,Amount of time to process a competitive grant award,Days,113-Customer Results - Timeliness and Responsiveness,0.0,331.0,Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3378,Percentage of grants with no conditions 120 days after award,Percent,212-Technology - Quality Assurance,85.0,90.0,Not Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3379,Number of days to complete a grant performance report,Days,103-Mission and Business Results - Management of Government Resources,25.0,20.0,Not Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3380,Application availability to users,Percent,215-Technology - Reliability and Availability,99.0,99.9,Not Met
009-000000706,9,HRSA - OIT Electronic Handbooks (EHBs),3381,Page load speed,Seconds,213-Technology - Efficiency,7.0,6.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3152,Results: Effective customer contact management processes and reporting - percent of initial customer requests receive an initial response or acknowledgment within 1 business day of the request.,percentage,113-Customer Results - Timeliness and Responsiveness,95.0,95.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3153,Results: User Population and Workload Reports delivered as scheduled - percent of reports are delivered within 2 business days of due date; no scheduled reports are delivered more than 5 business days after due date.,percentage,111-Customer Results - Customer Benefit,95.0,95.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3154,Results: User Population and Workload Reports are delivered with acceptable accuracy - percent of all Service Unit counts in original official reports are accurate within a 1% margin of error in report data.,percentage,114-Customer Results - Service Quality,99.0,99.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3155,Activities and Technology: Data Integrity Verification Results - percent of reported results are delivered within 5 business days of the due date for the Quarterly reporting period.,percentage,212-Technology - Quality Assurance,100.0,100.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3156,Activities and Technology: Security Certification and Accreditation - percent of security requirements are met within 5 business days of agreed upon date with OIT Security and are acceptable.,percentage,205-Process and Activities - Security and Privacy,95.0,95.0,Met
009-000001359,9,IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements,3157,Activities and Technology: Data mart availability except during scheduled maintenance - percentage of service availability per the Service Level Agreements.,percentage,215-Technology - Reliability and Availability,95.0,95.0,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3308,Domain Controller availability except during scheduled maintenance.,% ,215-Technology - Reliability and Availability,99.98,99.98,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3309,Email SLA availability during normal business hours except during scheduled maintenance.,% ,215-Technology - Reliability and Availability,99.9,99.9,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3310,"Circuit availability (Area, Rockville/Albuquerque, Access to Internet) ",%,214-Technology - Information and Data,99.9,99.9,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3311,"Availability of IHS public-facing web pages, including IHS Home Page, and the IHS search engine except during scheduled maintenance. ",% ,115-Customer Results - Service Accessibility,99.99,99.99,Not Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3312,"Responses to the Help Desk customer service satisfaction data calls, with a satisfied or higher rating.",% ,114-Customer Results - Service Quality,95.0,95.0,Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3313,High Security risks closed monthly,% ,103-Mission and Business Results - Management of Government Resources,99.0,100.0,Not Met
009-000006263,9,"IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3314,Length of time risks have gone unaddressed,# ,103-Mission and Business Results - Management of Government Resources,30.0,30.0,Not Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3388,Average days in accounts receivable for small ambulatory clinics,Number,202-Process and Activities - Productivity,65.0,59.0,Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3390,Percentage of classroom attendees surveyed rated an 80% satisfaction level or better with Trainer,Percentage,114-Customer Results - Service Quality,0.0,80.0,Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3391,Percentage of National OIT Help Desk  Tickets for RPMS Closed Within 30 Days of Creation,Percentage,203-Process and Activities - Cycle Time and Timeliness,69.0,75.0,Not Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3392,Percentage of patients identified by RPMS Clinical Decision Support logic as at-risk who have a comprehensive assessment for all Cardiovascular Disease-related risk factors,Percentage,101-Mission and Business Results - Services for Citizens,30.0,40.6,Not Met
009-000001362,9,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,3393,Percentage of adults ages 18 and over as identified by RPMS Clinical Decision Support tools who are screened for depression.,Percentage,101-Mission and Business Results - Services for Citizens,15.0,56.5,Not Met
009-000001408,9,NIH Business Intelligence System (NBIS),3409,Service  available for use by the custmers within the agreed service time,Percentage,215-Technology - Reliability and Availability,99.8,99.9,Met
009-000001408,9,NIH Business Intelligence System (NBIS),3410,Percentages of tickets resolved within 30 days,Percentage,114-Customer Results - Service Quality,90.0,95.0,Met
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3404,The mean score for the users  overall satisfied with the CRIS traning Program based on student satisfaction survey,Likert Scale,114-Customer Results - Service Quality,3.0,4.0,Met
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3405,Percent of scheduled up-time system is available (scheduled up-time is 24x7 excluding scheduled maintenance as negotiated in SLA),Percent,215-Technology - Reliability and Availability,98.3,99.5,Met
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3406,Percent of Service tickets resolved within one business day using data provided by the Remedy Ticket System ,Percent,114-Customer Results - Service Quality,62.0,68.0,Met
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3407,The number of SCR (System Change Requests) entered per quarter that are processed by CRIS O & M Staff based on data collected and reported by our configuration management system,Number ,202-Process and Activities - Productivity,300.0,310.0,Met
009-000001405,9,NIH CC Clinical Research Information System (CRIS),3408,The number of SCR completed by CRIS O&M staff per month based on data collected and reported by our configuration management system,Number ,202-Process and Activities - Productivity,60.0,64.0,Met
009-000001410,9,NIH OD Electronic Research Administration (eRA),3190,The ratio of throughput to system capacity (within measurement period),Throughput / System capacity,202-Process and Activities - Productivity,1.0,1.0,Met
009-000001410,9,NIH OD Electronic Research Administration (eRA),3192,The average time taken to restore a system back to service after an incident occurs,DurationTotal number of incidents,215-Technology - Reliability and Availability,5.25,5.1,Not Met
009-000001413,9,NIH OD NIH Business System (NBS),3415,Amount of O&M funding requested relative to the amount allocated by the NIH governing boards,percentage,103-Mission and Business Results - Management of Government Resources,97.0,98.0,Not Met
009-000001413,9,NIH OD NIH Business System (NBS),3416,Overall user satisfaction with the system considering all strengths and weaknesses,percentage,114-Customer Results - Service Quality,4.0,4.0,Met
009-000001413,9,NIH OD NIH Business System (NBS),3417,Percentage of work completed by system within the measurement period,percentage,202-Process and Activities - Productivity,0.4,0.4,Met
009-000001413,9,NIH OD NIH Business System (NBS),3418,Percent of Incidents Resolved within SLA/SLC Target,percentage,215-Technology - Reliability and Availability,95.0,95.0,Met
009-000001413,9,NIH OD NIH Business System (NBS),3419,Percent of Incidents Resolved within SLA/SLC Target,percentage,213-Technology - Efficiency,1.0,1.0,Met
009-000001476,9,OS ASA Accounting for Pay System (AFPS),3431,Payroll name lists and cost summary reports will be produced within 5 business days of receipt of payroll data,%,215-Technology - Reliability and Availability,95.0,95.0,Met
009-000001476,9,OS ASA Accounting for Pay System (AFPS),3432,Payroll SF 224 information will be submitted to Treasury within 3 business day of the following month.,%,203-Process and Activities - Cycle Time and Timeliness,95.0,95.0,Met
009-000001476,9,OS ASA Accounting for Pay System (AFPS),3433,Payroll errors will be corrected within the quarter.,%,113-Customer Results - Timeliness and Responsiveness,95.0,95.0,Met
009-000001476,9,OS ASA Accounting for Pay System (AFPS),3434,PSC Customer Satisfaction Survey responses will be Satisfactory or above.,%,114-Customer Results - Service Quality,90.0,90.0,Met
009-000001476,9,OS ASA Accounting for Pay System (AFPS),3435,"System will be available to end-users during posted availability times (M-F, 8am-5pm EST)",%,215-Technology - Reliability and Availability,97.0,97.0,Met
009-000001476,9,OS ASA Accounting for Pay System (AFPS),3436,Transaction batches will be submitted to HHS financial systems within 5 business days of receipt of payroll data,%,214-Technology - Information and Data,98.0,98.0,Met
009-000001479,9,OS ASA Debt Management and Collection System (DMCS),3437,Delinquent debts are referred to the Treasury Offset Program within 180 days,%,201-Process and Activities - Financial,95.0,95.0,Met
009-000001479,9,OS ASA Debt Management and Collection System (DMCS),3438,Daily interface jobs are processed successfully the first time,%,203-Process and Activities - Cycle Time and Timeliness,95.0,95.0,Met
009-000001479,9,OS ASA Debt Management and Collection System (DMCS),3439,PSC Customer Satisfaction Survey responses will be Satisfactory or above,%,114-Customer Results - Service Quality,90.0,90.0,Met
009-000001479,9,OS ASA Debt Management and Collection System (DMCS),3440,"System will be available to end-users during posted availability times (M-F, 8am-5pm EST)",%,215-Technology - Reliability and Availability,97.0,97.0,Met
009-000001479,9,OS ASA Debt Management and Collection System (DMCS),3441,All Quarterly Treasury Reports on Receivables will be prepared accurately and transmitted to the Department of the Treasury within 15 days of quarter end.,%,113-Customer Results - Timeliness and Responsiveness,99.0,99.0,Met
009-000001479,9,OS ASA Debt Management and Collection System (DMCS),3442,Transaction batches will be submitted with accurate data to UFMS (less than 1% error rate),%,214-Technology - Information and Data,99.0,99.0,Met
009-000001479,9,OS ASA Debt Management and Collection System (DMCS),3443,Minor change requests will be ticketed within 24 hours upon receipt from the requester,%,213-Technology - Efficiency,95.0,95.0,Met
009-000004658,9,OS ASFR HHS Consolidated Acquisition Solution,3558,Percent of FAR FACs deployed to HCAS within 30 business days of receipt from the software vendor. ,Percent,103-Mission and Business Results - Management of Government Resources,99.9,99.9,Met
009-000004658,9,OS ASFR HHS Consolidated Acquisition Solution,3560,"Financial Systems will be available 24/7, excluding scheduled business/system maintenance and network outages.",Percent,215-Technology - Reliability and Availability,99.8,99.8,Met
009-000004658,9,OS ASFR HHS Consolidated Acquisition Solution,3561,Critical correspondence (calls/tickets/e-mails) will be responded to and triaged within 1 business hour. ,Percent,213-Technology - Efficiency,95.0,95.0,Met
009-000004658,9,OS ASFR HHS Consolidated Acquisition Solution,3562,High correspondence (calls/tickets/e-mails) will be responded to and triaged within 8 business hours. ,Percent,213-Technology - Efficiency,95.0,95.0,Met
009-000006266,9,OS ASA Information Technology Infrastructure and Operations,3568,% of Service Desk Availability,Percent,115-Customer Results - Service Accessibility,100.0,99.0,Met
009-000006266,9,OS ASA Information Technology Infrastructure and Operations,3569,% of Infrastructure SLA's achieved,Percent,114-Customer Results - Service Quality,97.0,95.0,Met
009-000006266,9,OS ASA Information Technology Infrastructure and Operations,3570,% of Applications Uptime,Percent,215-Technology - Reliability and Availability,99.9,99.5,Met
009-000006266,9,OS ASA Information Technology Infrastructure and Operations,3571,% of Network uptime,Percent,215-Technology - Reliability and Availability,100.0,99.5,Met
009-000006266,9,OS ASA Information Technology Infrastructure and Operations,3572,% of E-mail uptime,Percent,215-Technology - Reliability and Availability,100.0,99.5,Met
009-000004062,9,OS ONC Nationwide Health Information Network (NwHIN) Exchange,3553,Increase the number of  organizations that have validated to use NwHIN standards.,No. of Organizations,111-Customer Results - Customer Benefit,4.0,15.0,Met
009-000004062,9,OS ONC Nationwide Health Information Network (NwHIN) Exchange,3554,Increase the average number of attendees at the webinars.,No. of Attendees,112-Customer Results - Service Coverage,15.0,20.0,Not Met
009-000004062,9,OS ONC Nationwide Health Information Network (NwHIN) Exchange,3555,Increase the uptime of Exchange UDDI server.,%,215-Technology - Reliability and Availability,90.0,95.0,Met
009-000004062,9,OS ONC Nationwide Health Information Network (NwHIN) Exchange,3556,Increase the throughput of testing lab.,No. of Throughputs,203-Process and Activities - Cycle Time and Timeliness,25.0,33.0,Not Met
009-000004062,9,OS ONC Nationwide Health Information Network (NwHIN) Exchange,3557,"Increase the number of organizations being provided technical support on NwHIN standards, services and policies.",No. of Organizations,214-Technology - Information and Data,15.0,25.0,Not Met
009-000001418,9,SAMHSA - OAS National Survey on Drug Use and Health (NSDUH),3422,Days from start of each month to receipt of monthly cost to complete reports,Days,203-Process and Activities - Cycle Time and Timeliness,14.0,14.0,Met
009-000001418,9,SAMHSA - OAS National Survey on Drug Use and Health (NSDUH),3424,Monthly Attrition Rate for Field Interviewers (FIs),Percent,202-Process and Activities - Productivity,8.0,7.0,Met
009-000006779,9,Secure One HHS,3517,FISMA System Inventory Compliance: Percentage of systems with current Security Authorization to Operate (ATO),%,215-Technology - Reliability and Availability,90.0,99.0,Not Met
009-000001361,9,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),3158,"Percentage time web site is available, accessible, and functioning 24/7 except during scheduled downtimes.",%,101-Mission and Business Results - Services for Citizens,99.0,99.0,Met
009-000001361,9,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),3159,Percentage of accurate report results to a practitioner query.,%,114-Customer Results - Service Quality,99.0,99.0,Met
009-000001361,9,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),3160,Percentage of partial matches resolved within 1 business day on a practitioner query,%,203-Process and Activities - Cycle Time and Timeliness,98.0,99.0,Met
009-000001361,9,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),3161,Average response time to return query results,Number of Minutes,213-Technology - Efficiency,5.0,4.5,Met
009-000001361,9,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),3162,Average response time for electronic report processing with notification back to user,Number of Minutes,213-Technology - Efficiency,5.0,4.5,Met
009-000001361,9,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),3163,Average amount of time a caller waits to speak with an Information Specialist,Number of Seconds,113-Customer Results - Timeliness and Responsiveness,60.0,52.0,Met
009-000236620,9,CMS HITECH (Health Information Technology for Economic & Clinical Health),3523,Percent of calls to the EHR Information Center that are resolved within first contact.,Percent,204-Process and Activities - Quality,96.0,98.0,Not Met
009-000236620,9,CMS HITECH (Health Information Technology for Economic & Clinical Health),3524,Percent of calls to Level 1 CSRs abandoned in less than 60 seconds.,Percent,216-Technology - Effectiveness,4.93,4.0,Met
009-000236620,9,CMS HITECH (Health Information Technology for Economic & Clinical Health),3525,Number of concurrent users supported by NLR,Number,202-Process and Activities - Productivity,0.0,170.0,Met
009-000236620,9,CMS HITECH (Health Information Technology for Economic & Clinical Health),3526,Number of States/Territories open for registration,Number,115-Customer Results - Service Accessibility,21.0,40.0,Met
009-000236620,9,CMS HITECH (Health Information Technology for Economic & Clinical Health),3527,Percent of Medicare Hospitals and Eligible providers registered for EHR incentive program that have attested and received payment.,Percent ,111-Customer Results - Customer Benefit,0.0,40.0,Not Met
009-000001380,9,CDC OID National Healthcare Safety Network (NHSN),3394,Data reliability and quality,%,214-Technology - Information and Data,85.0,85.0,Met
009-000001380,9,CDC OID National Healthcare Safety Network (NHSN),3398,Maintain accessbility and reliability of the application,%,215-Technology - Reliability and Availability,85.0,85.0,Met
009-000276109,9,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),3331,Percentage of  performance reports received error-free upon first submission,% of  performance reports received error-free ,214-Technology - Information and Data,70.0,78.0,Not Met
009-000276109,9,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),3332,Percentage of program reviews completed at least 60 days prior to grantees start date,% of program reviews completed within 60 days,102-Mission and Business Results - Support Delivery of Services,29.0,40.0,Not Met
009-000276109,9,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),3333,Percentage of CIS requests responded within 45 days,% of CIS requests responded within 45 days,113-Customer Results - Timeliness and Responsiveness,63.0,70.0,Met
009-000276109,9,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),3334,Percentage of FTCA application reviews completed within 120 days,% of FTCA application reviews completed ,216-Technology - Effectiveness,67.0,75.0,Met
009-000276109,9,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),3335,Percentage of web requests served without service errors,% of web requests served without service errors,215-Technology - Reliability and Availability,92.3,98.0,Met
009-000281532,9,CMS Quality Program,3336,percent of stakeholders satisfied with system functionality of the Helpdesk,percent,114-Customer Results - Service Quality,90.0,95.0,Met
009-000281532,9,CMS Quality Program,3337,percent of QIO's submitting through Patriot/Data and Delivery Submission Tool,percent,101-Mission and Business Results - Services for Citizens,100.0,100.0,Met
009-000281532,9,CMS Quality Program,3339,percent of time the system is available (excluding planned outages),percent,215-Technology - Reliability and Availability,97.0,99.0,Met
009-000281532,9,CMS Quality Program,3340,percent of Remedy tickets closed within 10 days (based on Remedy reports),percent,114-Customer Results - Service Quality,90.0,90.0,Met
009-000281532,9,CMS Quality Program,3341,percent of valid data abstracted from the Clinical Data Abstraction Center,percent,215-Technology - Reliability and Availability,97.0,97.5,Met
024-000009102,24,A&O - Homeland Security Information Network (HSIN),464,"Increase the total number of HSIN user accounts by 5,000 users per year.",user,101-Mission and Business Results - Services for Citizens,30000.0,45000.0,Not Met
024-000009102,24,A&O - Homeland Security Information Network (HSIN),465,Percent of time the Homeland Security Information Network (HSIN) is operational.,percentage,215-Technology - Reliability and Availability,99.9,99.9,Met
024-000009102,24,A&O - Homeland Security Information Network (HSIN),466,"Increase MOC and HSIN Advisory Council (AC) member satisfaction by 0.1 per year based on feedback surveys taken at the conclusion of the meeting.  The scale is from 1-5, 5 being 'outstanding.'  The target is 4 which is 'above satisfactory.",number,111-Customer Results - Customer Benefit,4.0,4.3,Met
024-000009102,24,A&O - Homeland Security Information Network (HSIN),468,Number of days required to close open POA&Ms,days,205-Process and Activities - Security and Privacy,60.0,28.0,Not Met
024-000009102,24,A&O - Homeland Security Information Network (HSIN),469,Average cost per user,dollars,211-Technology - Technology Costs,800.0,550.0,Not Met
024-000009104,24,A&O - Common Operational Picture (COP),2779,"Average Score on a customer satisfaction scale 1-5, 5 being most satified",points,111-Customer Results - Customer Benefit,0.0,4.5,Met
024-000009104,24,A&O - Common Operational Picture (COP),2780,Increase number of staff who have fully adopted user capabilties,number,101-Mission and Business Results - Services for Citizens,0.0,50.0,Met
024-000009104,24,A&O - Common Operational Picture (COP),2781,Increase number of data input multiple sources,number,213-Technology - Efficiency,0.0,40.0,Not Met
024-000009104,24,A&O - Common Operational Picture (COP),2782,Percentage of time system is available excluding unscheduled down time,percent,215-Technology - Reliability and Availability,0.0,98.0,Met
024-000009104,24,A&O - Common Operational Picture (COP),2783,"Reduce response time for RFIs from OPS, a major stakeholder",minutes,203-Process and Activities - Cycle Time and Timeliness,0.0,60.0,Met
024-000009104,24,A&O - Common Operational Picture (COP),2784,"Reduce time to respond to RFIs from INA, a major stakeholder",hours,203-Process and Activities - Cycle Time and Timeliness,0.0,24.0,Met
024-000005352,24,ICE - Detention and Removal Operations Modernization,410,Increase completed number of alien criminal removals by ICE agents per year by five percent.,Percent,101-Mission and Business Results - Services for Citizens,205164.0,226193.0,Not Met
024-000005352,24,ICE - Detention and Removal Operations Modernization,411,Increase number of countries utilizing electronic Travel Documents by one country per fiscal year,Number,202-Process and Activities - Productivity,4.0,6.0,Not Met
024-000005352,24,ICE - Detention and Removal Operations Modernization,412,Increase by five percent the yearly number of man-hours saved by ICE Enforcement officers to locate a detainee within all US detention facilities. DROM uses a zero baseline as this is a new project that became operational in 4Q FY10.,Number,202-Process and Activities - Productivity,0.0,331092.0,Met
024-000005352,24,ICE - Detention and Removal Operations Modernization,413,"Reduce the average number of monthly ENFORCE Alien Removal Module (EARM) Tier 3 trouble tickets reported or opened. Each release causes an increase in the trouble tickets opened. Because releases occur periodically and not each month, DROM uses the monthly number averaged across a six month period.",Number,216-Technology - Effectiveness,70.0,60.0,Met
024-000005352,24,ICE - Detention and Removal Operations Modernization,414,Improve customer efficiency by automating processes and providing flexibility that will enable agents to increase the number of repeat offenders that are apprehended and subject to removal from the US for violating the Immigration and Nationality Act,Number,111-Customer Results - Customer Benefit,115000.0,250000.0,Not Met
024-000005439,24,ICE - IT Infrastructure (Atlas),82,"End user help desk Customer Satisfaction Survey rating: Effective help desk support is a key attribute of a solid ICE technology foundation. Customers are surveyed to rate the customer service experience. Results are expressed numerically on a 1 to 5 scale with 5 representing high satisfaction. Satisfied customers readily maintain assignment focus, which maximizes their productivity and extends to maximize workforce productivity. Survey results are averaged to calculate the metric result.",Number,111-Customer Results - Customer Benefit,3.5,3.5,Met
024-000005439,24,ICE - IT Infrastructure (Atlas),83,Reduce average response time for acknowledgment of application infrastructure trouble calls: Measures success in improving response time to application infrastructure problem notification. Customer mission achievement depends on application use. Timely application infrastructure problem response speeds resolution resulting in faster return to productivity. Notification and response times (minutes) are collected to use as parameters at metric intervals for the calculation: Average (RTime-Ntime).,Number,113-Customer Results - Timeliness and Responsiveness,5.0,3.0,Met
024-000005439,24,ICE - IT Infrastructure (Atlas),84,Percent of network availability: The ICE network must be available for internal and external critical information/data sharing in mission activities. ICE network availability statistics are programmatically captured at month end for individual ICE network elements. The captured element data are averaged for the month to produce the result. Maintaining a high ICE network availability rate ultimately increases the productivity of the ICE workforce.,Percent,215-Technology - Reliability and Availability,98.0,98.5,Met
