Project_ID,Activity_Name,Description,Output_type,Start_Date_Planned,Completion Date Projected,Planned_Costs,Total Costs Projected,Status,No_Child_Activity,Date of Last Update,ID,Planned_Duration,Actual_duration,Actual_start_delay
294,Reporting Tool (COGNOS) deployment to CHCO Offices,"Report conversions, maintenance implement new data source (PAYTA) and enhancements",Usable Functionality,2011-11-01,2012-07-14,0.578,0.578,In-progress,1,06/29/2012,1176,256 days,,1 days
295,PAS - Implementation,"FEMA completes software testing, implementation, data feeds, and infrastructure expansion.",Key Deliverable,2012-03-27,2012-06-15,0.828,0.828,In-progress,1,06/29/2012,1178,64 days,,7 days
296,Current Survey Tool,Current tool (Vovici) testing and maintenance,Usable Functionality,2011-06-07,2012-06-06,0.029,0.029,In-progress,1,06/29/2012,1180,365 days,,0 days
297,NFC VPN,Implementation of additional VPN connectivity to improve information flow to NFC,Usable Functionality,2011-10-24,2011-11-18,0.102,0.102,Completed - Closed,1,06/29/2012,1181,25 days,37 days,0 days
299,USAJOBS 3.0 Support,Phase 1: Provide DHS support/expertise for OPM's USAJOBS 3.0 build,Usable Functionality,2010-10-01,2011-09-29,0.868,0.819,Completed - Closed,1,06/29/2012,1186,363 days,363 days,0 days
299,USAJOBS 3.0 Support,Phase 2 Part 1: Provide DHS support/expertise for OPM's USAJOBS 3.0 build,Usable Functionality,2011-09-30,2012-02-17,0.853,0.853,Completed - Closed,1,06/29/2012,1187,181 days,140 days,0 days
299,USAJOBS 3.0 Support,Phase 2 Part 2: Provide DHS support/expertise for OPM's USAJOBS 3.0 build,Usable Functionality,2012-03-30,2012-09-29,0.85,0.85,In-progress,1,06/29/2012,1188,183 days,,-41 days
300,Human Capital Segment Architecture,Conduct Segment Architecture Study - develop Blueprint to present findings,Usable Functionality,2010-10-01,2011-09-29,1.459,1.566,Completed - Closed,1,06/29/2012,1189,363 days,363 days,0 days
301,73331.1.1 Deploy WM to 3 DCs,"Deploy WM to DCs Frederick, Moffett & Guam",Usable Functionality,2010-12-29,2011-06-30,0.85,0.85,Completed - Closed,1,08/21/2012,1191,183 days,183 days,0 days
301,73331.1.2 O&M of WM at 3 DCs,"Maintain WM at DCs Frederick, Moffett & Guam",Usable Functionality,2011-07-01,2011-10-31,0.564,0.564,Completed - Closed,1,08/21/2012,1192,122 days,122 days,0 days
301,73331.2.1 Analyze/Fix FieldScout,Analyze & fix Severity 1 Error,Key Deliverable,2010-12-29,2011-03-31,0.121,0.121,Completed - Closed,1,08/21/2012,1195,92 days,92 days,0 days
301,73331.2.2 Support IV&V,Support IV&V Readiness & Execution,,2011-04-01,2012-08-31,0.201,,Completed - Closed,1,08/21/2012,1196,152 days,152 days,0 days
302,73332.1  Design Supply Chain,Design LSCMS,Key Deliverable,2010-09-29,2011-05-31,9.012,9.012,Completed - Closed,1,08/21/2012,1198,244 days,244 days,0 days
302,73332.2 Design GIS,Design GIS,Key Deliverable,2011-09-01,2011-09-30,0.166,0.166,Completed - Closed,1,08/21/2012,1199,29 days,29 days,0 days
302,73332.3 Build Supply Chain - code drop 1,Build/Vendor Assembly Test LSCMS - Code Drop 1,Key Deliverable,2011-06-01,2011-12-31,8.223,8.223,Completed - Closed,1,08/21/2012,1200,213 days,213 days,0 days
302,73332.4 VAT - Code Drop 2,VAT - Code drop 2,Key Deliverable,2012-01-01,2012-05-31,1.175,1.175,Completed - Closed,1,08/21/2012,1201,30 days,90 days,0 days
302,73332.5 Build GIS,Build/Vendor Assembly Test GIS,Key Deliverable,2011-10-01,2012-03-31,0.111,0.111,Completed - Closed,1,08/21/2012,1202,122 days,182 days,0 days
302,73332.6 FOC Test,FEMA Test,Key Deliverable,2012-02-01,2012-07-31,4.116,4.116,Completed - Closed,1,08/21/2012,1203,120 days,152 days,29 days
302,73332.8 HW/SW,HW/SW/IT Services,Usable Functionality,2011-08-01,2012-07-31,1.286,1.286,Completed - Closed,1,08/21/2012,1205,365 days,365 days,0 days
303,73333.1 Build SOA GSS Interfaces,Build interfaces for GSA transportation and Numerex data feed,Key Deliverable,2011-06-01,2012-06-30,0.395,0.395,Completed - Closed,1,08/21/2012,1206,304 days,425 days,0 days
304,73334.1 DC Migration Planning/Design,Planning and design activities for the migration to the DHS Data Center,Key Deliverable,2010-11-01,2011-06-30,1.131,1.131,Completed - Closed,1,08/21/2012,1208,241 days,241 days,0 days
304,73334.2 DC Migration Build,"Build DC Test and Production Environments, Agreements",Key Deliverable,2011-07-01,2012-06-30,0.989,0.989,Completed - Closed,1,08/21/2012,1209,274 days,365 days,0 days
304,73334.3 DC Migration Test Support,"Support IST, UAT, IV&V Testing",Key Deliverable,2012-03-01,2012-08-31,0.424,0.424,In-progress,1,08/21/2012,1210,121 days,,102 days
304,73334.6 Data Center HW/SW/IT Services,"Procure Hardware, software and/or IT services for DHS Data Center",Key Deliverable,2011-08-01,2011-11-30,0.25,0.25,Completed - Closed,1,08/21/2012,1213,60 days,121 days,0 days
305,Project Initiation Phase,"Base Period Project Initiation Phase - prepare project plan, orient team, conduct background research.",Key Deliverable,2010-06-01,,0.054,,Completed - Closed,1,08/19/2012,1216,182 days,182 days,0 days
305,Project Planning Phase,"Base Period - Project Planning Phase - Plan fact-finding site visits, identify research questions, obtain templates, schedule interviews.",Key Deliverable,2010-06-07,,0.045,,Completed - Closed,1,08/19/2012,1217,133 days,133 days,0 days
305,Project Execution Phase,"Base Period - Project Execution Phase - Conduct market research, fact-finding, produce market research, investment, acquisition documents and briefings.",Key Deliverable,2010-06-07,,0.759,,Completed - Closed,1,08/19/2012,1218,206 days,206 days,0 days
305,Project Closure Phase,"Base Period - Prepare and deliver briefings on key deliverables produced, revise documentation based on feedback.",Key Deliverable,2010-11-30,,0.011,,Completed - Closed,1,08/19/2012,1219,7 days,7 days,0 days
305,Project Initiation Phase,"Milestone: Option Period # 1 Project Initiation Phase - prepare Option period project plan, orient new staff.",Key Deliverable,2010-12-08,,0.009,,Completed - Closed,1,08/19/2012,1220,82 days,82 days,0 days
305,Project Planning Phase,"Option Period #1: Project Planning - plan and schedule interviews, data collection activities, develop deliverable outlines.",Key Deliverable,2010-12-08,,0.008,,Completed - Closed,1,08/19/2012,1221,69 days,69 days,0 days
305,Project Execution Plase,"Option Period #1: Collect data, conduct interviews, draft reports, revise reports as needed.",Key Deliverable,2010-12-08,,0.318,,Completed - Closed,1,08/19/2012,1222,135 days,135 days,0 days
305,Project Closure Phase,"Option Period #1: Complete deliverables, prepare and conduct briefings on deliverables, revise as needed.",Key Deliverable,2011-04-19,,0.006,,Completed - Closed,1,08/19/2012,1223,6 days,6 days,0 days
305,Project Initiation Phase,"Option Period #2: prepare Option period project schedule, staffing plan.",Key Deliverable,2011-04-04,,0.001,,Completed - Closed,1,08/19/2012,1224,4 days,4 days,0 days
305,Project Planning Phase,Option Period #2: Plan and schedule data collection activities and interviews.,Key Deliverable,2011-04-01,,0.005,,Completed - Closed,1,08/19/2012,1225,32 days,32 days,0 days
305,Project Execution Phase,"Option Period #2: Provide continued support and revisions of the eHR Program market research, investment, and acquisition documents.",Key Deliverable,2011-04-01,,0.193,,Completed - Closed,1,08/19/2012,1226,105 days,105 days,0 days
305,Project Closeout,"Contract: Submit final project status reports and invoice, conduct lessons learned analysis, cleanup project SharePoint folders, debrief staff, return GFI/GFE, release staff for other assignments.",Key Deliverable,2011-07-15,,0.01,,Completed - Closed,1,08/19/2012,1227,0 days,0 days,0 days
333,Secondary Inspection,Incorporate I-94W form,Usable Functionality,2010-05-24,,2.0,,Completed - Closed,1,08/22/2012,1303,190 days,179 days,0 days
333,Secondary Inspection,Completion of SI Land System Definition Pre-Holistic,Key Deliverable,2010-08-16,,0.5,,Completed - Closed,1,08/22/2012,1304,120 days,120 days,0 days
333,Secondary Inspection,Completion of Secondary Inspection Land System Definition Post Holisticinterval Development / Data Migration to Exadata,Key Deliverable,2011-08-02,2011-09-30,0.35,0.35,Completed - Closed,1,08/22/2012,1305,59 days,24 days,0 days
333,Secondary Inspection,Completion of Secondary Inspection Land System Design Post Holistic,Key Deliverable,2010-10-01,,0.8,0.8,Completed - Closed,1,08/22/2012,1306,139 days,139 days,0 days
333,Secondary Inspection,Completion of Secondary Inspection Land System Design Post-Holistic,Key Deliverable,2011-08-01,2011-11-03,0.315,0.315,Completed - Closed,1,08/22/2012,1307,38 days,108 days,1 days
333,Secondary Inspection,Development/Construction of Secondary Inspection Land,Usable Functionality,2011-10-31,2012-06-22,2.386,2.386,Completed - Closed,1,08/22/2012,1308,182 days,221 days,14 days
333,Secondary Inspection,Deployment of Secondary Inspection Land,Usable Functionality,2012-10-01,2012-08-29,1.975,1.975,In-progress,1,08/22/2012,1309,181 days,,-97 days
334,High Performance Primary Query and Manifest Processing,Test and Implementation of High Performance Primary Query Primary Query System APIS,Usable Functionality,2011-08-11,2011-11-18,1.1,1.1,Completed - Closed,1,08/22/2012,1310,99 days,74 days,4 days
334,High Performance Primary Query and Manifest Processing,HPPQ-MP Air and Sea System Development,Usable Functionality,2011-06-20,2012-03-09,2.1,2.1,Completed - Closed,1,08/22/2012,1311,177 days,267 days,0 days
334,High Performance Primary Query and Manifest Processing,Test and Implementation of PQS-Air and Sea,Usable Functionality,2011-10-07,2012-06-27,1.3,1.3,Completed - Closed,1,08/22/2012,1312,123 days,88 days,171 days
334,High Performance Primary Query and Manifest Processing,HPPQ and MP PQS Land Requirements Definition,Key Deliverable,2011-03-15,2012-03-01,0.85,0.85,Completed - Closed,1,08/22/2012,1313,181 days,241 days,-1 days
334,High Performance Primary Query and Manifest Processing,HPPQ and MP PQS Land System Design,Key Deliverable,2011-05-16,2012-03-01,0.811,0.811,Completed - Closed,1,08/22/2012,1314,185 days,200 days,14 days
334,High Performance Primary Query and Manifest Processing,HPPQ and MP PQS Land Development/Construciton,Usable Functionality,2011-11-14,2012-08-07,1.3,1.3,Completed - Closed,1,08/22/2012,1315,169 days,213 days,50 days
335,Travel Documents and Encounter Data,System Definition (Technical Requirements),Key Deliverable,2011-01-31,,0.86,0.86,Completed - Closed,1,08/22/2012,1317,179 days,164 days,0 days
335,Travel Documents and Encounter Data,System Design,Key Deliverable,2011-07-15,2012-03-23,0.84,0.84,Completed - Closed,1,08/22/2012,1318,153 days,251 days,0 days
335,Travel Documents and Encounter Data,Travel Documents Data Migration and Data Load U.S. Customs and Immigration Services,Usable Functionality,2012-02-20,2012-09-27,0.946,0.946,In-progress,1,08/22/2012,1319,177 days,,35 days
335,Travel Documents and Encounter Data,Encounter Data Migration and Data Load Crossing History,Usable Functionality,2012-04-02,2012-10-12,0.875,0.875,In-progress,1,08/22/2012,1324,193 days,,-7 days
336,Lookout Record Data Services,Lookout Record Data Services Functional Planning,Key Deliverable,2010-12-01,,1.45,,Completed - Closed,1,08/22/2012,1330,201 days,183 days,14 days
336,Lookout Record Data Services,Person Lookout Query and Screen Services Requirements Definition,Key Deliverable,2011-08-04,2012-03-07,1.275,1.275,Completed - Closed,1,08/22/2012,1331,181 days,228 days,0 days
336,Lookout Record Data Services,Person Lookout Query and Services System Design,Key Deliverable,2011-08-22,2012-03-07,1.15,1.15,Completed - Closed,1,08/22/2012,1332,179 days,214 days,0 days
336,Lookout Record Data Services,Person Lookout Record and Services Construction,Usable Functionality,2011-11-15,2012-09-11,1.4,1.4,In-progress,1,08/22/2012,1333,182 days,,-1 days
336,Lookout Record Data Services,"Requirements Definition for Vehichle, Vessel, Aircraft, Business and Thing Lookout Queries. LRDS Release 1B",Key Deliverable,2012-04-02,2012-09-26,0.9,0.9,In-progress,1,08/22/2012,1334,177 days,,-18 days
336,Lookout Record Data Services,System Design for Lookout Record Data Services Release 1B,Key Deliverable,2012-04-12,2012-10-11,0.9,0.9,In-progress,1,08/22/2012,1335,182 days,,-17 days
336,Lookout Record Data Services,Construction Lookout Record Release 1B,Usable Functionality,2012-08-15,2013-02-05,1.1,1.1,In-progress,1,08/22/2012,1336,174 days,,0 days
337,Secondary Inspection,Enhancement to Air/Sea Secondary Inspection / Migration to Exadata data base,Usable Functionality,2010-12-01,,1.3,,Completed - Closed,1,08/22/2012,1339,149 days,196 days,-61 days
337,Secondary Inspection,User Requested Enhancements,Usable Functionality,2011-05-02,2012-03-01,1.875,0.4,Completed - Closed,1,08/22/2012,1340,182 days,305 days,0 days
337,Secondary Inspection,User Requested Functionality; modification revision of I-94 Form (note: not I-94W),Usable Functionality,2011-08-01,2011-11-30,1.75,1.75,Completed - Closed,1,08/22/2012,1341,121 days,109 days,0 days
338,Redesigned EAD card,Create new EAD card design using laser marking print method and more security features to create a more tamper proof non-counterfeitable card.,Key Deliverable,2009-04-10,2011-10-24,0.063,0.063,Completed - Closed,1,04/30/2012,1342,1054 days,927 days,0 days
339,CPSTR Relase 1.1,Develop new software so the CPSTR system is capable of printing the newly redesigned EAD card.,Key Deliverable,2011-02-14,2011-11-28,0.419,0.419,Completed - Closed,1,04/30/2012,1343,252 days,252 days,0 days
340,Optical Card Consumables Contract,"USCIS has a requirement to obtain specially designed dye sublimation and laser engaveable optical card (with or without RFID chip inlays) consumables materials including card stock, holograms, and laminates necessary for production of secure identification cards required to produce the Permanent Resident Cards (PRCs). The PRC card consumables contain a number of very specific custom-designed visual and structure security features, more specifically, colors and multi-layered security features imbedded in the card structure, which make the card counterfeit resistant.  This FP/IDIQ contract allows expeditious delivery of optical PRC card stock and related consumables in accordance with the Statement of Work and technical specifications, and the delivery schedule and requirements included in the delivery orders.  In addition, the Contractor is required to maintain a process for responding to government corrective action requests arising from problems in faulty card production issues originating with the contractor. The process is designed to foster quick determination of the origination of the problem and equally quick determination and implementation of a solution, and if necessary, provide replacements for faulty card consumables as part of corrective action/resolution process.  The contractor performance rating is primarily based on their ability to deliver quality products on time and timely resolution of all issues reported through the corrective action process.",Key Deliverable,2007-03-01,2012-02-29,7.2,7.2,In-progress,1,04/30/2012,1344,1826 days,,0 days
341,Non-Optical Card Consumables Contract,"USCIS has a requirement to obtain specially designed non-optical dye sublimation and laser engraveable card consumables materials including card stock, holograms, and laminates necessary for production of secure identification cards required to produce the Employment Authorization Documents (EADs). The EAD card consumables contain a number of very specific custom-designed visual and structure security features, more specifically, colors and multi-layered security features imbedded in the card structure, which make the card counterfeit resistant.  This FP/IDIQ contract allows expeditious delivery of non-optical EAD card stock and related consumables in accordance with the Statement of Work and technical specifications, and the delivery schedule and requirements included in the delivery orders.  In addition, the Contractor is required to maintain a process for responding to government corrective action requests arising from problems in faulty card production issues originating with the contractor. The process is designed to foster quick determination of the origination of the problem and equally quick determination and implementation of a solution, and if necessary, provide replacements for faulty card consumables as part of corrective action/resolution process.  The contractor performance rating is primarily based on their ability to deliver quality products on time and timely resolution of all issues reported through the corrective action process.",Key Deliverable,2009-04-10,2014-04-08,2.3,2.3,In-progress,1,04/30/2012,1345,1825 days,,0 days
342,Card Personalization System Technology Refreshment (CPSTR),"The system must be capable of personalizing at least 5.7 million cards Optical Memory Cards with RFID chips per year, and 1.9 million Non-optical cards per year. The Government is assuming a system lifecycle of at least eight years. The system is designed to provide easy access to components requiring routine or frequent maintenance or adjustment. The Contractor will maintain the system, and has a requirement that components be capable of being repaired or replaced such that no component failure would lead to a shutdown lasting longer than 48 hours.",Key Deliverable,2008-01-08,2013-01-06,2.4,2.4,In-progress,1,04/30/2012,1346,1825 days,,-1 days
343,Card Operations Services,"The IDP Division produces secure document products that are mission critical to Department of Homeland Security (DHS). The contractor provides the labor to perform inventory control, production staging, card and/or document personalization, quality control, shipping, and destruction of excess materials incident to the production process. The vendor maintains 100% accountability for all consumables from their receipt on site throughout the personalization process and completes audit traceability from receipt of electronic orders to posting of results in USCIS information systems. The Contractor must produce all Optical and Non-Optical cards within 72 hours of receiving the card orders. All Transportation Worker Identification Credentials (TWIC) and Travel Document booklets must be produced within 48 hours of receiving the order. In addition to card production, the Contractor performs program management, transition support, operations in support of installation and testing, system migration support, and system up-grade support.",Key Deliverable,2010-07-06,2013-07-05,2.5,2.5,In-progress,1,04/30/2012,1347,1095 days,,0 days
344,"Develop System, Code, and Infrastructure",Develop code and documentation,Key Deliverable,2010-09-01,2010-11-12,0.85,0.85,Completed - Closed,1,08/22/2012,1350,72 days,72 days,0 days
344,Conduct Unit / SWIT Testing,"Create test cases, execute test and record results",Key Deliverable,2010-09-01,2010-11-12,0.85,0.85,Completed - Closed,1,08/22/2012,1351,72 days,72 days,0 days
344,Prepare Draft User Documentation and Training Materials,Another task order creates the draft training materials.  M1 need date was 5/3/11 and thus only the completion date is included.,Key Deliverable,2010-12-17,2011-05-03,0.271,0.271,Completed - Closed,1,08/22/2012,1352,137 days,137 days,0 days
344,Update Project Documentation,"System test plan, PMP, Deployment Plan, TEMP, SIP etc. and conduct inspections and reviews",Key Deliverable,2010-12-17,2011-05-05,0.271,0.271,Completed - Closed,1,08/22/2012,1353,139 days,144 days,0 days
344,Perform System Integration Testing (SIT),"Create test cases, inspect test cases, execute tests, correct issues, and publish results",Key Deliverable,2010-12-17,2011-04-12,0.271,0.271,Completed - Closed,1,08/22/2012,1355,116 days,129 days,0 days
344,Update Project Deliverables,Inspect and review deliverables per M1 Performance Work Statement deliverable table,Key Deliverable,2010-12-17,2011-05-05,0.271,0.271,Completed - Closed,1,08/22/2012,1356,139 days,144 days,0 days
344,Post SIT PTR Fixes,Post SIT PTR Fixes,Key Deliverable,2011-04-22,2011-05-10,0.271,0.271,Completed - Closed,1,08/22/2012,1357,18 days,14 days,4 days
344,Conduct TRR Preparation Activities,"Create presentation, conduct workshop, document action items and minutes",Key Deliverable,2011-04-26,2011-05-11,0.271,0.271,Completed - Closed,1,08/22/2012,1358,15 days,15 days,0 days
344,Conduct Test Readiness Review (TRR),"TRR - Verification that system and software development are complete, system integration testing is complete, user requirements have been satisfied, and acceptance test documentation has been adequately prepared.",Key Deliverable,2011-05-12,2011-05-12,0.271,0.271,Completed - Closed,1,08/22/2012,1359,0 days,0 days,0 days
344,Update UAT Cases / Scenarios,Update UAT Cases / Scenarios,Key Deliverable,2011-02-15,2011-04-13,0.245,0.245,Completed - Closed,1,08/22/2012,1362,57 days,70 days,0 days
344,Finalize UAT Test Plan,Finalize UAT Test Plan,Key Deliverable,2011-02-15,2011-04-13,0.245,0.245,Completed - Closed,1,08/22/2012,1363,57 days,70 days,0 days
344,Conduct UAT Test,"Peform UAT, document issues, publish results",Key Deliverable,2011-04-14,2011-05-11,0.245,0.245,Completed - Closed,1,08/22/2012,1365,27 days,26 days,13 days
344,Resolve Test Problems,Resolve Test Problems,Key Deliverable,2011-04-21,2011-05-24,0.245,0.245,Completed - Closed,1,08/22/2012,1366,33 days,67 days,14 days
344,Perform Mock Cutover testing,Perform Mock Cutover testing,Key Deliverable,2011-05-13,2011-07-12,0.245,0.245,Completed - Closed,1,08/22/2012,1367,60 days,56 days,4 days
344,Perform final regression testing,Of current production by the cargo test team,Key Deliverable,2011-07-13,2011-08-09,0.245,0.245,Completed - Closed,1,08/22/2012,1368,27 days,27 days,0 days
344,Develop or Update User Documentation and Training,Final training materials,Key Deliverable,2011-05-31,2011-09-05,0.245,0.245,Completed - Closed,1,08/22/2012,1369,78 days,78 days,0 days
344,Prepare/Update Trade Test Cases,Prepare/Update Trade Test CasesPrepare/Update Trade Test Cases,Key Deliverable,2011-01-06,2011-04-19,0.245,0.245,Completed - Closed,1,08/22/2012,1371,103 days,90 days,0 days
344,Perform Trade Test,"Perform Trade Test, document issues, publish results",Key Deliverable,2011-05-02,2011-07-01,0.245,0.245,Completed - Closed,1,08/22/2012,1372,60 days,60 days,0 days
344,Perform final regression testing,Of M1 code,Key Deliverable,2011-05-12,2011-07-26,0.245,0.245,Completed - Closed,1,08/22/2012,1374,32 days,78 days,-3 days
344,Perform final pilot phased testing,Perform final pilot phased testing,Key Deliverable,2011-05-13,2011-07-27,0.245,0.245,Completed - Closed,1,08/22/2012,1375,46 days,75 days,0 days
344,Execute performance testing,Execute performance testing,Key Deliverable,2010-12-17,2011-08-16,0.245,0.245,Completed - Closed,1,08/22/2012,1376,228 days,242 days,0 days
344,Finalize Project Deliverables,Inspect and review deliverables per M1 Performance Work Statement deliverable table,Key Deliverable,2011-04-29,2011-08-16,0.245,0.245,Completed - Closed,1,08/22/2012,1378,109 days,123 days,-14 days
344,Prepare Production Move Request,Production notice and change request,Key Deliverable,2011-08-05,2011-08-16,0.245,0.245,Completed - Closed,1,08/22/2012,1379,11 days,11 days,0 days
344,Baseline the System,Baseline the System,Key Deliverable,2011-08-05,2011-08-16,0.245,0.245,Completed - Closed,1,08/22/2012,1380,11 days,11 days,0 days
344,Conduct AAA at PRR Analysis,Conduct AAA at PRR Analysis,Key Deliverable,2011-08-05,2011-08-16,0.245,0.245,Completed - Closed,1,08/22/2012,1381,11 days,11 days,0 days
344,Conduct PRR Preparation Activities,"Create presentation, conduct workshop, document action items and minutes",Key Deliverable,2011-07-31,2011-08-16,0.245,0.245,Completed - Closed,1,08/22/2012,1382,16 days,16 days,0 days
344,Conduct Production Readiness Review (PRR),"PRR - Verification by the users thru testing that the system developed meets the defined requirements, to evaluate the exit criteria to ensure that all exit criteria have been met, and to assess system readiness for the move to production.",Usable Functionality,2011-08-17,2011-08-19,0.245,0.245,Completed - Closed,1,08/22/2012,1383,0 days,0 days,0 days
344,Prepare for Installation,Cutover to production,Usable Functionality,2011-08-20,2011-08-20,0.332,0.332,Completed - Closed,1,08/22/2012,1384,0 days,0 days,0 days
344,Perform Data Conversion and Load Production Data,Cutover to production,Usable Functionality,2011-08-20,2011-08-20,0.332,0.332,Completed - Closed,1,08/22/2012,1385,0 days,0 days,0 days
344,Move to System Production Environment,Cutover to production,Usable Functionality,2011-08-20,2011-08-20,0.332,0.332,Completed - Closed,1,08/22/2012,1386,0 days,0 days,0 days
344,   Perform    Training,   Perform    Training    Perform    Training,Key Deliverable,2011-08-22,2012-02-29,0.332,0.276,Completed - Closed,1,08/22/2012,1388,128 days,191 days,0 days
344,Perform    Pilot Testing,"Perform Pilot Testing - Activities during this transition stage include implementing the system into the production environment, conducting training, transitioning the system to the pilot users in an organized fashion and performing operational test and evaluation.",Key Deliverable,2011-08-22,2012-03-28,0.332,0.277,Completed - Closed,1,08/22/2012,1389,128 days,219 days,0 days
344,Perform Operational Test & Evlaluation,Operational Test Execution & Report,Key Deliverable,2011-10-20,2012-03-23,0.139,0.139,Completed - Closed,1,08/22/2012,1390,67 days,83 days,77 days
344,Finalize Project Plans and Documents,Inspect and review deliverables per M1 Performance Work Statement deliverable table,Key Deliverable,2011-08-04,2012-04-05,0.139,0.139,Completed - Closed,1,08/22/2012,1391,153 days,245 days,0 days
344,Conduct ORR Preparation Activities,"Create presentation, conduct workshop, document action items and minutes",Key Deliverable,2011-12-15,2012-04-10,0.139,0.139,Completed - Closed,1,08/22/2012,1392,20 days,26 days,91 days
344,Conduct Operational Readiness Review (ORR),ORR - Verification thru the pilot and operational test activities that the system is ready for use by all users and the project is ready to move into operations and maintenance.,Usable Functionality,2012-01-05,2012-04-11,0.139,0.14,Completed - Closed,1,08/22/2012,1393,0 days,0 days,97 days
345,Validate ACE Mission Needs (MNS) Statement,Validate ACE Mission Needs Statement (MNS) for ACE Program,Key Deliverable,2012-03-16,2012-04-17,0.3,0.3,Completed - Closed,1,08/22/2012,1394,32 days,45 days,0 days
345,Update ACE Concept of Operations (CONOPS),Update ACE Concept of Operations (CONOPS),Key Deliverable,2012-03-16,2012-04-27,0.3,0.3,Completed - Closed,1,08/22/2012,1395,49 days,51 days,5 days
345,Update ACE Operation Requirement Document (ORD),Work associated with the update of the ACE ORD,Key Deliverable,2012-03-19,2012-05-07,0.3,0.3,Completed - Closed,1,08/22/2012,1396,46 days,58 days,0 days
345,Update ACE Integrated Logistics Plan (ILSP),Work associated with the update of the ILSP,Key Deliverable,2012-03-02,2012-04-20,0.3,0.3,Completed - Closed,1,08/22/2012,1397,47 days,33 days,0 days
345,Update ACE Acquisition Plan,Work associated with the update of the ACE Acquisition Plan,Key Deliverable,2012-04-13,2012-08-10,0.3,0.3,In-progress,1,08/22/2012,1398,40 days,,3 days
345,Updated ACE Life Cycle Cost Estimate (LCCE),Update ACE LCCE,Key Deliverable,2012-03-19,2012-05-10,0.3,0.3,Completed - Closed,1,08/22/2012,1400,52 days,46 days,0 days
345,Updated ACE Acquisition Program Baseline/Program Plan,Work associated with the update of the ACE APB and Program Plan,Key Deliverable,2012-04-03,2012-08-10,0.3,0.3,In-progress,1,08/22/2012,1402,64 days,,13 days
345,DHS Review of ACE Documentation,DHS review of ACE documentation for ADE-2A Acquisition Decision Event,Key Deliverable,2012-04-17,2012-10-19,0.3,0.3,In-progress,1,08/22/2012,1403,97 days,,0 days
346,CLIN 1 - Task Order Management,"Project Management: Activities to include cost, schedule, scope, quality and risk management.",Key Deliverable,2011-05-06,2012-04-29,0.996,1.079,Completed - Closed,1,08/22/2012,1404,359 days,359 days,0 days
346,CLIN 2 - Cargo IT Support Services,"The CISS scope includes anticipating and providing the support needed to meet ACE Cargo Program release milestones while ensuring availability, quality, security, reliability, maintainability, interoperability, and extensibility across all areas of ACE.  This scope includes: Configuration Management, Architecture and Engineering, System and Software Engineering.",Key Deliverable,2011-05-06,2012-04-29,4.609,4.75,Completed - Closed,1,08/22/2012,1405,359 days,359 days,0 days
346,CLIN 3 - ACE PAM Support Services," Provides for direct support for the ACE Production System.  This scope includes:  SAT Support, PAM Program Level Activities, Immediate Response, and EDI Support.",Key Deliverable,2011-05-06,2012-04-29,1.393,1.888,Completed - Closed,1,08/22/2012,1406,359 days,359 days,0 days
346,"CLIN 4 - PAM Trouble Tickets, Problem Reports, and Change Requests","Provide services for ACE systems that includes Production Support (L2 and L3, Problem Investigation, and PTR Administration), Capacity Planning, PR Analysis, PTR Support, CR Support, Configuration Management, Quality Assurance, and SAT Support.",Key Deliverable,2011-05-06,2012-04-29,13.445,12.076,Completed - Closed,1,08/22/2012,1407,359 days,359 days,0 days
346,CLIN 32 - FPM Allocation,"The scope of the required program management shall include planning, managing, and reporting at program, project, and task levels where specified. In addition, consistent technical and program management execution and coordination among the various approved delivery/task orders.",Key Deliverable,2011-05-06,2012-04-29,1.155,1.136,Completed - Closed,1,08/22/2012,1408,359 days,359 days,0 days
346,CLIN 33 - CTOD Indirect Costs,"The scope of the required program management shall include planning, managing, and reporting at program, project, and task levels where specified. In addition, consistent technical and program management execution and coordination among the various approved delivery/task orders.",Key Deliverable,2011-05-06,2012-04-29,1.248,1.223,Completed - Closed,1,08/22/2012,1409,359 days,359 days,0 days
347,CLIN 1 - ECOM Management,"Activities to ensure project cost, schedule, scope, quality, resources, and risk control are effectively managed",Key Deliverable,2011-05-01,2012-04-30,0.526,0.612,Completed - Closed,1,08/22/2012,1410,365 days,365 days,0 days
347,CLIN 21.1 - ECOM CISS,"Cargo IT Services & Support (CISS) scope includes anticipating and providing the support needed to meet ACE Cargo Program release milestones while ensuring availability, quality, security, reliability, maintainability, interoperability, and extensibility across all areas of ACE.",Key Deliverable,2011-05-01,2012-04-30,17.341,19.8,Completed - Closed,1,08/22/2012,1411,365 days,365 days,0 days
347,CLIN 21.7 - ECOM CISS - ACE Enviroments Consolidation,"O&M services provide direct support for the ACE Production System, including Data Center Operations support, Back Office Operations, Computer Operations, Situation Management & Control, and Environments Coordination (including Disaster Recovery Planning).",Key Deliverable,2011-05-01,2012-04-30,2.864,3.099,Completed - Closed,1,08/22/2012,1412,365 days,365 days,0 days
347,CLIN 22 - ECOM Operations & Management (O&M),"O&M services provide direct support for the ACE Production System, including Data Center Operations support, Back Office Operations, Computer Operations, Situation Management & Control, and Environments Coordination (including Disaster Recovery Planning).",Key Deliverable,2011-05-01,2012-04-30,5.832,6.6,Completed - Closed,1,08/22/2012,1413,365 days,365 days,0 days
