"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
021-089571105,361,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",7641,"	11333","Number of aircraft equipped with WAAS receivers per year (this metric is tied to an APB milestone)",Number,"1 - Customer Satisfaction (Process Results)",,500.000000,500.000000,"Over target",Semi-Annual,"021APG18090 - Reduce Aviation-Related Fatalities",235032,"	79913",8062.000000,,2018-09-30,,2018-09-18,13:58:17
021-089571105,361,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",7643,"	11334","Availability of LPV over 100% of CONUS",Percentage,"2 - Strategic and Business Results",,0.990000,0.990000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235873,"	80109",1.000000,,2018-10-31,,2018-09-18,13:58:17
021-089571105,361,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",7645,"	11335","Availability of LPV over 75% of Alaska",Percentage,"2 - Strategic and Business Results",,0.950000,0.950000,"Over target",Quarterly,"021SO18098 - System Operations and Performance",235034,"	79872",0.996000,,2018-09-30,,2018-09-18,13:58:17
021-089571105,361,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",7647,"	11336","Number of LPV/LP Procedures developed",Number,"2 - Strategic and Business Results",,150.000000,100.000000,"Over target",Annual,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235035,"	79873",150.000000,,2018-09-30,,2018-09-18,13:58:17
021-089571105,361,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",7649,"	11337","Percentage of appropriated budget obligated by fiscal year-end",Percentage,"3 - Financial Performance",,0.000000,,"Over target",Monthly,,213346,"	69634",0.858000,,2017-09-30,y,2018-01-18,16:48:24
021-089571105,361,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX169: Wide Area Augmentation System (WAAS)",26344,"	67306","Percentage of appropriated budget obligated by fiscal year-end 2018",Percentage,"3 - Financial Performance",,0.900000,0.900000,"Over target",Annual,"021SO18096 - Project Delivery, Planning, Environment, Funding and Finance",235036,"	79870",0.961100,,2018-09-30,,2018-09-18,13:58:17
021-006227212,363,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX036: Terminal Primary Surveillance (TPS)",7591,"	4550","The number of unscheduled ASR-9 outages at each site per year.",Number,"1 - Customer Satisfaction (Process Results)",,1.700000,1.700000,"Under target",Monthly,"021SO18098 - System Operations and Performance",232571,"	79643",1.590000,,2018-09-30,n,2018-09-18,13:55:04
021-006227212,363,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX036: Terminal Primary Surveillance (TPS)",7593,"	4551","The number of unscheduled ASR-11 outages at each site per year.",Number,"2 - Strategic and Business Results",,0.850000,0.850000,"Under target",Monthly,"021SO18098 - System Operations and Performance",235855,"	80307",0.540000,,2018-10-31,n,2018-09-18,13:55:04
021-006227212,363,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX036: Terminal Primary Surveillance (TPS)",7595,"	4552","Operational Availability for ASR-9 .",Percentage,"2 - Strategic and Business Results",,99.450000,99.450000,"Over target",Monthly,"021SO18098 - System Operations and Performance",226882,"	77317",98.960000,,2018-07-31,n,2018-09-18,13:55:04
021-006227212,363,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX036: Terminal Primary Surveillance (TPS)",7597,"	4553","Operational Availability for ASR-11 .",Percentage,"2 - Strategic and Business Results",,99.520000,99.520000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235856,"	80308",99.300000,,2018-10-31,n,2018-09-18,13:55:04
021-006227212,363,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX036: Terminal Primary Surveillance (TPS)",25094,"	44950","Invoices paid on-time",Percentage,"3 - Financial Performance",,90.000000,90.000000,"Over target",Semi-Annual,"021SO18096 - Project Delivery, Planning, Environment, Funding and Finance",218123,"	71371",99.000000,,2017-12-31,n,2018-09-18,13:55:04
021-860081937,364,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)",7651,"	4579","Mean number of outages (Scheduled and Unscheduled outages) per year (12-month rolling average)",Number,"1 - Customer Satisfaction (Process Results)",,20.000000,20.000000,"Under target",Monthly,"021SO18098 - System Operations and Performance",234408,"	80011",20.000000,,2018-11-16,n,2018-09-17,19:17:19
021-860081937,364,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)",7653,"	4580","Meantime between outages (Maintenance and Equipment outages)",Hours,"1 - Customer Satisfaction (Process Results)",,450.000000,450.000000,"Over target",Monthly,"021SO18098 - System Operations and Performance",234409,"	80012",450.000000,,2018-11-16,n,2018-09-17,19:17:19
021-860081937,364,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)",7655,"	4581","Number of unscheduled outages, measured as national average of unscheduled outage per year per system",Number,"2 - Strategic and Business Results",,5.000000,5.000000,"Under target",Monthly,"021SO18098 - System Operations and Performance",234410,"	80013",3.000000,,2018-11-16,n,2018-09-17,19:17:19
021-860081937,364,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)",7657,"	4582","Meantime to repair (Scheduled and Unscheduled outages)",Hours,"2 - Strategic and Business Results",,5.000000,5.000000,"Under target",Monthly,"021SO18098 - System Operations and Performance",234411,"	80014",3.000000,,2018-11-16,n,2018-09-17,19:17:19
021-860081937,364,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)",7659,"	4583","Operational Availability (percentage of the time annually that the system is available for use, which may be reduced by maintenance and equipment outages)",Percentage,"2 - Strategic and Business Results",,0.991530,98.000000,"Over target",Monthly,"021SO18098 - System Operations and Performance",234412,"	80015",99.000000,,2018-11-16,n,2018-09-17,19:17:19
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7661,"	4586","Time required to detect a security attack",Hours,"2 - Strategic and Business Results",1.000000,1.000000,1.000000,"Under target",Semi-Annual,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",226833,"	76392",0.720000,"Program is meeting goal - There were 155 security incidents during the first half of fiscal year 2018 and all were detected within 1 hour",2018-03-31,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7663,"	4587","Time required to report an incident to the government from the time it occurs",Hours,"2 - Strategic and Business Results",8.000000,0.250000,0.250000,"Under target",Semi-Annual,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",226834,"	76393",0.200000,"Program is meeting goal - There were 155 security incidents during the first half of fiscal year 2018 and all were reported within 15 minutes",2018-03-31,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7665,"	4588","Maximum delivery service timeframe when services can be provided using infrastructure already in-place.",Days,"2 - Strategic and Business Results",45.000000,15.000000,15.000000,"Under target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235874,"	80147",3.800000,"Program is meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7667,"	4589","Maximum delivery service timeframe when a major equipment modification is required.",Days,"2 - Strategic and Business Results",120.000000,45.000000,45.000000,"Under target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235875,"	80148",32.300000,"Program is meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7669,"	4590","Maximum delivery service timeframe for a new site.",Days,"2 - Strategic and Business Results",180.000000,120.000000,120.000000,"Under target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235876,"	80149",113.200000,"Program is meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7671,"	4591","Reliability and Availability of RMA1 Services that must be restored within 6 seconds of an outage",Percentage,"1 - Customer Satisfaction (Process Results)",100.000000,99.999710,99.999710,"Over target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235877,"	80150",99.999540,"Program is not meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7673,"	4592","Reliability and Availability of RMA2 Services that must be restored with 1 minute of an outage",Percentage,"1 - Customer Satisfaction (Process Results)",99.997000,99.997190,99.997190,"Over target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235878,"	80151",99.999810,"Program is meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7675,"	4593","Reliability and Availability of RMA3 Services that must be restored within 8 minutes of an outage",Percentage,"1 - Customer Satisfaction (Process Results)",99.985000,99.984780,99.984780,"Over target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235879,"	80152",99.999400,"Program is meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7677,"	4594","Reliability and Availability of RMA4 Services that must be restored within 3 hours of an outage",Percentage,"1 - Customer Satisfaction (Process Results)",99.795000,99.794520,99.794520,"Over target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235880,"	80153",99.896340,"Program is meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",7679,"	4595","Reliability and Availability of RMA5 Services that must be restored within 4 hours of an outage",Percentage,"1 - Customer Satisfaction (Process Results)",99.726000,99.726030,99.726030,"Over target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235881,"	80154",99.910580,"Program is meeting goal",2018-11-30,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",22015,"	30381","Number of Days from Requirement Submission to Order Placed",Days,"1 - Customer Satisfaction (Process Results)",15.500000,,,"Under target",Semi-Annual,,173488,"	46607",14.000000,"The time from requirement submission to service ordering is below the target. Performance is meeting the goal",2016-07-31,y,2017-11-07,15:50:51
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",22017,"	30382","Reduction in Unit Cost of Bandwidth","Dollars per kilobit per second (kbps) per month","3 - Financial Performance",0.480000,0.460000,0.400000,"Under target",Annual,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",226851,"	76408",0.210000,"Program is meeting goal",2018-03-31,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",25198,"	46391","Requirement Submission to Order Placed - Leverage Existing Infrastructure",Days,"1 - Customer Satisfaction (Process Results)",12.000000,9.000000,9.000000,"Under target",Semi-Annual,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",226852,"	76409",6.200000,"Program is meeting goal",2018-03-31,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",25199,"	46392","Requirement Submission to Order Placed - Major Modification to Existing Facility",Days,"1 - Customer Satisfaction (Process Results)",25.000000,21.000000,21.000000,"Under target",Semi-Annual,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",226853,"	76410",21.500000,"Program is meeting goal",2018-03-31,n,2018-09-18,13:15:44
021-623287423,366,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX445: FAA Telecommunications Infrastructure (FTI)",25200,"	46393","Days from Requirement Submission to Order Placed - Initial Connectivity",Days,"1 - Customer Satisfaction (Process Results)",75.000000,65.000000,65.000000,"Under target",Semi-Annual,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",226854,"	76411",62.300000,"Program is meeting goal",2018-03-31,n,2018-09-18,13:15:44
021-514765477,368,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",7842,"	17310","ERAM equipment availability - Calculation based on availability of the ERAM system equipment at only those Air Route Traffic Control Centers (ARTCC) that have declared Operational Readiness Decision (ORD) which means the ERAM system is being used 24/7 by air traffic controllers.  Equipment is measured for percentage of time the equipment is available and accounts for down time of all unscheduled outages of the ERAM system.  ",Percentage,"2 - Strategic and Business Results",,99.996000,99.996000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235882,"	80162",99.999930,,2018-11-30,n,2018-09-18,12:59:01
021-514765477,368,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",7843,"	17311","Number of flight delays that are attributed to the failure of the ERAM system.  Data is collected on a monthly basis for only those ARTCCs that have declared ORD which means the ERAM system is being used 24/7 by air traffic controllers for controlling aircraft",Number,"2 - Strategic and Business Results",,3.500000,3.500000,"Under target",Monthly,"021SO18098 - System Operations and Performance",235883,"	80163",0.104000,,2018-11-30,n,2018-09-18,12:59:01
021-514765477,368,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",7844,"	17312","NAS critical Composite Flight Automation Data (CFAD) service - CFAD service covers all of the flight data processing (FDP) capability within an Air Route Traffic Control (ARTCC) facility. Service consists of ""critical flight management and flight planning services necessary for safely coordinating and managing air traffic flow arriving, departing and transitioning respective Air Route Traffic Control Center's airspace.",Percentage,"1 - Customer Satisfaction (Process Results)",,99.996000,99.996000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235884,"	80164",99.999920,,2018-11-30,n,2018-09-18,12:59:01
021-514765477,368,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",7845,"	17313","NAS critical Composite Radar Data (CRAD) service - CRAD service is the processing and display of Radar Data from all radars serving an Air Route Traffic Control Center (ARTCC). Service. Radar tracking data is processed and associated with flight plans to ensure safety of flight by supporting verification of aircraft tracks compliance with filed flight plans and minimum safe separation standards. The availability of this service accounts for down time of all unscheduled outages of this service.",Percentage,"1 - Customer Satisfaction (Process Results)",,99.996000,99.996000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235885,"	80165",99.999920,,2018-11-30,n,2018-09-18,12:59:01
021-514765477,368,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",7846,"	17314","Operational Availability (OA) is the total time operationally the system was available while accounting for unavailable time due to all scheduled and unscheduled outages. The Host architecture consisted of a non-redundant primary and a corresponding backup channel. ERAM has a dual redundant primary and backup channel and is capable of being reconfigured into four independent channels to ensure its operational availability during scheduled system upgrades. ",Percentage,"2 - Strategic and Business Results",,99.965000,99.965000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235886,"	80166",99.999920,,2018-11-30,n,2018-09-18,12:59:01
021-514765477,368,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX504: En Route Automation Modernization (ERAM)",22019,"	31247","Invoices received from the ERAM Prime Contractor paid on time.",Percentage,"3 - Financial Performance",,95.000000,95.000000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235887,"	80167",100.000000,,2018-11-30,n,2018-09-18,12:59:01
021-161006572,370,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP) Sustainment and Enhancement",7691,"	4597","Average fuel savings per passenger seat",Pounds/seat,"3 - Financial Performance",1.000000,2.500000,2.810000,"Over target",Monthly,"021SO18103 - Mission Efficiency and Support",235888,"	80112",2.900000,N/A,2018-10-31,n,2018-09-18,13:02:15
021-161006572,370,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP) Sustainment and Enhancement",7693,"	4598","Average Air Traffic Control (ATC) Response Time to Altitude Change Requests",Minutes,"1 - Customer Satisfaction (Process Results)",6.000000,1.800000,1.800000,"Under target",Monthly,"021SO18103 - Mission Efficiency and Support",235889,"	80113",1.600000,N/A,2018-10-31,n,2018-09-18,13:02:15
021-161006572,370,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP) Sustainment and Enhancement",7695,"	4599","Route Requests Air Traffic Control (ATC) Cleared",Percentage,"2 - Strategic and Business Results",74.000000,78.000000,78.000000,"Over target",Monthly,"021SO18103 - Mission Efficiency and Support",235890,"	80111",74.000000,N/A,2018-10-31,n,2018-09-18,13:02:15
021-161006572,370,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP) Sustainment and Enhancement",7697,"	4600","System Reliability",Percentage,"2 - Strategic and Business Results",99.000000,99.990000,99.990000,"Over target",Semi-Annual,"021SO18103 - Mission Efficiency and Support",218201,"	71602",99.980000,,2017-12-31,n,2018-09-18,13:02:15
021-161006572,370,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP) Sustainment and Enhancement",7699,"	4601","System Availability",Percentage,"2 - Strategic and Business Results",99.000000,99.990000,99.990000,"Over target",Semi-Annual,"021SO18103 - Mission Efficiency and Support",218202,"	71603",99.990000,,2017-12-31,n,2018-09-18,13:02:15
021-613828465,371,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX603: Time Based Flow Management (TBFM)",7701,"	4602","Increase peak airport capacity rate (arrival rate per hour)",Percentage,"2 - Strategic and Business Results",,3.000000,3.000000,"Over target",Semi-Annual,"021SO18103 - Mission Efficiency and Support",235892,"	80159",2.980000,,2018-09-30,n,2018-09-18,13:03:33
021-613828465,371,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX603: Time Based Flow Management (TBFM)",7703,"	4603","TBFM equipped En Route Centers where time based metering is used to manage at least one peak demand period a day when airport demand exceeds capacity",Percentage,"1 - Customer Satisfaction (Process Results)",,100.000000,100.000000,"Over target",Semi-Annual,"021SO18103 - Mission Efficiency and Support",224389,"	72423",100.000000,,2018-03-30,n,2018-09-18,13:03:33
021-613828465,371,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX603: Time Based Flow Management (TBFM)",7705,"	4604","Meet or exceed baseline availability",Percentage,"2 - Strategic and Business Results",,99.500000,99.500000,"Over target",Monthly,"021SO18103 - Mission Efficiency and Support",235893,"	80140",99.530000,,2018-10-31,n,2018-09-18,13:03:33
021-613828465,371,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX603: Time Based Flow Management (TBFM)",7707,"	4605","Centers Using Standardized Training and Procedures",Percentage,"2 - Strategic and Business Results",,100.000000,100.000000,"Over target",Semi-Annual,"021SO18103 - Mission Efficiency and Support",235894,"	80158",100.000000,,2018-09-30,n,2018-09-18,13:03:33
021-613828465,371,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX603: Time Based Flow Management (TBFM)",7709,"	4606","Cost Savings - Airline Direct Operating Costs (ADOC)   and Passenger Value of Time (PVT)   due to Dynamic Planner Improvement",Dollars,"3 - Financial Performance",,8.080000,8.080000,"Over target",Semi-Annual,"021SO18103 - Mission Efficiency and Support",235896,"	80160",123.910000,"Cumulative result for FY18",2018-09-30,n,2018-09-18,13:03:33
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",7711,"	4616","Percentage of safety trends identified and tracked by Monitor Safety Related Data-Monitor Safety and Analyze Data (MSRD-MSAD)",Percentage,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,142001,"	35036",10.000000,,2015-04-30,,2017-11-07,15:50:51
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",7713,"	4612","Percentage of ""Exceeds Expectations"" responses on Customer Satisfaction survey",Percentage,"2 - Strategic and Business Results",,,,"Over target",Semi-Annual,,142003,"	35037",75.000000,"No PIRs conducted in 2015. The next PIR will occur in 2017 or 2018 on ASKME Segment 2.",2015-04-30,,2017-11-07,15:50:51
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",7715,"	4613","Percentage of system outages restored within 72 hours, according to agency policy and system category levels",Percentage,"1 - Customer Satisfaction (Process Results)",,89.000000,89.000000,"Over target",Monthly,"021SO18095 - Systemic Safety Approach",235897,"	80132",100.000000,,2018-10-31,,2018-09-18,13:04:30
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",7717,"	4614","Achieve an acceptable level of pass/fail results at 98 percent or higher for User Acceptance Testing (UAT) and production readiness",Percentage,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,100297,"	28584",98.000000,,2014-05-31,y,2017-11-07,15:50:51
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",7719,"	4615","Number of days to produce the Safety System Oversight report post data entry",Number,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,142007,"	35040",1.000000,,2015-04-30,,2017-11-07,15:50:51
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",21959,"	28480","Cumulative CPI for operational projects",Number,"3 - Financial Performance",,0.900000,0.900000,"Over target",Monthly,"021SO18103 - Mission Efficiency and Support",235898,"	80133",1.070000,,2018-10-31,,2018-09-18,13:04:30
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",24002,"	41010","Equipment & Service Availability (Aes) for ASKME operational systems - Percentage of time ASKME equipment is available (excludes scheduled downtime)",Percentage,"2 - Strategic and Business Results",90.000000,90.323000,90.323000,"Over target",Monthly,"021APG18090 - Reduce Aviation-Related Fatalities",235899,"	80134",100.000000,,2018-10-31,,2018-09-18,13:04:30
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",24003,"	41011","Operational Availability (Aop) for ASKME operational systems - Percentage of time ASKME systems are available (includes scheduled and unscheduled downtime)",Percentage,"2 - Strategic and Business Results",90.000000,90.323000,90.323000,"Over target",Monthly,"021SO18095 - Systemic Safety Approach",235900,"	80135",100.000000,,2018-10-31,,2018-09-18,13:04:30
021-826990043,373,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX610: Aviation Safety Knowledge Management Environment (ASKME)",24004,"	41014","Reliability (R) - Probability of failure-free performance, excluding scheduled downtimes for maintenance, software upgrades, server reboots, etc.",Percentage,"2 - Strategic and Business Results",,96.492000,96.492000,"Over target",Monthly,"021SO18095 - Systemic Safety Approach",235901,"	80136",100.000000,,2018-10-31,,2018-09-18,13:04:30
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",7731,"	11348","In an effort to provide SWIM information and data to external users in a reliable and secure manner, the use of a National Airspace System (NAS) Enterprise Secure Gateway (NESG) is utilized for external data sharing. SWIM is committed to adding more users each year and to continuously measure an increase in the number of external users who are not inside of the NAS, such as private companies and Airline Operation Centers who would access SWIM data through the secure NESG.",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,93169,"	27025",5.000000,,2014-04-14,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",7733,"	11349","Each time a new SWIM service provider wishes to promote a service to the next lifecycle stage, the provider submits a request for approval to the SWIM Governance Lead for review and a decision. In order to be more timely and responsive, SWIM strives to set a decision process timeline of no more than 16 days from receipt of request to notification of decision.",Days,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,89317,"	26255",1.000000,,2014-03-31,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",7737,"	11351","SWIM NAS Enterprise Messaging System (NEMS) enables service providers and consumers to avoid costs associated with developing their own messaging infrastructure and promotes NextGen goals for Net-centric Operations. NEMS will be used by SIPs to provide and consume SWIM data. On-ramping is the governance process for becoming authorized to use NEMS services. This metric is measured by counting the number of users (producers and consumers) on-ramped to NEMS.",Number,"2 - Strategic and Business Results",,,,"Over target",Semi-Annual,,93171,"	27026",33.000000,,2014-04-14,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",7739,"	11352","Average service availability of the NAS Enterprise Messaging Services (NEMS). An analysis will be performed as a ratio between the time available divided by the total time in a period. This is a Segment 2A metric with a baseline of 98%.",Percentage,"2 - Strategic and Business Results",,99.900000,99.900000,"Over target",Monthly,"021SO18098 - System Operations and Performance",235906,"	80171",99.990000,"Over Target",2018-10-01,n,2018-09-18,13:09:29
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",7741,"	11353","Maximum restoration time of NEMS. An analysis will be performed to determine the maximum restoration time for any unplanned NEMS outages. This is a Segment 2A metric with a baseline of 180 minutes.",Minutes,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,141945,"	35019",9.000000,,2015-05-14,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",7743,"	11354","Maximum message latency time of NEMS. An analysis will be performed to determine the maximum latency. This is a Segment 2A metric with a baseline of 1 second.",Seconds,"2 - Strategic and Business Results",,,,"Under target",Semi-Annual,,60730,"	20584",0.827000,,2013-03-05,y,2017-11-07,15:50:51
